date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,349,24,6.031617,1,6.031617,6.568424,6.568424
200302,351,24,2.844860,8,8.876477,2.861192,9.429616
200303,355,24,6.906029,1,15.782506,12.811331,22.240946
200304,360,24,6.908755,1,22.691261,23.516998,45.757944
200305,371,25,6.908625,1,29.599885,15.854382,61.612326
200306,383,26,6.908755,1,36.508640,24.194892,85.807219
200307,395,27,6.908755,1,43.417395,85.489271,171.296489
200308,401,27,6.908755,1,50.326150,47.764383,219.060873
200309,412,28,6.908755,1,57.234904,49.194806,268.255678
200310,406,28,6.908755,1,64.143659,27.124689,295.380368
200311,416,28,4.836022,2,68.979681,4.969516,300.349884
200312,421,29,6.908676,1,75.888358,16.362330,316.712214
200401,429,29,6.908536,1,82.796894,15.335459,332.047672
200402,426,29,6.908755,1,89.705649,26.347556,358.395228
200403,428,29,6.908755,1,96.614404,27.603486,385.998714
200404,423,29,4.333367,3,100.947771,4.411546,390.410260
200405,423,29,6.877147,1,107.824918,10.346255,400.756515
200406,424,29,6.870021,1,114.694938,10.139358,410.895873
200407,425,29,1.949603,18,116.644542,1.955648,412.851520
200408,428,29,6.908751,1,123.553292,19.291457,432.142977
200409,439,30,6.908755,1,130.462047,59.833839,491.976816
200410,436,30,6.908755,1,137.370802,74.526253,566.503069
200411,444,30,6.908755,1,144.279557,140.396471,706.899540
200412,445,30,6.908755,1,151.188311,164.382831,871.282372
200501,444,30,6.908755,1,158.097066,285.998448,1157.280820
200502,443,30,6.908755,1,165.005821,360.494748,1517.775568
200503,438,30,6.908755,1,171.914576,283.567112,1801.342681
200504,436,30,6.908755,1,178.823330,302.522052,2103.864732
200505,431,29,6.908755,1,185.732085,298.729089,2402.593822
200506,438,30,6.908755,1,192.640840,339.039078,2741.632899
200507,442,30,6.908755,1,199.549595,294.814563,3036.447462
200508,439,30,6.908755,1,206.458350,280.770187,3317.217649
200509,449,30,6.908755,1,213.367104,226.876940,3544.094589
200510,455,31,6.908755,1,220.275859,70.706034,3614.800623
200511,455,31,6.908755,1,227.184614,96.702582,3711.503204
200512,446,30,6.908755,1,234.093369,113.927014,3825.430219
200601,430,29,6.908755,1,241.002123,29.184543,3854.614762
200602,434,29,6.908755,1,247.910878,110.689712,3965.304474
200603,434,29,6.908751,1,254.819629,19.403220,3984.707694
200604,431,29,6.899909,1,261.719539,11.631173,3996.338866
200605,433,29,6.525307,1,268.244846,7.668465,4004.007331
200606,421,29,2.789342,3,271.034188,2.804730,4006.812061
200607,423,29,6.908433,1,277.942621,14.949515,4021.761576
200608,414,28,6.908755,1,284.851375,47.312501,4069.074077
200609,415,28,6.908755,1,291.760130,46.073988,4115.148064
200610,380,26,6.908755,1,298.668885,28.191426,4143.339490
200611,389,26,6.908755,1,305.577640,25.219177,4168.558667
200612,380,26,6.908755,1,312.486395,24.237152,4192.795819
200701,378,26,-2.722432,85,309.763962,-2.723366,4190.072453
200702,356,24,6.908755,1,316.672717,39.700979,4229.773432
200703,353,24,6.908742,1,323.581459,18.150950,4247.924382
200704,367,25,1.957647,5,325.539105,1.963748,4249.888129
200705,371,25,1.698015,15,327.237120,1.702488,4251.590618
200706,370,25,6.908692,1,334.145812,16.584744,4268.175361
200707,362,25,5.385445,2,339.531258,5.630332,4273.805694
200708,356,24,-25.820633,796,313.710625,-25.821632,4247.984062
200709,364,25,6.908755,1,320.619380,29.823238,4277.807300
200710,386,26,6.908755,1,327.528134,32.615727,4310.423027
200711,379,26,6.908755,1,334.436889,23.459798,4333.882825
200712,395,27,6.908755,1,341.345644,43.269831,4377.152655
200801,394,27,6.908755,1,348.254399,203.040255,4580.192910
200802,400,27,6.908755,1,355.163154,253.907622,4834.100532
200803,401,27,6.908755,1,362.071908,143.154827,4977.255359
200804,408,28,6.908755,1,368.980663,63.795041,5041.050400
200805,414,28,6.908755,1,375.889418,81.307971,5122.358370
200806,439,30,6.908755,1,382.798173,49.630098,5171.988468
200807,449,30,6.908755,1,389.706927,27.446428,5199.434896
200808,447,30,6.908755,1,396.615682,31.444722,5230.879618
200809,440,30,6.908662,1,403.524344,16.188789,5247.068407
200810,440,30,6.908755,1,410.433099,44.059924,5291.128331
200811,446,30,6.908755,1,417.341853,50.233295,5341.361627
200812,518,35,6.798303,1,424.140156,9.055194,5350.416821
200901,499,34,6.908754,1,431.048910,20.992959,5371.409780
200902,506,34,6.908755,1,437.957665,28.491581,5399.901362
200903,529,36,6.908674,1,444.866339,16.327943,5416.229304
200904,527,36,6.908755,1,451.775093,29.859816,5446.089121
200905,538,36,6.908755,1,458.683848,55.980422,5502.069543
200906,561,38,6.908755,1,465.592603,55.237793,5557.307336
200907,575,39,6.908755,1,472.501358,65.482590,5622.789926
200908,593,40,6.908755,1,479.410112,67.883842,5690.673767
200909,606,41,6.908755,1,486.318867,59.745152,5750.418919
200910,604,41,6.908755,1,493.227622,80.207617,5830.626536
200911,601,41,6.908755,1,500.136377,83.595849,5914.222385
200912,622,42,6.908755,1,507.045132,72.370089,5986.592474
201001,626,42,6.908755,1,513.953886,103.711158,6090.303632
201002,638,43,6.908755,1,520.862641,100.627324,6190.930956
201003,637,43,6.908755,1,527.771396,113.100454,6304.031410
201004,644,43,6.908755,1,534.680151,76.553121,6380.584531
201005,641,43,6.908755,1,541.588905,49.065110,6429.649641
201006,648,44,6.908755,1,548.497660,41.133040,6470.782681
201007,669,45,6.908755,1,555.406415,74.862915,6545.645596
201008,667,45,6.908755,1,562.315170,45.990938,6591.636534
201009,689,46,6.908755,1,569.223925,61.222006,6652.858540
201010,703,47,6.908755,1,576.132679,123.333003,6776.191544
201011,722,49,6.908755,1,583.041434,43.947553,6820.139096
201012,732,49,6.908755,1,589.950189,23.026832,6843.165929
201101,730,49,6.908755,1,596.858944,71.465377,6914.631306
201102,744,50,6.908755,1,603.767698,48.965052,6963.596358
201103,729,49,6.908755,1,610.676453,40.201230,7003.797588
201104,758,51,6.908755,1,617.585208,50.409537,7054.207125
201105,767,52,6.908755,1,624.493963,38.737099,7092.944224
201106,786,53,6.908755,1,631.402718,49.065525,7142.009748
201107,800,54,6.775058,1,638.177776,8.852346,7150.862094
201108,799,54,6.908755,1,645.086531,37.520032,7188.382126
201109,820,55,6.908754,1,651.995285,21.300671,7209.682797
201110,834,56,6.908755,1,658.904040,96.463896,7306.146694
201111,823,55,6.908755,1,665.812794,79.217564,7385.364257
201112,845,57,6.908755,1,672.721549,104.566190,7489.930447
201201,858,58,6.908755,1,679.630304,102.328810,7592.259258
201202,871,59,6.908755,1,686.539059,78.966812,7671.226070
201203,863,58,6.908755,1,693.447814,60.732949,7731.959019
201204,886,60,6.908755,1,700.356568,79.426475,7811.385494
201205,877,59,6.908755,1,707.265323,42.420844,7853.806338
201206,892,60,6.908755,1,714.174078,30.792509,7884.598846
201207,896,60,6.908755,1,721.082833,59.573294,7944.172141
201208,894,60,6.908755,1,727.991587,45.041623,7989.213763
201209,930,62,6.908755,1,734.900342,64.982925,8054.196689
201210,942,63,6.908755,1,741.809097,84.101611,8138.298300
201211,939,63,6.908755,1,748.717852,76.892860,8215.191160
201212,943,63,6.908755,1,755.626607,37.695003,8252.886163
201301,954,64,6.908755,1,762.535361,61.151628,8314.037791
201302,972,65,6.908755,1,769.444116,84.698074,8398.735865
201303,958,64,6.908755,1,776.352871,53.623934,8452.359799
201304,947,64,6.908755,1,783.261626,27.897125,8480.256924
201305,948,64,6.908755,1,790.170380,178.598455,8658.855379
201306,958,64,6.908755,1,797.079135,231.679836,8890.535215
201307,965,65,6.908755,1,803.987890,405.738203,9296.273418
201308,957,64,6.908755,1,810.896645,383.530508,9679.803927
201309,943,63,6.908755,1,817.805400,377.935732,10057.739659
201310,933,63,6.908755,1,824.714154,231.323670,10289.063329
201311,946,64,6.908755,1,831.622909,327.194268,10616.257598
201312,942,63,6.908755,1,838.531664,203.973719,10820.231317
201401,936,63,6.908755,1,845.440419,48.895102,10869.126418
201402,941,63,6.908755,1,852.349173,39.740862,10908.867280
201403,921,62,6.908755,1,859.257928,25.134979,10934.002260
201404,927,62,6.908755,1,866.166683,28.245285,10962.247545
201405,935,63,-0.075941,19,866.090742,-0.076015,10962.171530
201406,943,63,6.908755,1,872.999496,27.140473,10989.312004
201407,960,64,6.908755,1,879.908251,45.328283,11034.640286
201408,968,65,6.908755,1,886.817006,102.377802,11137.018088
201409,985,66,6.908755,1,893.725761,65.072865,11202.090953
201410,994,67,6.908755,1,900.634515,69.195477,11271.286431
201411,973,65,6.908755,1,907.543270,60.789445,11332.075876
201412,967,65,6.908755,1,914.452025,94.683206,11426.759082
201501,976,66,6.908755,1,921.360780,251.039152,11677.798235
201502,959,64,6.908755,1,928.269535,112.300462,11790.098697
201503,951,64,6.908755,1,935.178289,103.675701,11893.774398
201504,928,62,6.900880,1,942.079169,11.747906,11905.522304
201505,923,62,6.908754,1,948.987923,21.204241,11926.726545
201506,940,63,6.908755,1,955.896678,55.468014,11982.194559
201507,927,62,6.908755,1,962.805433,31.662676,12013.857236
201508,939,63,6.908755,1,969.714188,53.694186,12067.551422
201509,942,63,6.908755,1,976.622943,33.766417,12101.317839
201510,956,64,6.908755,1,983.531697,47.555489,12148.873329
201511,940,63,6.908754,1,990.440451,20.692159,12169.565487
201512,849,57,-25.751464,619,964.688987,-25.752463,12143.813024
201601,844,57,6.566250,1,971.255237,7.803089,12151.616113
201602,854,57,6.908017,1,978.163255,14.119786,12165.735899
201603,867,58,6.908755,1,985.072009,53.547031,12219.282930
201604,875,59,6.908755,1,991.980764,71.272224,12290.555155
201605,890,60,6.908755,1,998.889519,56.656398,12347.211553
201606,920,62,6.908755,1,1005.798274,106.197241,12453.408794
201607,913,61,6.908755,1,1012.707029,93.717581,12547.126375
201608,922,62,6.908755,1,1019.615783,103.360880,12650.487255
201609,916,62,6.908755,1,1026.524538,74.965497,12725.452751
201610,933,63,6.875029,1,1033.399567,10.280330,12735.733081
201611,940,63,6.908755,1,1040.308322,37.074151,12772.807232
201612,948,64,6.908755,1,1047.217076,62.889161,12835.696394
201701,930,62,6.908755,1,1054.125831,72.023138,12907.719532
201702,933,63,6.908755,1,1061.034586,29.327967,12937.047498
201703,935,63,6.908711,1,1067.943297,16.935197,12953.982696
201704,933,63,-16.976479,730,1050.966818,-16.977478,12937.005217
201705,963,65,-11.526461,690,1039.440357,-11.527461,12925.477757
201706,994,67,0.271894,28,1039.712250,0.272206,12925.749963
201707,983,66,3.343355,3,1043.055606,3.371049,12929.121012
201708,973,65,6.769470,1,1049.825076,8.808540,12937.929553
201709,972,65,6.809110,1,1056.634186,9.163660,12947.093212
201710,991,67,6.906484,1,1063.540670,12.994439,12960.087652
