date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,55,4,0.000000,1001,0.000000,0.000000,0.000000
200302,56,4,0.000000,1001,0.000000,0.000000,0.000000
200303,59,4,0.000000,1001,0.000000,0.000000,0.000000
200304,59,4,0.000000,1001,0.000000,0.000000,0.000000
200305,50,4,-0.178533,347,-0.178533,-0.178696,-0.178696
200306,52,4,0.048181,190,-0.130352,0.048230,-0.130466
200307,54,4,3.123761,7,2.993409,3.145733,3.015266
200308,54,4,-1.424695,301,1.568714,-1.425454,1.589812
200309,53,4,2.692035,10,4.260750,2.705893,4.295705
200310,62,5,2.978486,14,7.239236,2.997320,7.293025
200311,62,5,0.974607,71,8.213843,0.976259,8.269284
200312,64,5,0.178904,150,8.392748,0.179100,8.448385
200401,67,5,0.128679,165,8.521427,0.128817,8.577201
200402,69,5,1.523914,48,10.045340,1.527510,10.104711
200403,67,5,2.549325,4,12.594666,2.561194,12.665905
200404,67,5,-0.537068,278,12.057598,-0.537484,12.128422
200405,69,5,3.448615,4,15.506212,3.479545,15.607967
200406,73,5,-0.351166,185,15.155046,-0.351462,15.256505
200407,71,5,-1.520470,498,13.634576,-1.521251,13.735254
200408,69,5,-2.804607,841,10.829970,-2.805546,10.929708
200409,72,5,0.342626,166,11.172596,0.343035,11.272743
200410,71,5,4.898871,1,16.071467,5.041747,16.314490
200411,72,5,6.900408,1,22.971876,11.689496,28.003986
200412,72,5,6.908754,1,29.880630,20.975884,48.979870
200501,72,5,6.908754,1,36.789384,21.552583,70.532453
200502,87,6,6.908755,1,43.698139,46.358635,116.891088
200503,88,6,6.908755,1,50.606894,37.140846,154.031933
200504,89,6,6.908755,1,57.515648,43.539320,197.571253
200505,90,6,6.908755,1,64.424403,44.272439,241.843693
200506,93,7,6.908755,1,71.333158,61.269309,303.113002
200507,93,7,6.908755,1,78.241913,27.624110,330.737112
200508,95,7,6.908755,1,85.150667,43.117579,373.854691
200509,100,7,6.908751,1,92.059418,19.338390,393.193081
200510,94,7,6.899186,1,98.958604,11.552195,404.745276
200511,94,7,6.908643,1,105.867247,16.008641,420.753917
200512,95,7,6.902787,1,112.770034,12.026180,432.780097
200601,100,7,6.908716,1,119.678750,17.066965,449.847062
200602,103,7,6.908755,1,126.587505,27.426017,477.273080
200603,101,7,3.887684,5,130.475189,3.936662,481.209742
200604,103,7,2.079228,28,132.554418,2.086251,483.295993
200605,101,7,1.175764,75,133.730182,1.178007,484.474000
200606,130,9,-8.094831,837,125.635350,-8.095831,476.378169
200607,127,9,5.367592,1,131.002943,5.607559,481.985729
200608,134,9,6.908204,1,137.911147,14.412462,496.398191
200609,128,9,6.908753,1,144.819900,20.199423,516.597614
200610,164,11,6.673508,1,151.493408,8.234948,524.832561
200611,164,11,6.908755,1,158.402163,27.152366,551.984928
200612,159,11,6.908755,1,165.310918,35.256855,587.241782
200701,158,11,-2.343756,25,162.967162,-2.344660,584.897123
200702,184,13,3.637520,5,166.604682,3.675219,588.572341
200703,185,13,6.908755,1,173.513436,23.880135,612.452476
200704,185,13,6.908674,1,180.422110,16.325805,628.778281
200705,188,13,2.937487,10,183.359597,2.955517,631.733798
200706,184,13,6.908521,1,190.268118,15.269599,647.003397
200707,184,13,6.908633,1,197.176751,15.922109,662.925506
200708,186,13,-2.121889,12,195.054862,-2.122769,660.802737
200709,192,13,6.908755,1,201.963617,39.368125,700.170862
200710,183,13,6.908755,1,208.872371,22.838091,723.008954
200711,185,13,6.908755,1,215.781126,35.000129,758.009083
200712,186,13,6.896371,1,222.677497,11.292885,769.301968
200801,178,12,6.908755,1,229.586251,89.755056,859.057024
200802,179,12,6.908755,1,236.495006,90.076824,949.133848
200803,178,12,6.908755,1,243.403761,27.769926,976.903773
200804,177,12,6.908646,1,250.312407,16.033779,992.937552
200805,177,12,6.908755,1,257.221162,41.583475,1034.521027
200806,178,12,6.908755,1,264.129916,22.461962,1056.982989
200807,176,12,6.908740,1,271.038657,18.043802,1075.026791
200808,176,12,6.852774,1,277.891431,9.762389,1084.789180
200809,173,12,-11.559294,381,266.332137,-11.560293,1073.228887
200810,172,12,4.959914,3,271.292051,5.112578,1078.341465
200811,173,12,-7.612650,26,263.679401,-7.613649,1070.727816
200812,103,7,-12.131654,744,251.547747,-12.132654,1058.595162
200901,101,7,-4.234659,47,247.313088,-4.235644,1054.359518
200902,104,7,-8.145432,217,239.167656,-8.146431,1046.213087
200903,126,9,1.356577,4,240.524233,1.359464,1047.572551
200904,132,9,6.908751,1,247.432984,19.423761,1066.996311
200905,134,9,6.907826,1,254.340810,13.888616,1080.884928
200906,129,9,6.879043,1,261.219852,10.409062,1091.293990
200907,131,9,6.176440,1,267.396292,6.830897,1098.124886
200908,132,9,6.890054,1,274.286347,10.877606,1109.002492
200909,134,9,6.553540,1,280.839887,7.759928,1116.762421
200910,138,10,6.814447,1,287.654334,9.221424,1125.983844
200911,141,10,6.360277,1,294.014611,7.221622,1133.205466
200912,144,10,4.306068,2,298.320679,4.382030,1137.587496
201001,141,10,4.479558,1,302.800237,4.570791,1142.158287
201002,156,11,5.328444,1,308.128680,5.558004,1147.716292
201003,158,11,2.197057,1,310.325737,2.205088,1149.921379
201004,157,11,0.203672,243,310.529409,0.203898,1150.125277
201005,159,11,2.436615,16,312.966025,2.447104,1152.572382
201006,156,11,6.040914,1,319.006938,6.584395,1159.156776
201007,160,11,6.906541,1,325.913479,13.019687,1172.176463
201008,161,11,6.908583,1,332.822062,15.576985,1187.753448
201009,163,11,6.908755,1,339.730817,23.536119,1211.289567
201010,163,11,6.908739,1,346.639557,17.987230,1229.276798
201011,165,11,2.592864,13,349.232420,2.605309,1231.882107
201012,165,11,-1.591615,323,347.640805,-1.592411,1230.289696
201101,165,11,5.750975,1,353.391780,6.127120,1236.416815
201102,174,12,4.829001,1,358.220781,4.961488,1241.378303
201103,173,12,6.848587,1,365.069367,9.688133,1251.066436
201104,175,12,5.622089,1,370.691456,5.944315,1257.010751
201105,177,12,6.639563,1,377.331020,8.082475,1265.093227
201106,181,13,6.781202,1,384.112222,8.902529,1273.995755
201107,181,13,5.566463,1,389.678685,5.868254,1279.864009
201108,182,13,6.908633,1,396.587318,15.922111,1295.786120
201109,182,13,6.908302,1,403.495620,14.607375,1310.393495
201110,186,13,6.908755,1,410.404374,27.631190,1338.024685
201111,160,11,6.903680,1,417.308055,12.188735,1350.213420
201112,159,11,6.908755,1,424.216809,37.362438,1387.575858
201201,159,11,6.908755,1,431.125564,28.490688,1416.066546
201202,160,11,6.908755,1,438.034319,24.195986,1440.262532
201203,161,11,6.802493,1,444.836812,9.096003,1449.358536
201204,158,11,6.040709,1,450.877521,6.584041,1455.942577
201205,169,12,6.901136,1,457.778657,11.781098,1467.723675
201206,172,12,6.908263,1,464.686919,14.524480,1482.248155
201207,178,12,6.908755,1,471.595674,26.309983,1508.558138
201208,170,12,6.908685,1,478.504359,16.472792,1525.030930
201209,177,12,4.982038,1,483.486397,5.138425,1530.169354
201210,175,12,2.671883,6,486.158280,2.685442,1532.854796
201211,177,12,6.810312,1,492.968592,9.176407,1542.031204
201212,173,12,-3.406682,690,489.561910,-3.407648,1538.623556
201301,173,12,3.777296,6,493.339206,3.820932,1542.444488
201302,180,12,-1.713891,238,491.625315,-1.714711,1540.729777
201303,182,13,6.786690,1,498.412005,8.949304,1549.679081
201304,175,12,6.115141,1,504.527146,6.716001,1556.395082
201305,177,12,6.908755,1,511.435901,28.046900,1584.441982
201306,190,13,6.908755,1,518.344656,57.472389,1641.914371
201307,193,13,6.908755,1,525.253411,70.949377,1712.863748
201308,194,13,6.908755,1,532.162166,81.563210,1794.426959
201309,197,14,6.908755,1,539.070920,85.391345,1879.818304
201310,198,14,6.908755,1,545.979675,61.967955,1941.786259
201311,200,14,6.908755,1,552.888430,50.582172,1992.368431
201312,219,15,6.908755,1,559.797185,58.593521,2050.961951
201401,216,15,6.908721,1,566.705906,17.207619,2068.169571
201402,218,15,6.864787,1,573.570693,10.009988,2078.179558
201403,215,15,6.884394,1,580.455086,10.610317,2088.789876
201404,214,15,-0.989672,64,579.465414,-0.990300,2087.799576
201405,216,15,0.255893,37,579.721307,0.256184,2088.055760
201406,231,16,-0.162837,19,579.558470,-0.162987,2087.892773
201407,234,16,6.894518,1,586.452988,11.152569,2099.045342
201408,236,16,6.908755,1,593.361743,33.819441,2132.864783
201409,237,16,6.908650,1,600.270393,16.072261,2148.937044
201410,235,16,6.908685,1,607.179078,16.471796,2165.408840
201411,234,16,6.908755,1,614.087832,23.525571,2188.934411
201412,236,16,6.908755,1,620.996587,43.747873,2232.682284
201501,231,16,6.908755,1,627.905342,123.248714,2355.930998
201502,227,16,6.908755,1,634.814097,55.142947,2411.073946
201503,229,16,6.908755,1,641.722852,34.196988,2445.270933
201504,246,17,-8.458750,45,633.264102,-8.459749,2436.811184
201505,241,17,1.386960,5,634.651062,1.389968,2438.201152
201506,251,17,4.163281,3,638.814342,4.228654,2442.429805
201507,252,17,6.890625,1,645.704967,10.908879,2453.338684
201508,252,17,6.908755,1,652.613722,23.924606,2477.263290
201509,254,17,6.908751,1,659.522473,19.381804,2496.645094
201510,253,17,6.908755,1,666.431228,23.796318,2520.441412
201511,252,17,-9.318741,377,657.112487,-9.319741,2511.121672
201512,258,18,-8.981532,346,648.130955,-8.982531,2502.139141
201601,251,17,-6.364030,153,641.766925,-6.365028,2495.774113
201602,226,16,6.904871,1,648.671796,12.456745,2508.230857
201603,234,16,6.908755,1,655.580550,22.674708,2530.905565
201604,243,17,6.908755,1,662.489305,29.334328,2560.239893
201605,244,17,6.908755,1,669.398060,26.907968,2587.147860
201606,252,17,6.908755,1,676.306815,54.954873,2642.102733
201607,253,17,6.908755,1,683.215569,57.969921,2700.072654
201608,257,18,6.908755,1,690.124324,69.643642,2769.716296
201609,258,18,6.908755,1,697.033079,44.889870,2814.606167
201610,257,18,1.319316,33,698.352395,1.322061,2815.928227
201611,258,18,6.908754,1,705.261149,21.162133,2837.090360
201612,259,18,5.537593,2,710.798742,5.829370,2842.919731
201701,259,18,6.908755,1,717.707496,23.948551,2866.868282
201702,264,18,6.785841,1,724.493337,8.941939,2875.810221
201703,269,18,-9.088075,838,715.405262,-9.089075,2866.721146
201704,264,18,-1.182781,159,714.222481,-1.183475,2865.537671
201705,245,17,1.108295,41,715.330775,1.110326,2866.647997
201706,254,17,0.599301,33,715.930077,0.600123,2867.248120
201707,255,17,6.907692,1,722.837769,13.754424,2881.002543
201708,256,18,6.908430,1,729.746199,14.939180,2895.941723
201709,258,18,6.907721,1,736.653920,13.782198,2909.723922
201710,261,18,6.908755,1,743.562675,24.326567,2934.050488
201711,264,18,6.908755,1,750.471430,45.897902,2979.948390
201712,239,16,6.908755,1,757.380185,74.679373,3054.627764
201801,243,17,6.908755,1,764.288939,106.992834,3161.620597
201802,249,17,6.908755,1,771.197694,98.307060,3259.927657
201803,247,17,6.908755,1,778.106449,99.990407,3359.918064
201804,235,16,6.908755,1,785.015204,56.630067,3416.548131
201805,239,16,6.908755,1,791.923958,31.856298,3448.404429
201806,244,17,6.908755,1,798.832713,27.074101,3475.478530
201807,261,18,6.908755,1,805.741468,44.350602,3519.829132
201808,264,18,6.908755,1,812.650223,26.888423,3546.717554
201809,263,18,6.908754,1,819.558976,20.528926,3567.246480
201810,274,19,0.549927,12,820.108903,0.550660,3567.797141
201811,282,19,1.270575,32,821.379479,1.273141,3569.070282
201812,282,19,-1.097180,78,820.282299,-1.097846,3567.972436
201901,281,19,6.908755,1,827.191053,32.508780,3600.481216
201902,275,19,6.908755,1,834.099808,44.626124,3645.107341
201903,277,19,6.908755,1,841.008563,76.924553,3722.031894
201904,282,19,6.908755,1,847.917318,80.558895,3802.590788
201905,284,19,6.908755,1,854.826073,70.198384,3872.789172
201906,286,20,6.908755,1,861.734827,84.194609,3956.983781
