date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,17,2,0.000000,1001,0.000000,0.000000,0.000000
200302,20,2,0.000000,1001,0.000000,0.000000,0.000000
200303,20,2,0.000000,1001,0.000000,0.000000,0.000000
200304,20,2,0.000000,1001,0.000000,0.000000,0.000000
200305,21,2,0.000000,1001,0.000000,0.000000,0.000000
200306,23,2,0.000000,1001,0.000000,0.000000,0.000000
200307,24,2,0.000000,1001,0.000000,0.000000,0.000000
200308,24,2,0.000000,1001,0.000000,0.000000,0.000000
200309,26,2,0.000000,1001,0.000000,0.000000,0.000000
200310,26,2,0.000000,1001,0.000000,0.000000,0.000000
200311,25,2,0.000000,1001,0.000000,0.000000,0.000000
200312,25,2,0.000000,1001,0.000000,0.000000,0.000000
200401,27,2,0.000000,1001,0.000000,0.000000,0.000000
200402,28,2,0.000000,1001,0.000000,0.000000,0.000000
200403,29,2,0.000000,1001,0.000000,0.000000,0.000000
200404,27,2,0.000000,1001,0.000000,0.000000,0.000000
200405,31,3,0.370702,182,0.370702,0.371151,0.371151
200406,33,3,1.193290,52,1.563991,1.195590,1.566741
200407,34,3,0.962649,76,2.526640,0.964269,2.531010
200408,34,3,0.765215,98,3.291855,0.766365,3.297374
200409,33,3,1.253687,30,4.545542,1.256194,4.553568
200410,33,3,0.753316,82,5.298859,0.754441,5.308009
200411,34,3,1.561008,11,6.859867,1.564779,6.872788
200412,34,3,2.061155,2,8.921022,2.068034,8.940822
200501,36,3,3.792828,1,12.713850,3.837179,12.778001
200502,36,3,5.444257,1,18.158108,5.706174,18.484176
200503,35,3,3.989033,1,22.147140,4.043491,22.527667
200504,38,3,4.119841,1,26.266981,4.182301,26.709968
200505,38,3,6.739845,1,33.006827,8.600503,35.310472
200506,38,3,6.825437,1,39.832264,9.350901,44.661373
200507,43,3,5.715619,1,45.547882,6.075975,50.737347
200508,43,3,6.086602,1,51.634484,6.664501,57.401848
200509,43,3,6.014552,1,57.649036,6.539379,63.941227
200510,43,3,-1.449432,331,56.199605,-1.450197,62.491031
200511,45,3,4.733950,1,60.933555,4.853572,67.344603
200512,45,3,6.111061,1,67.044616,6.708564,74.053167
200601,46,4,5.341165,1,72.385781,5.574051,79.627218
200602,48,4,5.610579,1,77.996360,5.928449,85.555667
200603,46,4,4.172943,1,82.169303,4.238983,89.794650
200604,46,4,0.917184,16,83.086487,0.918687,90.713337
200605,47,4,-0.586546,693,82.499941,-0.586990,90.126347
200606,47,4,1.061572,24,83.561512,1.063464,91.189811
200607,48,4,1.150007,16,84.711519,1.152168,92.341979
