date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,70,5,0.000000,1001,0.000000,0.000000,0.000000
200302,74,5,0.000000,1001,0.000000,0.000000,0.000000
200303,78,6,0.000000,1001,0.000000,0.000000,0.000000
200304,80,6,0.000000,1001,0.000000,0.000000,0.000000
200305,80,6,-2.317879,879,-2.317879,-2.318780,-2.318780
200306,85,6,-0.372637,400,-2.690516,-0.372948,-2.691728
200307,86,6,-0.443891,438,-3.134407,-0.444249,-3.135977
200308,88,6,-0.057196,402,-3.191602,-0.057251,-3.193229
200309,94,7,-0.507862,709,-3.699465,-0.508261,-3.701489
200310,97,7,0.000000,1001,-3.699465,0.000000,-3.701489
200311,98,7,0.000000,1001,-3.699465,0.000000,-3.701489
200312,96,7,0.000000,1001,-3.699465,0.000000,-3.701489
200401,106,8,0.015680,235,-3.683785,0.015696,-3.685794
200402,101,7,0.000000,1001,-3.683785,0.000000,-3.685794
200403,106,8,0.000000,1001,-3.683785,0.000000,-3.685794
200404,107,8,0.000000,1001,-3.683785,0.000000,-3.685794
200405,108,8,0.000000,1001,-3.683785,0.000000,-3.685794
200406,106,8,0.000000,1001,-3.683785,0.000000,-3.685794
200407,110,8,0.000000,1001,-3.683785,0.000000,-3.685794
200408,108,8,0.157523,162,-3.526262,0.157694,-3.528100
200409,111,8,0.000000,1001,-3.526262,0.000000,-3.528100
200410,108,8,0.000000,1001,-3.526262,0.000000,-3.528100
200411,109,8,0.000000,1001,-3.526262,0.000000,-3.528100
200412,116,8,0.000000,1001,-3.526262,0.000000,-3.528100
200501,115,8,0.000000,1001,-3.526262,0.000000,-3.528100
200502,115,8,0.000000,1001,-3.526262,0.000000,-3.528100
200503,111,8,-0.555876,682,-4.082138,-0.556302,-4.084402
200504,100,7,0.000000,1001,-4.082138,0.000000,-4.084402
200505,98,7,0.298986,97,-3.783152,0.299334,-3.785068
200506,104,7,1.525571,27,-2.257581,1.529175,-2.255892
200507,105,7,1.593832,37,-0.663749,1.597762,-0.658130
200508,104,7,0.615738,87,-0.048012,0.616589,-0.041541
200509,101,7,0.121306,238,0.073294,0.121435,0.079894
200510,103,7,0.000000,1001,0.073294,0.000000,0.079894
200511,101,7,0.324432,155,0.397727,0.324816,0.404709
200512,116,8,0.144521,224,0.542248,0.144677,0.549386
200601,116,8,1.607996,35,2.150244,1.611997,2.161383
200602,116,8,0.065571,299,2.215815,0.065639,2.227022
200603,118,8,0.093382,190,2.309197,0.093480,2.320502
200604,117,8,0.000000,1001,2.309197,0.000000,2.320502
200605,120,8,0.000000,1001,2.309197,0.000000,2.320502
200606,128,9,-0.086027,403,2.223170,-0.086110,2.234392
200607,125,9,0.000000,1001,2.223170,0.000000,2.234392
200608,127,9,-0.188971,414,2.034199,-0.189143,2.045249
200609,130,9,-0.568008,460,1.466190,-0.568442,1.476807
200610,141,10,-1.573701,636,-0.107510,-1.574493,-0.097686
200611,127,9,-1.908832,897,-2.016342,-1.909683,-2.007369
200612,127,9,-0.497629,693,-2.513970,-0.498021,-2.505389
200701,123,9,-0.200873,316,-2.714843,-0.201054,-2.706444
200702,118,8,-0.335483,706,-3.050326,-0.335768,-3.042212
200703,109,8,0.000000,1001,-3.050326,0.000000,-3.042212
200704,118,8,0.418629,170,-2.631697,0.419149,-2.623063
200705,113,8,-0.233993,162,-2.865691,-0.234202,-2.857265
200706,105,7,0.000000,1001,-2.865691,0.000000,-2.857265
200707,101,7,-5.119039,676,-7.984729,-5.120032,-7.977297
200708,95,7,0.099906,69,-7.884824,0.100011,-7.877287
200709,91,7,-0.024641,789,-7.909465,-0.024666,-7.901952
200710,79,6,-4.071679,413,-11.981143,-4.072661,-11.974613
200711,77,6,-9.469250,859,-21.450393,-9.470249,-21.444862
200712,73,5,-1.565585,282,-23.015978,-1.566376,-23.011238
200801,72,5,-1.669444,254,-24.685422,-1.670255,-24.681494
200802,72,5,0.180524,125,-24.504899,0.180722,-24.500772
200803,50,4,-0.142621,868,-24.647520,-0.142754,-24.643526
200804,52,4,-0.361308,239,-25.008828,-0.361611,-25.005137
200805,55,4,-0.310111,183,-25.318939,-0.310378,-25.315515
200806,40,3,-5.393513,797,-30.712452,-5.394508,-30.710023
200807,37,3,-4.050854,617,-34.763306,-4.051836,-34.761859
200808,38,3,-2.010465,195,-36.773771,-2.011331,-36.773190
200809,38,3,-2.601432,591,-39.375204,-2.602358,-39.375548
200810,35,3,-5.799063,824,-45.174267,-5.800059,-45.175607
200811,35,3,-3.066456,531,-48.240723,-3.067409,-48.243016
200812,32,3,-3.516203,577,-51.756925,-3.517172,-51.760189
200901,32,3,-1.211491,681,-52.968416,-1.212193,-52.972382
200902,33,3,-0.461774,615,-53.430190,-0.462144,-53.434526
200903,33,3,-0.580698,771,-54.010888,-0.581138,-54.015664
200904,34,3,-0.390877,845,-54.401765,-0.391200,-54.406864
200905,33,3,-0.386107,862,-54.787872,-0.386428,-54.793292
200906,34,3,-0.011448,388,-54.799320,-0.011459,-54.804751
200907,35,3,-0.143163,926,-54.942483,-0.143296,-54.948047
200908,38,3,-0.006550,468,-54.949033,-0.006557,-54.954604
200909,39,3,0.000000,1001,-54.949033,0.000000,-54.954604
200910,39,3,0.000000,1001,-54.949033,0.000000,-54.954604
200911,42,3,0.000000,1001,-54.949033,0.000000,-54.954604
200912,50,4,0.000000,1001,-54.949033,0.000000,-54.954604
201001,55,4,0.000000,1001,-54.949033,0.000000,-54.954604
201002,58,4,0.010301,356,-54.938732,0.010311,-54.944292
201003,59,4,-0.728056,809,-55.666788,-0.728573,-55.672865
201004,66,5,1.295692,29,-54.371096,1.298349,-54.374516
201005,66,5,-1.183539,700,-55.554635,-1.184232,-55.558749
201006,67,5,0.000000,1001,-55.554635,0.000000,-55.558749
201007,69,5,-0.427838,604,-55.982473,-0.428186,-55.986935
201008,81,6,0.000000,1001,-55.982473,0.000000,-55.986935
201009,91,7,0.000000,1001,-55.982473,0.000000,-55.986935
201010,104,7,0.067264,273,-55.915209,0.067334,-55.919601
201011,106,8,0.851869,56,-55.063340,0.853214,-55.066387
201012,109,8,0.391100,166,-54.672240,0.391579,-54.674809
201101,109,8,0.000000,1001,-54.672240,0.000000,-54.674809
201102,106,8,-0.145986,736,-54.818226,-0.146122,-54.820931
201103,107,8,0.453434,100,-54.364792,0.454008,-54.366923
201104,107,8,0.217006,155,-54.147787,0.217248,-54.149675
201105,104,7,-0.608831,462,-54.756618,-0.609287,-54.758962
201106,107,8,0.000000,1001,-54.756618,0.000000,-54.758962
201107,106,8,0.067409,312,-54.689209,0.067478,-54.691484
201108,110,8,0.223652,77,-54.465557,0.223902,-54.467581
201109,116,8,-0.612339,824,-55.077896,-0.612796,-55.080378
201110,119,8,-0.230741,648,-55.308637,-0.230947,-55.311325
201111,126,9,0.000000,1001,-55.308637,0.000000,-55.311325
201112,124,9,0.000000,1001,-55.308637,0.000000,-55.311325
201201,125,9,0.000000,1001,-55.308637,0.000000,-55.311325
201202,127,9,0.000000,1001,-55.308637,0.000000,-55.311325
201203,133,9,0.000000,1001,-55.308637,0.000000,-55.311325
201204,135,9,0.000000,1001,-55.308637,0.000000,-55.311325
201205,132,9,0.020070,188,-55.288567,0.020091,-55.291234
201206,136,10,0.000000,1001,-55.288567,0.000000,-55.291234
201207,141,10,0.000000,1001,-55.288567,0.000000,-55.291234
201208,136,10,0.000000,1001,-55.288567,0.000000,-55.291234
201209,155,11,0.000000,1001,-55.288567,0.000000,-55.291234
201210,162,11,0.000000,1001,-55.288567,0.000000,-55.291234
201211,164,11,0.000000,1001,-55.288567,0.000000,-55.291234
201212,167,12,0.000000,1001,-55.288567,0.000000,-55.291234
201301,166,12,0.000000,1001,-55.288567,0.000000,-55.291234
201302,162,11,0.000000,1001,-55.288567,0.000000,-55.291234
201303,158,11,0.000000,1001,-55.288567,0.000000,-55.291234
201304,167,12,0.000000,1001,-55.288567,0.000000,-55.291234
201305,158,11,0.000000,1001,-55.288567,0.000000,-55.291234
201306,158,11,0.000000,1001,-55.288567,0.000000,-55.291234
201307,166,12,3.851201,1,-51.437366,3.898344,-51.392890
201308,166,12,6.468725,1,-44.968641,7.500598,-43.892292
201309,180,12,6.906302,1,-38.062339,12.917099,-30.975193
201310,171,12,0.569292,108,-37.493047,0.570059,-30.405133
201311,175,12,-0.103973,121,-37.597020,-0.104072,-30.509205
201312,174,12,0.734089,67,-36.862931,0.735173,-29.774032
201401,178,12,-0.326553,209,-37.189484,-0.326832,-30.100863
201402,176,12,-0.463172,272,-37.652656,-0.463543,-30.564406
201403,170,12,-0.491007,220,-38.143663,-0.491395,-31.055801
201404,173,12,0.799445,93,-37.344218,0.800670,-30.255131
201405,169,12,0.611652,90,-36.732566,0.612496,-29.642635
201406,167,12,1.282272,20,-35.450293,1.284881,-28.357754
201407,185,13,0.287823,147,-35.162471,0.288156,-28.069598
201408,188,13,1.436847,11,-33.725624,1.440060,-26.629538
201409,194,13,2.287848,14,-31.437776,2.296741,-24.332797
201410,191,13,1.682802,36,-29.754973,1.687193,-22.645605
201411,187,13,2.012989,8,-27.741985,2.019496,-20.626109
201412,185,13,2.745665,5,-24.996320,2.760347,-17.865762
201501,174,12,-0.028589,501,-25.024909,-0.028617,-17.894380
201502,180,12,0.433936,113,-24.590974,0.434479,-17.459901
201503,176,12,0.871584,38,-23.719389,0.872976,-16.586925
201504,164,11,0.737291,67,-22.982099,0.738382,-15.848543
201505,157,11,-0.325944,161,-23.308043,-0.326222,-16.174766
201506,149,10,-0.010136,214,-23.318179,-0.010146,-16.184912
201507,150,10,1.337187,35,-21.980992,1.340000,-14.844912
201508,151,11,-0.715677,258,-22.696669,-0.716188,-15.561100
201509,157,11,-3.572986,278,-26.269655,-3.573958,-19.135058
201510,154,11,0.324394,149,-25.945261,0.324777,-18.810281
201511,148,10,1.034493,60,-24.910768,1.036308,-17.773973
201512,150,10,-2.547391,154,-27.458160,-2.548313,-20.322285
201601,147,10,0.318811,39,-27.139349,0.319187,-20.003099
201602,160,11,-13.468607,543,-40.607956,-13.469607,-33.472705
201603,161,11,-2.891150,90,-43.499105,-2.892094,-36.364799
201604,160,11,1.339857,45,-42.159248,1.342680,-35.022119
201605,160,11,1.612486,23,-40.546762,1.616509,-33.405610
201606,160,11,-1.141756,411,-41.688519,-1.142437,-34.548047
201607,166,12,0.982393,66,-40.706125,0.984065,-33.563982
201608,161,11,2.959569,3,-37.746557,2.978028,-30.585954
201609,152,11,5.937551,1,-31.809005,6.412376,-24.173578
201610,147,10,1.250667,66,-30.558338,1.253163,-22.920415
201611,147,10,2.468205,11,-28.090133,2.479065,-20.441350
201612,149,10,0.718077,110,-27.372056,0.719128,-19.722222
201701,166,12,2.254299,22,-25.117757,2.262865,-17.459358
201702,151,11,1.973436,19,-23.144320,1.979651,-15.479706
201703,153,11,0.751860,37,-22.392461,0.752981,-14.726725
201704,154,11,0.000000,1001,-22.392461,0.000000,-14.726725
201705,159,11,-0.056789,863,-22.449250,-0.056844,-14.783570
201706,161,11,-0.546130,719,-22.995380,-0.546551,-15.330121
201707,161,11,0.000000,1001,-22.995380,0.000000,-15.330121
201708,162,11,0.000000,1001,-22.995380,0.000000,-15.330121
201709,162,11,0.000000,1001,-22.995380,0.000000,-15.330121
201710,163,11,0.000000,1001,-22.995380,0.000000,-15.330121
201711,178,12,0.000000,1001,-22.995380,0.000000,-15.330121
201712,176,12,0.005908,422,-22.989472,0.005914,-15.324206
201801,166,12,0.168866,152,-22.820606,0.169050,-15.155157
