date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,88,6,0.000000,1001,0.000000,0.000000,0.000000
200302,100,7,-0.390591,940,-0.390591,-0.390915,-0.390915
200303,102,7,0.000000,1001,-0.390591,0.000000,-0.390915
200304,102,7,0.000000,1001,-0.390591,0.000000,-0.390915
200305,118,8,0.000000,1001,-0.390591,0.000000,-0.390915
200306,124,9,0.000000,1001,-0.390591,0.000000,-0.390915
200307,137,10,3.463371,1,3.072779,3.494783,3.103869
200308,143,10,1.750606,11,4.823385,1.755375,4.859244
200309,148,10,0.555092,128,5.378477,0.555835,5.415079
200310,150,10,2.215107,4,7.593585,2.223303,7.638382
200311,152,11,0.484436,124,8.078021,0.485060,8.123441
200312,150,10,-0.270256,388,7.807765,-0.270493,7.852948
200401,139,10,-0.051583,381,7.756182,-0.051633,7.801315
200402,143,10,0.213100,217,7.969282,0.213337,8.014653
200403,139,10,0.000000,1001,7.969282,0.000000,8.014653
200404,135,9,0.434461,170,8.403743,0.435006,8.449658
200405,140,10,-0.313730,325,8.090013,-0.313999,8.135659
200406,146,10,1.002912,49,9.092926,1.004640,9.140300
200407,152,11,-1.718185,465,7.374741,-1.719005,7.421295
200408,153,11,0.211720,157,7.586461,0.211956,7.633250
200409,155,11,0.000000,1001,7.586461,0.000000,7.633250
200410,162,11,-0.403793,304,7.182668,-0.404125,7.229125
200411,167,12,-0.307048,338,6.875620,-0.307312,6.921813
200412,163,11,2.337592,8,9.213212,2.346992,9.268805
200501,164,11,0.167537,171,9.380749,0.167719,9.436524
200502,169,12,1.988183,1,11.368932,1.994505,11.431030
200503,172,12,-0.593102,776,10.775831,-0.593549,10.837481
200504,187,13,0.271418,141,11.047248,0.271729,11.109210
200505,196,14,-1.386107,342,9.661141,-1.386856,9.722354
200506,190,13,2.250518,20,11.911660,2.259047,11.981401
200507,190,13,1.622144,23,13.533803,1.626216,13.607617
200508,190,13,3.711538,2,17.245342,3.752274,17.359891
200509,197,14,1.816906,13,19.062248,1.822072,19.181963
200510,194,13,1.284229,59,20.346476,1.286844,20.468807
200511,197,14,-1.185972,230,19.160504,-1.186667,19.282140
200512,165,11,0.846288,57,20.006792,0.847620,20.129760
200601,164,11,-0.182101,126,19.824691,-0.182268,19.947492
200602,171,12,2.546019,10,22.370710,2.557845,22.505337
200603,168,12,1.080445,57,23.451155,1.082393,23.587730
200604,158,11,1.639859,27,25.091014,1.644022,25.231752
200605,152,11,3.054357,4,28.145370,3.074771,28.306523
200606,142,10,0.686432,72,28.831803,0.687420,28.993943
200607,141,10,-3.046507,583,25.785296,-3.047459,25.946484
200608,140,10,-1.143302,252,24.641994,-1.143983,24.802501
200609,142,10,-0.669219,140,23.972775,-0.669707,24.132794
200610,143,10,-0.852781,279,23.119994,-0.853354,23.279440
