date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,393,27,6.908665,1,6.908665,16.228836,16.228836
200302,409,28,6.908753,1,13.817418,20.034563,36.263399
200303,419,28,6.908743,1,20.726161,18.293182,54.556581
200304,435,29,6.908755,1,27.634916,28.657118,83.213699
200305,427,29,6.908755,1,34.543671,27.524743,110.738442
200306,437,30,6.908755,1,41.452426,40.301498,151.039940
200307,442,30,6.908755,1,48.361181,64.496998,215.536938
200308,444,30,6.908755,1,55.269935,55.917406,271.454344
200309,451,31,6.908755,1,62.178690,46.666563,318.120907
200310,433,29,6.908755,1,69.087445,41.379944,359.500851
200311,437,30,6.908755,1,75.996200,31.523648,391.024499
200312,442,30,6.908755,1,82.904954,28.823074,419.847572
200401,441,30,6.906635,1,89.811590,13.063320,432.910893
200402,445,30,6.908713,1,96.720303,16.997866,449.908759
200403,438,30,6.908755,1,103.629058,25.155408,475.064167
200404,440,30,5.830281,1,109.459339,6.244971,481.309138
200405,435,29,2.514601,7,111.973941,2.526028,483.835166
200406,436,30,5.974333,1,117.948273,6.472251,490.307417
200407,432,29,-3.673656,189,114.274618,-3.674630,486.632788
200408,431,29,4.702937,2,118.977555,4.818652,491.451440
200409,441,30,6.796615,1,125.774170,9.039167,500.490607
200410,437,30,6.908755,1,132.682925,29.175322,529.665929
200411,434,29,6.908755,1,139.591679,81.616940,611.282869
200412,423,29,6.908755,1,146.500434,106.033030,717.315899
200501,425,29,6.908755,1,153.409189,166.058559,883.374458
200502,427,29,6.908755,1,160.317944,204.563405,1087.937864
200503,411,28,6.908755,1,167.226699,162.337949,1250.275812
200504,404,27,6.908755,1,174.135453,120.831954,1371.107766
200505,402,27,6.908755,1,181.044208,164.862794,1535.970560
200506,397,27,6.908755,1,187.952963,166.856151,1702.826711
200507,403,27,6.908755,1,194.861718,128.028011,1830.854722
200508,405,27,6.908755,1,201.770472,120.915092,1951.769814
200509,404,27,6.908755,1,208.679227,74.754070,2026.523884
200510,414,28,6.908753,1,215.587980,20.306380,2046.830264
200511,411,28,6.908755,1,222.496735,40.156082,2086.986347
200512,411,28,6.902833,1,229.399568,12.033861,2099.020207
200601,413,28,6.908755,1,236.308323,22.876080,2121.896287
200602,424,29,6.908754,1,243.217077,21.259331,2143.155618
200603,419,28,1.978460,5,245.195537,1.984711,2145.140329
200604,424,29,-0.367322,60,244.828215,-0.367630,2144.772700
200605,416,28,-3.072327,48,241.755888,-3.073280,2141.699420
200606,410,28,-16.906675,884,224.849213,-16.907675,2124.791745
200607,416,28,-18.186139,926,206.663074,-18.187138,2106.604607
200608,417,28,0.040134,3,206.703208,0.040175,2106.644781
200609,416,28,6.908747,1,213.611955,18.647935,2125.292716
