date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,349,24,2.702055,7,2.702055,2.716063,2.716063
200302,351,24,-0.338413,832,2.363642,-0.338700,2.377363
200303,355,24,2.738149,9,5.101791,2.752712,5.130075
200304,360,24,-1.138856,61,3.962935,-1.139535,3.990540
200305,371,25,4.651498,2,8.614433,4.761025,8.751565
200306,383,26,0.155498,104,8.769931,0.155666,8.907231
200307,395,27,3.088474,6,11.858405,3.109640,12.016871
200308,401,27,1.319545,10,13.177950,1.322291,13.339162
200309,412,28,3.350084,3,16.528034,3.377975,16.717136
200310,406,28,5.771520,1,22.299554,6.157219,22.874356
200311,416,28,2.026694,18,24.326248,2.033305,24.907661
200312,421,29,1.303288,48,25.629536,1.305973,26.213634
200401,429,29,4.188849,1,29.818385,4.256001,30.469635
200402,426,29,5.363083,2,35.181468,5.601825,36.071460
200403,428,29,2.186200,11,37.367668,2.194133,38.265592
200404,423,29,1.539944,28,38.907612,1.543615,39.809207
200405,423,29,1.266579,42,40.174191,1.269131,41.078338
200406,424,29,0.000000,1001,40.174191,0.000000,41.078338
200407,425,29,2.843647,9,43.017837,2.859957,43.938295
200408,428,29,-0.144193,652,42.873644,-0.144328,43.793967
200409,439,30,5.920524,2,48.794168,6.385113,50.179080
200410,436,30,3.070818,1,51.864986,3.091592,53.270672
200411,444,30,4.164374,1,56.029360,4.229822,57.500494
200412,445,30,-0.718373,577,55.310987,-0.718885,56.781609
200501,444,30,6.908738,1,62.219725,17.909662,74.691271
200502,443,30,6.896618,1,69.116343,11.313159,86.004429
200503,438,30,6.893635,1,76.009978,11.091936,97.096365
200504,436,30,6.908755,1,82.918732,33.243306,130.339671
200505,431,29,6.908755,1,89.827487,32.057714,162.397385
200506,438,30,6.908755,1,96.736242,74.176891,236.574275
200507,442,30,6.908755,1,103.644997,32.803447,269.377723
200508,439,30,6.908755,1,110.553751,49.332159,318.709881
200509,449,30,6.908755,1,117.462506,64.031610,382.741491
200510,455,31,6.908754,1,124.371260,20.633671,403.375162
200511,455,31,6.908755,1,131.280015,30.883834,434.258996
200512,446,30,6.908755,1,138.188769,35.068827,469.327824
200601,430,29,6.908755,1,145.097524,30.624584,499.952408
200602,434,29,6.908755,1,152.006279,26.492577,526.444985
200603,434,29,5.048089,1,157.054368,5.216181,531.661166
200604,431,29,6.908721,1,163.963089,17.202895,548.864061
200605,433,29,6.878825,1,170.841913,10.401653,559.265713
200606,421,29,6.755016,1,177.596930,8.702404,567.968117
200607,423,29,6.811533,1,184.408463,9.189512,577.157629
200608,414,28,-1.498737,503,182.909726,-1.499513,575.658116
200609,415,28,4.875131,1,187.784858,5.014384,580.672500
200610,380,26,-1.124212,555,186.660646,-1.124887,579.547613
200611,389,26,1.176864,59,187.837509,1.179110,580.726723
200612,380,26,4.970767,1,192.808276,5.125244,585.851967
200701,378,26,6.633512,1,199.441788,8.057082,593.909050
200702,356,24,-0.014396,33,199.427392,-0.014410,593.894640
200703,353,24,5.618526,1,205.045918,5.939397,599.834036
200704,367,25,-2.165356,495,202.880563,-2.166241,597.667796
200705,371,25,6.018651,1,208.899214,6.546324,604.214120
200706,370,25,6.908755,1,215.807969,36.670997,640.885117
200707,362,25,6.908755,1,222.716723,31.753867,672.638985
200708,356,24,6.908755,1,229.625478,69.262769,741.901754
200709,364,25,6.908755,1,236.534233,75.694074,817.595828
200710,386,26,6.908755,1,243.442988,84.548614,902.144442
200711,379,26,6.908755,1,250.351742,73.411036,975.555478
200712,395,27,6.908755,1,257.260497,97.548349,1073.103827
200801,394,27,6.908755,1,264.169252,90.987771,1164.091598
200802,400,27,6.908755,1,271.078007,81.355566,1245.447164
200803,401,27,6.908755,1,277.986762,138.308700,1383.755864
200804,408,28,6.908755,1,284.895516,30.376826,1414.132690
200805,414,28,6.908755,1,291.804271,59.491615,1473.624305
200806,439,30,6.908755,1,298.713026,95.837441,1569.461747
200807,449,30,6.908755,1,305.621781,118.496094,1687.957841
200808,447,30,6.908755,1,312.530535,101.141515,1789.099356
200809,440,30,6.908752,1,319.439288,19.878608,1808.977963
200810,440,30,6.908615,1,326.347903,15.780244,1824.758207
200811,446,30,6.908755,1,333.256657,39.900781,1864.658988
200812,518,35,6.908755,1,340.165412,36.529002,1901.187990
200901,499,34,6.908755,1,347.074167,42.547239,1943.735229
200902,506,34,6.908755,1,353.982922,56.539382,2000.274612
200903,529,36,6.908755,1,360.891676,157.694696,2157.969307
200904,527,36,6.908755,1,367.800431,85.112282,2243.081590
200905,538,36,6.894731,1,374.695163,11.167764,2254.249354
200906,561,38,6.908304,1,381.603466,14.611012,2268.860366
200907,575,39,6.757629,1,388.361095,8.720881,2277.581248
200908,593,40,6.901236,1,395.262331,11.794403,2289.375650
200909,606,41,6.908755,1,402.171086,24.655207,2314.030857
200910,604,41,6.319588,1,408.490674,7.127796,2321.158653
200911,601,41,6.906267,1,415.396941,12.902909,2334.061562
200912,622,42,2.602361,3,417.999302,2.614935,2336.676497
201001,626,42,6.804570,1,424.803871,9.116798,2345.793295
201002,638,43,2.793618,3,427.597489,2.809077,2348.602372
201003,637,43,5.729677,1,433.327166,6.096214,2354.698586
201004,644,43,0.268885,129,433.596051,0.269194,2354.967780
201005,641,43,-0.567705,914,433.028346,-0.568138,2354.399642
201006,648,44,2.226443,6,435.254789,2.234744,2356.634386
201007,669,45,3.076078,6,438.330867,3.096968,2359.731354
201008,667,45,3.430402,4,441.761270,3.460747,2363.192101
201009,689,46,5.375217,1,447.136487,5.617272,2368.809374
201010,703,47,4.796927,1,451.933415,4.924917,2373.734291
201011,722,49,1.082223,70,453.015638,1.084176,2374.818467
201012,732,49,4.658113,1,457.673750,4.768415,2379.586882
201101,730,49,6.875417,1,464.549167,10.292094,2389.878976
201102,744,50,6.908755,1,471.457922,23.864496,2413.743472
201103,729,49,6.908331,1,478.366253,14.674290,2428.417762
201104,758,51,6.900265,1,485.266518,11.672345,2440.090107
201105,767,52,6.905695,1,492.172213,12.695767,2452.785875
201106,786,53,6.908704,1,499.080917,16.804675,2469.590549
201107,800,54,6.908753,1,505.989670,20.034051,2489.624600
201108,799,54,6.847065,1,512.836736,9.662396,2499.286996
201109,820,55,6.908755,1,519.745490,25.736445,2525.023440
201110,834,56,6.908748,1,526.654239,18.855957,2543.879398
201111,823,55,6.908755,1,533.562993,68.699754,2612.579152
201112,845,57,6.908755,1,540.471748,55.889360,2668.468511
201201,858,58,6.902879,1,547.374627,12.041649,2680.510160
201202,871,59,6.908705,1,554.283332,16.822038,2697.332199
201203,863,58,6.908753,1,561.192085,20.037969,2717.370168
201204,886,60,6.908755,1,568.100840,40.600226,2757.970393
201205,877,59,6.908755,1,575.009594,41.794392,2799.764786
201206,892,60,6.908755,1,581.918349,51.329924,2851.094710
201207,896,60,6.908755,1,588.827104,85.657758,2936.752468
201208,894,60,6.908755,1,595.735859,65.109984,3001.862452
201209,930,62,6.908755,1,602.644614,87.987398,3089.849850
201210,942,63,6.908755,1,609.553368,75.469529,3165.319380
201211,939,63,6.908755,1,616.462123,121.945065,3287.264445
201212,943,63,6.908755,1,623.370878,30.062034,3317.326479
201301,954,64,6.908752,1,630.279630,19.701598,3337.028077
201302,972,65,6.908477,1,637.188107,15.097951,3352.126029
201303,958,64,6.908755,1,644.096862,24.436472,3376.562501
201304,947,64,6.908611,1,651.005473,15.756604,3392.319105
201305,948,64,6.908755,1,657.914228,36.522469,3428.841574
201306,958,64,6.908755,1,664.822983,90.613555,3519.455129
201307,965,65,6.908755,1,671.731738,178.326676,3697.781806
201308,957,64,6.908755,1,678.640492,208.516439,3906.298245
201309,943,63,6.908755,1,685.549247,277.494984,4183.793229
201310,933,63,6.908755,1,692.458002,139.654208,4323.447438
201311,946,64,6.908755,1,699.366757,166.464642,4489.912080
201312,942,63,6.908755,1,706.275512,92.071018,4581.983098
201401,936,63,6.908755,1,713.184266,59.740082,4641.723179
201402,941,63,6.908755,1,720.093021,37.185982,4678.909161
201403,921,62,6.908755,1,727.001776,22.711971,4701.621133
201404,927,62,6.674515,1,733.676291,8.239762,4709.860895
201405,935,63,5.321573,1,738.997864,5.549359,4715.410254
201406,943,63,6.907620,1,745.905484,13.688629,4729.098883
201407,960,64,6.908755,1,752.814239,34.202356,4763.301238
201408,968,65,6.908755,1,759.722994,69.200882,4832.502120
201409,985,66,6.908755,1,766.631749,59.325558,4891.827679
201410,994,67,6.908755,1,773.540503,59.721791,4951.549470
201411,973,65,6.908755,1,780.449258,66.818073,5018.367543
201412,967,65,6.908755,1,787.358013,55.449965,5073.817508
201501,976,66,6.908755,1,794.266768,69.033942,5142.851450
201502,959,64,6.908755,1,801.175522,43.887278,5186.738728
201503,951,64,6.908755,1,808.084277,30.781579,5217.520307
201504,928,62,-2.976470,111,805.107807,-2.977419,5214.542888
201505,923,62,6.898756,1,812.006563,11.508066,5226.050954
201506,940,63,6.908755,1,818.915318,35.131403,5261.182357
201507,927,62,6.908755,1,825.824073,41.550489,5302.732846
201508,939,63,6.908755,1,832.732828,71.675573,5374.408418
201509,942,63,6.908755,1,839.641582,57.390527,5431.798945
201510,956,64,6.908755,1,846.550337,75.730243,5507.529188
201511,940,63,6.908755,1,853.459092,67.185880,5574.715069
