date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,55,4,0.000000,1001,0.000000,0.000000,0.000000
200302,56,4,0.000000,1001,0.000000,0.000000,0.000000
200303,59,4,0.000000,1001,0.000000,0.000000,0.000000
200304,59,4,0.000000,1001,0.000000,0.000000,0.000000
200305,50,4,0.000000,1001,0.000000,0.000000,0.000000
200306,52,4,0.000000,1001,0.000000,0.000000,0.000000
200307,54,4,0.000000,1001,0.000000,0.000000,0.000000
200308,54,4,0.000000,1001,0.000000,0.000000,0.000000
200309,53,4,0.000000,1001,0.000000,0.000000,0.000000
200310,62,5,0.000000,1001,0.000000,0.000000,0.000000
200311,62,5,0.000000,1001,0.000000,0.000000,0.000000
200312,64,5,0.000000,1001,0.000000,0.000000,0.000000
200401,67,5,0.000000,1001,0.000000,0.000000,0.000000
200402,69,5,0.000000,1001,0.000000,0.000000,0.000000
200403,67,5,0.049963,137,0.049963,0.050015,0.050015
200404,67,5,0.000000,1001,0.049963,0.000000,0.050015
200405,69,5,1.874232,35,1.924195,1.879763,1.929778
200406,73,5,0.515995,154,2.440190,0.516670,2.446448
200407,71,5,0.000502,383,2.440693,0.000503,2.446951
200408,69,5,0.185062,252,2.625754,0.185265,2.632216
200409,72,5,0.028404,372,2.654158,0.028433,2.660649
200410,71,5,0.007916,339,2.662075,0.007924,2.668573
200411,72,5,0.000000,1001,2.662075,0.000000,2.668573
200412,72,5,0.000000,1001,2.662075,0.000000,2.668573
200501,72,5,0.000000,1001,2.662075,0.000000,2.668573
200502,87,6,0.000000,1001,2.662075,0.000000,2.668573
200503,88,6,3.694510,1,6.356584,3.734526,6.403099
200504,89,6,5.597333,1,11.953918,5.910273,12.313372
200505,90,6,6.767295,1,18.721212,8.791928,21.105300
200506,93,7,6.879519,1,25.600731,10.425453,31.530753
200507,93,7,3.360110,3,28.960841,3.388296,34.919049
200508,95,7,5.803406,1,34.764246,6.204520,41.123569
200509,100,7,-0.756728,673,34.007519,-0.757259,40.366310
200510,94,7,4.005781,1,38.013300,4.061204,44.427514
200511,94,7,6.592052,1,44.605352,7.895018,52.322533
200512,95,7,2.444925,1,47.050277,2.455511,54.778043
200601,100,7,6.448128,1,53.498405,7.443784,62.221828
200602,103,7,6.906322,1,60.404727,12.925184,75.147012
200603,101,7,6.858361,1,67.263087,9.870330,85.017342
200604,103,7,3.166710,1,70.429797,3.189701,88.207043
200605,101,7,3.234166,1,73.663963,3.258854,91.465897
200606,130,9,6.710645,1,80.374609,8.426000,99.891897
200607,127,9,6.667813,1,87.042421,8.208066,108.099963
200608,134,9,6.632228,1,93.674650,8.051756,116.151719
200609,128,9,6.908479,1,100.583129,15.103691,131.255410
200610,164,11,2.003321,31,102.586450,2.009756,133.265165
200611,164,11,2.194151,22,104.780601,2.202155,135.467321
200612,159,11,4.405377,3,109.185978,4.489726,139.957047
200701,158,11,6.894088,1,116.080066,11.122589,151.079636
200702,184,13,6.908214,1,122.988280,14.429702,165.509338
200703,185,13,6.907031,1,129.895311,13.270075,178.779413
200704,185,13,6.908754,1,136.804065,21.002176,199.781589
200705,188,13,6.906853,1,143.710917,13.171627,212.953216
200706,184,13,6.908755,1,150.619672,42.298989,255.252205
200707,184,13,6.908755,1,157.528427,36.196466,291.448670
200708,186,13,6.908755,1,164.437182,45.132847,336.581518
200709,192,13,6.908755,1,171.345936,50.463264,387.044781
200710,183,13,6.908755,1,178.254691,44.099913,431.144694
200711,185,13,6.908755,1,185.163446,24.565907,455.710601
200712,186,13,6.908755,1,192.072201,40.493041,496.203642
200801,178,12,6.908755,1,198.980955,51.657623,547.861265
200802,179,12,6.908755,1,205.889710,23.405314,571.266579
200803,178,12,6.908755,1,212.798465,25.849528,597.116107
200804,177,12,6.908754,1,219.707219,21.269370,618.385478
200805,177,12,6.908755,1,226.615974,38.746104,657.131582
200806,178,12,6.908755,1,233.524729,36.338570,693.470152
200807,176,12,6.908755,1,240.433484,44.123828,737.593980
200808,176,12,6.908755,1,247.342238,35.691520,773.285500
200809,173,12,6.870526,1,254.212765,10.152755,783.438255
200810,172,12,6.908755,1,261.121519,42.060891,825.499146
200811,173,12,6.908755,1,268.030274,47.254474,872.753619
200812,103,7,2.378333,9,270.408607,2.388168,875.141787
200901,101,7,6.857417,1,277.266024,9.851313,884.993100
200902,104,7,6.908426,1,284.174450,14.926524,899.919624
200903,126,9,6.908755,1,291.083205,79.439210,979.358834
200904,132,9,6.904361,1,297.987565,12.333012,991.691846
200905,134,9,-1.957873,165,296.029692,-1.958732,989.733114
200906,129,9,0.058251,132,296.087943,0.058311,989.791425
200907,131,9,0.725175,74,296.813118,0.726241,990.517666
200908,132,9,2.022460,22,298.835579,2.029039,992.546705
200909,134,9,-0.076226,257,298.759353,-0.076300,992.470405
200910,138,10,1.256659,29,300.016012,1.259176,993.729582
200911,141,10,-0.759794,615,299.256217,-0.760326,992.969255
200912,144,10,0.680177,47,299.936395,0.681152,993.650407
201001,141,10,-0.001745,501,299.934650,-0.001746,993.648661
201002,156,11,-0.347749,394,299.586902,-0.348042,993.300619
201003,158,11,0.080370,213,299.667272,0.080454,993.381072
201004,157,11,0.082583,321,299.749854,0.082669,993.463741
201005,159,11,0.000000,1001,299.749854,0.000000,993.463741
201006,156,11,1.585829,25,301.335684,1.589720,995.053461
201007,160,11,2.322103,2,303.657787,2.331343,997.384804
201008,161,11,0.881439,9,304.539226,0.882854,998.267658
201009,163,11,0.371989,9,304.911215,0.372440,998.640098
201010,163,11,4.030225,1,308.941440,4.087085,1002.727183
201011,165,11,0.903305,77,309.844745,0.904774,1003.631957
201012,165,11,2.481925,2,312.326670,2.492950,1006.124907
201101,165,11,3.540310,2,315.866980,3.574361,1009.699268
201102,174,12,5.693437,1,321.560418,6.044290,1015.743558
201103,173,12,4.509887,2,326.070304,4.604100,1020.347658
201104,175,12,3.587093,3,329.657398,3.622854,1023.970512
201105,177,12,1.079146,42,330.736543,1.081090,1025.051602
201106,181,13,3.383870,6,334.120413,3.412768,1028.464370
201107,181,13,4.361154,2,338.481567,4.441656,1032.906027
201108,182,13,1.166067,4,339.647634,1.168279,1034.074305
201109,182,13,0.336210,115,339.983844,0.336610,1034.410915
201110,186,13,-0.021296,371,339.962548,-0.021317,1034.389598
201111,160,11,0.000000,1001,339.962548,0.000000,1034.389598
201112,159,11,0.000000,1001,339.962548,0.000000,1034.389598
201201,159,11,0.145379,22,340.107927,0.145535,1034.535133
201202,160,11,0.059719,172,340.167646,0.059780,1034.594913
201203,161,11,0.000000,1001,340.167646,0.000000,1034.594913
201204,158,11,1.475816,11,341.643461,1.479196,1036.074110
201205,169,12,2.533138,3,344.176600,2.544799,1038.618908
201206,172,12,6.794706,1,350.971306,9.021317,1047.640226
201207,178,12,6.906326,1,357.877631,12.926751,1060.566977
201208,170,12,6.905872,1,364.783503,12.755276,1073.322253
201209,177,12,6.871462,1,371.654965,10.178009,1083.500261
201210,175,12,4.987456,1,376.642421,5.144769,1088.645030
201211,177,12,6.828040,1,383.470462,9.383964,1098.028994
201212,173,12,5.087905,1,388.558367,5.263510,1103.292504
201301,173,12,4.546430,4,393.104797,4.644368,1107.936872
201302,180,12,6.640705,1,399.745502,8.087320,1116.024192
201303,182,13,6.766727,1,406.512229,8.787635,1124.811828
201304,175,12,4.130197,2,410.642426,4.193339,1129.005167
201305,177,12,6.908682,1,417.551107,16.434556,1145.439722
201306,190,13,6.908755,1,424.459862,49.588613,1195.028335
201307,193,13,6.908755,1,431.368617,52.900595,1247.928930
201308,194,13,6.908755,1,438.277372,59.973796,1307.902726
201309,197,14,6.908755,1,445.186127,91.642247,1399.544972
201310,198,14,6.908755,1,452.094881,56.155637,1455.700609
201311,200,14,6.908755,1,459.003636,62.681694,1518.382303
201312,219,15,6.908755,1,465.912391,33.892969,1552.275272
201401,216,15,6.908755,1,472.821146,25.628248,1577.903520
201402,218,15,6.907756,1,479.728902,13.816151,1591.719671
201403,215,15,6.585256,1,486.314158,7.870210,1599.589881
201404,214,15,6.826678,1,493.140836,9.366540,1608.956421
201405,216,15,6.872926,1,500.013763,10.218802,1619.175223
201406,231,16,5.547626,1,505.561389,5.842840,1625.018064
201407,234,16,6.840424,1,512.401813,9.556797,1634.574861
201408,236,16,6.908755,1,519.310568,23.482789,1658.057650
201409,237,16,6.907447,1,526.218015,13.546144,1671.603794
201410,235,16,6.905414,1,533.123428,12.607566,1684.211359
201411,234,16,6.884044,1,540.007472,10.595883,1694.807242
201412,236,16,6.908716,1,546.916188,17.065396,1711.872638
201501,231,16,6.901481,1,553.817669,11.827533,1723.700171
201502,227,16,6.908755,1,560.726423,23.116029,1746.816200
201503,229,16,6.908755,1,567.635178,23.313624,1770.129825
201504,246,17,5.317804,1,572.952982,5.544624,1775.674448
201505,241,17,-7.433978,307,565.519004,-7.434977,1768.239472
201506,251,17,6.819828,1,572.338832,9.282905,1777.522376
201507,252,17,6.908730,1,579.247562,17.508092,1795.030468
201508,252,17,6.908750,1,586.156312,19.064268,1814.094736
201509,254,17,6.889657,1,593.045969,10.856388,1824.951124
201510,253,17,6.908735,1,599.954704,17.728223,1842.679347
201511,252,17,3.099403,9,603.054107,3.120816,1845.800163
201512,258,18,6.402139,1,609.456246,7.323779,1853.123941
201601,251,17,6.570680,1,616.026927,7.818449,1860.942391
201602,226,16,-2.304229,850,613.722697,-2.305129,1858.637262
201603,234,16,-0.142686,234,613.580012,-0.142818,1858.494443
201604,243,17,6.908554,1,620.488566,15.420129,1873.914572
201605,244,17,6.908726,1,627.397292,17.372710,1891.287282
201606,252,17,6.908755,1,634.306047,24.888755,1916.176037
201607,253,17,6.908755,1,641.214801,35.701231,1951.877268
201608,257,18,6.908755,1,648.123556,36.919628,1988.796895
201609,258,18,6.908755,1,655.032311,24.056786,2012.853682
201610,257,18,6.900773,1,661.933084,11.734335,2024.588016
201611,258,18,6.908755,1,668.841838,22.033409,2046.621425
201612,259,18,6.548401,1,675.390239,7.742843,2054.364268
201701,259,18,6.908687,1,682.298926,16.501856,2070.866124
201702,264,18,6.908023,1,689.206949,14.126783,2084.992907
201703,269,18,6.906888,1,696.113837,13.190385,2098.183291
201704,264,18,3.549129,5,699.662966,3.583496,2101.766787
201705,245,17,3.718776,6,703.381742,3.759821,2105.526608
201706,254,17,5.684459,1,709.066201,6.031549,2111.558157
201707,255,17,6.855031,1,715.921231,9.804665,2121.362822
201708,256,18,6.450418,1,722.371650,7.450001,2128.812823
201709,258,18,6.907838,1,729.279488,13.902157,2142.714980
201710,261,18,6.908754,1,736.188242,21.769423,2164.484403
201711,264,18,6.908755,1,743.096997,23.167267,2187.651669
201712,239,16,6.908755,1,750.005752,29.102214,2216.753883
201801,243,17,6.908748,1,756.914500,18.818069,2235.571952
201802,249,17,6.908755,1,763.823254,40.558133,2276.130085
201803,247,17,6.908755,1,770.732009,23.402133,2299.532218
201804,235,16,6.908755,1,777.640764,48.944019,2348.476237
201805,239,16,6.908755,1,784.549519,25.113682,2373.589918
201806,244,17,6.908746,1,791.458265,18.594463,2392.184381
201807,261,18,6.908749,1,798.367014,18.912348,2411.096729
201808,264,18,6.492118,1,804.859132,7.567756,2418.664485
201809,263,18,6.186558,1,811.045690,6.850476,2425.514962
201810,274,19,-3.297249,483,807.748441,-3.298211,2422.216750
201811,282,19,-0.597260,538,807.151182,-0.597709,2421.619041
201812,282,19,5.106254,1,812.257436,5.285442,2426.904483
201901,281,19,5.475105,1,817.732541,5.746487,2432.650971
201902,275,19,6.908755,1,824.641295,47.520824,2480.171794
201903,277,19,6.908755,1,831.550050,48.647812,2528.819606
201904,282,19,6.908755,1,838.458805,81.829364,2610.648970
201905,284,19,6.908755,1,845.367560,64.353314,2675.002284
201906,286,20,6.908755,1,852.276315,39.917833,2714.920117
201907,264,18,6.908755,1,859.185069,38.040036,2752.960153
