date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,17,2,0.000000,1001,0.000000,0.000000,0.000000
200302,20,2,0.000000,1001,0.000000,0.000000,0.000000
200303,20,2,0.000000,1001,0.000000,0.000000,0.000000
200304,20,2,0.000000,1001,0.000000,0.000000,0.000000
200305,21,2,0.000000,1001,0.000000,0.000000,0.000000
200306,23,2,0.000000,1001,0.000000,0.000000,0.000000
200307,24,2,0.000000,1001,0.000000,0.000000,0.000000
200308,24,2,0.000000,1001,0.000000,0.000000,0.000000
200309,26,2,0.000000,1001,0.000000,0.000000,0.000000
200310,26,2,0.000000,1001,0.000000,0.000000,0.000000
200311,25,2,0.000000,1001,0.000000,0.000000,0.000000
200312,25,2,0.000000,1001,0.000000,0.000000,0.000000
200401,27,2,0.000000,1001,0.000000,0.000000,0.000000
200402,28,2,0.000000,1001,0.000000,0.000000,0.000000
200403,29,2,0.000000,1001,0.000000,0.000000,0.000000
200404,27,2,0.000000,1001,0.000000,0.000000,0.000000
200405,31,3,0.211275,240,0.211275,0.211510,0.211510
200406,33,3,0.000000,1001,0.211275,0.000000,0.211510
200407,34,3,0.614763,78,0.826037,0.615612,0.827122
200408,34,3,0.590011,106,1.416048,0.590815,1.417937
200409,33,3,0.963504,39,2.379552,0.965126,2.383064
200410,33,3,0.000000,1001,2.379552,0.000000,2.383064
200411,34,3,0.973135,6,3.352687,0.974782,3.357846
200412,34,3,0.000000,1001,3.352687,0.000000,3.357846
200501,36,3,0.000000,1001,3.352687,0.000000,3.357846
200502,36,3,1.988553,1,5.341240,1.994878,5.352724
200503,35,3,2.155796,1,7.497036,2.163460,7.516184
200504,38,3,0.000000,1001,7.497036,0.000000,7.516184
200505,38,3,1.466639,2,8.963674,1.469979,8.986162
200506,38,3,3.425179,1,12.388853,3.455357,12.441520
200507,43,3,1.730840,1,14.119692,1.735496,14.177016
200508,43,3,0.900036,11,15.019728,0.901497,15.078512
200509,43,3,2.499523,1,17.519252,2.510763,17.589275
200510,43,3,-0.990376,638,16.528876,-0.991004,16.598271
200511,45,3,2.534892,1,19.063768,2.546575,19.144846
200512,45,3,0.000000,1001,19.063768,0.000000,19.144846
200601,46,4,1.941069,5,21.004837,1.947053,21.091899
200602,48,4,0.414107,153,21.418944,0.414620,21.506520
200603,46,4,-1.416308,930,20.002636,-1.417065,20.089455
200604,46,4,0.452410,24,20.455047,0.452983,20.542438
200605,47,4,-1.689621,657,18.765426,-1.690436,18.852002
200606,47,4,-2.195707,994,16.569720,-2.196595,16.655407
200607,48,4,-1.262930,842,15.306790,-1.263647,15.391760
