date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,70,5,0.000000,1001,0.000000,0.000000,0.000000
200302,74,5,-0.052799,388,-0.052799,-0.052851,-0.052851
200303,78,6,0.842056,28,0.789257,0.843378,0.790527
200304,80,6,0.000000,1001,0.789257,0.000000,0.790527
200305,80,6,-2.314247,717,-1.524990,-2.315148,-1.524621
200306,85,6,-1.037134,316,-2.562124,-1.037779,-2.562400
200307,86,6,5.953375,1,3.391251,6.437966,3.875566
200308,88,6,-0.178616,307,3.212635,-0.178780,3.696787
200309,94,7,0.000000,1001,3.212635,0.000000,3.696787
200310,97,7,0.000000,1001,3.212635,0.000000,3.696787
200311,98,7,2.235848,9,5.448483,2.244238,5.941024
200312,96,7,0.099979,15,5.548462,0.100084,6.041108
200401,106,8,0.256960,235,5.805422,0.257253,6.298361
200402,101,7,0.000000,1001,5.805422,0.000000,6.298361
200403,106,8,2.548535,1,8.353957,2.560394,8.858755
200404,107,8,0.102637,220,8.456594,0.102745,8.961500
200405,108,8,0.979373,60,9.435967,0.981038,9.942537
200406,106,8,0.000000,1001,9.435967,0.000000,9.942537
200407,110,8,0.000000,1001,9.435967,0.000000,9.942537
200408,108,8,0.040947,45,9.476914,0.040989,9.983526
200409,111,8,5.016144,1,14.493058,5.178461,15.161987
200410,108,8,3.341731,1,17.834789,3.369378,18.531364
200411,109,8,3.443371,1,21.278160,3.474131,22.005496
200412,116,8,4.755102,1,26.033261,4.877467,26.882963
200501,115,8,6.360325,1,32.393586,7.221735,34.104699
200502,115,8,4.745694,1,37.139280,4.866831,38.971530
200503,111,8,5.188565,1,42.327845,5.384837,44.356367
200504,100,7,-0.201934,580,42.125912,-0.202116,44.154250
200505,98,7,1.930099,1,44.056010,1.936006,46.090257
200506,104,7,3.519401,1,47.575411,3.552714,49.642971
200507,105,7,1.963884,12,49.539295,1.970030,51.613000
200508,104,7,-1.534833,779,48.004462,-1.535618,50.077383
200509,101,7,0.493434,95,48.497896,0.494072,50.571455
200510,103,7,1.801401,3,50.299297,1.806472,52.377927
200511,101,7,0.538019,70,50.837316,0.538732,52.916659
200512,116,8,6.494781,1,57.332097,7.575592,60.492251
200601,116,8,5.945119,1,63.277216,6.424583,66.916833
200602,116,8,6.679799,1,69.957016,8.265323,75.182156
200603,118,8,2.500640,1,72.457656,2.511894,77.694050
200604,117,8,0.482580,145,72.940236,0.483200,78.177250
200605,120,8,5.125339,1,78.065575,5.308338,83.485588
200606,128,9,0.000000,1001,78.065575,0.000000,83.485588
200607,125,9,0.823076,33,78.888651,0.824354,84.309942
200608,127,9,0.310678,210,79.199328,0.311042,84.620984
200609,130,9,2.734143,1,81.933471,2.748645,87.369629
200610,141,10,5.839141,1,87.772613,6.258428,93.628056
200611,127,9,2.253289,8,90.025902,2.261845,95.889901
200612,127,9,0.535903,136,90.561804,0.536612,96.426513
200701,123,9,2.903312,1,93.465117,2.920697,99.347210
200702,118,8,4.346083,1,97.811199,4.425316,103.772526
200703,109,8,5.662780,1,103.473979,6.000981,109.773507
200704,118,8,4.341211,1,107.815190,4.420038,114.193545
200705,113,8,3.963031,1,111.778221,4.016027,118.209572
200706,105,7,0.565298,3,112.343519,0.566058,118.775630
200707,101,7,0.000000,1001,112.343519,0.000000,118.775630
200708,95,7,6.227214,1,118.570733,6.931104,125.706734
200709,91,7,6.908490,1,125.479223,15.144443,140.851177
200710,79,6,6.899492,1,132.378715,11.584877,152.436055
200711,77,6,6.690075,1,139.068790,8.316571,160.752626
200712,73,5,5.194996,1,144.263786,5.392676,166.145302
200801,72,5,6.080729,1,150.344515,6.654048,172.799350
200802,72,5,5.635929,1,155.980445,5.963488,178.762838
200803,50,4,2.172147,4,158.152592,2.179955,180.942793
200804,52,4,2.912461,4,161.065053,2.930017,183.872810
