date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,88,6,0.125102,199,0.125102,0.125235,0.125235
200302,100,7,-1.046144,624,-0.921042,-1.046792,-0.921557
200303,102,7,-2.052075,820,-2.973117,-2.052946,-2.974503
200304,102,7,1.868764,24,-1.104352,1.874260,-1.100243
200305,118,8,-1.312392,605,-2.416744,-1.313122,-2.413366
200306,124,9,-1.048466,622,-3.465211,-1.049116,-3.462481
200307,137,10,-0.202479,928,-3.667689,-0.202662,-3.665143
200308,143,10,4.275681,2,0.607992,4.349251,0.684108
200309,148,10,1.483526,2,2.091518,1.486940,2.171048
200310,150,10,0.000000,1001,2.091518,0.000000,2.171048
200311,152,11,-0.004873,343,2.086644,-0.004878,2.166170
200312,150,10,0.000000,1001,2.086644,0.000000,2.166170
200401,139,10,0.435625,132,2.522270,0.436171,2.602341
200402,143,10,0.000000,1001,2.522270,0.000000,2.602341
200403,139,10,6.466676,1,8.988945,7.494853,10.097194
200404,135,9,-0.813291,730,8.175654,-0.813848,9.283346
200405,140,10,0.170777,198,8.346431,0.170964,9.454310
200406,146,10,0.000000,1001,8.346431,0.000000,9.454310
200407,152,11,0.195327,65,8.541758,0.195543,9.649852
200408,153,11,-0.025684,706,8.516074,-0.025710,9.624143
200409,155,11,0.000000,1001,8.516074,0.000000,9.624143
200410,162,11,-0.031264,580,8.484810,-0.031295,9.592848
200411,167,12,1.638996,1,10.123806,1.643154,11.236002
200412,163,11,2.262649,1,12.386455,2.271295,13.507297
200501,164,11,0.362194,134,12.748649,0.362631,13.869928
200502,169,12,4.966386,1,17.715035,5.120129,18.990057
200503,172,12,2.092338,1,19.807374,2.099468,21.089525
200504,187,13,5.329641,1,25.137015,5.559512,26.649037
200505,196,14,6.753732,1,31.890748,8.693428,35.342465
200506,190,13,5.731940,1,37.622688,6.099484,41.441950
200507,190,13,1.281340,3,38.904028,1.283945,42.725895
200508,190,13,1.911081,1,40.815109,1.916858,44.642753
