date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive
200301,393,27,0.525135,83,0.525135,0.525826,0.525826
200302,409,28,-3.555518,792,-3.030384,-3.556489,-3.030664
200303,419,28,6.057273,1,3.026889,6.612762,3.582098
200304,435,29,0.479028,66,3.505917,0.479643,4.061741
200305,427,29,4.109670,2,7.615587,4.171468,8.233209
200306,437,30,0.275323,72,7.890911,0.275640,8.508849
200307,442,30,-4.261999,867,3.628912,-4.262984,4.245865
200308,444,30,4.564240,2,8.193152,4.664049,8.909914
200309,451,31,0.627360,77,8.820512,0.628233,9.538147
200310,433,29,1.569629,24,10.390141,1.573441,11.111588
200311,437,30,1.046978,40,11.437119,1.048829,12.160417
200312,442,30,0.000000,1001,11.437119,0.000000,12.160417
200401,441,30,0.250666,85,11.687785,0.250951,12.411368
200402,445,30,-0.668442,342,11.019343,-0.668929,11.742439
200403,438,30,0.394531,106,11.413874,0.395015,12.137454
200404,440,30,-1.289329,558,10.124545,-1.290053,10.847400
200405,435,29,0.000000,1001,10.124545,0.000000,10.847400
200406,436,30,0.399954,35,10.524499,0.400445,11.247846
200407,432,29,0.051786,142,10.576285,0.051839,11.299685
200408,431,29,0.000000,1001,10.576285,0.000000,11.299685
200409,441,30,0.000000,1001,10.576285,0.000000,11.299685
200410,437,30,0.255113,101,10.831399,0.255404,11.555089
200411,434,29,0.061034,261,10.892433,0.061097,11.616187
200412,423,29,2.762793,1,13.655227,2.777749,14.393935
200501,425,29,6.716469,1,20.371696,8.458845,22.852781
200502,427,29,6.759381,1,27.131076,8.733439,31.586219
200503,411,28,6.906246,1,34.037322,12.894520,44.480739
200504,404,27,6.806915,1,40.844237,9.140754,53.621493
200505,402,27,6.906779,1,47.751016,13.133644,66.755138
200506,397,27,6.908755,1,54.659771,40.662852,107.417990
200507,403,27,6.908755,1,61.568526,26.620894,134.038883
200508,405,27,6.908755,1,68.477280,24.673776,158.712659
200509,404,27,6.908715,1,75.385995,17.036345,175.749004
200510,414,28,2.464662,1,77.850657,2.475480,178.224484
200511,411,28,6.820633,1,84.671290,9.292401,187.516885
200512,411,28,5.427424,1,90.098714,5.684335,193.201220
200601,413,28,6.904833,1,97.003547,12.446913,205.648133
200602,424,29,6.892771,1,103.896318,11.035941,216.684074
200603,419,28,-3.179943,867,100.716375,-3.180901,213.503173
200604,424,29,2.962516,4,103.678891,2.981033,216.484207
200605,416,28,6.733037,1,110.411928,8.557489,225.041696
