date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,335.191312,335.191312,0.981062,0.159681
200308,401,27,6.908755,1,13.817510,117.256898,452.448209,0.981062,0.159681
200309,412,28,6.908755,1,20.726264,92.835435,545.283644,0.990234,0.162044
200310,406,28,6.908755,1,27.635019,72.858495,618.142139,0.969909,-0.023917
200311,416,28,6.908755,1,34.543774,45.233123,663.375262,0.969909,-0.023917
200312,421,29,6.908755,1,41.452529,86.546676,749.921938,0.969909,-0.023917
200401,429,29,6.908755,1,48.361283,114.801827,864.723766,0.960825,-0.029018
200402,426,29,6.908755,1,55.270038,153.227010,1017.950776,0.955265,-0.024858
200403,428,29,6.908755,1,62.178793,129.862689,1147.813465,0.955265,-0.024858
200404,423,29,6.908755,1,69.087548,132.846841,1280.660305,0.955265,-0.024858
200405,423,29,6.908755,1,75.996303,162.644606,1443.304911,0.960725,-0.021639
200406,424,29,6.908755,1,82.905057,23.591250,1466.896161,0.958091,-0.026083
200407,425,29,6.908755,1,89.813812,24.613573,1491.509734,0.958091,-0.026083
200408,428,29,6.908755,1,96.722567,28.746671,1520.256405,0.962856,-0.020436
200409,439,30,6.803889,1,103.526455,9.109934,1529.366339,0.961131,-0.027064
200410,436,30,-10.096616,3,93.429839,-10.097616,1519.268723,0.954100,-0.018384
200411,444,30,1.159005,4,94.588844,1.161194,1520.429917,0.941379,-0.043061
200412,445,30,6.908755,1,101.497599,69.821736,1590.251653,0.951142,-0.051722
200501,444,30,6.908755,1,108.406354,55.151679,1645.403332,0.941173,-0.085870
200502,443,30,6.908755,1,115.315108,50.924739,1696.328071,0.932859,-0.099953
200503,438,30,6.908755,1,122.223863,73.315970,1769.644040,0.935949,-0.017365
200504,436,30,6.908755,1,129.132618,45.075709,1814.719749,0.931135,-0.038835
200505,431,29,6.908755,1,136.041373,45.532502,1860.252251,0.923345,-0.036648
200506,438,30,6.876144,1,142.917516,10.314506,1870.566756,0.921342,-0.032101
200507,442,30,6.891944,1,149.809460,10.985049,1881.551805,0.914529,-0.040226
200508,439,30,-5.008804,12,144.800656,-5.009797,1876.542008,0.913727,-0.045782
200509,449,30,6.908755,1,151.709410,27.021081,1903.563089,0.920581,-0.038932
200510,455,31,6.908755,1,158.618165,45.200058,1948.763147,0.912862,-0.057881
200511,455,31,6.908755,1,165.526920,69.544710,2018.307856,0.919544,-0.038526
200512,446,30,6.908755,1,172.435675,83.516412,2101.824269,0.929483,-0.038670
200601,430,29,6.908755,1,179.344429,122.973535,2224.797804,0.931438,-0.051097
200602,434,29,6.908755,1,186.253184,54.978963,2279.776767,0.942538,-0.053599
200603,434,29,6.908755,1,193.161939,90.399220,2370.175987,0.949978,-0.059199
200604,431,29,6.908755,1,200.070694,137.891821,2508.067808,0.955631,-0.011992
200605,433,29,6.908755,1,206.979449,112.686069,2620.753877,0.965816,-0.002064
200606,421,29,6.908755,1,213.888203,29.080180,2649.834058,0.963017,0.009801
200607,423,29,6.908755,1,220.796958,52.441934,2702.275991,0.970003,0.039742
200608,414,28,6.908755,1,227.705713,22.055872,2724.331863,0.962712,0.067599
200609,415,28,6.908755,1,234.614467,28.610802,2752.942666,0.951079,-0.037107
200610,380,26,6.908755,1,241.523222,22.747411,2775.690077,0.956739,-0.137515
200611,389,26,6.908755,1,248.431977,22.110779,2797.800856,0.927295,-0.178484
200612,380,26,4.119585,2,252.551561,4.182028,2801.982884,0.904147,-0.206455
200701,378,26,6.908755,1,259.460316,59.201199,2861.184083,0.885653,-0.234993
200702,356,24,6.908755,1,266.369071,63.534453,2924.718536,0.877650,-0.234642
200703,353,24,6.908755,1,273.277825,88.295868,3013.014404,0.873889,-0.235508
200704,367,25,6.908755,1,280.186580,62.241973,3075.256377,0.846447,-0.194462
200705,371,25,6.908755,1,287.095335,62.255197,3137.511574,0.830273,-0.305352
200706,370,25,6.908755,1,294.004090,56.487613,3193.999188,0.847861,-0.020090
200707,362,25,6.908755,1,300.912845,49.174781,3243.173969,0.844607,-0.008207
200708,356,24,6.908755,1,307.821599,87.339914,3330.513883,0.837028,0.024268
200709,364,25,6.908755,1,314.730354,183.514899,3514.028782,0.843279,0.078791
200710,386,26,6.908755,1,321.639109,102.889439,3616.918222,0.840116,-0.068741
200711,379,26,6.908755,1,328.547864,224.071188,3840.989410,0.818528,-0.086468
200712,395,27,6.908755,1,335.456619,420.712216,4261.701626,0.818018,-0.096379
200801,394,27,6.908755,1,342.365373,695.857870,4957.559496,0.835458,-0.066174
200802,400,27,6.908755,1,349.274128,690.798677,5648.358173,0.821240,-0.078151
200803,401,27,6.908755,1,356.182883,799.866018,6448.224192,0.850989,-0.042082
200804,408,28,6.908755,1,363.091638,724.380388,7172.604580,0.876891,0.274713
200805,414,28,6.908755,1,370.000392,1022.985289,8195.589868,0.867685,0.356724
200806,439,29,6.908755,1,376.909147,1364.126041,9559.715910,0.876341,0.940103
200807,449,30,6.908755,1,383.817902,1582.061623,11141.777533,0.898661,0.976479
200808,447,30,6.908755,1,390.726657,1264.974464,12406.751997,0.910254,0.565104
200809,440,30,6.908755,1,397.635412,1045.906090,13452.658087,0.903115,0.312435
200810,440,30,6.908755,1,404.544166,904.231138,14356.889225,0.901575,0.281369
200811,446,30,6.908755,1,411.452921,836.281364,15193.170589,0.901747,0.251020
200812,518,35,6.908755,1,418.361676,409.906226,15603.076815,0.962693,0.025451
200901,499,34,6.908755,1,425.270431,596.436143,16199.512958,0.970146,0.146109
200902,506,34,6.908755,1,432.179185,577.869242,16777.382200,1.024316,0.144512
200903,529,36,6.908755,1,439.087940,688.462480,17465.844680,1.074083,0.122698
200904,527,36,6.908755,1,445.996695,451.161343,17917.006024,1.070025,0.053955
200905,538,36,6.908755,1,452.905450,398.495637,18315.501660,0.986493,0.015962
200906,561,38,6.908755,1,459.814205,271.279919,18586.781579,0.975047,-0.032232
200907,575,39,6.908755,1,466.722959,234.808840,18821.590419,0.983215,-0.071689
200908,593,40,6.908755,1,473.631714,213.315854,19034.906273,0.997259,-0.041577
200909,606,41,6.908755,1,480.540469,158.835605,19193.741878,0.999026,-0.042227
200910,604,41,6.908755,1,487.449224,174.991602,19368.733481,1.044606,0.038463
200911,601,41,6.908755,1,494.357978,150.270346,19519.003826,1.032547,0.042237
200912,622,42,6.908755,1,501.266733,171.648211,19690.652037,1.041579,0.059785
201001,626,42,6.908755,1,508.175488,254.224861,19944.876899,1.001449,0.077458
201002,638,43,6.908755,1,515.084243,178.054157,20122.931056,1.010210,0.075642
201003,637,43,6.908755,1,521.992998,157.835954,20280.767010,1.028561,0.089194
201004,644,43,6.908755,1,528.901752,58.613669,20339.380679,1.061183,0.103109
201005,641,43,6.908755,1,535.810507,100.349772,20439.730451,1.035090,0.102128
201006,648,44,6.908755,1,542.719262,146.765145,20586.495597,1.003547,0.096348
201007,669,45,6.908755,1,549.628017,217.318445,20803.814042,0.989192,0.083992
201008,667,45,6.908755,1,556.536771,76.097893,20879.911935,0.982939,0.078920
201009,689,46,6.908755,1,563.445526,233.038888,21112.950823,0.977934,0.083305
201010,703,47,6.908755,1,570.354281,265.852493,21378.803316,0.962940,0.080182
201011,722,49,6.908755,1,577.263036,123.766699,21502.570015,0.989169,0.067718
201012,732,49,6.908755,1,584.171791,261.252599,21763.822613,0.992665,0.064753
201101,730,49,6.908755,1,591.080545,210.063162,21973.885775,1.005880,0.053386
201102,744,50,6.908755,1,597.989300,122.602578,22096.488353,1.014515,0.052203
201103,729,49,6.908755,1,604.898055,77.480624,22173.968977,1.013501,0.042571
201104,758,51,6.908755,1,611.806810,82.857747,22256.826725,0.984263,-0.002514
201105,767,52,6.908755,1,618.715564,79.113289,22335.940014,0.986035,-0.045477
201106,786,53,6.908755,1,625.624319,111.154236,22447.094250,0.994235,-0.050516
