date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.846376,1,6.846376,9.650928,9.650928,0.945485,-0.071579
200308,54,4,-1.799885,33,5.046491,-1.800719,7.850209,0.945485,-0.071579
200309,53,4,-15.128814,238,-10.082324,-15.129814,-7.279605,0.952215,-0.037708
200310,62,5,0.564915,11,-9.517408,0.565675,-6.713931,0.926377,-0.029370
200311,62,5,5.980050,1,-3.537358,6.481686,-0.232245,0.926377,-0.029370
200312,64,5,1.898959,9,-1.638399,1.904654,1.672409,0.926377,-0.029370
200401,67,5,2.277694,4,0.639295,2.286487,3.958896,0.952077,-0.026636
200402,69,5,-3.899888,117,-3.260593,-3.900867,0.058029,0.944933,-0.027948
200403,67,5,-3.067107,233,-6.327699,-3.068060,-3.010031,0.944933,-0.027948
200404,67,5,-6.199017,658,-12.526716,-6.200014,-9.210045,0.944933,-0.027948
200405,69,5,-4.541955,471,-17.068671,-4.542944,-13.752989,0.936244,0.000523
200406,73,5,1.376198,6,-15.692473,1.379162,-12.373827,0.947619,0.016395
200407,71,5,-13.498778,818,-29.191251,-13.499777,-25.873604,0.947619,0.016395
200408,69,5,-1.237125,149,-30.428376,-1.237834,-27.111438,0.956411,0.016961
200409,72,5,6.885611,1,-23.542765,10.662174,-16.449264,0.948684,-0.016933
200410,71,5,-4.453215,542,-27.995981,-4.454203,-20.903468,0.930349,0.032431
200411,72,5,0.101696,43,-27.894284,0.101803,-20.801664,0.932647,0.049935
200412,72,5,-9.834227,673,-37.728511,-9.835226,-30.636891,0.950781,0.055020
200501,72,5,-2.599531,71,-40.328042,-2.600456,-33.237346,0.958646,0.048104
200502,87,6,3.972697,8,-36.355344,4.026233,-29.211114,0.967552,0.060239
200503,88,6,1.339882,33,-35.015462,1.342705,-27.868409,0.971784,0.034804
200504,89,6,-1.451516,89,-36.466978,-1.452281,-29.320690,0.961980,0.031925
200505,90,6,3.860311,6,-32.606667,3.907906,-25.412784,0.930372,-0.146548
200506,93,7,-17.408500,223,-50.015167,-17.409500,-42.822283,0.979174,-0.176334
200507,93,7,-23.051775,85,-73.066942,-23.052775,-65.875058,0.965657,-0.194820
200508,95,7,-4.906413,275,-77.973354,-4.907405,-70.782463,0.971999,-0.221530
200509,100,7,1.321860,21,-76.651494,1.324614,-69.457848,0.965247,-0.232387
200510,94,7,0.727894,26,-75.923601,0.728965,-68.728883,0.974270,-0.328347
200511,94,7,-21.479296,937,-97.402897,-21.480296,-90.209179,0.975142,-0.340388
200512,95,7,-17.170057,29,-114.572954,-17.171057,-107.380236,0.947855,-0.341006
200601,100,7,-32.260264,649,-146.833218,-32.261264,-139.641500,0.942505,-0.348684
200602,103,7,-2.390151,9,-149.223369,-2.391059,-142.032558,0.941624,-0.359760
200603,101,7,0.235218,12,-148.988151,0.235483,-141.797075,0.937639,-0.386711
200604,103,7,6.906160,1,-142.081991,12.860831,-128.936244,0.919266,-0.405345
200605,101,7,2.887291,4,-139.194700,2.904381,-126.031863,0.964955,0.105456
200606,130,9,-18.367762,162,-157.562462,-18.368762,-144.400625,0.950013,0.148875
200607,127,9,6.908735,1,-150.653726,17.761945,-126.638679,0.959930,0.152400
200608,134,9,-11.926757,89,-162.580483,-11.927756,-138.566435,0.935878,0.225943
200609,128,9,3.603865,3,-158.976618,3.640259,-134.926176,0.936828,0.306878
200610,164,11,2.499379,14,-156.477239,2.510617,-132.415560,0.944573,0.426177
200611,164,11,-6.589170,46,-163.066409,-6.590168,-139.005727,0.907575,0.241923
200612,159,11,6.908745,1,-156.157664,18.437033,-120.568694,0.879244,0.317728
200701,158,11,6.908755,1,-149.248909,34.029911,-86.538784,0.884888,0.242750
200702,184,13,6.908755,1,-142.340154,31.125447,-55.413337,0.880165,0.284875
200703,185,13,6.908755,1,-135.431400,38.156914,-17.256423,0.860735,0.344280
200704,185,13,6.908755,1,-128.522645,31.001012,13.744588,0.804392,-0.591956
200705,188,13,6.908755,1,-121.613890,64.468876,78.213464,0.834406,-0.049992
200706,184,13,6.908755,1,-114.705135,76.958489,155.171953,0.835643,-0.066314
200707,184,13,6.908755,1,-107.796380,63.681240,218.853193,0.885933,0.623605
200708,186,13,6.908755,1,-100.887626,41.949632,260.802825,0.827148,0.521878
200709,192,13,6.908755,1,-93.978871,158.567032,419.369857,0.824193,0.665618
200710,183,13,6.908755,1,-87.070116,81.123735,500.493592,0.808811,0.603856
200711,185,13,6.908755,1,-80.161361,131.301054,631.794646,0.744731,0.573701
200712,186,13,6.908755,1,-73.252607,108.614448,740.409095,0.708521,0.588463
200801,178,12,6.908755,1,-66.343852,208.412246,948.821341,0.728874,0.768029
200802,179,12,6.908755,1,-59.435097,267.045393,1215.866733,0.745491,0.792284
200803,178,12,6.908755,1,-52.526342,286.210110,1502.076843,0.748105,0.780504
200804,177,12,6.908755,1,-45.617587,417.521574,1919.598417,0.820770,1.930188
200805,177,12,6.908755,1,-38.708833,544.434225,2464.032642,0.831841,1.831733
200806,178,12,6.908755,1,-31.800078,469.550790,2933.583432,0.839418,1.969950
200807,176,12,6.908755,1,-24.891323,517.995853,3451.579284,0.836378,1.518406
200808,176,12,6.908755,1,-17.982568,452.700102,3904.279386,0.861091,0.976598
200809,173,12,-86.701764,66,-104.684332,-86.702763,3817.576623,0.814047,0.505617
200810,172,12,6.908755,1,-97.775577,179.996151,3997.572774,0.870956,0.386124
200811,173,12,6.908755,1,-90.866822,102.522504,4100.095278,0.893317,0.358808
200812,103,7,6.908755,1,-83.958068,42.306774,4142.402052,0.950955,0.289054
200901,101,7,6.908755,1,-77.049313,49.292635,4191.694687,1.006855,0.202597
200902,104,7,6.908755,1,-70.140558,70.446400,4262.141087,1.068273,0.194095
200903,126,9,6.908755,1,-63.231803,70.739878,4332.880965,1.124017,0.092199
200904,132,9,6.908755,1,-56.323049,101.099483,4433.980448,1.143412,0.013344
200905,134,9,6.908755,1,-49.414294,98.848297,4532.828744,1.080275,0.019218
200906,129,9,6.908755,1,-42.505539,78.293565,4611.122310,1.046738,-0.052873
200907,131,9,6.908755,1,-35.596784,62.687644,4673.809953,1.036501,-0.088064
200908,132,9,6.908755,1,-28.688029,55.668033,4729.477986,1.043600,-0.082425
200909,134,9,6.908755,1,-21.779275,56.249993,4785.727979,1.031413,-0.031956
200910,138,10,6.908755,1,-14.870520,56.905600,4842.633579,1.021043,-0.118176
200911,141,10,6.908755,1,-7.961765,40.126904,4882.760483,0.975202,-0.086374
200912,144,10,6.908755,1,-1.053010,42.927314,4925.687798,0.966307,-0.068891
