date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-15.610773,293,-15.610773,-15.611773,-15.611773,0.925543,0.228522
200308,88,6,-1.693346,20,-17.304120,-1.694162,-17.305935,0.925543,0.228522
200309,94,7,-2.336415,52,-19.640535,-2.337318,-19.643253,0.892734,0.257360
200310,97,7,6.787521,1,-12.853013,8.956565,-10.686688,0.941614,0.236105
200311,98,7,6.690485,1,-6.162528,8.318662,-2.368026,0.941614,0.236105
200312,96,7,-4.654378,6,-10.816906,-4.655368,-7.023394,0.941614,0.236105
200401,106,8,6.865241,1,-3.951665,10.020591,2.997197,0.918206,0.251208
200402,101,7,6.654209,1,2.702543,8.146057,11.143254,0.899064,0.253528
200403,106,8,6.445964,1,9.148507,7.437932,18.581185,0.899064,0.253528
200404,107,8,6.899835,1,16.048343,11.622818,30.204004,0.899064,0.253528
200405,108,8,6.908668,1,22.957010,16.255075,46.459079,0.915456,0.260043
200406,106,8,6.883477,1,29.840487,10.572900,57.031979,0.918469,0.199122
200407,110,8,6.891936,1,36.732422,10.984569,68.016549,0.918469,0.199122
200408,108,8,6.897632,1,43.630054,11.400942,79.417490,0.931646,0.149833
200409,111,8,1.733883,7,45.363937,1.738556,81.156047,0.924506,0.105467
200410,108,8,6.810142,1,52.174079,9.174601,90.330648,0.893224,0.045714
200411,109,8,1.638129,3,53.812208,1.642283,91.972931,0.889057,0.038759
200412,116,8,5.139284,2,58.951492,5.325124,97.298055,0.925172,0.004122
200501,115,8,6.905907,1,65.857399,12.767524,110.065579,0.893138,-0.003484
200502,115,8,6.908677,1,72.766076,16.364319,126.429898,0.894849,-0.010381
200503,111,8,0.913462,14,73.679538,0.914956,127.344854,0.902486,-0.031993
200504,100,7,-27.361440,263,46.318098,-27.362440,99.982414,0.938134,-0.031771
200505,98,7,-9.119547,32,37.198550,-9.120547,90.861868,0.933747,-0.008868
200506,104,7,-12.453166,100,24.745385,-12.454165,78.407702,0.925863,-0.019715
200507,105,7,-2.620012,45,22.125373,-2.620939,75.786764,0.936996,-0.018968
200508,104,7,0.665654,11,22.791027,0.666600,76.453364,0.921690,-0.003163
200509,101,7,-5.037266,474,17.753760,-5.038259,71.415105,0.945907,-0.000539
200510,103,7,-2.822895,93,14.930865,-2.823835,68.591269,0.975289,0.004327
200511,101,7,5.861527,1,20.792392,6.292709,74.883979,0.981085,-0.008655
200512,116,8,-0.186103,11,20.606289,-0.186273,74.697706,0.969116,0.009698
200601,116,8,2.136951,12,22.743239,2.144452,76.842158,0.990725,0.026757
200602,116,8,0.536811,70,23.280050,0.537522,77.379680,1.024341,0.016118
200603,118,8,-2.799129,55,20.480921,-2.800068,74.579612,1.008208,-0.008587
200604,117,8,6.540458,1,27.021380,7.716829,82.296441,0.988344,-0.022483
200605,120,8,5.365944,3,32.387324,5.605463,87.901904,1.036614,0.031665
200606,128,9,-0.707726,42,31.679598,-0.708234,87.193671,1.057748,0.084612
200607,125,9,-2.817288,268,28.862310,-2.818228,84.375443,1.058056,0.123939
200608,127,9,-3.277155,2,25.585155,-3.278116,81.097326,1.083633,0.142739
200609,130,9,-3.977921,145,21.607234,-3.978902,77.118424,1.075273,0.177811
200610,141,10,0.095596,2,21.702830,0.095696,77.214121,1.068337,0.190432
200611,127,9,-6.042222,59,15.660608,-6.043219,71.170901,1.062674,0.207042
200612,127,9,6.872511,1,22.533118,10.207061,81.377962,1.077718,0.192125
200701,123,9,6.908755,1,29.441873,31.648811,113.026773,1.089543,0.190594
200702,118,8,-7.843871,7,21.598002,-7.844870,105.181903,1.079679,0.205483
200703,109,8,5.045922,2,26.643925,5.213617,110.395520,1.075712,0.269963
200704,118,8,1.189858,5,27.833783,1.192148,111.587667,1.069965,0.261042
200705,113,8,2.740933,6,30.574716,2.755541,114.343208,1.034442,0.228567
200706,105,7,5.365364,2,35.940081,5.604725,119.947933,1.020507,0.210719
200707,101,7,-75.404741,350,-39.464660,-75.405741,44.542193,0.996569,0.184434
200708,95,7,6.615441,1,-32.849219,7.984029,52.526222,1.002254,0.160530
200709,91,7,6.897671,1,-25.951549,11.404459,63.930681,0.980080,0.101645
200710,79,6,-16.045130,38,-41.996679,-16.046130,47.884551,0.985109,0.108658
200711,77,6,6.462229,1,-35.534450,7.482457,55.367008,0.988184,0.102539
200712,73,5,3.852366,3,-31.682084,3.899567,59.266574,0.995868,0.153313
200801,72,5,4.232679,3,-27.449405,4.302996,63.569570,0.995474,0.189523
200802,72,5,4.518875,2,-22.930530,4.613991,68.183561,0.976795,0.186188
200803,50,4,3.709509,4,-19.221021,3.750158,71.933719,0.969966,0.169346
200804,52,4,6.547153,1,-12.673868,7.738723,79.672442,0.995242,0.175522
200805,55,4,-0.359018,9,-13.032887,-0.359320,79.313122,1.010553,0.189407
200806,40,3,0.693113,32,-12.339774,0.694113,80.007235,1.010455,0.198380
200807,37,3,-0.585900,230,-12.925674,-0.586343,79.420892,1.011695,0.216048
