date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-0.413595,5,-0.413595,-0.413933,-0.413933,0.848327,-0.020296
200308,143,10,6.908755,1,6.495160,25.882422,25.468489,0.848327,-0.020296
200309,148,10,6.899811,1,13.394971,11.620067,37.088556,0.880465,-0.013839
200310,150,10,6.908216,1,20.303187,14.432795,51.521351,0.886648,-0.008018
200311,152,11,5.328914,3,25.632100,5.558596,57.079947,0.886648,-0.008018
200312,150,10,6.908755,1,32.540855,33.024956,90.104903,0.886648,-0.008018
200401,139,10,6.906039,1,39.446895,12.815247,102.920150,0.888352,-0.009523
200402,143,10,6.908755,1,46.355649,28.546891,131.467041,0.891210,0.000195
200403,139,10,6.908726,1,53.264375,17.360241,148.827283,0.891210,0.000195
200404,135,9,1.121859,26,54.386234,1.123932,149.951214,0.891210,0.000195
200405,140,10,6.905651,1,61.291886,12.681499,162.632713,0.882911,0.000450
200406,146,10,6.908744,1,68.200630,18.312520,180.945233,0.894581,0.010336
200407,152,11,6.795527,1,74.996156,9.028958,189.974191,0.894581,0.010336
200408,153,11,1.407319,4,76.403475,1.410409,191.384600,0.904267,0.009585
200409,155,11,5.925541,2,82.329016,6.393117,197.777717,0.912742,0.006449
200410,162,11,6.908755,1,89.237771,39.759758,237.537475,0.904870,-0.001614
200411,167,12,6.454198,1,95.691969,7.460315,244.997789,0.888227,0.016550
200412,163,11,6.881277,1,102.573246,10.488363,255.486152,0.928751,0.018030
200501,164,11,-1.111698,12,101.461548,-1.112369,254.373783,0.908175,-0.018783
200502,169,12,2.494344,2,103.955892,2.505520,256.879303,0.888362,-0.031892
200503,172,12,-3.109737,12,100.846155,-3.110692,253.768611,0.904206,-0.049275
200504,187,13,6.908755,1,107.754910,24.358156,278.126766,0.912584,-0.051050
200505,196,14,6.908755,1,114.663664,22.753512,300.880279,0.912161,-0.053688
200506,190,13,6.908750,1,121.572415,19.211751,320.092030,0.953690,-0.061673
