date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,306.564531,306.564531,0.894985,0.128460
200308,444,30,6.908755,1,13.817510,259.647612,566.212143,0.894985,0.128460
200309,451,31,6.908755,1,20.726264,181.008320,747.220463,0.897841,0.124785
200310,433,29,6.908755,1,27.635019,230.648990,977.869453,0.911727,0.125722
200311,437,30,6.908755,1,34.543774,122.350416,1100.219869,0.911727,0.125722
200312,442,30,6.908755,1,41.452529,196.462660,1296.682529,0.911727,0.125722
200401,441,30,6.908755,1,48.361283,131.838591,1428.521120,0.912424,0.121286
200402,445,30,6.908755,1,55.270038,190.844551,1619.365671,0.918270,0.125667
200403,438,30,6.908755,1,62.178793,216.383602,1835.749273,0.918270,0.125667
200404,440,30,6.908755,1,69.087548,199.783360,2035.532633,0.918270,0.125667
200405,435,29,6.908755,1,75.996303,157.555100,2193.087734,0.922992,0.122351
200406,436,30,6.908755,1,82.905057,152.592995,2345.680728,0.928487,0.118687
200407,432,29,6.908755,1,89.813812,107.654582,2453.335310,0.928487,0.118687
200408,431,29,6.908755,1,96.722567,141.683106,2595.018416,0.939909,0.116101
200409,441,30,6.908755,1,103.631322,109.983714,2705.002130,0.952493,0.089764
200410,437,30,6.908755,1,110.540076,85.647594,2790.649724,0.935770,0.071643
200411,434,29,6.908755,1,117.448831,108.405856,2899.055580,0.934957,0.048075
200412,423,29,6.908755,1,124.357586,99.196179,2998.251759,0.970511,0.033352
200501,425,29,6.908755,1,131.266341,55.321726,3053.573485,0.969119,0.029568
200502,427,29,6.908755,1,138.175096,86.933746,3140.507231,0.970446,0.024591
200503,411,28,6.908755,1,145.083850,159.284516,3299.791748,0.962065,-0.006853
200504,404,27,6.908755,1,151.992605,66.983462,3366.775209,0.963762,-0.020655
200505,402,27,6.908755,1,158.901360,119.013981,3485.789190,0.980677,-0.031742
200506,397,27,6.908755,1,165.810115,89.686497,3575.475687,0.984148,-0.036205
200507,403,27,6.908755,1,172.718869,40.110057,3615.585744,0.976564,-0.046082
200508,405,27,-0.991700,5,171.727169,-0.992329,3614.593415,0.971820,-0.055066
200509,404,27,-22.735016,46,148.992153,-22.736016,3591.857399,0.975513,-0.054441
200510,414,28,-32.047771,122,116.944382,-32.048770,3559.808629,0.976995,-0.043726
200511,411,28,-5.572992,7,111.371391,-5.573987,3554.234641,0.981701,-0.033079
200512,411,28,6.908018,1,118.279409,14.120786,3568.355427,0.977484,-0.029411
200601,413,28,6.908755,1,125.188163,64.358213,3632.713641,0.968481,-0.035981
200602,424,29,6.908755,1,132.096918,46.893702,3679.607342,0.961888,-0.039127
200603,419,28,6.908755,1,139.005673,107.721682,3787.329024,0.961752,0.002007
200604,424,29,6.908755,1,145.914428,69.037012,3856.366036,0.969868,0.003492
200605,416,28,6.908755,1,152.823183,49.751238,3906.117275,0.961589,0.000639
200606,410,28,6.908755,1,159.731937,85.775181,3991.892456,0.940124,0.000076
200607,416,28,6.908755,1,166.640692,94.117016,4086.009472,0.947015,0.020668
200608,417,28,6.908755,1,173.549447,39.991170,4126.000642,0.949832,0.039854
200609,416,28,6.908755,1,180.458202,55.085161,4181.085803,0.948265,0.038277
200610,403,27,6.908751,1,187.366953,19.416239,4200.502042,0.936865,0.042000
200611,394,27,0.733599,2,188.100552,0.734682,4201.236724,0.936777,0.045626
200612,395,27,6.908755,1,195.009306,115.707768,4316.944492,0.938191,0.066099
200701,400,27,6.908755,1,201.918061,72.030367,4388.974858,0.935285,0.029460
200702,391,27,6.908755,1,208.826816,113.151288,4502.126146,0.935556,0.001874
200703,380,26,6.908755,1,215.735571,123.348031,4625.474178,0.936848,-0.007970
200704,384,26,6.908755,1,222.644326,46.693260,4672.167438,0.936033,0.022779
200705,384,26,6.908755,1,229.553080,51.732890,4723.900328,0.919571,-0.008704
200706,381,26,6.908755,1,236.461835,89.831262,4813.731590,0.928482,-0.019591
200707,390,26,6.908755,1,243.370590,112.932211,4926.663801,0.914899,-0.155852
200708,376,26,6.908755,1,250.279345,73.577941,5000.241742,0.904709,-0.247978
200709,381,26,6.908755,1,257.188100,130.082891,5130.324633,0.899752,-0.266544
200710,379,26,6.908755,1,264.096854,49.767809,5180.092443,0.890812,-0.270196
200711,387,26,6.908755,1,271.005609,234.237376,5414.329819,0.886459,-0.268712
200712,381,26,6.908755,1,277.914364,112.274337,5526.604156,0.883622,-0.280898
