date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,83.033830,83.033830,0.981062,0.159681
200308,401,27,6.908755,1,13.817510,35.900413,118.934243,0.981062,0.159681
200309,412,28,6.901051,1,20.718561,11.769996,130.704240,0.990234,0.162044
200310,406,28,-16.139420,31,4.579141,-16.140420,114.563820,0.969909,-0.023917
200311,416,28,-30.576812,331,-25.997671,-30.577811,83.986009,0.969909,-0.023917
200312,421,29,-14.820340,125,-40.818011,-14.821339,69.164670,0.969909,-0.023917
200401,429,29,6.908755,1,-33.909256,33.615571,102.780240,0.960825,-0.029018
200402,426,29,6.908755,1,-27.000501,56.132749,158.912990,0.955265,-0.024858
200403,428,29,6.636098,1,-20.364403,8.067872,166.980861,0.955265,-0.024858
200404,423,29,6.908755,1,-13.455649,29.950798,196.931659,0.955265,-0.024858
200405,423,29,6.908755,1,-6.546894,101.636072,298.567731,0.960725,-0.021639
200406,424,29,6.908754,1,0.361860,20.753608,319.321339,0.958091,-0.026083
200407,425,29,-42.569985,433,-42.208125,-42.570985,276.750354,0.958091,-0.026083
200408,428,29,0.952320,2,-41.255805,0.953913,277.704268,0.962856,-0.020436
200409,439,30,2.272663,4,-38.983141,2.281407,279.985674,0.961131,-0.027064
200410,436,30,4.218778,2,-34.764363,4.288075,284.273750,0.954100,-0.018384
200411,444,30,-30.562337,197,-65.326701,-30.563337,253.710413,0.941379,-0.043061
200412,445,30,-64.741882,907,-130.068583,-64.742882,188.967531,0.951142,-0.051722
200501,444,30,6.908754,1,-123.159829,20.746188,209.713718,0.941173,-0.085870
200502,443,30,6.908755,1,-116.251074,53.567956,263.281675,0.932859,-0.099953
200503,438,30,-23.810330,79,-140.061405,-23.811330,239.470345,0.935949,-0.017365
200504,436,30,6.908755,1,-133.152650,60.388463,299.858808,0.931135,-0.038835
200505,431,29,6.908755,1,-126.243895,49.607906,349.466713,0.923345,-0.036648
200506,438,30,6.906714,1,-119.337181,13.101210,362.567924,0.921342,-0.032101
200507,442,30,6.908755,1,-112.428426,31.455136,394.023060,0.914529,-0.040226
200508,439,30,-12.055429,29,-124.483855,-12.056429,381.966631,0.913727,-0.045782
200509,449,30,6.908755,1,-117.575100,33.522789,415.489420,0.920581,-0.038932
200510,455,31,-4.894976,12,-122.470076,-4.895968,410.593452,0.912862,-0.057881
200511,455,31,6.908755,1,-115.561321,43.918646,454.512098,0.919544,-0.038526
200512,446,30,6.690188,1,-108.871133,8.317145,462.829243,0.929483,-0.038670
200601,430,29,6.908755,1,-101.962379,27.293509,490.122752,0.931438,-0.051097
200602,434,29,6.908755,1,-95.053624,55.968745,546.091497,0.942538,-0.053599
200603,434,29,-43.359957,142,-138.413580,-43.360956,502.730540,0.949978,-0.059199
200604,431,29,6.908755,1,-131.504826,22.297247,525.027788,0.955631,-0.011992
200605,433,29,-3.607969,4,-135.112794,-3.608941,521.418847,0.965816,-0.002064
200606,421,29,0.572380,2,-134.540414,0.573153,521.992000,0.963017,0.009801
200607,423,29,-63.236661,691,-197.777075,-63.237660,458.754340,0.970003,0.039742
200608,414,28,-16.997674,71,-214.774749,-16.998673,441.755666,0.962712,0.067599
200609,415,28,-27.499755,155,-242.274504,-27.500755,414.254911,0.951079,-0.037107
200610,380,26,-24.726251,245,-267.000754,-24.727250,389.527661,0.956739,-0.137515
200611,389,26,-36.996086,407,-303.996841,-36.997086,352.530576,0.927295,-0.178484
200612,380,26,-9.242589,17,-313.239429,-9.243588,343.286988,0.904147,-0.206455
200701,378,26,-40.555306,334,-353.794735,-40.556305,302.730683,0.885653,-0.234993
200702,356,24,-9.266431,50,-363.061166,-9.267431,293.463252,0.877650,-0.234642
200703,353,24,-10.886209,137,-373.947375,-10.887209,282.576043,0.873889,-0.235508
200704,367,25,-38.983015,505,-412.930391,-38.984015,243.592028,0.846447,-0.194462
200705,371,25,-23.846583,63,-436.776973,-23.847582,219.744446,0.830273,-0.305352
200706,370,25,-27.088425,145,-463.865398,-27.089424,192.655022,0.847861,-0.020090
200707,362,25,-37.112485,160,-500.977883,-37.113485,155.541537,0.844607,-0.008207
200708,356,24,-4.239989,6,-505.217873,-4.240974,151.300563,0.837028,0.024268
200709,364,25,-1.359650,3,-506.577523,-1.360393,149.940170,0.843279,0.078791
200710,386,26,6.908755,1,-499.668768,24.683380,174.623550,0.840116,-0.068741
200711,379,26,6.908755,1,-492.760013,84.737418,259.360967,0.818528,-0.086468
200712,395,27,6.908755,1,-485.851259,138.128792,397.489759,0.818018,-0.096379
200801,394,27,6.908755,1,-478.942504,192.834571,590.324330,0.835458,-0.066174
200802,400,27,6.908755,1,-472.033749,264.100193,854.424522,0.821240,-0.078151
200803,401,27,6.908755,1,-465.124994,324.092940,1178.517463,0.850989,-0.042082
200804,408,28,6.908755,1,-458.216240,258.178533,1436.695995,0.876891,0.274713
200805,414,28,6.908755,1,-451.307485,218.419361,1655.115357,0.867685,0.356724
200806,439,30,6.908755,1,-444.398730,700.523556,2355.638912,0.876341,0.940103
200807,449,30,6.908755,1,-437.489975,1032.530018,3388.168931,0.898661,0.976479
200808,447,30,6.908755,1,-430.581220,960.479694,4348.648625,0.910254,0.565104
200809,440,30,6.908755,1,-423.672466,867.382103,5216.030728,0.903115,0.312435
200810,440,30,6.908755,1,-416.763711,298.016245,5514.046973,0.901575,0.281369
200811,446,30,6.908755,1,-409.854956,149.021537,5663.068510,0.901747,0.251020
200812,518,35,6.908755,1,-402.946201,162.991715,5826.060225,0.962693,0.025451
200901,499,34,6.908755,1,-396.037446,173.473047,5999.533271,0.970146,0.146109
200902,506,34,6.908755,1,-389.128692,380.341091,6379.874362,1.024316,0.144512
200903,529,36,6.908755,1,-382.219937,629.585065,7009.459427,1.074083,0.122698
200904,527,36,6.908755,1,-375.311182,485.439670,7494.899097,1.070025,0.053955
200905,538,36,6.908755,1,-368.402427,207.109966,7702.009062,0.986493,0.015962
200906,561,38,6.908755,1,-361.493673,196.484959,7898.494021,0.975047,-0.032232
200907,575,39,6.908755,1,-354.584918,139.576982,8038.071003,0.983215,-0.071689
200908,593,40,6.908755,1,-347.676163,104.983914,8143.054917,0.997259,-0.041577
200909,606,41,6.908755,1,-340.767408,98.317362,8241.372279,0.999026,-0.042227
200910,604,41,6.908755,1,-333.858653,74.377449,8315.749729,1.044606,0.038463
200911,601,41,6.908755,1,-326.949899,117.356532,8433.106260,1.032547,0.042237
200912,622,42,6.908755,1,-320.041144,81.689444,8514.795704,1.041579,0.059785
201001,626,42,6.908755,1,-313.132389,106.234766,8621.030470,1.001449,0.077458
201002,638,43,6.908755,1,-306.223634,84.246872,8705.277342,1.010210,0.075642
201003,637,43,6.908755,1,-299.314880,44.166062,8749.443404,1.028561,0.089194
201004,644,43,-23.601294,64,-322.916174,-23.602294,8725.841110,1.061183,0.103109
