date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.180770,2,6.180770,6.839254,6.839254,0.945485,-0.071579
200308,54,4,-4.940800,63,1.239971,-4.941792,1.897462,0.945485,-0.071579
200309,53,4,1.996469,19,3.236440,2.002853,3.900314,0.952215,-0.037708
200310,62,5,-8.831370,165,-5.594930,-8.832369,-4.932055,0.926377,-0.029370
200311,62,5,6.852703,1,1.257773,9.761074,4.829019,0.926377,-0.029370
200312,64,5,-5.570870,269,-4.313098,-5.571866,-0.742847,0.926377,-0.029370
200401,67,5,4.649425,4,0.336327,4.758709,4.015862,0.952077,-0.026636
200402,69,5,1.107679,50,1.444006,1.109709,5.125571,0.944933,-0.027948
200403,67,5,-2.463881,129,-1.019875,-2.464796,2.660775,0.944933,-0.027948
200404,67,5,-3.012868,232,-4.032742,-3.013818,-0.353043,0.944933,-0.027948
200405,69,5,-1.003157,174,-5.035899,-1.003790,-1.356833,0.936244,0.000523
200406,73,5,6.908171,1,1.872272,14.353654,12.996821,0.947619,0.016395
200407,71,5,-2.033921,75,-0.161649,-2.034790,10.962031,0.947619,0.016395
200408,69,5,6.804860,1,6.643211,9.119737,20.081768,0.956411,0.016961
200409,72,5,6.198327,1,12.841538,6.873487,26.955255,0.948684,-0.016933
200410,71,5,-2.554402,574,10.287135,-2.555324,24.399931,0.930349,0.032431
200411,72,5,-2.306514,510,7.980621,-2.307414,22.092516,0.932647,0.049935
200412,72,5,-5.006639,500,2.973982,-5.007632,17.084885,0.950781,0.055020
200501,72,5,4.526679,3,7.500661,4.622585,21.707470,0.958646,0.048104
200502,87,6,6.478247,1,13.978908,7.527580,29.235050,0.967552,0.060239
200503,88,6,-4.900902,708,9.078006,-4.901894,24.333157,0.971784,0.034804
200504,89,6,6.814562,1,15.892568,9.222698,33.555854,0.961980,0.031925
200505,90,6,-0.989011,169,14.903557,-0.989638,32.566216,0.930372,-0.146548
200506,93,7,-4.519199,119,10.384358,-4.520188,28.046028,0.979174,-0.176334
200507,93,7,-10.065697,19,0.318661,-10.066696,17.979332,0.965657,-0.194820
200508,95,7,-0.637331,83,-0.318670,-0.637803,17.341529,0.971999,-0.221530
200509,100,7,-6.532029,180,-6.850699,-6.533027,10.808502,0.965247,-0.232387
200510,94,7,-20.512958,887,-27.363657,-20.513957,-9.705456,0.974270,-0.328347
200511,94,7,-1.032842,161,-28.396499,-1.033486,-10.738941,0.975142,-0.340388
200512,95,7,-41.275271,538,-69.671770,-41.276271,-52.015212,0.947855,-0.341006
200601,100,7,4.432583,3,-65.239188,4.519392,-47.495820,0.942505,-0.348684
200602,103,7,-53.380643,839,-118.619831,-53.381642,-100.877462,0.941624,-0.359760
200603,101,7,-12.799793,86,-131.419624,-12.800792,-113.678255,0.937639,-0.386711
200604,103,7,-35.154138,736,-166.573762,-35.155138,-148.833393,0.919266,-0.405345
200605,101,7,-18.494107,366,-185.067869,-18.495106,-167.328499,0.964955,0.105456
200606,130,9,-23.430578,664,-208.498447,-23.431577,-190.760076,0.950013,0.148875
200607,127,9,-14.510265,164,-223.008711,-14.511264,-205.271340,0.959930,0.152400
200608,134,9,-4.493736,51,-227.502447,-4.494724,-209.766064,0.935878,0.225943
200609,128,9,-10.849344,329,-238.351791,-10.850343,-220.616408,0.936828,0.306878
200610,164,11,1.068921,25,-237.282870,1.070835,-219.545573,0.944573,0.426177
200611,164,11,2.030466,17,-235.252405,2.037105,-217.508468,0.907575,0.241923
200612,159,11,-9.751984,175,-245.004389,-9.752984,-227.261451,0.879244,0.317728
200701,158,11,-21.759889,523,-266.764278,-21.760889,-249.022340,0.884888,0.242750
200702,184,13,-22.363179,72,-289.127457,-22.364178,-271.386518,0.880165,0.284875
200703,185,13,-16.020587,236,-305.148044,-16.021586,-287.408105,0.860735,0.344280
200704,185,13,-19.526617,197,-324.674661,-19.527616,-306.935721,0.804392,-0.591956
200705,188,13,-6.221425,18,-330.896086,-6.222423,-313.158144,0.834406,-0.049992
200706,184,13,6.908751,1,-323.987335,19.393485,-293.764659,0.835643,-0.066314
200707,184,13,6.808251,1,-317.179084,9.154637,-284.610021,0.885933,0.623605
200708,186,13,-15.643976,38,-332.823060,-15.644976,-300.254997,0.827148,0.521878
200709,192,13,-30.339259,30,-363.162319,-30.340258,-330.595255,0.824193,0.665618
200710,183,13,2.496087,2,-360.666231,2.507285,-328.087970,0.808811,0.603856
200711,185,13,5.952629,2,-354.713603,6.436753,-321.651217,0.744731,0.573701
200712,186,13,6.908754,1,-347.804848,21.384061,-300.267156,0.708521,0.588463
200801,178,12,6.908755,1,-340.896094,38.468739,-261.798417,0.728874,0.768029
200802,179,12,6.908755,1,-333.987339,133.645129,-128.153288,0.745491,0.792284
200803,178,12,6.908755,1,-327.078584,106.081453,-22.071835,0.748105,0.780504
200804,177,12,6.908755,1,-320.169829,219.931820,197.859985,0.820770,1.930188
200805,177,12,6.908755,1,-313.261075,224.043057,421.903043,0.831841,1.831733
200806,178,12,6.908755,1,-306.352320,444.129361,866.032403,0.839418,1.969950
200807,176,12,6.908755,1,-299.443565,357.378345,1223.410748,0.836378,1.518406
200808,176,12,6.908755,1,-292.534810,360.965539,1584.376287,0.861091,0.976598
200809,173,12,6.908755,1,-285.626055,251.385100,1835.761387,0.814047,0.505617
200810,172,12,6.908755,1,-278.717301,123.916230,1959.677617,0.870956,0.386124
200811,173,12,6.908755,1,-271.808546,133.748262,2093.425879,0.893317,0.358808
200812,103,7,6.898653,1,-264.909892,11.497781,2104.923660,0.950955,0.289054
200901,101,7,6.908755,1,-258.001138,32.783695,2137.707355,1.006855,0.202597
200902,104,7,6.908755,1,-251.092383,55.826937,2193.534292,1.068273,0.194095
200903,126,9,6.908755,1,-244.183628,93.217824,2286.752117,1.124017,0.092199
200904,132,9,6.908755,1,-237.274873,54.924896,2341.677012,1.143412,0.013344
200905,134,9,6.908755,1,-230.366119,26.207352,2367.884364,1.080275,0.019218
200906,129,9,6.908755,1,-223.457364,32.957247,2400.841612,1.046738,-0.052873
200907,131,9,6.908755,1,-216.548609,28.058741,2428.900353,1.036501,-0.088064
200908,132,9,6.908753,1,-209.639856,19.976191,2448.876545,1.043600,-0.082425
200909,134,9,6.908755,1,-202.731102,22.470153,2471.346698,1.031413,-0.031956
200910,138,10,6.908755,1,-195.822347,40.212848,2511.559546,1.021043,-0.118176
200911,141,10,6.908753,1,-188.913594,20.040795,2531.600341,0.975202,-0.086374
200912,144,10,6.752405,1,-182.161189,8.684222,2540.284563,0.966307,-0.068891
201001,141,10,6.908219,1,-175.252970,14.439019,2554.723582,0.948453,-0.055223
201002,156,11,6.908755,1,-168.344216,25.485585,2580.209167,0.940370,-0.048333
201003,158,11,6.908755,1,-161.435461,36.058120,2616.267287,0.941328,-0.045904
201004,157,11,6.730349,1,-154.705112,8.540919,2624.808206,0.959099,-0.020728
201005,159,11,6.908755,1,-147.796357,41.056918,2665.865125,0.942894,-0.004562
201006,156,11,6.908755,1,-140.887603,30.184891,2696.050016,0.942919,0.008378
201007,160,11,6.908755,1,-133.978848,22.493102,2718.543118,0.928929,0.001191
201008,161,11,3.954018,3,-130.024830,4.006517,2722.549635,0.905025,0.001405
