date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-21.211887,891,-21.211887,-21.212887,-21.212887,0.925543,0.228522
200308,88,6,-17.071302,448,-38.283189,-17.072302,-38.285188,0.925543,0.228522
200309,94,7,-7.216246,310,-45.499435,-7.217244,-45.502432,0.892734,0.257360
200310,97,7,2.195557,3,-43.303877,2.203574,-43.298858,0.941614,0.236105
200311,98,7,-3.660442,44,-46.964319,-3.661416,-46.960274,0.941614,0.236105
200312,96,7,-28.038305,136,-75.002624,-28.039304,-74.999578,0.941614,0.236105
200401,106,8,-26.625467,57,-101.628091,-26.626467,-101.626044,0.918206,0.251208
200402,101,7,6.892630,1,-94.735461,11.027068,-90.598977,0.899064,0.253528
200403,106,8,6.907073,1,-87.828388,13.294668,-77.304308,0.899064,0.253528
200404,107,8,-4.152495,17,-91.980883,-4.153479,-81.457787,0.899064,0.253528
200405,108,8,-16.459473,181,-108.440356,-16.460472,-97.918260,0.915456,0.260043
200406,106,8,-28.475866,239,-136.916223,-28.476866,-126.395126,0.918469,0.199122
200407,110,8,2.493129,8,-134.423094,2.504290,-123.890836,0.918469,0.199122
200408,108,8,5.390907,2,-129.032187,5.637322,-118.253514,0.931646,0.149833
200409,111,8,4.028605,3,-125.003582,4.085369,-114.168145,0.924506,0.105467
200410,108,8,6.877930,1,-118.125652,10.371732,-103.796413,0.893224,0.045714
200411,109,8,-2.506660,46,-120.632312,-2.507578,-106.303991,0.889057,0.038759
200412,116,8,-27.118059,928,-147.750371,-27.119059,-133.423050,0.925172,0.004122
200501,115,8,1.556125,4,-146.194247,1.559872,-131.863178,0.893138,-0.003484
200502,115,8,0.569060,6,-145.625187,0.569827,-131.293351,0.894849,-0.010381
200503,111,8,5.055747,2,-140.569440,5.225257,-126.068094,0.902486,-0.031993
200504,100,7,-34.752917,129,-175.322357,-34.753917,-160.822010,0.938134,-0.031771
200505,98,7,-11.677256,70,-186.999613,-11.678256,-172.500266,0.933747,-0.008868
200506,104,7,3.042501,3,-183.957112,3.062660,-169.437606,0.925863,-0.019715
200507,105,7,3.636339,4,-180.320773,3.673992,-165.763614,0.936996,-0.018968
200508,104,7,3.965327,7,-176.355446,4.018451,-161.745163,0.921690,-0.003163
200509,101,7,-11.467978,796,-187.823425,-11.468978,-173.214141,0.945907,-0.000539
200510,103,7,-7.564159,291,-195.387584,-7.565158,-180.779299,0.975289,0.004327
200511,101,7,-19.492738,245,-214.880321,-19.493737,-200.273036,0.981085,-0.008655
200512,116,8,-4.576107,27,-219.456428,-4.577096,-204.850132,0.969116,0.009698
200601,116,8,2.285990,3,-217.170438,2.294865,-202.555267,0.990725,0.026757
200602,116,8,-0.743364,108,-217.913802,-0.743889,-203.299156,1.024341,0.016118
200603,118,8,-1.845865,66,-219.759667,-1.846706,-205.145862,1.008208,-0.008587
200604,117,8,-6.412708,53,-226.172374,-6.413706,-211.559568,0.988344,-0.022483
200605,120,8,-4.537242,17,-230.709617,-4.538231,-216.097799,1.036614,0.031665
200606,128,9,-2.330211,74,-233.039828,-2.331113,-218.428912,1.057748,0.084612
200607,125,9,4.224776,1,-228.815052,4.294511,-214.134402,1.058056,0.123939
200608,127,9,-33.584921,162,-262.399973,-33.585921,-247.720322,1.083633,0.142739
200609,130,9,-8.402750,263,-270.802723,-8.403749,-256.124071,1.075273,0.177811
200610,141,10,-13.032974,260,-283.835697,-13.033974,-269.158045,1.068337,0.190432
200611,127,9,-11.596114,130,-295.431811,-11.597113,-280.755158,1.062674,0.207042
200612,127,9,-10.719360,527,-306.151171,-10.720360,-291.475518,1.077718,0.192125
200701,123,9,-17.959267,356,-324.110438,-17.960266,-309.435784,1.089543,0.190594
200702,118,8,-10.708920,45,-334.819357,-10.709919,-320.145703,1.079679,0.205483
200703,109,8,-14.111430,199,-348.930787,-14.112430,-334.258133,1.075712,0.269963
200704,118,8,-29.701652,407,-378.632439,-29.702651,-363.960784,1.069965,0.261042
200705,113,8,0.850771,18,-377.781668,0.852114,-363.108671,1.034442,0.228567
200706,105,7,-34.661399,281,-412.443067,-34.662398,-397.771069,1.020507,0.210719
200707,101,7,-69.211706,567,-481.654773,-69.212705,-466.983774,0.996569,0.184434
200708,95,7,-70.732324,903,-552.387097,-70.733324,-537.717098,1.002254,0.160530
200709,91,7,6.697971,1,-545.689126,8.357433,-529.359665,0.980080,0.101645
200710,79,6,6.849344,1,-538.839783,9.701178,-519.658487,0.985109,0.108658
200711,77,6,-28.828627,371,-567.668409,-28.829626,-548.488113,0.988184,0.102539
200712,73,5,-20.021475,845,-587.689884,-20.022474,-568.510587,0.995868,0.153313
200801,72,5,-12.311386,456,-600.001270,-12.312386,-580.822973,0.995474,0.189523
200802,72,5,-4.884050,215,-604.885321,-4.885042,-585.708015,0.976795,0.186188
200803,50,4,4.919194,3,-599.966127,5.065252,-580.642763,0.969966,0.169346
200804,52,4,5.895608,1,-594.070519,6.345711,-574.297052,0.995242,0.175522
200805,55,4,4.754059,3,-589.316460,4.876288,-569.420764,1.010553,0.189407
200806,40,3,-0.683839,60,-590.000299,-0.684335,-570.105099,1.010455,0.198380
200807,37,3,-1.797353,468,-591.797652,-1.798187,-571.903286,1.011695,0.216048
200808,38,3,-4.995538,645,-596.793190,-4.996530,-576.899816,1.005648,0.219628
200809,38,3,-7.026087,284,-603.819277,-7.027086,-583.926902,1.011220,0.229598
200810,35,3,-19.975104,943,-623.794381,-19.976104,-603.903006,1.047985,0.227369
200811,35,3,-24.794976,742,-648.589357,-24.795975,-628.698981,1.064201,0.250861
200812,32,3,-8.456106,276,-657.045463,-8.457105,-637.156086,1.061557,0.226262
200901,32,3,-10.312358,998,-667.357821,-10.313357,-647.469443,1.064510,0.219471
200902,33,3,-0.525367,247,-667.883187,-0.525775,-647.995218,1.096136,0.200962
200903,33,3,-0.737542,756,-668.620729,-0.738063,-648.733282,1.112363,0.211987
200904,34,3,-2.932133,789,-671.552861,-2.933079,-651.666360,1.102727,0.187974
200905,33,3,-7.132990,1000,-678.685851,-7.133989,-658.800349,1.093539,0.183580
200906,34,3,-0.165204,542,-678.851056,-0.165357,-658.965706,1.112760,0.203207
200907,35,3,0.554943,130,-678.296113,0.555685,-658.410021,1.104822,0.173806
200908,38,3,-1.215340,929,-679.511453,-1.216043,-659.626064,1.103090,0.174617
200909,39,3,-0.633917,608,-680.145370,-0.634386,-660.260450,1.094984,0.183180
200910,39,3,0.019385,471,-680.125985,0.019405,-660.241046,1.087414,0.140469
200911,42,3,-0.108444,448,-680.234428,-0.108546,-660.349592,1.088657,0.138531
200912,50,4,-1.146597,411,-681.381026,-1.147279,-661.496871,1.039035,0.141357
