date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-15.526316,341,-15.526316,-15.527315,-15.527315,0.848327,-0.020296
200308,143,10,-10.033635,56,-25.559951,-10.034634,-25.561950,0.848327,-0.020296
200309,148,10,2.544906,3,-23.015044,2.556718,-23.005232,0.880465,-0.013839
200310,150,10,-12.360981,137,-35.376025,-12.361980,-35.367212,0.886648,-0.008018
200311,152,11,-16.109388,377,-51.485413,-16.110387,-51.477599,0.886648,-0.008018
200312,150,10,6.174219,1,-45.311193,6.826624,-44.650975,0.886648,-0.008018
200401,139,10,-16.214990,410,-61.526183,-16.215989,-60.866965,0.888352,-0.009523
200402,143,10,6.908446,1,-54.617737,14.991096,-45.875868,0.891210,0.000195
200403,139,10,-35.425971,743,-90.043709,-35.426971,-81.302839,0.891210,0.000195
200404,135,9,3.005382,8,-87.038327,3.024762,-78.278077,0.891210,0.000195
200405,140,10,-19.643763,52,-106.682090,-19.644763,-97.922840,0.882911,0.000450
200406,146,10,-15.359404,139,-122.041494,-15.360403,-113.283243,0.894581,0.010336
200407,152,11,-1.377991,41,-123.419484,-1.378739,-114.661981,0.894581,0.010336
200408,153,11,-27.294628,349,-150.714112,-27.295627,-141.957608,0.904267,0.009585
200409,155,11,-16.132151,124,-166.846263,-16.133151,-158.090759,0.912742,0.006449
200410,162,11,-38.554400,494,-205.400663,-38.555399,-196.646159,0.904870,-0.001614
200411,167,12,-18.902690,240,-224.303354,-18.903690,-215.549849,0.888227,0.016550
200412,163,11,-2.163670,118,-226.467024,-2.164555,-217.714403,0.928751,0.018030
200501,164,11,-27.558051,658,-254.025074,-27.559050,-245.273454,0.908175,-0.018783
200502,169,12,-10.049460,399,-264.074534,-10.050459,-255.323913,0.888362,-0.031892
200503,172,12,-25.805851,214,-289.880385,-25.806850,-281.130763,0.904206,-0.049275
200504,187,13,-11.605560,18,-301.485945,-11.606560,-292.737323,0.912584,-0.051050
200505,196,14,-14.531361,275,-316.017306,-14.532360,-307.269683,0.912161,-0.053688
200506,190,13,1.033661,3,-314.983645,1.035474,-306.234209,0.953690,-0.061673
200507,190,13,0.562778,8,-314.420867,0.563534,-305.670675,0.974404,-0.072880
200508,190,13,-11.264177,129,-325.685044,-11.265176,-316.935851,0.967675,-0.076999
200509,197,14,-12.406847,36,-338.091890,-12.407846,-329.343698,0.946036,-0.050666
200510,194,13,5.055453,2,-333.036438,5.224908,-324.118790,0.938774,-0.067293
200511,197,14,1.449473,6,-331.586965,1.452739,-322.666050,0.932787,-0.070861
200512,165,11,6.243937,1,-325.343027,6.965241,-315.700810,0.912312,-0.068444
200601,164,11,6.739371,1,-318.603656,8.597458,-307.103351,0.936083,-0.030750
200602,171,12,5.323346,3,-313.280310,5.551589,-301.551763,0.946893,-0.018265
200603,168,12,-13.199733,139,-326.480044,-13.200733,-314.752496,0.927603,-0.039387
200604,158,11,5.411133,2,-321.068911,5.663300,-309.089196,0.904310,-0.034531
200605,152,11,-2.014047,9,-323.082958,-2.014914,-311.104110,0.927317,-0.046656
200606,142,10,-10.804662,62,-333.887621,-10.805662,-321.909771,0.916334,-0.024079
200607,141,10,-21.876402,153,-355.764023,-21.877402,-343.787173,0.901466,-0.017893
200608,140,10,-7.649374,244,-363.413397,-7.650374,-351.437547,0.903578,-0.004327
200609,142,10,-20.507075,916,-383.920473,-20.508075,-371.945622,0.916755,-0.012877
200610,143,10,3.046972,4,-380.873501,3.067227,-368.878395,0.902803,0.041108
200611,157,11,-39.810572,581,-420.684074,-39.811572,-408.689967,0.900855,0.000944
200612,147,10,4.318918,5,-416.365155,4.395915,-404.294051,0.918274,0.028296
200701,152,11,-19.025109,189,-435.390265,-19.026109,-423.320160,0.925361,0.051245
200702,157,11,-25.805509,283,-461.195773,-25.806508,-449.126668,0.908397,0.073196
200703,157,11,-5.784220,34,-466.979993,-5.785216,-454.911884,0.925801,0.068788
200704,134,9,-9.147869,207,-476.127862,-9.148869,-464.060753,0.930462,0.073297
200705,131,9,-20.264831,136,-496.392693,-20.265830,-484.326583,0.935057,0.096551
200706,136,10,-12.383336,291,-508.776029,-12.384335,-496.710918,0.955806,0.107204
200707,128,9,-15.821040,22,-524.597068,-15.822039,-512.532958,0.972102,0.099599
200708,125,9,-78.894479,503,-603.491547,-78.895478,-591.428436,0.991437,0.108645
200709,125,9,-35.905863,239,-639.397410,-35.906862,-627.335298,1.006305,0.126588
200710,114,8,-3.666753,100,-643.064163,-3.667727,-631.003026,1.035659,0.126947
200711,105,7,-12.687432,180,-655.751595,-12.688431,-643.691457,1.052613,0.198831
200712,99,7,-20.807411,490,-676.559006,-20.808410,-664.499867,1.004528,0.192564
200801,96,7,-7.847004,60,-684.406009,-7.848003,-672.347870,0.982146,0.160765
200802,95,7,-0.695582,2,-685.101591,-0.696083,-673.043952,0.980584,0.138799
200803,115,8,-8.589469,25,-693.691060,-8.590469,-681.634421,0.995480,0.233022
200804,114,8,-9.531747,61,-703.222807,-9.532746,-691.167167,0.988155,0.206031
200805,106,8,-1.051451,4,-704.274258,-1.052101,-692.219268,0.992183,0.162024
200806,105,7,1.904234,12,-702.370024,1.909965,-690.309304,0.965799,0.102335
200807,100,7,-5.268282,147,-707.638306,-5.269277,-695.578581,0.977378,0.156938
200808,100,7,-2.891650,27,-710.529957,-2.892595,-698.471175,0.979131,0.122602
200809,99,7,-26.259396,558,-736.789352,-26.260395,-724.731570,0.918645,0.071675
200810,99,7,-49.862165,809,-786.651517,-49.863165,-774.594735,0.921576,0.066274
200811,96,7,6.224656,1,-780.426861,6.925936,-767.668799,0.948779,0.081014
200812,94,7,-21.027557,129,-801.454418,-21.028557,-788.697356,0.967108,0.117590
200901,94,7,-9.229019,47,-810.683437,-9.230018,-797.927374,0.969958,0.132716
200902,97,7,6.872863,1,-803.810574,10.217000,-787.710374,0.973589,0.029471
200903,101,7,6.406374,1,-797.404200,7.334468,-780.375906,0.977864,0.038353
200904,113,8,-0.095932,29,-797.500132,-0.096024,-780.471930,0.958389,0.037312
200905,110,8,1.435048,17,-796.065085,1.438253,-779.033677,0.902783,0.040506
200906,113,8,-5.347370,652,-801.412455,-5.348365,-784.382043,0.893176,0.053990
200907,116,8,2.594476,6,-798.817979,2.606943,-781.775100,0.877493,0.045748
200908,113,8,6.809448,1,-792.008531,9.167228,-772.607871,0.872143,0.036986
200909,121,9,1.822911,14,-790.185621,1.828114,-770.779757,0.949693,0.040625
200910,120,8,6.189117,2,-783.996503,6.855459,-763.924299,0.916727,0.025916
200911,122,9,6.745152,1,-777.251352,8.635151,-755.289148,0.934739,0.012622
200912,116,8,5.483776,2,-771.767576,5.757889,-749.531259,0.925413,-0.021580
201001,118,8,-10.383446,357,-782.151022,-10.384445,-759.915705,0.889659,-0.014661
201002,121,9,6.897289,1,-775.253733,11.370424,-748.545280,0.817795,0.031434
201003,130,9,4.207016,3,-771.046716,4.275462,-744.269818,0.826647,0.033251
201004,127,9,6.707126,1,-764.339590,8.406573,-735.863245,0.839011,0.030830
201005,130,9,1.772826,4,-762.566764,1.777726,-734.085520,0.788323,0.022664
201006,134,9,6.908658,1,-755.658106,16.149578,-717.935942,0.777792,0.021494
201007,140,10,6.908755,1,-748.749352,47.407645,-670.528297,0.792312,0.023111
