date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.875355,1,6.875355,10.290217,10.290217,0.868572,0.289921
200308,401,27,-15.851283,21,-8.975928,-15.852283,-5.562066,0.868572,0.289921
200309,412,28,-39.483109,45,-48.459037,-39.484108,-45.046174,0.908200,0.406980
200310,406,28,-44.654216,206,-93.113253,-44.655216,-89.701390,0.908200,0.406980
200311,416,28,6.876883,1,-86.236370,10.337822,-79.363568,0.908200,0.406980
200312,421,29,-0.844774,8,-87.081144,-0.845345,-80.208913,0.908200,0.406980
200401,429,29,-10.790915,11,-97.872059,-10.791915,-91.000827,0.908200,0.406980
200402,426,29,6.908755,1,-90.963305,26.039212,-64.961615,0.770784,0.352053
200403,428,29,6.858468,1,-84.104836,9.872523,-55.089092,0.770784,0.352053
200404,423,29,6.908755,1,-77.196082,27.379086,-27.710006,0.770784,0.352053
200405,423,29,-7.129225,2,-84.325307,-7.130224,-34.840230,0.763767,0.369474
200406,424,29,6.908755,1,-77.416552,44.291514,9.451284,0.763767,0.369474
200407,425,29,-14.275445,55,-91.691998,-14.276445,-4.825161,0.763767,0.369474
200408,428,29,6.908755,1,-84.783243,23.777072,18.951912,0.711362,0.340402
200409,439,30,6.613278,1,-78.169965,7.975546,26.927458,0.699774,0.361543
200410,436,30,6.908755,1,-71.261210,37.376683,64.304141,0.582376,0.307850
200411,444,30,6.908755,1,-64.352455,43.865363,108.169504,0.517660,0.292607
200412,445,30,6.908755,1,-57.443701,57.308369,165.477873,0.533346,0.340539
200501,444,30,6.908754,1,-50.534946,21.241373,186.719246,0.469433,0.272208
200502,443,30,6.908755,1,-43.626192,29.553940,216.273185,0.481328,0.264497
200503,438,30,6.908755,1,-36.717437,48.022195,264.295380,0.456490,0.265948
200504,436,30,6.908755,1,-29.808682,37.228152,301.523533,0.559332,0.330482
200505,431,29,6.908754,1,-22.899928,20.998130,322.521663,0.550183,0.341533
200506,438,30,6.908755,1,-15.991173,53.321179,375.842841,0.503663,0.302844
200507,442,30,6.908755,1,-9.082418,62.109253,437.952094,0.493443,0.366535
200508,439,30,6.908755,1,-2.173664,31.967780,469.919874,0.435730,0.359545
200509,449,30,6.908755,1,4.735091,59.386696,529.306570,0.405966,0.380547
200510,455,31,6.908755,1,11.643846,55.929276,585.235846,0.451406,0.285757
200511,455,31,6.908755,1,18.552601,66.390625,651.626471,0.367120,0.295509
200512,446,30,6.908755,1,25.461355,48.186691,699.813162,0.342297,0.357157
200601,430,29,6.908755,1,32.370110,79.113510,778.926672,0.344007,0.318146
200602,434,29,6.908755,1,39.278865,38.780209,817.706881,0.429089,0.330998
200603,434,29,6.908755,1,46.187620,46.132722,863.839603,0.489172,0.302143
200604,431,29,6.908755,1,53.096375,35.479807,899.319410,0.507609,0.407901
200605,433,29,6.908754,1,60.005128,20.836962,920.156372,0.655049,0.488015
200606,421,29,6.908751,1,66.913879,19.350983,939.507354,0.726645,0.422847
200607,423,29,-7.092576,7,59.821304,-7.093574,932.413780,0.769659,0.447811
200608,414,28,6.903050,1,66.724354,12.071369,944.485149,0.752008,0.544590
200609,415,28,6.908755,1,73.633109,25.775373,970.260522,0.729275,0.618030
200610,380,26,6.908675,1,80.541784,16.345593,986.606115,0.739926,0.525814
200611,389,26,6.888447,1,87.430231,10.794352,997.400467,0.705947,0.640759
200612,380,26,-9.343516,25,78.086715,-9.344515,988.055952,0.615370,0.655639
200701,378,26,6.908659,1,84.995374,16.157004,1004.212956,0.639900,0.559379
200702,356,24,6.908755,1,91.904128,32.658706,1036.871662,0.638679,0.557731
200703,353,24,6.908753,1,98.812882,20.272270,1057.143931,0.658388,0.547499
200704,367,25,6.908755,1,105.721636,44.094742,1101.238674,0.638048,0.690939
200705,371,25,6.908755,1,112.630391,39.882159,1141.120832,0.672497,0.749839
200706,370,25,5.425228,2,118.055619,5.681493,1146.802326,0.753172,0.642909
200707,362,25,6.908755,1,124.964374,36.906702,1183.709028,0.746125,0.698830
200708,356,24,6.908755,1,131.873129,42.955069,1226.664096,0.727182,0.727001
200709,364,25,6.908755,1,138.781884,23.246492,1249.910589,0.724282,0.708323
200710,386,26,6.908755,1,145.690639,24.088326,1273.998915,0.730215,0.451616
200711,379,26,6.901420,1,152.592058,11.819156,1285.818071,0.622568,0.542782
200712,395,27,6.908755,1,159.500813,32.546355,1318.364426,0.615303,0.561873
200801,394,27,6.908754,1,166.409567,21.380107,1339.744533,0.566919,0.580096
200802,400,27,6.908755,1,173.318322,28.155109,1367.899642,0.574233,0.441926
200803,401,27,6.908754,1,180.227076,21.315553,1389.215195,0.591257,0.468075
200804,408,28,-1.682857,3,178.544219,-1.683671,1387.531524,0.621957,0.547601
200805,414,28,6.902288,1,185.446508,11.945663,1399.477187,0.711348,0.547402
200806,439,30,6.908755,1,192.355262,35.751174,1435.228361,0.721197,0.442551
200807,449,30,6.908755,1,199.264017,47.499203,1482.727564,0.619341,0.510283
200808,447,30,6.908755,1,206.172772,54.202735,1536.930300,0.613391,0.618773
200809,440,30,6.908755,1,213.081527,35.411590,1572.341890,0.595865,0.547223
200810,440,30,-27.678548,232,185.402978,-27.679548,1544.662342,0.567946,0.611107
200811,446,30,6.908755,1,192.311733,22.724823,1567.387165,0.551739,0.582803
200812,518,35,6.908755,1,199.220488,29.989405,1597.376570,0.510796,0.657158
200901,499,34,-9.369275,79,189.851213,-9.370274,1588.006296,0.650158,0.720048
200902,506,34,6.573485,1,196.424698,7.828260,1595.834555,0.659731,0.594487
200903,529,36,6.908755,1,203.333452,75.177957,1671.012512,0.620201,0.387187
200904,527,36,6.908755,1,210.242207,38.764798,1709.777310,0.597898,0.295513
200905,538,36,6.908755,1,217.150962,45.117992,1754.895302,0.575063,0.352316
200906,561,38,6.884833,1,224.035795,10.628743,1765.524046,0.663397,0.177354
200907,575,39,6.908755,1,230.944550,36.696302,1802.220348,0.443529,0.198698
200908,593,40,6.908755,1,237.853305,46.906715,1849.127062,0.441652,0.242224
200909,606,41,6.908755,1,244.762059,32.871168,1881.998230,0.484717,0.266630
200910,604,41,6.908755,1,251.670814,66.791732,1948.789962,0.578166,0.215419
200911,601,41,6.908755,1,258.579569,38.351417,1987.141379,0.574821,0.237395
200912,622,42,6.908755,1,265.488324,47.450837,2034.592216,0.589382,0.298506
201001,626,42,6.893808,1,272.382131,11.103503,2045.695719,0.782390,0.314050
201002,638,43,6.454469,1,278.836601,7.461058,2053.156777,0.861505,0.296691
201003,637,43,-11.829607,14,267.006994,-11.830606,2041.326171,0.900247,0.302467
201004,644,43,-17.480624,24,249.526370,-17.481624,2023.844547,0.996717,0.278023
201005,641,43,6.908730,1,256.435100,17.523966,2041.368514,0.782822,0.232157
201006,648,44,-0.161418,6,256.273682,-0.161567,2041.206947,0.823341,0.200834
201007,669,45,6.908755,1,263.182437,28.516390,2069.723336,0.778448,0.212025
201008,667,45,6.908755,1,270.091192,29.271736,2098.995072,0.762755,0.188756
201009,689,46,6.908755,1,276.999947,32.676465,2131.671538,0.823878,0.201142
201010,703,47,-25.445189,80,251.554758,-25.446188,2106.225350,0.858148,0.198834
201011,722,49,-4.271780,10,247.282978,-4.272766,2101.952584,0.864062,0.199969
201012,732,49,-33.408860,73,213.874118,-33.409859,2068.542724,0.811722,0.212692
201101,730,49,6.907563,1,220.781681,13.639666,2082.182391,0.828807,0.222463
201102,744,50,6.908754,1,227.690435,20.692072,2102.874463,0.825297,0.225254
201103,729,49,6.908755,1,234.599189,48.457940,2151.332403,0.778521,0.237002
201104,758,51,6.908755,1,241.507944,85.423471,2236.755874,0.695847,0.209673
201105,767,52,6.908755,1,248.416699,78.948210,2315.704084,0.712741,0.216979
201106,786,53,6.908755,1,255.325454,68.401905,2384.105989,0.767480,0.240443
201107,800,54,6.908755,1,262.234209,116.471837,2500.577826,0.743707,0.196284
