date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-1.157374,607,-1.157374,-1.158060,-1.158060,0.819011,0.500990
200308,24,2,-6.680888,191,-7.838263,-6.681887,-7.839946,0.819011,0.500990
200309,26,2,1.021566,75,-6.816696,1.023345,-6.816601,0.717688,-0.710348
200310,26,2,-1.746409,505,-8.563105,-1.747234,-8.563835,0.717688,-0.710348
200311,25,2,-4.539445,462,-13.102550,-4.540434,-13.104269,0.717688,-0.710348
200312,25,2,-2.218625,593,-15.321175,-2.219516,-15.323785,0.717688,-0.710348
200401,27,2,-10.811668,664,-26.132843,-10.812668,-26.136452,0.717688,-0.710348
200402,28,2,-4.541326,632,-30.674169,-4.542314,-30.678767,0.613762,-0.611789
200403,29,2,-7.473190,276,-38.147358,-7.474189,-38.152955,0.613762,-0.611789
200404,27,2,0.012001,297,-38.135357,0.012013,-38.140942,0.613762,-0.611789
200405,31,3,3.116785,8,-35.018572,3.138595,-35.002347,0.561915,-0.676518
200406,33,3,-1.452996,185,-36.471568,-1.453762,-36.456109,0.561915,-0.676518
200407,34,3,-0.723834,406,-37.195402,-0.724349,-37.180458,0.561915,-0.676518
200408,34,3,-0.557356,352,-37.752758,-0.557783,-37.738241,0.564194,-0.457112
200409,33,3,-0.017713,286,-37.770471,-0.017731,-37.755972,0.579726,-0.255098
200410,33,3,0.220814,86,-37.549657,0.221061,-37.534911,0.580291,-0.210215
200411,34,3,0.093104,270,-37.456553,0.093202,-37.441709,0.623491,0.240588
200412,34,3,-0.217032,247,-37.673586,-0.217227,-37.658936,0.738285,-0.142455
200501,36,3,0.489550,136,-37.184036,0.490182,-37.168755,0.827111,0.088893
200502,36,3,-4.519513,84,-41.703549,-4.520502,-41.689257,0.869521,0.355690
200503,35,3,-3.687882,885,-45.391431,-3.688857,-45.378114,0.811825,-0.256070
200504,38,3,0.221388,152,-45.170043,0.221636,-45.156478,0.809004,-0.197265
200505,38,3,-2.203803,309,-47.373846,-2.204692,-47.361170,0.820693,-0.398575
200506,38,3,-7.314886,873,-54.688732,-7.315885,-54.677055,0.794175,-0.493009
200507,43,3,-4.223784,196,-58.912516,-4.224769,-58.901823,0.691100,-0.264338
200508,43,3,2.400184,6,-56.512332,2.410260,-56.491563,0.568039,0.169512
200509,43,3,-1.740626,258,-58.252958,-1.741451,-58.233014,0.589118,0.136032
200510,43,3,-30.052461,832,-88.305419,-30.053461,-88.286474,0.388256,0.093760
200511,45,3,-8.365023,705,-96.670442,-8.366022,-96.652497,0.348637,0.171724
200512,45,3,-0.029918,276,-96.700360,-0.029947,-96.682444,0.342782,0.269035
200601,46,4,-1.112202,705,-97.812561,-1.112872,-97.795316,0.337446,0.421732
200602,48,4,-1.944106,26,-99.756667,-1.944963,-99.740279,0.445637,0.426545
200603,46,4,-4.791844,707,-104.548512,-4.792836,-104.533114,0.442798,0.293177
200604,46,4,-14.323374,891,-118.871885,-14.324373,-118.857488,0.720623,-0.033023
200605,47,4,-8.309052,328,-127.180938,-8.310051,-127.167539,0.742044,0.855748
200606,47,4,0.772559,125,-126.408379,0.773725,-126.393814,0.729988,0.716582
200607,48,4,-5.791666,415,-132.200044,-5.792662,-132.186476,0.789575,0.551503
200608,48,4,0.895295,83,-131.304749,0.896744,-131.289732,0.786565,0.658638
200609,48,4,1.254829,83,-130.049919,1.257340,-130.032392,0.741801,0.682942
200610,48,4,-4.728153,202,-134.778073,-4.729144,-134.761536,0.732075,0.640926
200611,49,4,-6.812365,237,-141.590438,-6.813363,-141.574899,0.498253,-0.665585
200612,50,4,0.590222,94,-141.000215,0.591027,-140.983872,0.539698,-0.374466
200701,49,4,4.182302,1,-136.817913,4.248994,-136.734878,0.554846,0.170018
200702,48,4,4.546158,3,-132.271755,4.644068,-132.090810,0.536102,0.704043
200703,48,4,0.217433,168,-132.054323,0.217675,-131.873134,0.608415,0.803730
200704,49,4,2.202045,15,-129.852277,2.210121,-129.663013,0.554915,1.173876
200705,50,4,0.441939,24,-129.410338,0.442495,-129.220518,0.711472,0.924940
200706,49,4,-1.456782,31,-130.867120,-1.457549,-130.678067,0.735430,0.926604
200707,50,4,0.592772,132,-130.274349,0.593581,-130.084486,0.700950,1.098419
200708,50,4,0.650960,94,-129.623389,0.651877,-129.432609,0.735085,0.424136
200709,53,4,-2.067763,253,-131.691152,-2.068636,-131.501245,0.663132,0.700015
200710,54,4,0.542133,19,-131.149019,0.542853,-130.958392,0.738953,0.240937
200711,56,4,-5.576825,318,-136.725844,-5.577821,-136.536212,0.648707,0.969603
200712,55,4,-2.694131,60,-139.419974,-2.695063,-139.231275,0.630858,1.605267
200801,54,4,6.765803,1,-132.654171,8.780677,-130.450598,0.722704,1.369089
200802,55,4,3.116297,3,-129.537875,3.138095,-127.312503,0.681528,1.276192
200803,56,4,-14.434101,368,-143.971975,-14.435100,-141.747603,0.690382,1.296001
200804,55,4,-1.431316,77,-145.403291,-1.432077,-143.179680,0.688038,1.170115
200805,55,4,6.690415,1,-138.712877,8.318301,-134.861379,0.709423,1.216947
200806,56,4,6.898226,1,-131.814651,11.456100,-123.405279,0.700725,1.176169
200807,56,4,5.713968,2,-126.100683,6.073606,-117.331673,0.595994,0.989645
200808,57,4,6.908755,1,-119.191928,28.482802,-88.848871,0.641869,1.084646
200809,57,4,6.852341,1,-112.339587,9.754463,-79.094408,0.597181,0.798787
200810,55,4,-50.522720,74,-162.862307,-50.523720,-129.618128,0.596851,1.183941
200811,55,4,-43.052832,192,-205.915140,-43.053832,-172.671959,0.563697,0.978274
200812,55,4,-5.343481,349,-211.258621,-5.344476,-178.016436,0.573287,0.850187
200901,58,4,-4.238778,58,-215.497399,-4.239763,-182.256199,0.586427,0.544049
200902,56,4,-21.724038,219,-237.221437,-21.725037,-203.981236,0.399563,0.529232
200903,17,2,-0.809841,338,-238.031279,-0.810396,-204.791633,0.438464,0.695422
200904,20,2,0.372723,144,-237.658556,0.373175,-204.418458,0.474369,0.219540
200905,19,2,-6.278642,945,-243.937198,-6.279640,-210.698098,0.390921,0.572858
200906,19,2,-0.856762,632,-244.793960,-0.857337,-211.555435,0.382757,0.401047
200907,22,2,0.106700,194,-244.687260,0.106812,-211.448623,0.398855,0.837667
200908,22,2,0.105724,212,-244.581537,0.105835,-211.342788,0.507257,0.757116
200909,22,2,-5.055572,566,-249.637109,-5.056565,-216.399353,0.606012,0.747985
200910,17,2,-0.404149,191,-250.041258,-0.404482,-216.803835,0.631494,0.486230
200911,18,2,-0.781227,115,-250.822485,-0.781769,-217.585604,0.729265,0.401372
200912,18,2,1.180218,78,-249.642267,1.182476,-216.403128,0.778420,0.104019
201001,17,2,-1.701198,731,-251.343464,-1.702015,-218.105143,0.905175,-0.073664
201002,9,2,-0.928960,907,-252.272424,-0.929564,-219.034707,0.834041,-0.350274
201003,9,2,1.463022,33,-250.809402,1.466347,-217.568360,0.742549,-0.219871
201004,9,2,0.628773,61,-250.180628,0.629649,-216.938711,0.665438,-0.420710
201005,9,2,0.845934,89,-249.334695,0.847265,-216.091446,0.676902,-0.084900
201006,9,2,-0.239543,179,-249.574237,-0.239756,-216.331202,0.674405,-0.182713
201007,9,2,1.992562,19,-247.581675,1.998916,-214.332286,0.649281,-0.092691
201008,9,2,2.823278,5,-244.758397,2.839237,-211.493049,0.699089,-0.106060
201009,10,2,0.583700,51,-244.174697,0.584493,-210.908556,0.796355,-0.080658
201010,10,2,-7.968137,596,-252.142834,-7.969136,-218.877692,0.771904,-0.107232
201011,11,2,1.736822,39,-250.406012,1.741512,-217.136180,0.794027,-0.142409
201012,11,2,-0.064399,383,-250.470412,-0.064462,-217.200641,0.821363,-0.170514
201101,11,2,-0.500869,529,-250.971281,-0.501263,-217.701905,0.877113,-0.354867
201102,11,2,0.423858,159,-250.547422,0.424386,-217.277518,0.843557,-0.302156
201103,12,2,0.244228,158,-250.303195,0.244504,-217.033014,0.590405,-0.130124
201104,12,2,2.671646,11,-247.631549,2.685201,-214.347813,0.678180,0.111564
201105,12,2,2.419366,18,-245.212183,2.429657,-211.918155,0.692192,0.135402
201106,12,2,1.954548,7,-243.257635,1.960628,-209.957528,0.813006,-0.227094
201107,12,2,3.805771,1,-239.451863,3.850727,-206.106801,0.774126,0.073447
201108,12,2,0.503308,167,-238.948555,0.503963,-205.602839,0.744334,-0.068203
