date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.333776,1,6.333776,7.159950,7.159950,0.913733,0.360729
200308,88,6,6.908210,1,13.241986,14.422448,21.582397,0.913733,0.360729
200309,94,7,1.353863,2,14.595849,1.356740,22.939137,0.849909,0.280997
200310,97,7,-21.219441,146,-6.623592,-21.220441,1.718697,0.849909,0.280997
200311,98,7,-1.506362,10,-8.129954,-1.507140,0.211557,0.849909,0.280997
200312,96,7,-7.872013,30,-16.001967,-7.873012,-7.661455,0.849909,0.280997
200401,106,8,-9.514102,19,-25.516069,-9.515101,-17.176557,0.849909,0.280997
200402,101,7,5.679690,2,-19.836380,6.024801,-11.151756,0.815103,0.257098
200403,106,8,-7.745207,59,-27.581586,-7.746206,-18.897961,0.815103,0.257098
200404,107,8,-2.199065,24,-29.780652,-2.199954,-21.097916,0.815103,0.257098
200405,108,8,-1.086005,6,-30.866656,-1.086667,-22.184582,0.847245,0.272460
200406,106,8,0.572421,4,-30.294235,0.573194,-21.611389,0.847245,0.272460
200407,110,8,-0.943266,53,-31.237502,-0.943877,-22.555266,0.847245,0.272460
200408,108,8,-6.887864,37,-38.125366,-6.888863,-29.444128,0.823817,0.267368
200409,111,8,-3.326106,43,-41.451472,-3.327070,-32.771198,0.852840,0.285309
200410,108,8,6.823616,1,-34.627857,9.328352,-23.442846,0.812443,0.258236
200411,109,8,5.975945,2,-28.651912,6.474907,-16.967939,0.808984,0.273476
200412,116,8,-12.031751,64,-40.683663,-12.032751,-29.000690,0.844970,0.314343
200501,115,8,-22.358474,81,-63.042137,-22.359474,-51.360163,0.813778,0.323536
200502,115,8,-8.547338,39,-71.589476,-8.548338,-59.908501,0.858836,0.243527
200503,111,8,-4.949793,248,-76.539269,-4.950786,-64.859287,0.823284,0.282646
200504,100,7,-27.705511,531,-104.244781,-27.706511,-92.565798,0.829079,0.229393
200505,98,7,-2.461622,34,-106.706403,-2.462536,-95.028334,0.858702,0.205160
200506,104,7,3.938549,6,-102.767854,3.990205,-91.038129,0.869432,0.208859
200507,105,7,-2.441884,114,-105.209737,-2.442796,-93.480926,0.798696,0.184994
200508,104,7,6.516306,1,-98.693431,7.640471,-85.840454,0.743319,0.169382
200509,101,7,-4.987475,249,-103.680906,-4.988467,-90.828922,0.766434,0.149504
200510,103,7,-8.679905,185,-112.360811,-8.680905,-99.509826,0.795782,0.212097
200511,101,7,3.506836,5,-108.853975,3.539714,-95.970113,0.715917,0.115730
200512,116,8,-14.319366,78,-123.173341,-14.320366,-110.290478,0.681624,0.118986
200601,116,8,6.394573,1,-116.778768,7.304851,-102.985627,0.745860,0.179636
200602,116,8,-1.237214,91,-118.015982,-1.237924,-104.223551,0.788050,0.145799
200603,118,8,-10.046829,227,-128.062811,-10.047829,-114.271379,0.815712,0.194028
200604,117,8,-26.078562,60,-154.141373,-26.079561,-140.350941,0.802326,0.201400
200605,120,8,-7.709873,67,-161.851246,-7.710872,-148.061813,0.919189,0.250065
200606,128,9,-9.889664,421,-171.740910,-9.890663,-157.952476,0.931697,0.173913
200607,125,9,-1.083902,118,-172.824812,-1.084563,-159.037040,0.924052,0.162027
