date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-2.126071,31,-2.126071,-2.126952,-2.126952,0.925489,0.123546
200308,143,10,0.214932,48,-1.911139,0.215172,-1.911779,0.925489,0.123546
200309,148,10,-13.459009,76,-15.370148,-13.460008,-15.371788,0.919795,0.126192
200310,150,10,-1.303329,10,-16.673477,-1.304058,-16.675845,0.919795,0.126192
200311,152,11,-5.151712,18,-21.825189,-5.152705,-21.828551,0.919795,0.126192
200312,150,10,6.199478,1,-15.625710,6.875753,-14.952798,0.919795,0.126192
200401,139,10,-17.122115,76,-32.747825,-17.123115,-32.075912,0.919795,0.126192
200402,143,10,-15.086927,56,-47.834753,-15.087927,-47.163839,0.817436,0.079838
200403,139,10,-1.466325,57,-49.301078,-1.467094,-48.630933,0.817436,0.079838
200404,135,9,-11.692476,859,-60.993554,-11.693476,-60.324409,0.817436,0.079838
200405,140,10,-8.424020,38,-69.417574,-8.425020,-68.749428,0.819621,0.097363
200406,146,10,-43.237735,510,-112.655309,-43.238734,-111.988163,0.819621,0.097363
200407,152,11,-2.256938,29,-114.912247,-2.257833,-114.245995,0.819621,0.097363
200408,153,11,-11.781694,266,-126.693940,-11.782693,-126.028689,0.831370,0.122890
200409,155,11,-5.367643,150,-132.061583,-5.368637,-131.397326,0.838770,0.115399
200410,162,11,-3.910474,96,-135.972057,-3.911454,-135.308780,0.800621,0.119280
200411,167,12,-11.821551,48,-147.793608,-11.822550,-147.131330,0.779549,0.124030
200412,163,11,0.216250,70,-147.577358,0.216492,-146.914838,0.799204,0.151624
200501,164,11,-8.991525,318,-156.568882,-8.992524,-155.907362,0.799092,0.174790
200502,169,12,-2.868471,125,-159.437354,-2.869414,-158.776776,0.780917,0.165418
200503,172,12,-13.700610,455,-173.137964,-13.701610,-172.478386,0.781072,0.160780
200504,187,13,4.936472,3,-168.201492,5.085294,-167.393092,0.815059,0.206647
200505,196,14,-0.872675,17,-169.074168,-0.873257,-168.266349,0.780174,0.238430
200506,190,13,5.781547,2,-163.292621,6.172016,-162.094333,0.813869,0.215311
200507,190,13,-1.599160,10,-164.891780,-1.599957,-163.694291,0.787606,0.176198
200508,190,13,3.664481,11,-161.227299,3.703259,-159.991031,0.758477,0.184651
200509,197,14,-7.302586,22,-168.529885,-7.303585,-167.294616,0.747822,0.197696
200510,194,13,-18.374573,96,-186.904457,-18.375572,-185.670188,0.722723,0.165164
200511,197,14,-0.890333,19,-187.794790,-0.890922,-186.561110,0.745897,0.158926
200512,165,11,-9.589085,188,-197.383876,-9.590085,-196.151195,0.721559,0.152643
200601,164,11,-6.237063,20,-203.620939,-6.238061,-202.389256,0.755952,0.236196
200602,171,12,-4.753520,15,-208.374459,-4.754511,-207.143767,0.802262,0.173029
200603,168,12,-43.724037,504,-252.098496,-43.725037,-250.868804,0.796084,0.203012
200604,158,11,-11.546846,22,-263.645342,-11.547846,-262.416649,0.805782,0.152336
200605,152,11,2.013948,5,-261.631395,2.020462,-260.396187,0.769241,0.264267
200606,142,10,-11.371509,57,-273.002904,-11.372509,-271.768696,0.765137,0.285479
200607,141,10,-15.825747,57,-288.828651,-15.826747,-287.595443,0.777328,0.260221
200608,140,10,6.874259,1,-281.954391,10.257390,-277.338053,0.799965,0.254998
200609,142,10,0.809634,42,-281.144758,0.810881,-276.527172,0.806544,0.262954
200610,143,10,-3.964940,11,-285.109698,-3.965921,-280.493093,0.773118,0.294686
200611,157,11,-5.570905,58,-290.680604,-5.571901,-286.064994,0.841944,0.118244
200612,147,10,-2.107722,39,-292.788326,-2.108600,-288.173594,0.836548,0.182298
200701,152,11,-8.855511,98,-301.643837,-8.856511,-297.030104,0.841196,0.128786
200702,157,11,-0.332183,64,-301.976020,-0.332466,-297.362570,0.833878,0.176349
200703,157,11,-13.971515,121,-315.947536,-13.972515,-311.335085,0.856425,0.136787
200704,134,9,1.093953,13,-314.853583,1.095941,-310.239144,0.851698,0.178085
200705,131,9,-26.192546,669,-341.046129,-26.193546,-336.432690,0.846273,0.190258
200706,136,10,2.510386,17,-338.535743,2.521760,-333.910930,0.888615,0.107410
200707,128,9,0.204850,36,-338.330893,0.205077,-333.705853,0.904166,0.128266
200708,125,9,6.584591,1,-331.746302,7.867806,-325.838046,0.859386,0.180266
200709,125,9,1.622228,10,-330.124074,1.626300,-324.211746,0.858512,0.216655
200710,114,8,2.005394,8,-328.118680,2.011844,-322.199902,0.848643,0.197627
200711,105,7,-0.631436,52,-328.750117,-0.631905,-322.831807,0.841507,0.191686
200712,99,7,-1.854963,6,-330.605080,-1.855807,-324.687613,0.810761,0.211660
200801,96,7,-22.200922,367,-352.806003,-22.201922,-346.889535,0.771774,0.243309
200802,95,7,3.160805,5,-349.645197,3.183654,-343.705881,0.836145,0.137715
200803,115,8,-5.538533,449,-355.183730,-5.539529,-349.245410,0.832087,0.103592
200804,114,8,-21.344648,294,-376.528378,-21.345647,-370.591057,0.907339,0.090635
200805,106,8,-29.026094,439,-405.554472,-29.027093,-399.618151,0.920343,0.115101
200806,105,7,1.400121,9,-404.154351,1.403182,-398.214969,0.930714,0.156193
200807,100,7,3.428319,9,-400.726032,3.458597,-394.756372,0.932373,0.159114
200808,100,7,0.943119,10,-399.782913,0.944688,-393.811683,0.890961,0.168149
200809,99,7,-3.422120,520,-403.205032,-3.423087,-397.234770,0.885605,0.193887
200810,99,7,-0.837807,195,-404.042839,-0.838374,-398.073144,0.874440,0.161401
200811,96,7,-5.829955,503,-409.872794,-5.830952,-403.904096,0.884314,0.158649
200812,94,7,0.171341,192,-409.701453,0.171528,-403.732567,0.893364,0.074080
200901,94,7,0.237401,153,-409.464053,0.237669,-403.494899,0.902501,0.025206
200902,97,7,2.907685,9,-406.556368,2.925151,-400.569748,0.980260,0.002405
200903,101,7,-9.479902,83,-416.036270,-9.480901,-410.050649,0.877470,-0.032841
200904,113,8,-24.169524,531,-440.205793,-24.170523,-434.221172,0.873390,0.023031
200905,110,8,-2.282969,269,-442.488762,-2.283867,-436.505039,0.866090,0.089422
200906,113,8,-3.627368,267,-446.116130,-3.628341,-440.133380,0.909277,0.060509
200907,116,8,1.374153,19,-444.741977,1.377109,-438.756271,0.867361,0.189932
200908,113,8,5.898442,2,-438.843535,6.350164,-432.406107,0.822337,0.211893
200909,121,9,-9.485301,56,-448.328837,-9.486301,-441.892407,0.911240,0.208189
200910,120,8,-10.753977,25,-459.082814,-10.754976,-452.647384,0.857351,0.228035
200911,122,9,-5.242201,194,-464.325014,-5.243195,-457.890579,0.814960,0.206279
200912,116,8,-0.948029,52,-465.273043,-0.948641,-458.839220,0.741853,0.194744
201001,118,8,1.103725,33,-464.169319,1.105742,-457.733478,0.750574,0.106547
201002,121,9,-33.404637,135,-497.573956,-33.405637,-491.139115,0.748156,0.141564
201003,130,9,-1.271851,29,-498.845807,-1.272570,-492.411685,0.695885,0.158921
201004,127,9,-16.856207,314,-515.702013,-16.857206,-509.268891,0.738109,0.227331
201005,130,9,0.080190,57,-515.621823,0.080274,-509.188617,0.921349,0.089742
201006,134,9,-31.601133,466,-547.222957,-31.602133,-540.790750,0.927705,0.074031
201007,140,10,-1.143530,194,-548.366487,-1.144211,-541.934962,0.819837,0.100171
201008,140,10,-0.266910,8,-548.633397,-0.267145,-542.202106,0.743116,0.086113
201009,150,10,1.224819,14,-547.408579,1.227225,-540.974881,0.771491,0.090373
201010,149,10,-1.888380,46,-549.296958,-1.889228,-542.864109,0.744624,0.082809
201011,159,11,-4.100836,47,-553.397795,-4.101819,-546.965929,0.665893,0.083914
201012,164,11,-4.455437,10,-557.853232,-4.456425,-551.422354,0.628287,0.066252
201101,164,11,4.945397,3,-552.907836,5.095669,-546.326685,0.625331,0.071155
201102,175,12,-7.381590,3,-560.289425,-7.382589,-553.709273,0.651693,0.074816
201103,186,13,6.902559,1,-553.386867,11.988489,-541.720784,0.622932,0.038893
201104,194,13,6.908755,1,-546.478112,29.573519,-512.147266,0.618437,0.090859
201105,193,13,6.908752,1,-539.569360,19.586333,-492.560933,0.778017,0.090191
201106,199,14,-27.437664,152,-567.007024,-27.438663,-519.999596,0.862156,0.087794
201107,221,15,-3.059346,8,-570.066370,-3.060299,-523.059895,0.841628,0.112107
201108,221,15,6.908755,1,-563.157615,24.087581,-498.972314,0.820253,0.147878
201109,224,15,-5.454171,74,-568.611787,-5.455167,-504.427480,0.829726,0.124431
201110,221,15,-2.994115,33,-571.605901,-2.995064,-507.422544,0.832817,0.101975
201111,227,16,-10.396195,93,-582.002096,-10.397194,-517.819738,0.836031,0.085102
201112,228,16,-25.900275,135,-607.902371,-25.901275,-543.721013,0.852102,0.041598
201201,234,16,-3.310748,13,-611.213119,-3.311711,-547.032724,0.901648,-0.030174
201202,239,16,6.305072,1,-604.908047,7.095480,-539.937243,0.912803,-0.032230
201203,232,16,-28.424382,462,-633.332429,-28.425381,-568.362625,0.915021,-0.000373
201204,234,16,-22.927818,149,-656.260247,-22.928818,-591.291442,0.925011,-0.002998
201205,232,16,-11.206438,196,-667.466686,-11.207438,-602.498880,0.913834,-0.024997
201206,242,17,-6.590459,72,-674.057144,-6.591457,-609.090337,0.911682,-0.041764
201207,242,17,6.888954,1,-667.168190,10.819869,-598.270468,0.874250,-0.018529
201208,256,18,-15.024047,11,-682.192237,-15.025046,-613.295515,0.877746,-0.026411
201209,271,19,6.908755,1,-675.283482,30.288922,-583.006593,0.851645,-0.051767
201210,266,18,2.983874,3,-672.299608,3.002817,-580.003776,0.854184,-0.046962
201211,273,19,6.908755,1,-665.390853,33.540246,-546.463529,0.854450,-0.032899
201212,271,19,6.908755,1,-658.482099,25.147456,-521.316074,0.863569,-0.052925
201301,272,19,6.908755,1,-651.573344,39.832021,-481.484053,0.916984,-0.157927
201302,280,19,-6.431818,15,-658.005162,-6.432816,-487.916869,0.936057,-0.148622
201303,274,19,6.902784,1,-651.102377,12.025718,-475.891151,0.972518,-0.069060
201304,269,18,-1.827472,16,-652.929849,-1.828310,-477.719461,0.973718,-0.019316
201305,273,19,-12.082774,97,-665.012622,-12.083773,-489.803235,0.950529,-0.003898
201306,279,19,-19.039611,271,-684.052234,-19.040611,-508.843845,0.931210,0.032273
201307,285,19,-3.135182,35,-687.187415,-3.136138,-511.979983,0.938522,0.051140
201308,291,20,-5.749837,6,-692.937252,-5.750833,-517.730816,0.932550,0.056814
201309,275,19,-17.324500,17,-710.261752,-17.325499,-535.056315,0.928654,0.044286
201310,280,19,6.908022,1,-703.353730,14.125440,-520.930875,0.921595,0.030781
201311,291,20,-49.089280,591,-752.443010,-49.090280,-570.021155,0.948752,0.002737
201312,288,20,-3.395578,23,-755.838588,-3.396544,-573.417699,0.974342,-0.037738
201401,292,20,-16.709105,420,-772.547693,-16.710104,-590.127803,0.958956,-0.029018
201402,297,20,1.329030,13,-771.218663,1.331811,-588.795992,0.966316,-0.044006
201403,296,20,-5.305918,9,-776.524581,-5.306913,-594.102905,0.953480,0.012538
201404,296,20,-33.790520,318,-810.315101,-33.791520,-627.894424,0.974778,0.014464
