date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,-8.839308,23,-8.839308,-8.840307,-8.840307,0.812655,0.205992
200308,444,30,-12.786467,20,-21.625774,-12.787466,-21.627773,0.812655,0.205992
200309,451,31,-9.214185,20,-30.839960,-9.215184,-30.842958,0.820647,0.214783
200310,433,29,-73.278266,544,-104.118226,-73.279266,-104.122224,0.820647,0.214783
200311,437,30,-22.048342,57,-126.166568,-22.049342,-126.171565,0.820647,0.214783
200312,442,30,-11.826859,14,-137.993426,-11.827858,-137.999423,0.820647,0.214783
200401,441,30,-28.575078,124,-166.568505,-28.576078,-166.575501,0.820647,0.214783
200402,445,30,6.549278,1,-160.019226,7.745745,-158.829756,0.777400,0.205125
200403,438,30,6.908755,1,-153.110472,53.293181,-105.536575,0.777400,0.205125
200404,440,30,-15.505464,44,-168.615935,-15.506463,-121.043038,0.777400,0.205125
200405,435,29,0.790747,2,-167.825188,0.791953,-120.251086,0.789975,0.215445
200406,436,30,-27.760338,109,-195.585526,-27.761338,-148.012423,0.789975,0.215445
200407,432,29,6.908749,1,-188.676777,18.933079,-129.079344,0.789975,0.215445
200408,431,29,6.908747,1,-181.768030,18.716656,-110.362688,0.785865,0.220712
200409,441,30,-18.708475,20,-200.476505,-18.709475,-129.072163,0.844204,0.233845
200410,437,30,0.555764,4,-199.920742,0.556507,-128.515655,0.796351,0.249567
200411,434,29,-4.054303,15,-203.975044,-4.055285,-132.570940,0.761134,0.267461
200412,423,29,6.886342,1,-197.088702,10.694656,-121.876284,0.813153,0.322895
200501,425,29,-2.365763,8,-199.454465,-2.366669,-124.242952,0.796188,0.317057
200502,427,29,-10.642703,22,-210.097168,-10.643702,-134.886655,0.798010,0.309781
200503,411,28,-2.148719,2,-212.245887,-2.149602,-137.036257,0.755387,0.315637
200504,404,27,-5.589370,3,-217.835257,-5.590366,-142.626623,0.729754,0.323030
200505,402,27,6.908754,1,-210.926503,21.398178,-121.228445,0.763684,0.326555
200506,397,27,6.908476,1,-204.018027,15.093069,-106.135376,0.744525,0.326730
200507,403,27,5.320637,2,-198.697390,5.548183,-100.587193,0.736697,0.324360
200508,405,27,0.684388,5,-198.013002,0.685371,-99.901822,0.740323,0.353638
200509,404,27,6.846404,1,-191.166598,9.651396,-90.250426,0.761057,0.373725
200510,414,28,-14.191201,48,-205.357799,-14.192200,-104.442627,0.729832,0.392789
200511,411,28,6.908755,1,-198.449044,24.942604,-79.500023,0.715665,0.387551
200512,411,28,-8.369397,47,-206.818441,-8.370397,-87.870419,0.719866,0.426114
200601,413,28,6.908685,1,-199.909756,16.478890,-71.391530,0.705042,0.460528
200602,424,29,5.556934,2,-194.352822,5.855377,-65.536153,0.705131,0.467758
200603,419,28,6.704357,1,-187.648465,8.391506,-57.144647,0.679472,0.485945
200604,424,29,-0.087506,5,-187.735971,-0.087590,-57.232237,0.743114,0.495786
200605,416,28,-4.197385,17,-191.933356,-4.198370,-61.430606,0.748785,0.508788
200606,410,28,-19.168541,4,-211.101897,-19.169540,-80.600147,0.712198,0.490474
