date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,123.331124,123.331124,0.868572,0.289921
200308,401,27,6.908755,1,13.817510,119.938969,243.270094,0.868572,0.289921
200309,412,28,6.908755,1,20.726264,117.191172,360.461266,0.908200,0.406980
200310,406,28,6.908755,1,27.635019,97.649151,458.110417,0.908200,0.406980
200311,416,28,6.908755,1,34.543774,91.817979,549.928396,0.908200,0.406980
200312,421,29,6.908755,1,41.452529,142.150568,692.078964,0.908200,0.406980
200401,429,29,6.908755,1,48.361283,155.258610,847.337574,0.908200,0.406980
200402,426,29,6.908755,1,55.270038,170.249364,1017.586938,0.770784,0.352053
200403,428,29,6.908755,1,62.178793,170.248476,1187.835414,0.770784,0.352053
200404,423,29,6.908755,1,69.087548,214.684280,1402.519694,0.770784,0.352053
200405,423,29,6.908755,1,75.996303,174.558367,1577.078061,0.763767,0.369474
200406,424,29,6.908755,1,82.905057,115.040086,1692.118146,0.763767,0.369474
200407,425,29,6.908755,1,89.813812,43.726524,1735.844670,0.763767,0.369474
200408,428,29,6.908755,1,96.722567,93.735403,1829.580073,0.711362,0.340402
200409,439,30,6.908755,1,103.631322,169.140705,1998.720778,0.699774,0.361543
200410,436,30,6.908755,1,110.540076,180.527279,2179.248057,0.582376,0.307850
200411,444,30,6.908755,1,117.448831,114.092145,2293.340202,0.517660,0.292607
200412,445,30,6.908755,1,124.357586,176.995091,2470.335293,0.533346,0.340539
200501,444,30,6.908755,1,131.266341,286.265350,2756.600643,0.469433,0.272208
200502,443,30,6.908755,1,138.175096,212.703738,2969.304381,0.481328,0.264497
200503,438,30,6.908755,1,145.083850,226.739122,3196.043503,0.456490,0.265948
200504,436,30,6.908755,1,151.992605,183.885462,3379.928964,0.559332,0.330482
200505,431,29,6.908755,1,158.901360,190.045360,3569.974325,0.550183,0.341533
200506,438,30,6.908755,1,165.810115,206.392785,3776.367110,0.503663,0.302844
200507,442,30,6.908755,1,172.718869,205.735989,3982.103099,0.493443,0.366535
200508,439,30,6.908755,1,179.627624,189.624302,4171.727401,0.435730,0.359545
200509,449,30,6.908755,1,186.536379,366.051575,4537.778976,0.405966,0.380547
200510,455,31,6.908755,1,193.445134,356.778905,4894.557881,0.451406,0.285757
200511,455,31,6.908755,1,200.353889,321.396329,5215.954209,0.367120,0.295509
200512,446,30,6.908755,1,207.262643,326.753714,5542.707924,0.342297,0.357157
200601,430,29,6.908755,1,214.171398,356.027073,5898.734997,0.344007,0.318146
200602,434,29,6.908755,1,221.080153,244.239606,6142.974603,0.429089,0.330998
200603,434,29,6.908755,1,227.988908,235.765135,6378.739737,0.489172,0.302143
200604,431,29,6.908755,1,234.897662,239.552982,6618.292719,0.507609,0.407901
200605,433,29,6.908755,1,241.806417,196.352602,6814.645321,0.655049,0.488015
200606,421,29,6.908755,1,248.715172,124.438305,6939.083625,0.726645,0.422847
200607,423,29,6.908755,1,255.623927,125.878945,7064.962571,0.769659,0.447811
200608,414,28,6.908755,1,262.532682,102.437971,7167.400541,0.752008,0.544590
200609,415,28,6.908755,1,269.441436,155.822005,7323.222547,0.729275,0.618030
200610,380,26,6.908755,1,276.350191,127.489951,7450.712498,0.739926,0.525814
200611,389,26,6.908755,1,283.258946,154.400294,7605.112792,0.705947,0.640759
200612,380,26,6.908755,1,290.167701,134.143377,7739.256169,0.615370,0.655639
200701,378,26,6.908755,1,297.076456,126.255896,7865.512065,0.639900,0.559379
200702,356,24,6.908755,1,303.985210,165.104640,8030.616705,0.638679,0.557731
200703,353,24,6.908755,1,310.893965,131.658541,8162.275246,0.658388,0.547499
200704,367,25,6.908755,1,317.802720,163.127872,8325.403118,0.638048,0.690939
200705,371,25,6.908755,1,324.711475,159.526835,8484.929953,0.672497,0.749839
200706,370,25,6.908755,1,331.620229,98.443028,8583.372981,0.753172,0.642909
200707,362,25,6.908755,1,338.528984,109.363924,8692.736905,0.746125,0.698830
200708,356,24,6.908755,1,345.437739,170.828472,8863.565377,0.727182,0.727001
200709,364,25,6.908755,1,352.346494,103.475866,8967.041243,0.724282,0.708323
200710,386,26,6.908755,1,359.255249,62.164457,9029.205700,0.730215,0.451616
200711,379,26,6.908755,1,366.164003,44.412408,9073.618108,0.622568,0.542782
200712,395,27,6.908755,1,373.072758,116.883376,9190.501484,0.615303,0.561873
200801,394,27,6.908755,1,379.981513,79.473373,9269.974857,0.566919,0.580096
200802,400,27,6.908755,1,386.890268,112.491364,9382.466220,0.574233,0.441926
