date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,5.403883,1,5.403883,5.653971,5.653971,0.806576,0.036066
200308,54,4,-10.177102,51,-4.773219,-10.178102,-4.524131,0.806576,0.036066
200309,53,4,-6.321226,54,-11.094445,-6.322224,-10.846354,0.797163,0.095671
200310,62,5,6.888466,1,-4.205979,10.795289,-0.051065,0.797163,0.095671
200311,62,5,6.350690,1,2.144711,7.199060,7.147994,0.797163,0.095671
200312,64,5,0.537970,5,2.682680,0.538682,7.686677,0.797163,0.095671
200401,67,5,6.753572,1,9.436252,8.692312,16.378989,0.797163,0.095671
200402,69,5,0.424246,2,9.860499,0.424775,16.803764,0.774022,0.222895
200403,67,5,2.660366,3,12.520864,2.673757,19.477520,0.774022,0.222895
200404,67,5,-1.775488,23,10.745377,-1.776318,17.701202,0.774022,0.222895
200405,69,5,-3.860264,138,6.885113,-3.861242,13.839960,0.743132,0.258159
200406,73,5,-12.510431,194,-5.625318,-12.511431,1.328529,0.743132,0.258159
200407,71,5,-1.832188,156,-7.457506,-1.833028,-0.504498,0.743132,0.258159
200408,69,5,0.181606,49,-7.275900,0.181806,-0.322693,0.724992,0.346761
200409,72,5,2.538794,8,-4.737106,2.550527,2.227834,0.735115,0.389705
200410,71,5,0.095849,152,-4.641256,0.095950,2.323784,0.733092,0.538443
200411,72,5,-15.093237,829,-19.734493,-15.094236,-12.770452,0.717947,0.581927
200412,72,5,-2.519087,312,-22.253580,-2.520006,-15.290458,0.738568,0.553167
200501,72,5,-7.798174,306,-30.051754,-7.799173,-23.089631,0.742910,0.556623
200502,87,6,-1.442172,271,-31.493926,-1.442936,-24.532566,0.742707,0.546632
200503,88,6,4.376212,1,-27.117714,4.458004,-20.074563,0.741041,0.526063
200504,89,6,6.868430,1,-20.249284,10.098306,-9.976256,0.504420,0.513699
200505,90,6,6.595086,1,-13.654199,7.906241,-2.070016,0.445558,0.388715
200506,93,7,6.888504,1,-6.765695,10.797164,8.727148,0.358674,0.334582
200507,93,7,-0.141560,17,-6.907255,-0.141692,8.585456,0.307934,0.287624
200508,95,7,6.907432,1,0.000177,13.534934,22.120390,0.308915,0.320917
200509,100,7,6.908755,1,6.908931,28.956266,51.076657,0.227049,0.364811
200510,94,7,6.908755,1,13.817686,27.308172,78.384828,0.357127,0.245125
200511,94,7,6.908741,1,20.726428,18.123451,96.508279,0.423302,0.283689
200512,95,7,2.816472,3,23.542899,2.832314,99.340594,0.533097,0.209574
200601,100,7,6.847208,1,30.390108,9.664790,109.005384,0.503192,0.484029
200602,103,7,6.908512,1,37.298620,15.230977,124.236360,0.498961,0.413226
200603,101,7,6.885831,1,44.184451,10.671865,134.908225,0.571700,0.023304
200604,103,7,6.797403,1,50.981854,9.046621,143.954846,0.627265,0.060176
200605,101,7,6.908754,1,57.890607,20.564555,164.519400,0.588889,0.298825
200606,130,9,6.908753,1,64.799360,20.034278,184.553678,0.543514,0.560953
200607,127,9,6.908755,1,71.708115,26.871937,211.425615,0.650660,0.454848
200608,134,9,1.430319,4,73.138434,1.433504,212.859120,0.606237,0.490703
200609,128,9,6.908754,1,80.047188,21.021569,233.880689,0.636824,0.787133
200610,164,11,6.908755,1,86.955943,33.273215,267.153904,0.623771,0.866135
200611,164,11,6.908755,1,93.864698,36.342529,303.496434,0.620237,0.748612
200612,159,11,6.908755,1,100.773453,22.585695,326.082129,0.681169,0.570054
