date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,1.589668,52,1.589668,1.593577,1.593577,0.819011,0.500990
200308,24,2,-9.625326,168,-8.035658,-9.626325,-8.032748,0.819011,0.500990
200309,26,2,1.199956,60,-6.835702,1.202279,-6.830469,0.717688,-0.710348
200310,26,2,-1.209248,436,-8.044950,-1.209950,-8.040419,0.717688,-0.710348
200311,25,2,-0.201906,145,-8.246857,-0.202089,-8.242508,0.717688,-0.710348
200312,25,2,0.039075,294,-8.207782,0.039115,-8.203393,0.717688,-0.710348
200401,27,2,-10.441509,511,-18.649290,-10.442508,-18.645901,0.717688,-0.710348
200402,28,2,2.169594,7,-16.479697,2.177379,-16.468523,0.613762,-0.611789
200403,29,2,-7.771329,105,-24.251025,-7.772328,-24.240850,0.613762,-0.611789
200404,27,2,2.312699,10,-21.938327,2.321842,-21.919009,0.613762,-0.611789
200405,31,3,-0.384906,195,-22.323233,-0.385225,-22.304234,0.561915,-0.676518
200406,33,3,-2.788553,389,-25.111785,-2.789491,-25.093724,0.561915,-0.676518
200407,34,3,0.584281,145,-24.527504,0.585075,-24.508649,0.561915,-0.676518
200408,34,3,-0.062697,293,-24.590201,-0.062758,-24.571407,0.564194,-0.457112
200409,33,3,1.802694,5,-22.787507,1.807773,-22.763634,0.579726,-0.255098
200410,33,3,0.387633,135,-22.399874,0.388107,-22.375527,0.580291,-0.210215
200411,34,3,-0.105241,352,-22.505115,-0.105341,-22.480868,0.623491,0.240588
200412,34,3,1.057153,56,-21.447962,1.059033,-21.421835,0.738285,-0.142455
200501,36,3,1.036466,88,-20.411496,1.038287,-20.383548,0.827111,0.088893
200502,36,3,-9.777491,794,-30.188987,-9.778491,-30.162039,0.869521,0.355690
200503,35,3,-0.654904,460,-30.843892,-0.655385,-30.817424,0.811825,-0.256070
200504,38,3,-1.309705,455,-32.153597,-1.310435,-32.127859,0.809004,-0.197265
200505,38,3,-2.221663,475,-34.375260,-2.222554,-34.350413,0.820693,-0.398575
200506,38,3,-1.378338,186,-35.753598,-1.379086,-35.729499,0.794175,-0.493009
200507,43,3,-4.105918,494,-39.859515,-4.106901,-39.836399,0.691100,-0.264338
200508,43,3,3.812613,1,-36.046902,3.857891,-35.978508,0.568039,0.169512
200509,43,3,1.136800,35,-34.910102,1.138919,-34.839589,0.589118,0.136032
200510,43,3,3.322265,6,-31.587838,3.349351,-31.490238,0.388256,0.093760
200511,45,3,5.260737,1,-26.327101,5.473464,-26.016774,0.348637,0.171724
200512,45,3,2.356944,8,-23.970157,2.366549,-23.650225,0.342782,0.269035
200601,46,4,4.148699,1,-19.821458,4.213079,-19.437146,0.337446,0.421732
200602,48,4,-9.813785,126,-29.635243,-9.814785,-29.251931,0.445637,0.426545
200603,46,4,-0.215007,216,-29.850250,-0.215201,-29.467131,0.442798,0.293177
200604,46,4,-5.836189,963,-35.686440,-5.837186,-35.304317,0.720623,-0.033023
200605,47,4,2.297983,22,-33.388456,2.306978,-32.997340,0.742044,0.855748
200606,47,4,2.096341,12,-31.292115,2.103503,-30.893836,0.729988,0.716582
200607,48,4,-2.146781,315,-33.438896,-2.147664,-33.041500,0.789575,0.551503
200608,48,4,2.771683,2,-30.667213,2.786782,-30.254718,0.786565,0.658638
200609,48,4,0.821911,112,-29.845302,0.823187,-29.431531,0.741801,0.682942
200610,48,4,3.253783,5,-26.591518,3.278986,-26.152545,0.732075,0.640926
200611,49,4,-2.306452,68,-28.897971,-2.307352,-28.459897,0.498253,-0.665585
200612,50,4,1.568316,47,-27.329655,1.572122,-26.887775,0.539698,-0.374466
200701,49,4,4.944385,1,-22.385270,5.094493,-21.793283,0.554846,0.170018
200702,48,4,-7.188652,450,-29.573922,-7.189651,-28.982934,0.536102,0.704043
200703,48,4,-0.732523,509,-30.306445,-0.733042,-29.715976,0.608415,0.803730
200704,49,4,2.359223,14,-27.947222,2.368852,-27.347124,0.554915,1.173876
200705,50,4,3.392848,10,-24.554374,3.422020,-23.925104,0.711472,0.924940
200706,49,4,6.862516,1,-17.691858,9.958477,-13.966627,0.735430,0.926604
200707,50,4,0.100627,260,-17.591231,0.100733,-13.865894,0.700950,1.098419
200708,50,4,0.894727,78,-16.696504,0.896174,-12.969719,0.735085,0.424136
200709,53,4,-3.299438,253,-19.995943,-3.300401,-16.270120,0.663132,0.700015
200710,54,4,6.614546,1,-13.381397,7.980513,-8.289607,0.738953,0.240937
200711,56,4,-3.275601,172,-16.656997,-3.276563,-11.566170,0.648707,0.969603
200712,55,4,-3.135862,96,-19.792859,-3.136818,-14.702988,0.630858,1.605267
200801,54,4,6.235880,1,-13.556979,6.948720,-7.754268,0.722704,1.369089
200802,55,4,-0.006434,54,-13.563413,-0.006440,-7.760708,0.681528,1.276192
200803,56,4,-17.930648,394,-31.494061,-17.931648,-25.692356,0.690382,1.296001
200804,55,4,-12.651966,795,-44.146028,-12.652966,-38.345322,0.688038,1.170115
200805,55,4,6.871450,1,-37.274578,10.177671,-28.167651,0.709423,1.216947
200806,56,4,-20.617466,74,-57.892044,-20.618465,-48.786116,0.700725,1.176169
200807,56,4,1.813975,5,-56.078068,1.819123,-46.966993,0.595994,0.989645
200808,57,4,6.908688,1,-49.169381,16.517269,-30.449724,0.641869,1.084646
200809,57,4,2.956142,5,-46.213239,2.974534,-27.475190,0.597181,0.798787
200810,55,4,-29.095403,333,-75.308641,-29.096402,-56.571592,0.596851,1.183941
200811,55,4,-27.491594,14,-102.800235,-27.492593,-84.064185,0.563697,0.978274
200812,55,4,-0.552970,37,-103.353205,-0.553395,-84.617580,0.573287,0.850187
200901,58,4,-18.356568,544,-121.709773,-18.357568,-102.975148,0.586427,0.544049
200902,56,4,-19.524963,346,-141.234736,-19.525962,-122.501110,0.399563,0.529232
200903,17,2,2.057829,52,-139.176907,2.064681,-120.436429,0.438464,0.695422
