date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,2.964050,12,2.964050,2.982597,2.982597,0.913733,0.360729
200308,88,6,-6.900916,265,-3.936866,-6.901915,-3.919317,0.913733,0.360729
200309,94,7,3.954821,7,0.017955,4.007364,0.088046,0.849909,0.280997
200310,97,7,4.658829,3,4.676784,4.769216,4.857262,0.849909,0.280997
200311,98,7,4.536565,3,9.213348,4.633483,9.490745,0.849909,0.280997
200312,96,7,-12.607753,40,-3.394405,-12.608752,-3.118008,0.849909,0.280997
200401,106,8,0.651780,2,-2.742625,0.652699,-2.465309,0.849909,0.280997
200402,101,7,3.081430,7,0.338805,3.102439,0.637131,0.815103,0.257098
200403,106,8,6.890293,1,7.229099,10.890575,11.527706,0.815103,0.257098
200404,107,8,4.118360,3,11.347459,4.180723,15.708429,0.815103,0.257098
200405,108,8,6.610410,1,17.957869,7.964384,23.672813,0.847245,0.272460
200406,106,8,-7.635704,83,10.322165,-7.636703,16.036110,0.847245,0.272460
200407,110,8,3.422097,6,13.744262,3.452178,19.488288,0.847245,0.272460
200408,108,8,6.464697,1,20.208959,7.489325,26.977613,0.823817,0.267368
200409,111,8,-1.172718,39,19.036241,-1.173409,25.804204,0.852840,0.285309
200410,108,8,6.255634,1,25.291874,6.989477,32.793681,0.812443,0.258236
200411,109,8,6.860024,1,32.151898,9.904737,42.698418,0.808984,0.273476
200412,116,8,-3.127578,12,29.024321,-3.128533,39.569885,0.844970,0.314343
200501,115,8,6.855904,1,35.880225,9.821504,49.391389,0.813778,0.323536
200502,115,8,6.908752,1,42.788977,19.662659,69.054048,0.858836,0.243527
200503,111,8,1.392162,27,44.181139,1.395190,70.449238,0.823284,0.282646
200504,100,7,-26.435719,446,17.745419,-26.436719,44.012519,0.829079,0.229393
200505,98,7,-4.301902,71,13.443517,-4.302888,39.709631,0.858702,0.205160
200506,104,7,2.368304,9,15.811821,2.378030,42.087661,0.869432,0.208859
200507,105,7,-7.590005,595,8.221816,-7.591004,34.496657,0.798696,0.184994
200508,104,7,6.535906,1,14.757722,7.702129,42.198786,0.743319,0.169382
200509,101,7,4.628579,3,19.386301,4.735461,46.934246,0.766434,0.149504
200510,103,7,-1.772519,16,17.613782,-1.773349,45.160898,0.795782,0.212097
200511,101,7,1.421949,18,19.035731,1.425099,46.585997,0.715917,0.115730
200512,116,8,3.033893,2,22.069624,3.053869,49.639866,0.681624,0.118986
200601,116,8,0.617890,19,22.687514,0.618746,50.258612,0.745860,0.179636
200602,116,8,0.959510,12,23.647024,0.961122,51.219734,0.788050,0.145799
200603,118,8,1.566909,5,25.213934,1.570708,52.790442,0.815712,0.194028
200604,117,8,6.908755,1,32.122688,40.256455,93.046897,0.802326,0.201400
200605,120,8,6.908086,1,39.030774,14.216887,107.263784,0.919189,0.250065
200606,128,9,-3.238300,33,35.792474,-3.239261,104.024524,0.931697,0.173913
200607,125,9,6.894046,1,42.686520,11.119707,115.144230,0.924052,0.162027
200608,127,9,6.903109,1,49.589629,12.081737,127.225968,0.942056,0.106353
200609,130,9,0.549978,65,50.139606,0.550711,127.776679,0.907446,0.106380
200610,141,10,6.908352,1,57.047959,14.725084,142.501763,0.868503,0.103441
200611,127,9,-4.505050,10,52.542909,-4.506038,137.995725,0.908069,0.100448
200612,127,9,6.908595,1,59.451504,15.652297,153.648022,0.898536,0.161202
200701,123,9,6.908755,1,66.360259,27.489961,181.137983,0.910711,0.146369
200702,118,8,5.819375,2,72.179634,6.228489,187.366472,0.906365,0.156647
200703,109,8,5.085327,2,77.264961,5.260434,192.626906,0.926336,0.155446
200704,118,8,4.691220,2,81.956181,4.805494,197.432400,0.953490,0.179696
200705,113,8,6.908755,1,88.864936,27.853159,225.285559,0.935005,0.169053
200706,105,7,6.069075,1,94.934011,6.633443,231.919003,0.956506,0.231598
200707,101,7,-9.704187,42,85.229825,-9.705186,222.213817,0.948415,0.253858
200708,95,7,6.908711,1,92.138535,16.937851,239.151667,0.954840,0.283763
200709,91,7,6.908732,1,99.047268,17.619499,256.771166,0.936882,0.240895
200710,79,6,6.865535,1,105.912803,10.027533,266.798699,0.899963,0.234072
200711,77,6,6.908712,1,112.821515,16.966095,283.764794,0.869055,0.238077
200712,73,5,5.406072,2,118.227587,5.656786,289.421580,0.870553,0.239456
200801,72,5,2.614352,19,120.841939,2.627091,292.048671,0.861321,0.270715
200802,72,5,-6.768713,237,114.073227,-6.769711,285.278960,0.865931,0.277244
200803,50,4,4.293353,4,118.366580,4.368305,289.647265,0.874867,0.194558
200804,52,4,4.507263,4,122.873843,4.601215,294.248479,0.915868,0.140073
200805,55,4,2.136361,17,125.010204,2.143858,296.392337,0.933275,0.213239
200806,40,3,1.344783,35,126.354987,1.347625,297.739962,0.945456,0.238494
200807,37,3,-3.844638,398,122.510348,-3.845617,293.894345,0.958406,0.215514
200808,38,3,2.097625,16,124.607974,2.104798,295.999143,0.916081,0.210418
200809,38,3,5.332950,1,129.940924,5.563682,301.562826,0.905198,0.206818
200810,35,3,-2.771381,985,127.169543,-2.772318,298.790507,0.908708,0.192886
200811,35,3,-7.594661,863,119.574882,-7.595660,291.194847,0.906704,0.150226
200812,32,3,-0.468506,221,119.106375,-0.468880,290.725967,0.882481,0.149363
200901,32,3,-0.841480,672,118.264895,-0.842049,289.883918,0.876192,0.164283
200902,33,3,-5.965840,711,112.299055,-5.966837,283.917081,0.937120,0.117494
200903,33,3,-1.008595,398,111.290460,-1.009230,282.907851,0.965765,0.094768
200904,34,3,-0.409442,421,110.881018,-0.409778,282.498073,1.014478,0.147561
200905,33,3,1.491709,47,112.372727,1.495160,283.993233,1.002593,0.073148
200906,34,3,-5.436276,569,106.936451,-5.437271,278.555961,1.009399,0.068743
200907,35,3,-1.443254,217,105.493197,-1.444018,277.111944,1.019521,0.081510
200908,38,3,-1.477623,302,104.015574,-1.478395,275.633549,1.017576,0.117167
200909,39,3,-4.478095,482,99.537479,-4.479083,271.154466,1.053143,0.190330
200910,39,3,-0.180868,301,99.356611,-0.181033,270.973432,0.941653,0.209161
200911,42,3,-1.524883,369,97.831727,-1.525665,269.447767,0.936788,0.251299
200912,50,4,2.394311,9,100.226038,2.404321,271.852088,0.966668,0.309488
201001,55,4,-0.993464,163,99.232574,-0.994093,270.857995,0.932765,0.241101
201002,58,4,-9.046204,622,90.186370,-9.047204,261.810791,0.919466,0.250771
201003,59,4,0.296930,8,90.483299,0.297275,262.108066,0.854541,0.261024
201004,66,5,-4.589608,398,85.893691,-4.590598,257.517468,0.852894,0.280191
201005,66,5,0.474553,52,86.368244,0.475160,257.992629,0.821326,0.258350
201006,67,5,4.051164,5,90.419408,4.109285,262.101914,0.633197,0.166808
201007,69,5,5.137567,2,95.556975,5.323055,267.424969,0.798966,0.184338
201008,81,6,5.235844,1,100.792819,5.442731,272.867699,0.748359,0.136898
201009,91,7,6.907471,1,107.700291,13.565435,286.433134,0.713896,0.154904
201010,104,7,6.905667,1,114.605957,12.686360,299.119494,0.768506,0.209913
201011,106,8,6.752214,1,121.358171,8.682902,307.802396,0.771722,0.210406
201012,109,8,5.796879,2,127.155050,6.194778,313.997174,0.769200,0.162483
201101,109,8,6.908755,1,134.063805,25.272699,339.269873,0.695212,0.134321
201102,106,8,6.908753,1,140.972557,19.945987,359.215860,0.724982,0.188175
201103,107,8,6.872988,1,147.845545,10.220556,369.436416,0.773063,0.002862
201104,107,8,6.908754,1,154.754300,21.396986,390.833402,0.733307,0.074717
201105,104,7,6.902662,1,161.656961,12.005296,402.838698,0.791498,-0.043341
201106,107,8,3.553777,5,165.210738,3.588311,406.427010,0.824479,-0.007005
201107,106,8,6.894365,1,172.105103,11.141811,417.568821,0.863674,0.169039
201108,110,8,2.336395,9,174.441498,2.345783,419.914603,0.871891,0.158900
201109,116,8,6.847564,1,181.289062,9.670764,429.585367,0.891100,0.284854
201110,119,8,6.840118,1,188.129180,9.552170,439.137538,0.850263,0.186907
201111,126,9,-1.746454,17,186.382726,-1.747280,437.390258,0.792212,0.231005
201112,124,9,5.974490,1,192.357216,6.472510,443.862768,0.795655,0.238197
201201,125,9,6.908520,1,199.265735,15.263728,459.126495,0.804627,0.222016
201202,127,9,6.618912,1,205.884647,7.997753,467.124248,0.826691,0.137871
201203,133,9,-4.987595,6,200.897052,-4.988588,462.135660,0.849146,0.093360
201204,135,9,6.907116,1,207.804168,13.320780,475.456440,0.921894,0.133435
201205,132,9,6.105423,1,213.909591,6.698331,482.154771,0.969576,0.165082
201206,136,10,1.263353,40,215.172944,1.265893,483.420664,0.933985,0.116896
201207,141,10,4.111395,2,219.284339,4.173304,487.593968,0.933470,0.131102
201208,136,10,6.554583,1,225.838922,7.763422,495.357391,0.935587,0.129145
201209,155,11,6.890333,1,232.729255,10.892729,506.250120,0.925389,0.094555
201210,162,11,-3.136202,49,229.593053,-3.137158,503.112962,0.917107,0.149812
201211,164,11,6.869751,1,236.462804,10.132298,513.245260,0.927430,0.147898
201212,167,12,6.900205,1,243.363009,11.665321,524.910581,0.949153,0.154503
201301,166,12,4.618588,4,247.981597,4.724338,529.634919,0.971914,0.094636
201302,162,11,6.811334,1,254.792930,9.187361,538.822280,0.976931,0.082036
201303,158,11,-19.872317,130,234.920614,-19.873316,518.948964,0.996360,0.059668
201304,167,12,4.575743,2,239.496357,4.676780,523.625744,1.001480,0.098488
201305,158,11,5.447215,2,244.943572,5.710023,529.335767,0.910728,0.087687
201306,158,11,-7.677176,23,237.266395,-7.678175,521.657592,0.855232,0.084385
201307,166,12,6.908753,1,244.175149,20.222477,541.880069,0.845309,0.120872
201308,166,12,-8.353926,345,235.821223,-8.354925,533.525144,0.836850,0.141581
201309,180,12,6.908755,1,242.729978,55.995900,589.521044,0.839182,0.146070
201310,171,12,6.908747,1,249.638725,18.722849,608.243893,0.849645,0.179760
201311,175,12,6.908746,1,256.547471,18.559550,626.803442,0.895062,0.172903
201312,174,12,-3.255329,3,253.292142,-3.256290,623.547152,0.931924,0.177977
201401,178,12,6.908755,1,260.200897,24.825374,648.372526,0.946216,0.146505
201402,176,12,1.545464,10,261.746361,1.549161,649.921687,0.960066,0.134316
201403,170,12,1.865717,12,263.612078,1.871193,651.792879,0.959032,0.106995
201404,173,12,4.514103,2,268.126181,4.608739,656.401618,0.954123,0.101744
201405,169,12,-8.754668,44,259.371513,-8.755667,647.645951,0.955711,0.106728
201406,167,12,-9.786050,14,249.585463,-9.787049,637.858901,0.982875,0.129094
201407,185,13,0.894122,10,250.479585,0.895568,638.754469,0.964009,0.156800
201408,188,13,-4.789154,469,245.690430,-4.790145,633.964324,0.954722,0.143128
201409,194,13,-0.975699,21,244.714731,-0.976322,632.988002,0.961097,0.126242
201410,191,13,6.233982,1,250.948713,6.944848,639.932850,0.957733,0.120691
201411,187,13,-17.556929,186,233.391784,-17.557929,622.374922,0.965302,0.102439
201412,185,13,1.942523,4,235.334307,1.948517,624.323439,0.939443,0.102500
201501,174,12,5.251184,2,240.585491,5.461648,629.785087,0.948003,0.059308
201502,180,12,-7.950315,115,232.635176,-7.951314,621.833773,0.964079,0.040530
201503,176,12,0.531978,5,233.167154,0.532680,622.366454,0.950418,0.083646
201504,164,11,-7.585514,69,225.581640,-7.586513,614.779940,0.952923,0.065261
201505,157,11,6.664785,1,232.246425,8.194004,622.973945,0.953560,0.033635
201506,149,10,6.688335,1,238.934760,8.307742,631.281687,0.967617,0.036684
201507,150,10,0.674225,3,239.608985,0.675188,631.956874,0.969267,0.092511
201508,151,11,1.306140,19,240.915125,1.308836,633.265710,0.971405,0.084611
201509,157,11,-5.103532,9,235.811592,-5.104526,628.161184,0.988402,0.110036
201510,154,11,6.896294,1,242.707887,11.286698,639.447883,1.014885,0.108726
201511,148,10,6.898729,1,249.606615,11.505314,650.953197,1.016132,0.113675
201512,150,10,6.881112,1,256.487728,10.482306,661.435503,1.018183,0.097946
201601,147,10,6.894278,1,263.382006,11.135714,672.571216,1.029453,0.122657
201602,160,11,6.908697,1,270.290703,16.669528,689.240744,1.012809,0.126594
201603,161,11,4.484958,3,274.775661,4.576716,693.817459,1.008502,0.110335
201604,160,11,-1.004552,7,273.771109,-1.005186,692.812274,0.978005,0.100033
201605,160,11,1.796973,18,275.568082,1.802017,694.614291,0.985995,0.059300
201606,160,11,-2.468861,40,273.099221,-2.469776,692.144515,0.986694,0.036178
201607,166,12,-2.206140,25,270.893081,-2.207029,689.937485,1.019705,0.049531
201608,161,11,6.908716,1,277.801797,17.063775,707.001260,1.018774,0.101381
