date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-6.739919,312,-6.739919,-6.740917,-6.740917,0.925489,0.123546
200308,143,10,6.575468,1,-0.164451,7.835238,1.094321,0.925489,0.123546
200309,148,10,6.872480,1,6.708029,10.206186,11.300507,0.919795,0.126192
200310,150,10,5.138029,2,11.846058,5.323612,16.624118,0.919795,0.126192
200311,152,11,-7.617834,30,4.228224,-7.618833,9.005286,0.919795,0.126192
200312,150,10,6.883378,1,11.111603,10.568976,19.574262,0.919795,0.126192
200401,139,10,6.253016,1,17.364618,6.984025,26.558287,0.919795,0.126192
200402,143,10,6.908755,1,24.273373,28.182813,54.741100,0.817436,0.079838
200403,139,10,6.274207,1,30.547580,7.028603,61.769704,0.817436,0.079838
200404,135,9,-1.205330,33,29.342250,-1.206030,60.563673,0.817436,0.079838
200405,140,10,6.907201,1,36.249451,13.373964,73.937637,0.819621,0.097363
200406,146,10,5.489143,2,41.738594,5.764962,79.702599,0.819621,0.097363
200407,152,11,6.906579,1,48.645173,13.037187,92.739786,0.819621,0.097363
200408,153,11,6.880792,1,55.525966,10.470629,103.210416,0.831370,0.122890
200409,155,11,6.908369,1,62.434335,14.767961,117.978376,0.838770,0.115399
200410,162,11,6.908755,1,69.343089,24.085194,142.063570,0.800621,0.119280
200411,167,12,-4.515288,8,64.827801,-4.516277,137.547293,0.779549,0.124030
200412,163,11,6.908755,1,71.736556,22.706646,160.253939,0.799204,0.151624
200501,164,11,5.543431,2,77.279986,5.837202,166.091142,0.799092,0.174790
200502,169,12,6.908753,1,84.188739,20.071165,186.162306,0.780917,0.165418
200503,172,12,6.908755,1,91.097494,33.186589,219.348896,0.781072,0.160780
200504,187,13,6.908755,1,98.006249,46.159243,265.508139,0.815059,0.206647
200505,196,14,6.908755,1,104.915004,43.100368,308.608507,0.780174,0.238430
200506,190,13,6.908755,1,111.823758,44.932943,353.541450,0.813869,0.215311
200507,190,13,6.908755,1,118.732513,32.752805,386.294254,0.787606,0.176198
200508,190,13,6.908755,1,125.641268,22.632519,408.926773,0.758477,0.184651
200509,197,14,6.908755,1,132.550023,53.941463,462.868236,0.747822,0.197696
200510,194,13,6.908755,1,139.458777,99.347962,562.216198,0.722723,0.165164
200511,197,14,6.908755,1,146.367532,34.449938,596.666136,0.745897,0.158926
200512,165,11,6.908755,1,153.276287,37.948278,634.614413,0.721559,0.152643
200601,164,11,6.908755,1,160.185042,67.320220,701.934634,0.755952,0.236196
200602,171,12,6.908755,1,167.093796,36.139085,738.073719,0.802262,0.173029
200603,168,12,6.908755,1,174.002551,36.943006,775.016725,0.796084,0.203012
200604,158,11,6.908755,1,180.911306,74.252854,849.269579,0.805782,0.152336
200605,152,11,6.908755,1,187.820061,41.994703,891.264282,0.769241,0.264267
200606,142,10,6.908755,1,194.728816,29.190797,920.455080,0.765137,0.285479
200607,141,10,-0.479564,6,194.249252,-0.479945,919.975135,0.777328,0.260221
200608,140,10,6.518225,1,200.767476,7.646394,927.621529,0.799965,0.254998
200609,142,10,6.905156,1,207.672632,12.533105,940.154635,0.806544,0.262954
200610,143,10,6.908755,1,214.581387,39.930455,980.085089,0.773118,0.294686
200611,157,11,6.908755,1,221.490142,27.357359,1007.442449,0.841944,0.118244
200612,147,10,6.826920,1,228.317062,9.369608,1016.812057,0.836548,0.182298
200701,152,11,1.181380,3,229.498442,1.183641,1017.995698,0.841196,0.128786
200702,157,11,4.439703,3,233.938144,4.527169,1022.522867,0.833878,0.176349
200703,157,11,-0.720730,6,233.217414,-0.721244,1021.801623,0.856425,0.136787
200704,134,9,6.889172,1,240.106586,10.831037,1032.632661,0.851698,0.178085
200705,131,9,-0.493275,3,239.613311,-0.493664,1032.138996,0.846273,0.190258
200706,136,10,1.561308,30,241.174619,1.565081,1033.704077,0.888615,0.107410
200707,128,9,4.284983,4,245.459602,4.359277,1038.063354,0.904166,0.128266
200708,125,9,6.908755,1,252.368357,30.364908,1068.428262,0.859386,0.180266
200709,125,9,6.908534,1,259.276891,15.327672,1083.755934,0.858512,0.216655
200710,114,8,6.908745,1,266.185637,18.484764,1102.240698,0.848643,0.197627
200711,105,7,6.856321,1,273.041957,9.829623,1112.070321,0.841507,0.191686
200712,99,7,6.908755,1,279.950712,40.088832,1152.159153,0.810761,0.211660
200801,96,7,-11.414042,22,268.536670,-11.415041,1140.744112,0.771774,0.243309
