date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,99.896685,99.896685,0.812655,0.205992
200308,444,30,6.908755,1,13.817510,131.462783,231.359468,0.812655,0.205992
200309,451,31,6.908755,1,20.726264,116.595804,347.955272,0.820647,0.214783
200310,433,29,6.908755,1,27.635019,131.134145,479.089417,0.820647,0.214783
200311,437,30,6.908755,1,34.543774,91.911598,571.001015,0.820647,0.214783
200312,442,30,6.908755,1,41.452529,78.611001,649.612015,0.820647,0.214783
200401,441,30,6.908755,1,48.361283,102.945422,752.557438,0.820647,0.214783
200402,445,30,6.908755,1,55.270038,134.379102,886.936539,0.777400,0.205125
200403,438,30,6.908755,1,62.178793,174.024465,1060.961004,0.777400,0.205125
200404,440,30,6.908755,1,69.087548,168.985927,1229.946932,0.777400,0.205125
200405,435,29,6.908755,1,75.996303,117.802051,1347.748983,0.789975,0.215445
200406,436,30,6.908755,1,82.905057,128.065820,1475.814803,0.789975,0.215445
200407,432,29,6.908755,1,89.813812,140.283720,1616.098523,0.789975,0.215445
200408,431,29,6.908755,1,96.722567,143.252048,1759.350571,0.785865,0.220712
200409,441,30,6.908755,1,103.631322,117.351931,1876.702502,0.844204,0.233845
200410,437,30,6.908755,1,110.540076,144.967715,2021.670217,0.796351,0.249567
200411,434,29,6.908755,1,117.448831,124.022247,2145.692464,0.761134,0.267461
200412,423,29,6.908755,1,124.357586,175.660584,2321.353048,0.813153,0.322895
200501,425,29,6.908755,1,131.266341,144.436926,2465.789974,0.796188,0.317057
200502,427,29,6.908755,1,138.175096,171.336911,2637.126884,0.798010,0.309781
200503,411,28,6.908755,1,145.083850,191.168342,2828.295227,0.755387,0.315637
200504,404,27,6.908755,1,151.992605,106.609780,2934.905007,0.729754,0.323030
200505,402,27,6.908755,1,158.901360,142.155529,3077.060536,0.763684,0.326555
200506,397,27,6.908755,1,165.810115,139.058967,3216.119503,0.744525,0.326730
200507,403,27,6.908755,1,172.718869,165.298754,3381.418257,0.736697,0.324360
200508,405,27,6.908755,1,179.627624,38.129379,3419.547637,0.740323,0.353638
200509,404,27,6.908755,1,186.536379,60.691774,3480.239411,0.761057,0.373725
200510,414,28,6.908755,1,193.445134,89.480437,3569.719847,0.729832,0.392789
200511,411,28,6.908755,1,200.353889,103.737862,3673.457709,0.715665,0.387551
200512,411,28,6.908755,1,207.262643,103.992028,3777.449737,0.719866,0.426114
200601,413,28,6.908755,1,214.171398,206.156365,3983.606102,0.705042,0.460528
200602,424,29,6.908755,1,221.080153,171.155438,4154.761540,0.705131,0.467758
200603,419,28,6.908755,1,227.988908,135.345076,4290.106616,0.679472,0.485945
200604,424,29,6.908755,1,234.897662,136.720398,4426.827013,0.743114,0.495786
200605,416,28,6.908755,1,241.806417,131.324944,4558.151957,0.748785,0.508788
200606,410,28,6.908755,1,248.715172,213.145701,4771.297658,0.712198,0.490474
200607,416,28,6.908755,1,255.623927,172.681954,4943.979612,0.710952,0.473024
200608,417,28,6.908755,1,262.532682,184.794293,5128.773906,0.714096,0.457054
200609,416,28,6.908755,1,269.441436,114.127647,5242.901553,0.732451,0.427487
200610,403,27,6.908755,1,276.350191,114.512025,5357.413577,0.757991,0.415813
200611,394,27,6.908755,1,283.258946,88.045301,5445.458878,0.793577,0.452135
200612,395,27,6.908755,1,290.167701,133.399340,5578.858218,0.791042,0.444863
200701,400,27,6.908755,1,297.076456,87.457365,5666.315583,0.826400,0.459609
200702,391,27,6.908755,1,303.985210,165.736778,5832.052362,0.831213,0.394844
200703,380,26,6.908755,1,310.893965,112.201402,5944.253763,0.829474,0.396037
200704,384,26,6.908755,1,317.802720,130.676599,6074.930362,0.801905,0.402548
200705,384,26,6.908755,1,324.711475,98.417169,6173.347531,0.801854,0.352803
200706,381,26,6.908755,1,331.620229,88.990787,6262.338318,0.833361,0.266050
200707,390,26,6.908755,1,338.528984,60.749907,6323.088225,0.815531,0.206888
200708,376,26,6.908755,1,345.437739,108.963905,6432.052130,0.739989,0.266138
200709,381,26,6.908755,1,352.346494,90.819073,6522.871202,0.743063,0.251676
200710,379,26,6.908755,1,359.255249,76.993400,6599.864602,0.761253,0.293980
200711,387,26,6.908755,1,366.164003,59.412297,6659.276899,0.738837,0.245779
200712,381,26,6.908755,1,373.072758,88.601995,6747.878894,0.741785,0.284568
200801,384,26,6.908755,1,379.981513,43.098692,6790.977586,0.741989,0.300553
200802,384,26,6.908755,1,386.890268,25.839226,6816.816812,0.730668,0.256812
200803,377,26,6.908751,1,393.799018,19.313222,6836.130034,0.730392,0.261581
200804,387,26,6.908755,1,400.707773,74.431361,6910.561395,0.743121,0.225851
200805,405,27,6.908755,1,407.616528,105.730750,7016.292145,0.776369,0.198034
200806,413,28,6.908755,1,414.525283,88.372370,7104.664516,0.773453,0.209175
200807,424,29,6.908755,1,421.434037,97.031798,7201.696314,0.772566,0.184370
200808,427,29,6.908755,1,428.342792,145.470829,7347.167143,0.861124,0.102765
200809,428,29,6.908755,1,435.251547,108.030941,7455.198084,0.867240,0.049628
200810,424,29,6.908755,1,442.160302,40.989173,7496.187257,0.866159,0.056729
200811,415,28,6.908755,1,449.069057,59.243833,7555.431090,0.829633,0.071898
200812,422,29,6.908755,1,455.977811,83.817562,7639.248652,0.809949,0.020358
200901,430,29,6.908755,1,462.886566,87.977475,7727.226128,0.814649,-0.007969
200902,439,30,6.908755,1,469.795321,72.754548,7799.980676,0.840290,0.019106
200903,434,29,6.908755,1,476.704076,51.891835,7851.872511,0.787524,0.091800
200904,441,30,6.908755,1,483.612830,52.858140,7904.730651,0.715509,0.125530
200905,451,31,6.908755,1,490.521585,123.647285,8028.377936,0.718412,0.152511
200906,457,31,6.908755,1,497.430340,94.215400,8122.593337,0.738862,0.136542
200907,463,31,6.908755,1,504.339095,66.120604,8188.713940,0.722971,0.203122
200908,460,31,6.908755,1,511.247850,73.337287,8262.051227,0.767430,0.276858
200909,477,32,6.908755,1,518.156604,69.191066,8331.242293,0.828908,0.288441
200910,488,33,6.908755,1,525.065359,181.075456,8512.317749,0.914030,0.331744
200911,506,34,6.908755,1,531.974114,104.812508,8617.130256,0.832393,0.324316
200912,515,35,6.908755,1,538.882869,117.576681,8734.706937,0.805852,0.340387
201001,521,35,6.908755,1,545.791623,131.376087,8866.083024,0.825641,0.324109
201002,522,35,6.908755,1,552.700378,138.245570,9004.328594,0.813788,0.282856
201003,521,35,6.908755,1,559.609133,173.649988,9177.978582,0.808809,0.253053
201004,523,35,6.908755,1,566.517888,71.268403,9249.246985,0.760662,0.219139
201005,534,36,6.908755,1,573.426643,92.357187,9341.604173,0.766430,0.161379
201006,531,36,6.908755,1,580.335397,108.604829,9450.209001,0.806924,0.161441
201007,529,36,6.908755,1,587.244152,154.085438,9604.294440,0.782203,0.152324
201008,540,36,6.908755,1,594.152907,142.497949,9746.792389,0.746233,0.128996
201009,548,37,6.908755,1,601.061662,164.587680,9911.380069,0.786925,0.133990
201010,563,38,6.908755,1,607.970416,164.044734,10075.424803,0.820684,0.143266
201011,565,38,6.908755,1,614.879171,136.501482,10211.926285,0.809146,0.147861
201012,573,39,6.908755,1,621.787926,129.247621,10341.173905,0.785201,0.140074
201101,568,38,6.908755,1,628.696681,99.540509,10440.714414,0.793636,0.138076
201102,577,39,6.908755,1,635.605436,106.911168,10547.625582,0.820999,0.137381
201103,566,38,6.908755,1,642.514190,110.268213,10657.893795,0.794687,0.151995
201104,548,37,6.908755,1,649.422945,153.503106,10811.396901,0.746013,0.158320
