date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,253.469812,253.469812,0.930489,0.070370
200308,401,27,6.908755,1,13.817510,171.642887,425.112699,0.930489,0.070370
200309,412,28,6.908755,1,20.726264,129.476594,554.589293,0.954528,0.104658
200310,406,28,6.908755,1,27.635019,229.086712,783.676005,0.954528,0.104658
200311,416,28,6.908755,1,34.543774,120.174868,903.850873,0.954528,0.104658
200312,421,29,6.908755,1,41.452529,208.661341,1112.512214,0.954528,0.104658
200401,429,29,6.908755,1,48.361283,190.377974,1302.890188,0.954528,0.104658
200402,426,29,6.908755,1,55.270038,376.633431,1679.523619,0.869939,0.070201
200403,428,29,6.908755,1,62.178793,358.483485,2038.007104,0.869939,0.070201
200404,423,29,6.908755,1,69.087548,657.285525,2695.292629,0.869939,0.070201
200405,423,29,6.908755,1,75.996303,403.156593,3098.449222,0.877004,0.090514
200406,424,29,6.908755,1,82.905057,221.839105,3320.288326,0.877004,0.090514
200407,425,29,6.908755,1,89.813812,186.211690,3506.500016,0.877004,0.090514
200408,428,29,6.908755,1,96.722567,306.327048,3812.827064,0.858630,0.090323
200409,439,30,6.908755,1,103.631322,267.053612,4079.880676,0.860172,0.072802
200410,436,30,6.908755,1,110.540076,549.448579,4629.329255,0.800683,0.065748
200411,444,30,6.908755,1,117.448831,568.893875,5198.223129,0.788021,0.069972
200412,445,30,6.908755,1,124.357586,336.887005,5535.110135,0.826961,0.036844
200501,444,30,6.908755,1,131.266341,109.884015,5644.994150,0.831190,0.011613
200502,443,30,6.908755,1,138.175096,51.558568,5696.552718,0.879070,0.024241
200503,438,30,6.908755,1,145.083850,109.156291,5805.709009,0.876890,-0.017205
200504,436,30,6.908755,1,151.992605,63.139443,5868.848452,0.933956,0.010493
200505,431,29,6.908755,1,158.901360,30.339134,5899.187586,0.938540,-0.021685
200506,438,30,6.908755,1,165.810115,54.877266,5954.064853,0.931091,-0.037207
200507,442,30,6.908751,1,172.718866,19.526429,5973.591282,0.937955,-0.051406
200508,439,30,6.908284,1,179.627150,14.568583,5988.159865,0.915326,-0.061148
200509,449,30,6.908755,1,186.535905,49.526915,6037.686779,0.930040,-0.036039
200510,455,31,6.908755,1,193.444660,76.878566,6114.565345,0.931155,-0.087668
200511,455,31,6.908755,1,200.353414,73.349682,6187.915027,0.916425,-0.113170
200512,446,30,6.908755,1,207.262169,55.303371,6243.218399,0.928630,-0.105592
