date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.908148,1,6.908148,14.314311,14.314311,0.955640,-0.076902
200308,54,4,-31.981878,219,-25.073730,-31.982877,-17.668566,0.955640,-0.076902
200309,53,4,-1.607059,19,-26.680789,-1.607859,-19.276425,0.956404,-0.056062
200310,62,5,5.727408,2,-20.953382,6.092939,-13.183486,0.956404,-0.056062
200311,62,5,6.727420,1,-14.225962,8.523127,-4.660359,0.956404,-0.056062
200312,64,5,5.543012,2,-8.682950,5.836640,1.176281,0.956404,-0.056062
200401,67,5,4.176759,3,-4.506191,4.243063,5.419344,0.956404,-0.056062
200402,69,5,3.993274,2,-0.512918,4.047975,9.467320,0.948631,-0.088793
200403,67,5,-3.872696,62,-4.385614,-3.873675,5.593645,0.948631,-0.088793
200404,67,5,-17.142767,467,-21.528380,-17.143766,-11.550121,0.948631,-0.088793
200405,69,5,-0.982606,177,-22.510987,-0.983232,-12.533353,0.959664,-0.082678
200406,73,5,-0.637879,12,-23.148865,-0.638350,-13.171703,0.959664,-0.082678
200407,71,5,-9.044258,413,-32.193124,-9.045258,-22.216961,0.959664,-0.082678
200408,69,5,-11.668846,349,-43.861970,-11.669846,-33.886807,0.968094,-0.165233
200409,72,5,3.818221,4,-40.043749,3.863766,-30.023041,0.972700,-0.220635
200410,71,5,-11.583205,749,-51.626954,-11.584204,-41.607245,0.976302,-0.182319
200411,72,5,-2.347008,182,-53.973961,-2.347912,-43.955157,0.967646,-0.184974
200412,72,5,-18.226475,995,-72.200436,-18.227474,-62.182631,0.971309,-0.135791
200501,72,5,0.462612,82,-71.737823,0.463201,-61.719430,0.958717,-0.050090
200502,87,6,0.866860,29,-70.870963,0.868241,-60.851189,0.968461,-0.071715
200503,88,6,-0.433077,271,-71.304040,-0.433429,-61.284618,0.955611,-0.082902
200504,89,6,-6.671626,258,-77.975666,-6.672624,-67.957242,0.915676,-0.060923
200505,90,6,-10.584784,634,-88.560450,-10.585783,-78.543025,0.910216,-0.052843
200506,93,7,-24.917975,376,-113.478425,-24.918974,-103.461999,0.906716,-0.132020
200507,93,7,-18.615692,323,-132.094116,-18.616691,-122.078691,0.909726,-0.156122
200508,95,7,-3.630237,343,-135.724354,-3.631210,-125.709901,0.877798,-0.168682
200509,100,7,-2.688025,73,-138.412379,-2.688957,-128.398858,0.888562,-0.121586
200510,94,7,-17.043337,271,-155.455716,-17.044337,-145.443195,0.908667,-0.239654
200511,94,7,-20.295050,818,-175.750766,-20.296049,-165.739244,0.892894,-0.184981
200512,95,7,-13.467471,20,-189.218236,-13.468470,-179.207714,0.910525,-0.186291
200601,100,7,-28.302900,891,-217.521137,-28.303900,-207.511614,0.884171,-0.078222
200602,103,7,-11.234344,12,-228.755481,-11.235344,-218.746957,0.897482,-0.016660
200603,101,7,4.752183,3,-224.003298,4.874166,-213.872791,0.900046,-0.043365
200604,103,7,6.849117,1,-217.154181,9.697249,-204.175542,0.894310,0.042278
200605,101,7,5.711280,2,-211.442901,6.069754,-198.105788,0.921118,0.036198
200606,130,9,5.564320,2,-205.878581,5.865354,-192.240434,0.892961,0.124954
200607,127,9,6.908745,1,-198.969836,18.459087,-173.781347,0.916778,0.038138
200608,134,9,-29.675869,133,-228.645705,-29.676869,-203.458215,0.884124,0.066233
200609,128,9,6.328439,1,-222.317266,7.147788,-196.310427,0.873824,0.114190
200610,164,11,-7.611054,43,-229.928319,-7.612053,-203.922480,0.878976,-0.013074
