date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,2.625546,7,2.625546,2.638441,2.638441,0.941503,0.464466
200308,88,6,-20.380171,183,-17.754625,-20.381170,-17.742729,0.941503,0.464466
200309,94,7,-1.300096,5,-19.054720,-1.300823,-19.043552,0.859269,0.375724
200310,97,7,6.866951,1,-12.187770,10.061548,-8.982004,0.859269,0.375724
200311,98,7,6.897235,1,-5.290534,11.365714,2.383710,0.859269,0.375724
200312,96,7,-17.808820,8,-23.099354,-17.809819,-15.426109,0.859269,0.375724
200401,106,8,6.808367,1,-16.290987,9.155854,-6.270256,0.859269,0.375724
200402,101,7,6.861288,1,-9.429700,9.931645,3.661389,0.815294,0.288352
200403,106,8,6.908755,1,-2.520945,22.353426,26.014815,0.815294,0.288352
200404,107,8,6.908753,1,4.387808,20.163747,46.178562,0.815294,0.288352
200405,108,8,6.908755,1,11.296562,22.138381,68.316943,0.839027,0.349220
200406,106,8,6.908755,1,18.205317,26.580681,94.897624,0.839027,0.349220
200407,110,8,6.908677,1,25.113994,16.364021,111.261644,0.839027,0.349220
200408,108,8,6.908755,1,32.022749,26.867983,138.129628,0.813075,0.274500
200409,111,8,3.562447,2,35.585195,3.597296,141.726924,0.830568,0.261797
200410,108,8,6.902308,1,42.487503,11.948663,153.675587,0.789048,0.223384
200411,109,8,6.908737,1,49.396240,17.829400,171.504986,0.790430,0.251006
200412,116,8,6.528238,1,55.924478,7.677698,179.182684,0.827712,0.264017
200501,115,8,6.908632,1,62.833110,15.914155,195.096839,0.813259,0.269477
200502,115,8,6.908755,1,69.741865,24.872830,219.969669,0.868922,0.192648
200503,111,8,5.062599,3,74.804464,5.233388,225.203057,0.850049,0.208666
200504,100,7,-30.219897,230,44.584567,-30.220897,194.982160,0.832240,0.159822
200505,98,7,-0.729054,20,43.855513,-0.729571,194.252589,0.866076,0.176740
200506,104,7,-5.599041,62,38.256472,-5.600037,188.652552,0.883879,0.156886
200507,105,7,-10.783298,456,27.473174,-10.784297,177.868255,0.793706,0.084485
200508,104,7,6.148402,2,33.621577,6.777578,184.645833,0.746608,0.146549
200509,101,7,5.927629,1,39.549206,6.396456,191.042289,0.763032,0.079645
200510,103,7,-3.185053,28,36.364153,-3.186011,187.856278,0.793738,0.068790
200511,101,7,-0.135909,23,36.228244,-0.136036,187.720242,0.725534,0.020664
200512,116,8,6.334544,1,42.562788,7.161707,194.881949,0.688870,0.026496
200601,116,8,-3.206539,77,39.356249,-3.207498,191.674451,0.778848,0.047313
200602,116,8,4.159288,5,43.515537,4.224388,195.898840,0.807788,0.049450
200603,118,8,5.006181,2,48.521719,5.166742,201.065581,0.842246,0.032419
200604,117,8,6.908755,1,55.430473,39.464533,240.530114,0.849307,0.084205
200605,120,8,6.863803,1,62.294276,9.987358,250.517473,0.931392,0.060616
200606,128,9,-16.927419,217,45.366858,-16.928418,233.589055,0.942758,0.002637
200607,125,9,6.560597,1,51.927454,7.783729,241.372783,0.931171,0.029551
200608,127,9,4.493179,2,56.420633,4.585739,245.958522,0.951431,-0.008750
200609,130,9,-9.408212,908,47.012421,-9.409211,236.549311,0.912159,0.023339
200610,141,10,6.908685,1,53.921106,16.474416,253.023727,0.880153,0.026227
200611,127,9,-9.382077,60,44.539029,-9.383076,243.640651,0.917357,0.026493
200612,127,9,6.754782,1,51.293811,8.700757,252.341408,0.912133,0.079270
200701,123,9,6.908755,1,58.202566,24.235419,276.576827,0.914578,0.096592
200702,118,8,5.346219,2,63.548785,5.580440,282.157267,0.907731,0.120910
200703,109,8,4.676187,4,68.224972,4.788639,286.945906,0.930756,0.136303
200704,118,8,5.987055,2,74.212026,6.493291,293.439197,0.954133,0.145797
200705,113,8,6.908755,1,81.120781,24.437268,317.876466,0.935452,0.167888
200706,105,7,5.580134,2,86.700915,5.886805,323.763270,0.955617,0.228386
200707,101,7,-11.643700,40,75.057215,-11.644700,312.118571,0.947354,0.239394
200708,95,7,6.908530,1,81.965745,15.309715,327.428285,0.953690,0.272745
200709,91,7,6.908728,1,88.874473,17.427907,344.856193,0.936070,0.236980
200710,79,6,6.908746,1,95.783219,18.520095,363.376287,0.899463,0.265965
200711,77,6,6.908752,1,102.691971,19.789682,383.165969,0.870230,0.237146
