date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-5.574513,38,-5.574513,-5.575508,-5.575508,0.923622,0.048818
200308,143,10,6.906953,1,1.332441,13.225984,7.650476,0.923622,0.048818
200309,148,10,6.877486,1,8.209926,10.357203,18.007678,0.917197,0.070398
200310,150,10,6.907534,1,15.117460,13.615369,31.623048,0.917197,0.070398
200311,152,11,0.136758,11,15.254219,0.136905,31.759952,0.917197,0.070398
200312,150,10,6.908308,1,22.162527,14.621205,46.381157,0.917197,0.070398
200401,139,10,6.908689,1,29.071216,16.537873,62.919030,0.917197,0.070398
200402,143,10,6.908755,1,35.979970,41.357721,104.276751,0.831329,0.023967
200403,139,10,6.908755,1,42.888725,22.095380,126.372130,0.831329,0.023967
200404,135,9,6.877675,1,49.766400,10.363376,136.735507,0.831329,0.023967
200405,140,10,6.908755,1,56.675155,30.258096,166.993603,0.833608,0.040527
200406,146,10,6.908755,1,63.583910,33.173279,200.166882,0.833608,0.040527
200407,152,11,6.908754,1,70.492663,20.724971,220.891852,0.833608,0.040527
200408,153,11,6.908753,1,77.401417,20.421113,241.312965,0.853838,0.080840
200409,155,11,6.908755,1,84.310171,22.281795,263.594760,0.851848,0.060182
200410,162,11,6.908755,1,91.218926,42.279026,305.873786,0.831394,0.108430
200411,167,12,1.937957,2,93.156883,1.943920,307.817706,0.820566,0.089081
200412,163,11,6.908755,1,100.065638,39.293338,347.111043,0.838466,0.119193
200501,164,11,6.906256,1,106.971895,12.898611,360.009655,0.847096,0.112050
200502,169,12,6.908755,1,113.880649,26.432044,386.441699,0.834108,0.093452
200503,172,12,6.908755,1,120.789404,38.022479,424.464178,0.857404,0.107790
200504,187,13,6.908755,1,127.698159,37.922453,462.386631,0.863812,0.081005
200505,196,14,6.908755,1,134.606914,39.217087,501.603718,0.851384,0.096060
200506,190,13,6.908755,1,141.515669,25.631754,527.235472,0.881301,0.057826
200507,190,13,6.908754,1,148.424423,21.723810,548.959283,0.856759,0.023643
200508,190,13,6.900432,1,155.324855,11.692370,560.651652,0.832026,0.029539
200509,197,14,6.908755,1,162.233610,26.891958,587.543611,0.822894,0.015516
200510,194,13,6.908755,1,169.142365,126.019272,713.562883,0.834475,0.035791
200511,197,14,6.908755,1,176.051119,22.100623,735.663506,0.845716,0.009466
200512,165,11,6.908755,1,182.959874,24.851714,760.515220,0.850238,0.000840
200601,164,11,6.908755,1,189.868629,41.313877,801.829096,0.887859,-0.030603
200602,171,12,-8.111115,15,181.757513,-8.112115,793.716982,0.915920,-0.060615
200603,168,12,6.908407,1,188.665920,14.871746,808.588728,0.912472,-0.034582
200604,158,11,6.908755,1,195.574675,37.811972,846.400700,0.901035,-0.094208
200605,152,11,6.908755,1,202.483430,33.930844,880.331544,0.891026,-0.025935
200606,142,10,6.841664,1,209.325094,9.575738,889.907282,0.863657,-0.007929
200607,141,10,-27.956951,29,181.368143,-27.957951,861.949331,0.860042,-0.006301
200608,140,10,0.539808,20,181.907951,0.540524,862.489855,0.870252,-0.011561
200609,142,10,-4.401472,85,177.506479,-4.402460,858.087395,0.861931,-0.006154
200610,143,10,6.908751,1,184.415229,19.293559,877.380954,0.842747,0.059818
200611,157,11,6.751202,1,191.166431,8.675938,886.056892,0.864560,-0.057608
200612,147,10,6.351189,1,197.517619,7.200226,893.257118,0.861848,0.039927
200701,152,11,-8.871224,23,188.646396,-8.872223,884.384895,0.855128,0.022557
200702,157,11,4.160276,6,192.806672,4.225444,888.610338,0.847880,0.078090
200703,157,11,-6.833450,16,185.973222,-6.834448,881.775890,0.865528,0.040847
200704,134,9,3.806239,4,189.779461,3.851216,885.627106,0.860888,0.107810
200705,131,9,4.393865,2,194.173326,4.477195,890.104302,0.855648,0.139860
200706,136,10,2.455473,14,196.628798,2.466182,892.570483,0.889604,0.065238
200707,128,9,5.376647,1,202.005445,5.619095,898.189578,0.903779,0.105389
200708,125,9,6.908755,1,208.914200,30.573781,928.763359,0.861777,0.154181
200709,125,9,6.908755,1,215.822954,22.849250,951.612610,0.860339,0.202024
200710,114,8,5.933170,2,221.756125,6.405335,958.017944,0.849022,0.174372
200711,105,7,6.908755,1,228.664880,28.221348,986.239293,0.844042,0.196054
200712,99,7,6.908755,1,235.573634,41.672042,1027.911335,0.814816,0.235466
200801,96,7,6.908746,1,242.482381,18.575976,1046.487311,0.777592,0.240975
200802,95,7,6.908755,1,249.391135,28.419363,1074.906675,0.842181,0.150935
200803,115,8,6.843816,1,256.234952,9.609425,1084.516100,0.839644,0.118084
200804,114,8,6.908754,1,263.143706,20.846822,1105.362923,0.909919,0.094271
200805,106,8,6.868896,1,270.012602,10.110177,1115.473100,0.917376,0.094682
200806,105,7,6.908690,1,276.921292,16.549276,1132.022376,0.924415,0.203229
200807,100,7,6.908544,1,283.829835,15.370472,1147.392848,0.932916,0.173901
200808,100,7,-13.521955,8,270.307881,-13.522954,1133.869894,0.885672,0.213680
200809,99,7,3.303800,9,273.611680,3.330366,1137.200259,0.881672,0.254130
200810,99,7,6.588552,1,280.200232,7.882186,1145.082445,0.876573,0.203555
200811,96,7,2.289019,7,282.489252,2.297924,1147.380369,0.884190,0.194224
200812,94,7,3.069907,4,285.559159,3.090661,1150.471030,0.896732,0.092107
200901,94,7,2.990287,6,288.549446,3.009359,1153.480389,0.906738,0.076084
200902,97,7,-4.628700,16,283.920747,-4.629689,1148.850700,0.987457,-0.011139
200903,101,7,6.908755,1,290.829502,31.735812,1180.586512,0.887276,-0.033683
200904,113,8,-24.815223,130,266.014278,-24.816223,1155.770289,0.883826,0.003015
200905,110,8,6.805381,1,272.819659,9.125024,1164.895313,0.878393,0.057357
200906,113,8,6.884953,1,279.704611,10.633805,1175.529118,0.915984,0.107195
200907,116,8,6.908755,1,286.613366,24.797280,1200.326398,0.875730,0.178105
200908,113,8,6.908755,1,293.522121,96.075550,1296.401948,0.822025,0.224265
200909,121,9,6.908755,1,300.430876,53.621465,1350.023413,0.901144,0.221672
200910,120,8,6.908755,1,307.339631,67.515163,1417.538576,0.866352,0.168845
200911,122,9,6.908755,1,314.248385,47.508353,1465.046930,0.816610,0.180642
200912,116,8,6.908755,1,321.157140,43.909149,1508.956079,0.771435,0.151409
201001,118,8,6.908755,1,328.065895,43.929500,1552.885579,0.791148,0.078410
201002,121,9,6.908755,1,334.974650,65.486853,1618.372432,0.815936,0.023624
201003,130,9,6.908755,1,341.883404,42.477193,1660.849625,0.786456,0.089619
201004,127,9,6.908755,1,348.792159,46.837758,1707.687382,0.795645,0.091009
201005,130,9,-3.982434,130,344.809725,-3.983415,1703.703968,0.885162,-0.049549
201006,134,9,-0.331628,4,344.478097,-0.331911,1703.372057,0.926149,-0.093390
201007,140,10,6.908717,1,351.386814,17.096230,1720.468287,0.851239,0.058916
201008,140,10,6.908755,1,358.295569,38.907407,1759.375695,0.756339,0.056180
201009,150,10,6.908755,1,365.204324,50.954807,1810.330502,0.789171,0.048844
201010,149,10,6.908755,1,372.113079,36.851750,1847.182252,0.773346,0.051726
201011,159,11,6.908755,1,379.021833,64.690553,1911.872804,0.712704,0.052433
201012,164,11,6.908755,1,385.930588,118.005779,2029.878584,0.679145,0.063577
201101,164,11,6.908755,1,392.839343,99.815414,2129.693997,0.686291,0.038478
201102,175,12,6.908755,1,399.748098,109.004621,2238.698618,0.737585,0.024907
201103,186,13,6.908755,1,406.656852,120.697387,2359.396005,0.733458,0.012959
201104,194,13,6.908755,1,413.565607,27.052415,2386.448420,0.756524,-0.048056
201105,193,13,2.033280,10,415.598887,2.039941,2388.488361,0.898134,-0.112415
201106,199,14,-14.042193,43,401.556694,-14.043193,2374.445168,0.949091,-0.070115
201107,221,15,-8.702975,6,392.853719,-8.703974,2365.741194,0.915259,-0.105519
201108,221,15,-1.371227,23,391.482492,-1.371973,2364.369222,0.910696,-0.075131
201109,224,15,4.936364,3,396.418856,5.085169,2369.454391,0.920518,-0.087465
201110,221,15,6.793811,1,403.212667,9.013042,2378.467433,0.915332,-0.074006
201111,227,16,4.407148,2,407.619815,4.491655,2382.959088,0.913525,-0.098798
201112,228,16,-16.202782,24,391.417033,-16.203782,2366.755307,0.913948,-0.104451
201201,234,16,6.908755,1,398.325788,35.930160,2402.685467,0.957601,-0.113897
201202,239,16,5.861099,2,404.186886,6.292050,2408.977517,0.943002,-0.115323
201203,232,16,6.908672,1,411.095558,16.303461,2425.280979,0.937603,-0.083288
201204,234,16,6.908749,1,418.004307,18.977551,2444.258530,0.942510,-0.095811
201205,232,16,-9.760297,118,408.244010,-9.761296,2434.497234,0.930066,-0.096817
201206,242,17,2.469103,4,410.713113,2.479973,2436.977207,0.934102,-0.119948
201207,242,17,6.908380,1,417.621493,14.795732,2451.772939,0.901336,-0.106836
201208,256,18,-1.795535,6,415.825958,-1.796369,2449.976570,0.913433,-0.155886
201209,271,19,6.908755,1,422.734712,27.506178,2477.482748,0.896909,-0.219171
201210,266,18,-15.531108,101,407.203604,-15.532108,2461.950640,0.912417,-0.217323
201211,273,19,-12.831744,28,394.371860,-12.832744,2449.117896,0.904430,-0.216797
201212,271,19,6.908492,1,401.280352,15.153177,2464.271073,0.912865,-0.215024
201301,272,19,-8.333428,15,392.946925,-8.334427,2455.936646,0.943477,-0.224677
201302,280,19,-10.901016,39,382.045908,-10.902016,2445.034630,0.953065,-0.223288
201303,274,19,6.908755,1,388.954663,24.094174,2469.128804,0.965423,-0.137327
201304,269,18,6.890449,1,395.845112,10.899143,2480.027948,0.963561,-0.082704
201305,273,19,-32.990993,559,362.854119,-32.991992,2447.035955,0.957005,-0.072436
201306,279,19,6.874160,1,369.728280,10.254469,2457.290424,0.942895,-0.056300
201307,285,19,6.908705,1,376.636985,16.823813,2474.114238,0.947679,-0.026291
