date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,508.971471,508.971471,0.842905,0.171355
200308,444,30,6.908755,1,13.817510,712.753084,1221.724554,0.842905,0.171355
200309,451,31,6.908755,1,20.726264,286.975101,1508.699655,0.844022,0.169393
200310,433,29,6.908755,1,27.635019,552.693736,2061.393391,0.844022,0.169393
200311,437,30,6.908755,1,34.543774,399.718005,2461.111396,0.844022,0.169393
200312,442,30,6.908755,1,41.452529,500.049494,2961.160889,0.844022,0.169393
200401,441,30,6.908755,1,48.361283,424.689032,3385.849922,0.844022,0.169393
200402,445,30,6.908755,1,55.270038,653.261763,4039.111685,0.812385,0.153291
200403,438,30,6.908755,1,62.178793,529.274666,4568.386351,0.812385,0.153291
200404,440,30,6.908755,1,69.087548,857.200288,5425.586639,0.812385,0.153291
200405,435,29,6.908755,1,75.996303,672.238397,6097.825036,0.829884,0.155122
200406,436,30,6.908755,1,82.905057,466.324363,6564.149399,0.829884,0.155122
200407,432,29,6.908755,1,89.813812,420.801846,6984.951245,0.829884,0.155122
200408,431,29,6.908755,1,96.722567,383.333905,7368.285151,0.834256,0.150288
200409,441,30,6.908755,1,103.631322,265.787113,7634.072264,0.890108,0.120528
200410,437,30,6.908755,1,110.540076,255.990490,7890.062754,0.857665,0.110447
200411,434,29,6.908755,1,117.448831,298.463970,8188.526723,0.849738,0.104056
200412,423,29,6.908755,1,124.357586,240.471891,8428.998614,0.895710,0.091592
200501,425,29,6.908755,1,131.266341,148.673805,8577.672420,0.895669,0.085306
200502,427,29,6.908755,1,138.175096,168.715347,8746.387767,0.911050,0.064527
200503,411,28,6.908755,1,145.083850,217.204297,8963.592064,0.893793,0.033810
200504,404,27,6.908755,1,151.992605,155.592444,9119.184508,0.895426,0.003026
200505,402,27,6.908755,1,158.901360,132.669232,9251.853740,0.917685,-0.023466
200506,397,27,6.908755,1,165.810115,140.210237,9392.063977,0.916884,-0.034239
200507,403,27,6.908755,1,172.718869,43.740481,9435.804458,0.918094,-0.062560
200508,405,27,6.908755,1,179.627624,23.216933,9459.021391,0.915323,-0.057085
200509,404,27,-40.075591,162,139.552033,-40.076591,9418.944801,0.923181,-0.088472
