date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,52.834548,52.834548,0.930489,0.070370
200308,401,27,6.908755,1,13.817510,38.022005,90.856553,0.930489,0.070370
200309,412,28,6.908755,1,20.726264,34.806200,125.662753,0.954528,0.104658
200310,406,28,6.908755,1,27.635019,31.265389,156.928142,0.954528,0.104658
200311,416,28,6.908755,1,34.543774,45.176961,202.105103,0.954528,0.104658
200312,421,29,-4.079497,6,30.464277,-4.080480,198.024624,0.954528,0.104658
200401,429,29,6.908755,1,37.373032,55.722499,253.747122,0.954528,0.104658
200402,426,29,6.908755,1,44.281786,100.583183,354.330305,0.869939,0.070201
200403,428,29,6.908755,1,51.190541,118.569912,472.900217,0.869939,0.070201
200404,423,29,6.908755,1,58.099296,223.989299,696.889516,0.869939,0.070201
200405,423,29,6.908755,1,65.008051,179.613923,876.503439,0.877004,0.090514
200406,424,29,-0.159616,2,64.848435,-0.159763,876.343676,0.877004,0.090514
200407,425,29,6.908755,1,71.757190,42.838591,919.182267,0.877004,0.090514
200408,428,29,6.908755,1,78.665945,96.713553,1015.895820,0.858630,0.090323
200409,439,30,-25.006062,32,53.659883,-25.007062,990.888759,0.860172,0.072802
200410,436,30,6.908755,1,60.568637,310.371049,1301.259808,0.800683,0.065748
200411,444,30,6.908755,1,67.477392,199.042126,1500.301934,0.788021,0.069972
200412,445,30,-27.937661,25,39.539731,-27.938661,1472.363273,0.826961,0.036844
200501,444,30,-11.373412,8,28.166320,-11.374411,1460.988862,0.831190,0.011613
200502,443,30,6.908755,1,35.075074,45.600425,1506.589287,0.879070,0.024241
200503,438,30,6.908738,1,41.983812,17.880452,1524.469739,0.876890,-0.017205
200504,436,30,6.908755,1,48.892567,51.999684,1576.469422,0.933956,0.010493
200505,431,29,6.908755,1,55.801321,36.933434,1613.402856,0.938540,-0.021685
200506,438,30,6.908755,1,62.710076,49.569895,1662.972751,0.931091,-0.037207
200507,442,30,6.908755,1,69.618831,32.560367,1695.533118,0.937955,-0.051406
200508,439,30,5.154040,2,74.772871,5.342939,1700.876057,0.915326,-0.061148
200509,449,30,6.908755,1,81.681626,22.487665,1723.363722,0.930040,-0.036039
