date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,4.939287,2,4.939287,5.088565,5.088565,0.955640,-0.076902
200308,54,4,-28.376091,167,-23.436805,-28.377091,-23.288526,0.955640,-0.076902
200309,53,4,-9.124929,47,-32.561733,-9.125928,-32.414454,0.956404,-0.056062
200310,62,5,-11.008787,93,-43.570520,-11.009786,-43.424240,0.956404,-0.056062
200311,62,5,6.885107,1,-36.685413,10.640407,-32.783834,0.956404,-0.056062
200312,64,5,0.419392,79,-36.266021,0.419913,-32.363920,0.956404,-0.056062
200401,67,5,3.347390,2,-32.918630,3.375202,-28.988718,0.956404,-0.056062
200402,69,5,-3.553085,65,-36.471715,-3.554056,-32.542774,0.948631,-0.088793
200403,67,5,-1.789241,27,-38.260956,-1.790073,-34.332847,0.948631,-0.088793
200404,67,5,-20.888655,322,-59.149610,-20.889654,-55.222501,0.948631,-0.088793
200405,69,5,2.976811,6,-56.172799,2.995612,-52.226889,0.959664,-0.082678
200406,73,5,6.905534,1,-49.267265,12.644255,-39.582634,0.959664,-0.082678
200407,71,5,1.362961,46,-47.904304,1.365873,-38.216761,0.959664,-0.082678
200408,69,5,0.765898,28,-47.138406,0.767050,-37.449711,0.968094,-0.165233
200409,72,5,-7.262446,27,-54.400851,-7.263444,-44.713156,0.972700,-0.220635
200410,71,5,0.665576,60,-53.735276,0.666522,-44.046634,0.976302,-0.182319
200411,72,5,-0.147798,193,-53.883074,-0.147936,-44.194570,0.967646,-0.184974
200412,72,5,-6.665824,556,-60.548898,-6.666822,-50.861392,0.971309,-0.135791
200501,72,5,5.626380,1,-54.922518,5.950250,-44.911142,0.958717,-0.050090
200502,87,6,6.880399,1,-48.042119,10.456480,-34.454663,0.968461,-0.071715
200503,88,6,-2.122232,553,-50.164351,-2.123112,-36.577775,0.955611,-0.082902
200504,89,6,2.811862,5,-47.352488,2.827627,-33.750148,0.915676,-0.060923
200505,90,6,-9.921968,605,-57.274456,-9.922968,-43.673116,0.910216,-0.052843
200506,93,7,-20.667066,268,-77.941523,-20.668066,-64.341181,0.906716,-0.132020
200507,93,7,-9.474462,114,-87.415984,-9.475461,-73.816642,0.909726,-0.156122
200508,95,7,0.690151,46,-86.725833,0.691146,-73.125497,0.877798,-0.168682
200509,100,7,-3.016582,44,-89.742415,-3.017533,-76.143029,0.888562,-0.121586
200510,94,7,-22.112539,848,-111.854954,-22.113538,-98.256568,0.908667,-0.239654
200511,94,7,-4.782997,231,-116.637951,-4.783988,-103.040556,0.892894,-0.184981
200512,95,7,-30.139801,224,-146.777752,-30.140800,-133.181356,0.910525,-0.186291
200601,100,7,6.848459,1,-139.929293,9.685944,-123.495412,0.884171,-0.078222
