date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,4.140728,2,4.140728,4.204572,4.204572,0.942256,0.141482
200308,24,2,-5.285685,308,-1.144957,-5.286680,-1.082108,0.942256,0.141482
200309,26,2,-1.965293,620,-3.110250,-1.966152,-3.048260,0.947837,-0.022002
200310,26,2,-0.360103,316,-3.470353,-0.360406,-3.408666,0.947837,-0.022002
200311,25,2,-10.112413,834,-13.582766,-10.113413,-13.522078,0.947837,-0.022002
200312,25,2,-1.310799,641,-14.893566,-1.311529,-14.833608,0.947837,-0.022002
200401,27,2,-0.279697,615,-15.173263,-0.279941,-15.113549,0.947837,-0.022002
200402,28,2,-4.890119,963,-20.063382,-4.891111,-20.004660,0.955621,-0.110463
200403,29,2,-4.377324,392,-24.440706,-4.378311,-24.382971,0.955621,-0.110463
200404,27,2,0.321846,94,-24.118860,0.322226,-24.060745,0.955621,-0.110463
200405,31,3,-2.675214,267,-26.794074,-2.676145,-26.736890,0.936946,-0.072861
200406,33,3,-3.546629,78,-30.340703,-3.547599,-30.284489,0.936946,-0.072861
200407,34,3,0.815354,51,-29.525349,0.816615,-29.467875,0.936946,-0.072861
200408,34,3,-2.171771,829,-31.697120,-2.172657,-31.640531,0.963210,-0.106595
200409,33,3,0.814002,48,-30.883118,0.815260,-30.825272,0.967096,-0.166305
200410,33,3,-18.446279,735,-49.329397,-18.447279,-49.272551,0.979648,-0.281472
200411,34,3,2.984969,4,-46.344429,3.003933,-46.268617,0.980563,-0.243975
200412,34,3,-0.150803,338,-46.495232,-0.150943,-46.419560,0.965497,-0.193469
200501,36,3,2.258755,3,-44.236476,2.267364,-44.152197,0.993990,-0.325121
200502,36,3,-6.872947,307,-51.109424,-6.873946,-51.026143,1.014317,-0.262971
200503,35,3,-3.384090,748,-54.493513,-3.385055,-54.411198,1.002464,-0.214667
200504,38,3,-14.950135,855,-69.443648,-14.951135,-69.362332,0.993049,-0.241214
200505,38,3,0.632458,141,-68.811190,0.633341,-68.728992,0.996743,-0.252176
200506,38,3,-0.857269,109,-69.668459,-0.857845,-69.586836,0.997344,-0.159352
200507,43,3,-26.777513,820,-96.445972,-26.778512,-96.365349,0.976340,-0.178337
200508,43,3,0.259750,185,-96.186222,0.260047,-96.105302,0.951364,-0.173308
200509,43,3,-7.475119,106,-103.661341,-7.476118,-103.581420,0.965243,-0.136835
200510,43,3,-1.643975,310,-105.305316,-1.644781,-105.226201,0.901677,-0.136277
200511,45,3,0.361406,194,-104.943910,0.361841,-104.864360,0.892396,-0.162645
200512,45,3,1.368663,55,-103.575247,1.371598,-103.492763,0.900899,-0.187684
200601,46,4,-1.244288,568,-104.819535,-1.244999,-104.737762,0.902335,-0.101483
200602,48,4,4.435765,1,-100.383770,4.522868,-100.214894,0.890946,-0.100543
200603,46,4,2.058517,32,-98.325252,2.065375,-98.149519,0.879668,-0.104482
200604,46,4,-30.798833,1000,-129.124085,-30.799832,-128.949351,0.947707,-0.229041
200605,47,4,-6.481616,353,-135.605701,-6.482614,-135.431965,0.941380,-0.090517
200606,47,4,0.669208,120,-134.936493,0.670161,-134.761804,0.928446,-0.004623
200607,48,4,-7.153515,382,-142.090008,-7.154514,-141.916318,0.930063,0.023468
200608,48,4,2.654256,9,-139.435752,2.667559,-139.248760,0.911714,0.209993
200609,48,4,-5.256240,391,-144.691992,-5.257235,-144.505994,0.892267,0.148920
200610,48,4,-9.458126,852,-154.150119,-9.459125,-153.965120,0.900290,0.050200
200611,49,4,-6.106899,784,-160.257018,-6.107896,-160.073016,0.784440,-0.218146
200612,50,4,-1.817347,528,-162.074365,-1.818184,-161.891200,0.750948,-0.181718
200701,49,4,0.538378,134,-161.535987,0.539091,-161.352109,0.710433,-0.010061
200702,48,4,2.971749,9,-158.564238,2.990449,-158.361660,0.667416,0.204926
200703,48,4,1.522106,39,-157.042131,1.525695,-156.835965,0.655781,0.364350
200704,49,4,-6.749522,597,-163.791653,-6.750520,-163.586485,0.584162,0.327367
200705,50,4,-0.683607,55,-164.475260,-0.684102,-164.270588,0.795242,0.314687
200706,49,4,-19.661242,445,-184.136502,-19.662242,-183.932829,0.801473,0.300028
200707,50,4,-0.366711,283,-184.503213,-0.367018,-184.299847,0.765090,0.364416
200708,50,4,-0.864563,556,-185.367776,-0.865142,-185.164989,0.769426,0.108936
200709,53,4,-1.895473,392,-187.263250,-1.896323,-187.061312,0.709100,0.490880
200710,54,4,4.216911,2,-183.046339,4.286072,-182.775240,0.743924,0.308651
200711,56,4,3.854615,4,-179.191724,3.901928,-178.873312,0.670270,0.778985
200712,55,4,-1.925282,305,-181.117005,-1.926136,-180.799448,0.661404,1.495269
200801,54,4,4.490375,2,-176.626631,4.582660,-176.216788,0.728296,1.338200
200802,55,4,6.908755,1,-169.717876,38.739030,-137.477758,0.685288,1.737160
200803,56,4,5.348999,2,-164.368877,5.583958,-131.893800,0.685193,1.823819
200804,55,4,6.908755,1,-157.460123,28.786969,-103.106831,0.704186,1.589621
200805,55,4,-3.726926,7,-161.187048,-3.727901,-106.834732,0.669213,1.903627
200806,56,4,6.908755,1,-154.278293,58.616228,-48.218503,0.663033,1.727520
200807,56,4,6.908755,1,-147.369539,88.723541,40.505037,0.606476,1.693436
200808,57,4,6.908755,1,-140.460784,129.371792,169.876830,0.642992,1.552116
200809,57,4,6.908755,1,-133.552029,74.283169,244.159998,0.672511,1.151759
200810,55,4,6.202502,1,-127.349527,6.881713,251.041711,0.655006,1.771854
200811,55,4,6.860008,1,-120.489519,9.904402,260.946113,0.661511,1.474303
200812,55,4,-23.092123,199,-143.581642,-23.093122,237.852991,0.644133,1.700188
200901,58,4,6.908753,1,-136.672890,19.902658,257.755649,0.728416,1.283404
200902,56,4,6.908755,1,-129.764135,75.190909,332.946557,0.552994,1.439648
200903,17,2,3.065363,12,-126.698772,3.086018,336.032575,0.600588,1.024848
200904,20,2,-9.779956,354,-136.478727,-9.780955,326.251619,0.702385,0.742244
200905,19,2,-4.185368,189,-140.664095,-4.186352,322.065267,0.655811,1.006041
200906,19,2,2.191258,23,-138.472837,2.199237,324.264504,0.729123,0.613505
200907,22,2,-14.631790,503,-153.104627,-14.632789,309.631715,0.736827,0.724397
200908,22,2,-0.674431,127,-153.779058,-0.674921,308.956793,1.006531,0.405497
200909,22,2,0.965071,31,-152.813986,0.966697,309.923491,1.077499,-0.030956
200910,17,2,-1.591309,184,-154.405295,-1.592105,308.331386,1.019852,0.064399
200911,18,2,0.751294,111,-153.654001,0.752414,309.083800,1.010817,0.047411
200912,18,2,-0.518202,282,-154.172203,-0.518606,308.565194,1.029901,0.072145
201001,17,2,0.453902,222,-153.718301,0.454477,309.019671,1.025496,-0.022970
201002,9,2,0.875074,99,-152.843227,0.876474,309.896145,0.984110,-0.164662
201003,9,2,2.688555,13,-150.154672,2.702360,312.598505,0.936604,-0.325908
201004,9,2,0.011369,88,-150.143303,0.011380,312.609886,0.876213,-0.282370
201005,9,2,2.776837,7,-147.366466,2.792020,315.401905,0.867178,-0.110134
201006,9,2,2.758370,12,-144.608096,2.773255,318.175160,0.793570,-0.021386
201007,9,2,0.815707,50,-143.792388,0.816969,318.992129,0.794575,0.005192
201008,9,2,1.848035,13,-141.944354,1.853396,320.845525,0.849863,-0.027695
201009,10,2,-1.331549,790,-143.275903,-1.332285,319.513241,0.896684,-0.069827
201010,10,2,1.843316,8,-141.432587,1.848648,321.361888,0.913741,-0.093084
201011,11,2,2.897475,8,-138.535112,2.914751,324.276640,0.928522,-0.168338
201012,11,2,-2.572345,780,-141.107457,-2.573268,321.703371,1.008014,-0.236460
201101,11,2,0.301635,172,-140.805822,0.301987,322.005358,1.009656,-0.169166
201102,11,2,3.273653,2,-137.532169,3.299389,325.304748,0.963256,-0.213907
201103,12,2,-0.598691,777,-138.130860,-0.599141,324.705606,0.932336,-0.099353
201104,12,2,0.261489,152,-137.869371,0.261788,324.967394,0.971389,-0.068860
201105,12,2,2.584755,1,-135.284616,2.597091,327.564485,0.992145,-0.081811
201106,12,2,0.993869,61,-134.290747,0.995572,328.560057,0.998249,-0.093544
201107,12,2,-0.171412,438,-134.462159,-0.171569,328.388488,1.003330,-0.156122
201108,12,2,0.636514,143,-133.825644,0.637405,329.025892,1.003760,-0.197916
201109,12,2,0.689579,18,-133.136066,0.690572,329.716465,0.992911,-0.130004
201110,12,2,0.218158,188,-132.917907,0.218402,329.934866,1.002028,-0.116148
201111,12,2,1.451231,2,-131.466677,1.454504,331.389371,0.989631,-0.106654
201112,12,2,-0.845271,498,-132.311948,-0.845841,330.543529,0.977817,-0.166181
201201,12,2,1.481997,33,-130.829951,1.485405,332.028934,0.985836,-0.145328
201202,12,2,0.661427,131,-130.168524,0.662365,332.691299,0.982731,-0.073386
201203,12,2,2.827155,2,-127.341369,2.843180,335.534479,0.986099,-0.066497
201204,12,2,0.088399,255,-127.252969,0.088492,335.622971,1.000031,-0.037580
201205,12,2,2.049897,1,-125.203072,2.056687,337.679658,1.016034,-0.037316
201206,12,2,0.230224,258,-124.972848,0.230483,337.910141,1.015792,-0.004117
