date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,1.479575,9,1.479575,1.482971,1.482971,0.941503,0.464466
200308,88,6,-1.190201,47,0.289373,-1.190897,0.292075,0.941503,0.464466
200309,94,7,-12.902060,102,-12.612686,-12.903059,-12.610985,0.859269,0.375724
200310,97,7,-7.464367,14,-20.077054,-7.465366,-20.076351,0.859269,0.375724
200311,98,7,-39.204195,187,-59.281248,-39.205194,-59.281545,0.859269,0.375724
200312,96,7,-21.533298,9,-80.814546,-21.534297,-80.815842,0.859269,0.375724
200401,106,8,-12.451544,15,-93.266090,-12.452543,-93.268386,0.859269,0.375724
200402,101,7,6.899309,1,-86.366781,11.565217,-81.703169,0.815294,0.288352
200403,106,8,5.081943,2,-81.284838,5.256400,-76.446769,0.815294,0.288352
200404,107,8,-2.860120,11,-84.144958,-2.861062,-79.307831,0.815294,0.288352
200405,108,8,-22.150769,152,-106.295727,-22.151768,-101.459600,0.839027,0.349220
200406,106,8,-40.659168,276,-146.954895,-40.660168,-142.119767,0.839027,0.349220
200407,110,8,6.783806,1,-140.171089,8.924481,-133.195286,0.839027,0.349220
200408,108,8,6.908755,1,-133.262334,23.592121,-109.603165,0.813075,0.274500
200409,111,8,6.831838,1,-126.430496,9.434088,-100.169077,0.830568,0.261797
200410,108,8,6.908708,1,-119.521788,16.875722,-83.293355,0.789048,0.223384
200411,109,8,6.907241,1,-112.614546,13.400473,-69.892882,0.790430,0.251006
200412,116,8,-20.090717,152,-132.705263,-20.091716,-89.984599,0.827712,0.264017
200501,115,8,-24.983412,94,-157.688676,-24.984412,-114.969011,0.813259,0.269477
200502,115,8,6.896076,1,-150.792600,11.269228,-103.699783,0.868922,0.192648
200503,111,8,2.984698,3,-147.807901,3.003657,-100.696125,0.850049,0.208666
200504,100,7,-16.730025,85,-164.537927,-16.731025,-117.427150,0.832240,0.159822
200505,98,7,-2.597917,13,-167.135843,-2.598842,-120.025992,0.866076,0.176740
200506,104,7,-6.170970,115,-173.306814,-6.171968,-126.197960,0.883879,0.156886
200507,105,7,4.879967,3,-168.426847,5.019949,-121.178010,0.793706,0.084485
200508,104,7,6.808400,1,-161.618447,9.156201,-112.021809,0.746608,0.146549
200509,101,7,6.661795,1,-154.956652,8.180264,-103.841545,0.763032,0.079645
200510,103,7,6.903317,1,-148.053335,12.119425,-91.722120,0.793738,0.068790
200511,101,7,6.865473,1,-141.187862,10.026062,-81.696059,0.725534,0.020664
200512,116,8,6.908755,1,-134.279107,29.821267,-51.874791,0.688870,0.026496
200601,116,8,6.908413,1,-127.370694,14.889354,-36.985438,0.778848,0.047313
200602,116,8,6.908312,1,-120.462382,14.629556,-22.355882,0.807788,0.049450
200603,118,8,-15.990880,63,-136.453262,-15.991879,-38.347761,0.842246,0.032419
200604,117,8,-37.281841,47,-173.735103,-37.282840,-75.630601,0.849307,0.084205
200605,120,8,-4.996912,45,-178.732015,-4.997905,-80.628506,0.931392,0.060616
200606,128,9,-7.479232,42,-186.211246,-7.480231,-88.108737,0.942758,0.002637
200607,125,9,-3.789984,172,-190.001230,-3.790961,-91.899698,0.931171,0.029551
200608,127,9,-1.058347,15,-191.059577,-1.058999,-92.958697,0.951431,-0.008750
200609,130,9,3.367097,8,-187.692480,3.395491,-89.563206,0.912159,0.023339
200610,141,10,6.908744,1,-180.783735,18.369216,-71.193990,0.880153,0.026227
200611,127,9,6.105022,1,-174.678713,6.697605,-64.496385,0.917357,0.026493
200612,127,9,-6.011408,25,-180.690122,-6.012405,-70.508791,0.912133,0.079270
200701,123,9,-18.277094,149,-198.967215,-18.278093,-88.786884,0.914578,0.096592
200702,118,8,-7.767647,27,-206.734862,-7.768646,-96.555530,0.907731,0.120910
200703,109,8,-1.071543,36,-207.806405,-1.072200,-97.627730,0.930756,0.136303
200704,118,8,-20.486581,199,-228.292986,-20.487580,-118.115310,0.954133,0.145797
200705,113,8,6.904459,1,-221.388527,12.355774,-105.759536,0.935452,0.167888
200706,105,7,-4.623880,135,-226.012407,-4.624870,-110.384406,0.955617,0.228386
200707,101,7,-31.300391,592,-257.312798,-31.301390,-141.685797,0.947354,0.239394
200708,95,7,-8.319264,300,-265.632062,-8.320263,-150.006060,0.953690,0.272745
200709,91,7,-2.448936,19,-268.080998,-2.449849,-152.455909,0.936070,0.236980
200710,79,6,-9.943809,77,-278.024806,-9.944808,-162.400717,0.899463,0.265965
200711,77,6,-8.027593,42,-286.052399,-8.028592,-170.429309,0.870230,0.237146
200712,73,5,-4.294513,417,-290.346912,-4.295499,-174.724808,0.872150,0.239727
200801,72,5,-3.687453,270,-294.034365,-3.688427,-178.413235,0.862030,0.277019
200802,72,5,2.794046,8,-291.240319,2.809512,-175.603723,0.866680,0.286030
200803,50,4,-13.796232,57,-305.036551,-13.797231,-189.400954,0.873855,0.209068
200804,52,4,4.025625,4,-301.010926,4.082212,-185.318743,0.912734,0.143100
200805,55,4,-0.128658,89,-301.139584,-0.128779,-185.447522,0.928390,0.205566
200806,40,3,2.123083,13,-299.016501,2.130467,-183.317055,0.939779,0.215639
200807,37,3,0.293364,29,-298.723137,0.293705,-183.023350,0.956796,0.191423
200808,38,3,-1.937013,194,-300.660150,-1.937868,-184.961219,0.913895,0.210060
200809,38,3,-0.260714,223,-300.920864,-0.260943,-185.222162,0.904224,0.224388
200810,35,3,-5.244067,852,-306.164931,-5.245061,-190.467223,0.908656,0.229959
200811,35,3,-5.124637,329,-311.289568,-5.125631,-195.592854,0.906932,0.193971
200812,32,3,-1.245046,554,-312.534614,-1.245758,-196.838612,0.886074,0.162406
200901,32,3,1.168507,22,-311.366108,1.170726,-195.667886,0.879121,0.174784
200902,33,3,2.324568,20,-309.041540,2.333833,-193.334052,0.941031,0.145244
200903,33,3,-0.736988,505,-309.778528,-0.737510,-194.071562,0.971824,0.117148
200904,34,3,-1.238853,447,-311.017381,-1.239563,-195.311125,1.020032,0.162221
200905,33,3,-7.106273,819,-318.123654,-7.107272,-202.418397,1.007381,0.061884
200906,34,3,-4.763868,956,-322.887522,-4.764859,-207.183256,1.011575,0.077612
