date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-12.586231,437,-12.586231,-12.587230,-12.587230,0.923622,0.048818
200308,143,10,-4.236836,99,-16.823066,-4.237821,-16.825051,0.923622,0.048818
200309,148,10,6.895572,1,-9.927495,11.229974,-5.595077,0.917197,0.070398
200310,150,10,-3.075812,46,-13.003307,-3.076766,-8.671842,0.917197,0.070398
200311,152,11,-37.168114,625,-50.171421,-37.169113,-45.840955,0.917197,0.070398
200312,150,10,4.236464,2,-45.934957,4.307061,-41.533895,0.917197,0.070398
200401,139,10,-39.326364,164,-85.261321,-39.327364,-80.861258,0.917197,0.070398
200402,143,10,6.908449,1,-78.352873,14.998892,-65.862367,0.831329,0.023967
200403,139,10,-19.361480,298,-97.714352,-19.362479,-85.224846,0.831329,0.023967
200404,135,9,1.481067,37,-96.233285,1.484471,-83.740375,0.831329,0.023967
200405,140,10,-6.595461,12,-102.828746,-6.596459,-90.336835,0.833608,0.040527
200406,146,10,-52.685397,323,-155.514143,-52.686397,-143.023231,0.833608,0.040527
200407,152,11,4.606481,2,-150.907663,4.710876,-138.312355,0.833608,0.040527
200408,153,11,-22.849193,130,-173.756856,-22.850192,-161.162547,0.853838,0.080840
200409,155,11,-4.983770,36,-178.740626,-4.984763,-166.147310,0.851848,0.060182
200410,162,11,2.607698,5,-176.132928,2.620345,-163.526965,0.831394,0.108430
200411,167,12,-41.324042,141,-217.456969,-41.325041,-204.852006,0.820566,0.089081
200412,163,11,3.436218,4,-214.020751,3.466748,-201.385257,0.838466,0.119193
200501,164,11,-9.502062,74,-223.522814,-9.503062,-210.888319,0.847096,0.112050
200502,169,12,-2.736773,12,-226.259587,-2.737708,-213.626027,0.834108,0.093452
200503,172,12,-10.551631,35,-236.811218,-10.552631,-224.178658,0.857404,0.107790
200504,187,13,6.692944,1,-230.118274,8.331262,-215.847396,0.863812,0.081005
200505,196,14,-12.593229,28,-242.711504,-12.594229,-228.441624,0.851384,0.096060
200506,190,13,6.518228,1,-236.193275,7.646405,-220.795219,0.881301,0.057826
200507,190,13,6.907243,1,-229.286032,13.401733,-207.393487,0.856759,0.023643
200508,190,13,6.908751,1,-222.377280,19.518827,-187.874660,0.832026,0.029539
200509,197,14,6.908539,1,-215.468741,15.350627,-172.524033,0.822894,0.015516
200510,194,13,6.908755,1,-208.559986,45.605084,-126.918949,0.834475,0.035791
200511,197,14,-13.966488,43,-222.526474,-13.967487,-140.886436,0.845716,0.009466
200512,165,11,6.908748,1,-215.617726,18.753854,-122.132582,0.850238,0.000840
200601,164,11,6.908755,1,-208.708972,38.557597,-83.574985,0.887859,-0.030603
200602,171,12,6.904128,1,-201.804844,12.281305,-71.293679,0.915920,-0.060615
200603,168,12,-11.094309,77,-212.899153,-11.095309,-82.388988,0.912472,-0.034582
200604,158,11,3.723632,4,-209.175520,3.764886,-78.624102,0.901035,-0.094208
200605,152,11,5.443509,2,-203.732011,5.705202,-72.918900,0.891026,-0.025935
200606,142,10,-7.436654,96,-211.168665,-7.437653,-80.356553,0.863657,-0.007929
200607,141,10,-42.727191,141,-253.895856,-42.728191,-123.084743,0.860042,-0.006301
200608,140,10,-1.775888,14,-255.671744,-1.776719,-124.861462,0.870252,-0.011561
200609,142,10,-1.457751,47,-257.129495,-1.458518,-126.319980,0.861931,-0.006154
200610,143,10,6.908294,1,-250.221201,14.589368,-111.730611,0.842747,0.059818
200611,157,11,-32.600160,773,-282.821362,-32.601160,-144.331771,0.864560,-0.057608
200612,147,10,5.052242,2,-277.769120,5.221102,-139.110669,0.861848,0.039927
200701,152,11,-13.071185,248,-290.840304,-13.072184,-152.182853,0.855128,0.022557
200702,157,11,6.278129,1,-284.562175,7.036969,-145.145884,0.847880,0.078090
200703,157,11,2.222341,4,-282.339834,2.230604,-142.915280,0.865528,0.040847
200704,134,9,1.338555,3,-281.001280,1.341372,-141.573908,0.860888,0.107810
200705,131,9,-15.120467,82,-296.121747,-15.121467,-156.695374,0.855648,0.139860
200706,136,10,1.463471,38,-294.658276,1.466797,-155.228577,0.889604,0.065238
200707,128,9,6.907332,1,-287.750944,13.461951,-141.766626,0.903779,0.105389
200708,125,9,6.908613,1,-280.842331,15.770363,-125.996263,0.861777,0.154181
200709,125,9,4.666517,2,-276.175814,4.777814,-121.218449,0.860339,0.202024
200710,114,8,3.272272,3,-272.903542,3.297971,-117.920479,0.849022,0.174372
200711,105,7,-0.392193,2,-273.295735,-0.392518,-118.312996,0.844042,0.196054
200712,99,7,-24.406204,188,-297.701939,-24.407204,-142.720200,0.814816,0.235466
200801,96,7,6.836991,1,-290.864949,9.506029,-133.214172,0.777592,0.240975
200802,95,7,-0.806936,5,-291.671885,-0.807490,-134.021662,0.842181,0.150935
200803,115,8,-2.520300,18,-294.192186,-2.521220,-136.542881,0.839644,0.118084
200804,114,8,-19.275120,160,-313.467306,-19.276119,-155.819001,0.909919,0.094271
200805,106,8,2.634015,5,-310.833291,2.647028,-153.171972,0.917376,0.094682
200806,105,7,-6.325876,152,-317.159167,-6.326874,-159.498846,0.924415,0.203229
200807,100,7,-3.896118,149,-321.055285,-3.897097,-163.395943,0.932916,0.173901
200808,100,7,-1.714923,29,-322.770208,-1.715743,-165.111686,0.885672,0.213680
200809,99,7,-1.806459,89,-324.576666,-1.807294,-166.918980,0.881672,0.254130
200810,99,7,-0.231473,251,-324.808140,-0.231680,-167.150659,0.876573,0.203555
200811,96,7,-4.869961,233,-329.678101,-4.870953,-172.021612,0.884190,0.194224
200812,94,7,-5.209369,590,-334.887470,-5.210363,-177.231976,0.896732,0.092107
200901,94,7,-4.721208,582,-339.608678,-4.722199,-181.954174,0.906738,0.076084
200902,97,7,0.845810,32,-338.762868,0.847141,-181.107033,0.987457,-0.011139
200903,101,7,-9.922207,48,-348.685075,-9.923207,-191.030240,0.887276,-0.033683
200904,113,8,-2.102016,16,-350.787091,-2.102893,-193.133133,0.883826,0.003015
200905,110,8,1.547820,4,-349.239271,1.551528,-191.581605,0.878393,0.057357
200906,113,8,-16.419085,402,-365.658356,-16.420085,-208.001690,0.915984,0.107195
200907,116,8,-2.627295,20,-368.285651,-2.628222,-210.629912,0.875730,0.178105
200908,113,8,6.907938,1,-361.377713,14.017509,-196.612403,0.822025,0.224265
200909,121,9,6.305814,1,-355.071900,7.097118,-189.515285,0.901144,0.221672
200910,120,8,-5.574975,3,-360.646875,-5.575971,-195.091256,0.866352,0.168845
200911,122,9,4.855808,2,-355.791067,4.992183,-190.099073,0.816610,0.180642
200912,116,8,-13.243123,6,-369.034189,-13.244122,-203.343195,0.771435,0.151409
201001,118,8,-9.716222,92,-378.750411,-9.717221,-213.060416,0.791148,0.078410
201002,121,9,5.228031,2,-373.522379,5.433121,-207.627295,0.815936,0.023624
201003,130,9,4.998305,2,-368.524075,5.157490,-202.469805,0.786456,0.089619
201004,127,9,6.333384,1,-362.190690,7.159056,-195.310749,0.795645,0.091009
201005,130,9,-1.303870,91,-363.494560,-1.304598,-196.615348,0.885162,-0.049549
