date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,48.372932,48.372932,0.842905,0.171355
200308,444,30,6.050115,2,12.958869,6.600308,54.973239,0.842905,0.171355
200309,451,31,6.908755,1,19.867624,37.392465,92.365705,0.844022,0.169393
200310,433,29,-5.432189,4,14.435435,-5.433184,86.932521,0.844022,0.169393
200311,437,30,6.585636,1,21.021072,7.871585,94.804106,0.844022,0.169393
200312,442,30,6.908755,1,27.929826,49.368575,144.172681,0.844022,0.169393
200401,441,30,6.907729,1,34.837555,13.789675,157.962356,0.844022,0.169393
200402,445,30,6.908755,1,41.746310,85.780428,243.742784,0.812385,0.153291
200403,438,30,6.908755,1,48.655065,95.320377,339.063161,0.812385,0.153291
200404,440,30,6.908755,1,55.563820,168.728423,507.791584,0.812385,0.153291
200405,435,29,6.908755,1,62.472575,112.124449,619.916033,0.829884,0.155122
200406,436,30,6.908755,1,69.381329,45.921112,665.837145,0.829884,0.155122
200407,432,29,6.908755,1,76.290084,63.233021,729.070166,0.829884,0.155122
200408,431,29,6.908755,1,83.198839,128.058736,857.128903,0.834256,0.150288
200409,441,30,-2.797906,2,80.400933,-2.798844,854.330058,0.890108,0.120528
200410,437,30,6.908755,1,87.309688,63.633675,917.963733,0.857665,0.110447
200411,434,29,4.705902,2,92.015590,4.821984,922.785717,0.849738,0.104056
200412,423,29,6.908755,1,98.924345,93.515721,1016.301438,0.895710,0.091592
200501,425,29,6.908755,1,105.833099,31.748771,1048.050209,0.895669,0.085306
200502,427,29,6.908487,1,112.741587,15.134751,1063.184961,0.911050,0.064527
200503,411,28,6.908755,1,119.650342,56.807683,1119.992644,0.893793,0.033810
200504,404,27,6.908755,1,126.559096,138.002200,1257.994843,0.895426,0.003026
200505,402,27,0.437140,2,126.996236,0.437689,1258.432532,0.917685,-0.023466
200506,397,27,6.908755,1,133.904991,64.298345,1322.730877,0.916884,-0.034239
200507,403,27,6.908754,1,140.813746,21.418062,1344.148940,0.918094,-0.062560
200508,405,27,6.908755,1,147.722500,56.965621,1401.114560,0.915323,-0.057085
200509,404,27,-2.465450,16,145.257050,-2.466365,1398.648196,0.923181,-0.088472
200510,414,28,-57.261128,415,87.995922,-57.262128,1341.386068,0.919862,-0.053916
200511,411,28,-27.626625,128,60.369298,-27.627624,1313.758444,0.923786,-0.083626
200512,411,28,6.908755,1,67.278052,56.592528,1370.350972,0.928546,-0.116473
200601,413,28,-8.739697,15,58.538356,-8.740696,1361.610276,0.915529,-0.097400
