date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,97.030317,97.030317,0.877004,0.090514
200302,351,24,6.908755,1,13.817510,165.432991,262.463308,0.858630,0.090323
200303,355,24,6.908755,1,20.726264,185.294938,447.758246,0.860946,0.072795
200304,360,24,6.908755,1,27.635019,105.163557,552.921803,0.826245,0.070451
200305,371,25,6.908755,1,34.543774,135.102010,688.023814,0.834569,0.070857
200306,383,26,6.908755,1,41.452529,264.219326,952.243139,0.842909,0.061124
200307,395,27,6.908755,1,48.361283,452.121582,1404.364721,0.851418,0.056932
200308,401,27,6.908755,1,55.270038,180.226143,1584.590864,0.868646,0.065336
200309,412,28,6.908755,1,62.178793,150.082887,1734.673752,0.868681,0.021998
200310,406,28,6.908755,1,69.087548,158.191990,1892.865742,0.865457,0.031699
200311,416,28,6.908755,1,75.996303,117.029113,2009.894854,0.861806,0.014083
200312,421,29,6.908755,1,82.905057,249.496557,2259.391412,0.880267,0.002492
200401,429,29,6.908755,1,89.813812,215.371109,2474.762520,0.887320,-0.017662
200402,426,29,6.908755,1,96.722567,216.270035,2691.032556,0.898621,-0.034137
200403,428,29,6.908755,1,103.631322,173.730673,2864.763229,0.904543,-0.019178
200404,423,29,6.908755,1,110.540076,119.095793,2983.859021,0.932469,-0.048080
200405,423,29,6.908755,1,117.448831,174.932079,3158.791100,0.927099,-0.074606
200406,424,29,6.908755,1,124.357586,41.322057,3200.113157,0.929858,-0.067415
200407,425,29,6.908755,1,131.266341,29.436668,3229.549825,0.923133,-0.086080
200408,428,29,6.908755,1,138.175096,50.654967,3280.204792,0.916304,-0.094148
200409,439,30,6.908717,1,145.083813,17.100804,3297.305596,0.923181,-0.086224
200410,436,30,6.908755,1,151.992568,24.851348,3322.156943,0.921762,-0.100703
200411,444,30,5.112079,2,157.104647,5.292421,3327.449365,0.923171,-0.100417
200412,445,30,6.908755,1,164.013402,73.818330,3401.267694,0.924196,-0.104668
200501,444,30,6.908755,1,170.922157,42.339384,3443.607078,0.916618,-0.084860
200502,443,30,6.908755,1,177.830911,37.878804,3481.485882,0.913818,-0.100539
200503,438,30,6.908755,1,184.739666,67.959038,3549.444920,0.906711,-0.087437
200504,436,30,6.908755,1,191.648421,44.558425,3594.003345,0.904323,-0.085932
200505,431,29,6.908731,1,198.557152,17.551118,3611.554462,0.909571,-0.079835
200506,438,30,6.908755,1,205.465907,44.800361,3656.354823,0.892231,-0.040172
200507,442,30,-1.376402,2,204.089505,-1.377149,3654.977675,0.895805,-0.050442
200508,439,30,6.908668,1,210.998173,16.264811,3671.242486,0.882104,-0.016473
200509,449,30,6.908755,1,217.906928,78.204228,3749.446714,0.869205,-0.020151
200510,455,31,6.908755,1,224.815683,129.965440,3879.412153,0.860450,0.001378
200511,455,31,6.908755,1,231.724438,127.880312,4007.292465,0.843995,0.067626
200512,446,30,6.908755,1,238.633193,124.880578,4132.173044,0.830120,0.068249
200601,430,29,6.908755,1,245.541947,167.023182,4299.196226,0.813122,0.111548
200602,434,29,6.908755,1,252.450702,52.202852,4351.399078,0.802875,0.177396
200603,434,29,6.908755,1,259.359457,208.423671,4559.822749,0.790578,0.245245
200604,431,29,6.908755,1,266.268212,307.730214,4867.552962,0.771250,0.320082
200605,433,29,6.908755,1,273.176966,225.470314,5093.023276,0.742357,0.392680
200606,421,29,6.908755,1,280.085721,112.818803,5205.842079,0.761407,0.428961
200607,423,29,6.908755,1,286.994476,173.320577,5379.162657,0.725825,0.486360
200608,414,28,6.908755,1,293.903231,127.647960,5506.810617,0.717618,0.521640
200609,415,28,6.908755,1,300.811986,159.317902,5666.128519,0.715800,0.575228
200610,380,26,6.908755,1,307.720740,97.069125,5763.197644,0.716725,0.533976
200611,389,26,6.908755,1,314.629495,101.414092,5864.611736,0.698431,0.572986
200612,380,26,6.908755,1,321.538250,93.625022,5958.236759,0.697632,0.582959
200701,378,26,6.908755,1,328.447005,135.300896,6093.537654,0.629090,0.660825
200702,356,24,6.908755,1,335.355759,242.587622,6336.125277,0.626079,0.670501
200703,353,24,6.908755,1,342.264514,229.204422,6565.329699,0.636128,0.673162
200704,367,25,6.908755,1,349.173269,179.145455,6744.475154,0.640004,0.703618
200705,371,25,6.908755,1,356.082024,142.063042,6886.538196,0.668165,0.714066
200706,370,25,6.908755,1,362.990779,272.583388,7159.121584,0.643472,0.759821
200707,362,25,6.908755,1,369.899533,315.726151,7474.847735,0.678626,0.783989
200708,356,24,6.908755,1,376.808288,418.506002,7893.353737,0.686229,0.749814
200709,364,25,6.908755,1,383.717043,387.714743,8281.068480,0.683994,0.616698
200710,386,26,6.908755,1,390.625798,317.531469,8598.599950,0.683892,0.598780
200711,379,26,6.908755,1,397.534552,585.683293,9184.283242,0.692954,0.570211
200712,395,27,6.908755,1,404.443307,591.404021,9775.687264,0.740946,0.484819
200801,394,27,6.908755,1,411.352062,843.157539,10618.844803,0.676750,0.398183
200802,400,27,6.908755,1,418.260817,846.487898,11465.332701,0.732916,0.349343
200803,401,27,6.908755,1,425.169572,644.030080,12109.362781,0.792151,0.248616
