date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,0.464226,56,0.464226,0.464817,0.464817,0.959664,-0.082678
200302,56,4,-5.734482,159,-5.270256,-5.735479,-5.270662,0.968094,-0.165233
200303,59,4,5.173692,3,-0.096564,5.366750,0.096088,0.958338,-0.128835
200304,59,4,0.279148,38,0.182583,0.279470,0.375558,0.969727,-0.165865
200305,50,4,-4.733404,474,-4.550821,-4.734395,-4.358837,0.963563,-0.128185
200306,52,4,-16.476322,330,-21.027143,-16.477322,-20.836159,0.961746,-0.111482
200307,54,4,6.908121,1,-14.119022,14.270673,-6.565486,0.959046,-0.088745
200308,54,4,-4.414798,134,-18.533820,-4.415785,-10.981271,0.968208,-0.127800
200309,53,4,-1.224478,64,-19.758298,-1.225184,-12.206455,0.964316,-0.158572
200310,62,5,4.738175,2,-15.020124,4.858339,-7.348116,0.947546,-0.093542
200311,62,5,4.449243,4,-10.570881,4.537596,-2.810521,0.941695,-0.126652
200312,64,5,5.829446,1,-4.741435,6.243705,3.433184,0.942168,-0.115925
200401,67,5,4.583010,3,-0.158425,4.684831,8.118015,0.936601,-0.126530
200402,69,5,6.696100,1,6.537675,8.347631,16.465646,0.926893,-0.122953
200403,67,5,1.125769,17,7.663444,1.127854,17.593500,0.925513,-0.125317
200404,67,5,0.314140,44,7.977585,0.314509,17.908009,0.912190,-0.172052
200405,69,5,6.378447,1,14.356032,7.265209,25.173218,0.901249,-0.172209
200406,73,5,-4.846848,323,9.509184,-4.847839,20.325379,0.908068,-0.203505
200407,71,5,-8.213905,203,1.295279,-8.214904,12.110475,0.897134,-0.134358
200408,69,5,0.932853,37,2.228133,0.934396,13.044872,0.886421,-0.124299
200409,72,5,1.125876,64,3.354009,1.127962,14.172833,0.893522,-0.100620
200410,71,5,-4.208406,305,-0.854396,-4.209390,9.963443,0.902116,-0.091958
200411,72,5,-3.621083,701,-4.475480,-3.622056,6.341387,0.905588,-0.064375
200412,72,5,-10.307295,980,-14.782775,-10.308294,-3.966908,0.902740,-0.040806
200501,72,5,-11.825137,612,-26.607912,-11.826137,-15.793045,0.897379,-0.020124
200502,87,6,-4.018012,240,-30.625924,-4.018993,-19.812038,0.892246,-0.004315
200503,88,6,2.562340,11,-28.063584,2.574378,-17.237660,0.890417,-0.016439
200504,89,6,0.267046,78,-27.796538,0.267352,-16.970308,0.889244,0.003344
200505,90,6,-2.059874,378,-29.856412,-2.060746,-19.031054,0.901660,0.017096
200506,93,7,-9.055064,306,-38.911476,-9.056064,-28.087117,0.880896,0.033423
200507,93,7,-33.176719,240,-72.088195,-33.177719,-61.264836,0.892934,-0.040620
200508,95,7,-0.397282,24,-72.485477,-0.397610,-61.662446,0.870537,-0.072336
200509,100,7,4.085221,4,-68.400257,4.145454,-57.516992,0.863716,-0.002155
200510,94,7,5.490826,1,-62.909431,5.767182,-51.749810,0.858828,-0.016630
200511,94,7,-21.744423,883,-84.653854,-21.745422,-73.495233,0.844773,-0.085944
200512,95,7,-16.929544,36,-101.583398,-16.930544,-90.425776,0.807823,0.035562
200601,100,7,-26.325164,485,-127.908563,-26.326164,-116.751940,0.787472,0.057977
200602,103,7,-11.753892,15,-139.662455,-11.754891,-128.506832,0.748037,0.180151
200603,101,7,6.908533,1,-132.753921,15.322549,-113.184283,0.724887,0.275457
200604,103,7,6.908750,1,-125.845171,19.252554,-93.931730,0.674158,0.378448
200605,101,7,6.908567,1,-118.936604,15.488748,-78.442982,0.720113,0.379227
200606,130,9,6.889313,1,-112.047291,10.838341,-67.604641,0.600845,0.677075
200607,127,9,6.908755,1,-105.138536,50.386109,-17.218531,0.605049,0.673279
200608,134,9,-11.233654,33,-116.372190,-11.234653,-28.453184,0.602763,0.485391
200609,128,9,6.908755,1,-109.463435,24.392230,-4.060954,0.583719,0.648316
200610,164,11,6.908753,1,-102.554682,20.237853,16.176899,0.575591,0.676699
200611,164,11,6.908755,1,-95.645927,36.302177,52.479076,0.566434,0.762633
200612,159,11,6.908755,1,-88.737172,25.703457,78.182533,0.581389,0.717343
200701,158,11,6.908755,1,-81.828418,41.247758,119.430291,0.587469,0.778670
200702,184,13,6.908755,1,-74.919663,54.969373,174.399664,0.618268,0.717603
200703,185,13,6.908755,1,-68.010908,71.580468,245.980133,0.605853,0.721674
200704,185,13,6.908755,1,-61.102153,78.809088,324.789221,0.616511,0.782791
200705,188,13,6.908755,1,-54.193398,84.932215,409.721436,0.563720,0.878667
200706,184,13,6.908755,1,-47.284644,90.130756,499.852193,0.741405,0.912104
200707,184,13,6.908755,1,-40.375889,111.635282,611.487475,0.706753,0.907270
200708,186,13,6.908755,1,-33.467134,153.217375,764.704851,0.728549,0.891662
200709,192,13,6.908755,1,-26.558379,203.583939,968.288790,0.749584,0.784445
200710,183,13,6.908755,1,-19.649625,97.635931,1065.924721,0.767200,0.749077
200711,185,13,6.908755,1,-12.740870,160.466316,1226.391037,0.775538,0.617787
200712,186,13,6.908755,1,-5.832115,108.313677,1334.704714,0.817061,0.501707
200801,178,12,6.908755,1,1.076640,341.349623,1676.054337,0.804525,0.392933
200802,179,12,6.908755,1,7.985395,149.247579,1825.301916,0.852819,0.308057
200803,178,12,6.908755,1,14.894149,95.986723,1921.288638,0.908736,0.201788
200804,177,12,6.908755,1,21.802904,42.629091,1963.917729,0.928249,0.097327
200805,177,12,6.908755,1,28.711659,86.156400,2050.074129,0.895406,0.012196
200806,178,12,-6.457107,23,22.254552,-6.458105,2043.616025,0.920450,-0.019199
200807,176,12,6.906775,1,29.161327,13.131376,2056.747401,0.930378,-0.043408
200808,176,12,1.173721,3,30.335048,1.175958,2057.923358,0.946105,-0.065340
200809,173,12,-138.860232,860,-108.525184,-138.861232,1919.062127,0.959387,-0.067656
200810,172,12,-29.473419,18,-137.998603,-29.474418,1889.587708,0.962402,-0.114386
200811,173,12,6.433870,1,-131.564733,7.405616,1896.993324,0.900018,-0.054112
200812,103,7,6.908754,1,-124.655980,20.698770,1917.692095,0.889678,-0.050500
200901,101,7,6.908755,1,-117.747225,22.455562,1940.147657,0.871797,-0.092151
200902,104,7,6.897454,1,-110.849771,11.384957,1951.532614,0.874460,-0.096315
200903,126,9,6.908751,1,-103.941020,19.437550,1970.970164,0.883834,-0.087762
200904,132,9,6.908755,1,-97.032265,56.378297,2027.348461,0.897446,-0.053897
