date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,2.359263,29,2.359263,2.368893,2.368893,0.936946,-0.072861
200302,20,2,-0.473172,598,1.886091,-0.473549,1.895343,0.963210,-0.106595
200303,20,2,-4.605228,500,-2.719137,-4.606218,-2.710874,0.959959,-0.093301
200304,20,2,0.650255,180,-2.068883,0.651171,-2.059703,0.970479,-0.144882
200305,21,2,0.526435,152,-1.542448,0.527128,-1.532575,0.970434,-0.208814
200306,23,2,1.260965,66,-0.281483,1.263497,-0.269078,0.961919,-0.197091
200307,24,2,4.068115,2,3.786632,4.127278,3.858199,0.970177,-0.234178
200308,24,2,-5.000694,765,-1.214062,-5.001686,-1.143487,0.991528,-0.240109
200309,26,2,-0.872855,950,-2.086917,-0.873437,-2.016924,0.986974,-0.261414
200310,26,2,-0.496165,994,-2.583081,-0.496556,-2.513480,0.987153,-0.277848
200311,25,2,-2.223594,515,-4.806675,-2.224485,-4.737965,0.989562,-0.255838
200312,25,2,-2.445686,589,-7.252361,-2.446599,-7.184564,0.982980,-0.204354
200401,27,2,0.122659,214,-7.129701,0.122790,-7.061774,0.984258,-0.252093
200402,28,2,0.527107,134,-6.602594,0.527802,-6.533972,0.980465,-0.269161
200403,29,2,-4.395790,477,-10.998384,-4.396777,-10.930749,0.983587,-0.205513
200404,27,2,0.568305,122,-10.430078,0.569071,-10.361678,0.948469,-0.169814
200405,31,3,1.842137,30,-8.587941,1.847461,-8.514217,0.948872,-0.185967
200406,33,3,-21.233517,951,-29.821458,-21.234516,-29.748733,0.954221,-0.191796
200407,34,3,-1.212677,912,-31.034135,-1.213379,-30.962112,0.944028,-0.177513
200408,34,3,-1.399997,720,-32.434132,-1.400750,-32.362862,0.925290,-0.145716
200409,33,3,-0.386587,512,-32.820719,-0.386907,-32.749770,0.928460,-0.095419
200410,33,3,2.065939,23,-30.754780,2.072855,-30.676915,0.920528,-0.151646
200411,34,3,0.754734,113,-30.000046,0.755862,-29.921053,0.913165,-0.114104
200412,34,3,0.101008,212,-29.899038,0.101115,-29.819938,0.912208,-0.063497
200501,36,3,-2.100094,544,-31.999132,-2.100971,-31.920910,0.913066,0.011350
200502,36,3,-2.091567,618,-34.090699,-2.092443,-34.013353,0.898544,-0.033388
200503,35,3,-0.706343,318,-34.797042,-0.706849,-34.720202,0.884014,-0.021814
200504,38,3,4.207976,1,-30.589066,4.276491,-30.443711,0.932336,-0.063300
200505,38,3,-9.059810,671,-39.648876,-9.060810,-39.504521,0.894606,0.017578
200506,38,3,-0.207008,71,-39.855884,-0.207195,-39.711716,0.878469,-0.055762
200507,43,3,-12.164932,885,-52.020816,-12.165931,-51.877647,0.870926,-0.037702
200508,43,3,0.944809,48,-51.076006,0.946383,-50.931264,0.847899,-0.017838
200509,43,3,-6.695347,759,-57.771353,-6.696345,-57.627609,0.830261,-0.049986
200510,43,3,0.381397,96,-57.389956,0.381862,-57.245747,0.809476,-0.008866
200511,45,3,0.334975,208,-57.054981,0.335373,-56.910374,0.787133,-0.106704
200512,45,3,-12.502309,699,-69.557289,-12.503308,-69.413682,0.765647,-0.029205
200601,46,4,0.229428,229,-69.327861,0.229686,-69.183996,0.727839,0.199707
200602,48,4,-5.528580,182,-74.856440,-5.529575,-74.713571,0.700029,0.345451
200603,46,4,4.049823,5,-70.806617,4.107863,-70.605708,0.672584,0.473767
200604,46,4,6.898280,1,-63.908337,11.461338,-59.144370,0.632508,0.512672
200605,47,4,-2.166576,209,-66.074913,-2.167461,-61.311831,0.752572,0.570479
200606,47,4,-2.894430,786,-68.969342,-2.895374,-64.207205,0.753239,0.784173
200607,48,4,-8.253009,745,-77.222351,-8.254008,-72.461213,0.751855,0.789780
200608,48,4,2.322865,11,-74.899486,2.332112,-70.129101,0.734506,0.916240
200609,48,4,1.307611,58,-73.591875,1.310312,-68.818789,0.698150,1.060244
200610,48,4,0.576787,92,-73.015088,0.577567,-68.241221,0.724524,0.858875
200611,49,4,-9.502537,152,-82.517625,-9.503536,-77.744758,0.669594,1.277128
200612,50,4,-1.759174,114,-84.276799,-1.760002,-79.504759,0.661971,1.601384
200701,49,4,0.644258,90,-83.632541,0.645163,-78.859596,0.670332,1.473162
200702,48,4,-19.204701,891,-102.837242,-19.205700,-98.065296,0.666219,1.629677
200703,48,4,-3.058584,328,-105.895825,-3.059536,-101.124833,0.679719,1.570271
200704,49,4,-0.849085,490,-106.744910,-0.849657,-101.974489,0.679123,1.589214
200705,50,4,2.516490,8,-104.228420,2.527941,-99.446549,0.664067,1.655107
200706,49,4,-24.313594,626,-128.542014,-24.314593,-123.761142,0.651750,1.675828
200707,50,4,-3.579694,51,-132.121708,-3.580666,-127.341808,0.668741,1.471025
200708,50,4,-11.623745,399,-143.745453,-11.624745,-138.966552,0.583501,1.305202
200709,53,4,6.908750,1,-136.836702,19.266287,-119.700265,0.622337,1.110687
200710,54,4,6.892176,1,-129.944527,10.999078,-108.701187,0.686863,1.049945
200711,56,4,6.908755,1,-123.035772,28.581952,-80.119235,0.657513,1.102018
200712,55,4,6.908755,1,-116.127017,22.280930,-57.838305,0.708372,0.838484
200801,54,4,6.908755,1,-109.218262,61.131763,3.293458,0.735084,0.833050
200802,55,4,6.908755,1,-102.309508,40.166511,43.459969,0.892555,0.537852
200803,56,4,-3.606403,222,-105.915910,-3.607375,39.852594,0.992564,0.198061
200804,55,4,0.275945,133,-105.639965,0.276263,40.128857,0.978609,0.178652
200805,55,4,6.908754,1,-98.731212,20.482343,60.611201,0.962836,0.070094
200806,56,4,3.978185,5,-94.753027,4.032029,64.643229,0.990293,0.088827
200807,56,4,-4.146066,14,-98.899093,-4.147050,60.496179,0.985128,0.014024
200808,57,4,3.804748,5,-95.094346,3.849655,64.345834,0.987067,-0.078497
200809,57,4,-141.102955,829,-236.197301,-141.103955,-76.758121,0.964156,-0.178845
200810,55,4,6.906356,1,-229.290944,12.939478,-63.818643,0.916252,-0.167718
200811,55,4,1.898767,5,-227.392178,1.904461,-61.914182,0.911577,-0.101143
