date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,-3.091965,461,-3.091965,-3.092919,-3.092919,0.839027,0.349220
200302,74,5,2.966238,3,-0.125726,2.984829,-0.108090,0.813075,0.274500
200303,78,6,1.287572,18,1.161846,1.290199,1.182109,0.818520,0.250981
200304,80,6,-1.324941,35,-0.163096,-1.325675,-0.143566,0.823217,0.274804
200305,80,6,3.293461,4,3.130365,3.319739,3.176173,0.815132,0.261466
200306,85,6,6.908755,1,10.039119,22.594248,25.770421,0.822060,0.279579
200307,86,6,-7.971748,37,2.067372,-7.972747,17.797675,0.825528,0.285082
200308,88,6,-2.544675,16,-0.477303,-2.545596,15.252078,0.839709,0.253864
200309,94,7,-1.400538,14,-1.877841,-1.401291,13.850787,0.840496,0.239829
200310,97,7,6.836905,1,4.959064,9.504799,23.355586,0.810845,0.211744
200311,98,7,6.896615,1,11.855680,11.312972,34.668558,0.829919,0.212127
200312,96,7,-4.893175,6,6.962505,-4.894167,29.774391,0.858973,0.178647
200401,106,8,5.661521,2,12.624026,5.999214,35.773605,0.802101,0.161303
200402,101,7,6.402209,1,19.026235,7.323954,43.097559,0.798643,0.170627
200403,106,8,6.908750,1,25.934985,19.108907,62.206466,0.803308,0.147826
200404,107,8,6.734175,1,32.669159,8.564568,70.771034,0.811759,0.125171
200405,108,8,6.908453,1,39.577612,15.013309,85.784344,0.788127,0.094901
200406,106,8,6.908571,1,46.486184,15.510588,101.294932,0.780879,0.077668
200407,110,8,-0.181282,6,46.304902,-0.181447,101.113485,0.786518,0.061754
200408,108,8,6.908746,1,53.213648,18.573014,119.686498,0.775577,0.088643
200409,111,8,1.364794,27,54.578443,1.367714,121.054212,0.801344,0.075495
200410,108,8,6.823671,1,61.402114,9.329033,130.383245,0.821402,0.078015
200411,109,8,6.888293,1,68.290407,10.786718,141.169963,0.821723,0.055527
200412,116,8,3.522959,3,71.813366,3.556396,144.726359,0.810571,0.030459
200501,115,8,5.999832,1,77.813198,6.514601,151.240959,0.857328,0.072691
200502,115,8,6.731698,1,84.544896,8.549205,159.790164,0.882231,0.037000
200503,111,8,1.445727,8,85.990623,1.448978,161.239142,0.879428,0.032984
200504,100,7,-12.160432,21,73.830191,-12.161431,149.077710,0.864900,0.030868
200505,98,7,-29.793490,117,44.036701,-29.794490,119.283220,0.924427,0.032743
200506,104,7,-13.696550,402,30.340151,-13.697549,105.585671,0.926442,0.056848
200507,105,7,-6.828959,304,23.511192,-6.829958,98.755714,0.921975,0.077193
200508,104,7,-0.054399,23,23.456792,-0.054452,98.701261,0.926940,0.066407
200509,101,7,-5.447592,356,18.009200,-5.448588,93.252674,0.922373,0.096156
200510,103,7,-4.563529,176,13.445671,-4.564518,88.688155,0.921476,0.081752
200511,101,7,5.554692,2,19.000363,5.852354,94.540509,0.927749,0.085719
200512,116,8,4.124316,5,23.124679,4.187070,98.727579,0.934087,0.130420
200601,116,8,6.170103,1,29.294782,6.818727,105.546306,0.929759,0.136640
200602,116,8,6.042092,1,35.336874,6.586426,112.132733,0.928108,0.154231
200603,118,8,5.968378,1,41.305252,6.462463,118.595196,0.932817,0.163273
200604,117,8,6.908727,1,48.213979,17.413704,136.008900,0.929055,0.168626
200605,120,8,6.907878,1,55.121857,13.946271,149.955171,0.905407,0.193039
200606,128,9,-5.615306,40,49.506551,-5.616302,144.338868,0.914856,0.198371
200607,125,9,6.900978,1,56.407529,11.760471,156.099339,0.905262,0.224928
200608,127,9,6.908755,1,63.316283,24.636605,180.735945,0.911408,0.226590
200609,130,9,-4.629632,348,58.686652,-4.630622,176.105323,0.904981,0.184412
200610,141,10,6.908748,1,65.595400,18.841412,194.946736,0.905758,0.202080
200611,127,9,4.970031,2,70.565431,5.124385,200.071120,0.899295,0.211216
200612,127,9,6.904326,1,77.469757,12.325196,212.396317,0.907414,0.195071
200701,123,9,6.908755,1,84.378512,35.788027,248.184344,0.912912,0.207207
200702,118,8,5.019588,2,89.398100,5.182518,253.366862,0.893414,0.208649
200703,109,8,5.898399,2,95.296499,6.350097,259.716959,0.890586,0.205497
200704,118,8,6.763523,1,102.060022,8.763682,268.480641,0.910343,0.207540
200705,113,8,6.908754,1,108.968775,20.483342,288.963983,0.917082,0.221962
200706,105,7,6.883257,1,115.852033,10.564154,299.528137,0.915642,0.207451
