date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,147.016600,147.016600,0.829884,0.155122
200302,409,28,6.908755,1,13.817510,173.880767,320.897367,0.834256,0.150288
200303,419,28,6.908755,1,20.726264,203.287468,524.184835,0.850457,0.137579
200304,435,29,6.908755,1,27.635019,141.482294,665.667129,0.853157,0.131861
200305,427,29,6.908755,1,34.543774,140.985243,806.652373,0.847205,0.127909
200306,437,30,6.908755,1,41.452529,173.973708,980.626080,0.854129,0.129236
200307,442,30,6.908755,1,48.361283,295.594891,1276.220971,0.860584,0.123654
200308,444,30,6.908755,1,55.270038,213.661652,1489.882624,0.867366,0.111850
200309,451,31,6.908755,1,62.178793,158.215003,1648.097627,0.891802,0.079667
200310,433,29,6.908755,1,69.087548,187.680715,1835.778341,0.874765,0.067739
200311,437,30,6.908755,1,75.996303,102.560942,1938.339284,0.880463,0.043811
200312,442,30,6.908755,1,82.905057,154.567284,2092.906567,0.905783,0.030136
200401,441,30,6.908755,1,89.813812,116.680879,2209.587447,0.906256,0.019188
200402,445,30,6.908755,1,96.722567,98.850911,2308.438358,0.913047,0.010226
200403,438,30,6.908755,1,103.631322,151.062447,2459.500805,0.907229,-0.015122
200404,440,30,6.908755,1,110.540076,148.578392,2608.079197,0.906546,-0.018860
200405,435,29,6.908755,1,117.448831,85.753246,2693.832443,0.920528,-0.050453
200406,436,30,6.908755,1,124.357586,101.142922,2794.975365,0.922282,-0.070970
200407,432,29,6.908755,1,131.266341,101.436515,2896.411880,0.916896,-0.080072
200408,431,29,6.908755,1,138.175096,133.568496,3029.980376,0.914306,-0.079416
200409,441,30,6.908755,1,145.083850,70.826824,3100.807200,0.918495,-0.077411
200410,437,30,6.908755,1,151.992605,52.972211,3153.779411,0.920759,-0.079353
200411,434,29,6.908755,1,158.901360,84.516273,3238.295685,0.919717,-0.075243
200412,423,29,6.908755,1,165.810115,135.600489,3373.896173,0.913744,-0.081452
