date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.880803,1,6.880803,10.471017,10.471017,0.877004,0.090514
200302,351,24,6.908755,1,13.789558,22.753050,33.224067,0.858630,0.090323
200303,355,24,6.908754,1,20.698311,20.722632,53.946699,0.860946,0.072795
200304,360,24,6.894683,1,27.592995,11.164328,65.111027,0.826245,0.070451
200305,371,25,-4.343481,9,23.249513,-4.344468,60.766559,0.834569,0.070857
200306,383,26,6.908755,1,30.158268,22.672705,83.439264,0.842909,0.061124
200307,395,27,6.908755,1,37.067023,105.397453,188.836717,0.851418,0.056932
200308,401,27,6.908755,1,43.975778,53.085939,241.922656,0.868646,0.065336
200309,412,28,6.908755,1,50.884532,25.109244,267.031900,0.868681,0.021998
200310,406,28,6.908755,1,57.793287,36.596344,303.628244,0.865457,0.031699
200311,416,28,6.908755,1,64.702042,36.337977,339.966221,0.861806,0.014083
200312,421,29,2.849804,2,67.551846,2.866223,342.832443,0.880267,0.002492
200401,429,29,6.908755,1,74.460601,43.743771,386.576215,0.887320,-0.017662
200402,426,29,6.908755,1,81.369356,60.597413,447.173627,0.898621,-0.034137
200403,428,29,6.908755,1,88.278110,50.426902,497.600529,0.904543,-0.019178
200404,423,29,6.908755,1,95.186865,28.752934,526.353463,0.932469,-0.048080
200405,423,29,6.908755,1,102.095620,138.854568,665.208031,0.927099,-0.074606
200406,424,29,6.908755,1,109.004375,29.707276,694.915307,0.929858,-0.067415
200407,425,29,-12.303268,57,96.701106,-12.304268,682.611039,0.923133,-0.086080
200408,428,29,6.908744,1,103.609851,18.379668,700.990707,0.916304,-0.094148
200409,439,30,-23.500788,152,80.109062,-23.501788,677.488919,0.923181,-0.086224
200410,436,30,6.907767,1,87.016829,13.826971,691.315889,0.921762,-0.100703
200411,444,30,-2.839470,9,84.177359,-2.840411,688.475478,0.923171,-0.100417
200412,445,30,-22.080598,31,62.096761,-22.081597,666.393881,0.924196,-0.104668
200501,444,30,6.907770,1,69.004531,13.830200,680.224080,0.916618,-0.084860
200502,443,30,6.908755,1,75.913286,45.722838,725.946919,0.913818,-0.100539
200503,438,30,-6.496770,2,69.416515,-6.497768,719.449151,0.906711,-0.087437
200504,436,30,6.908755,1,76.325270,38.417802,757.866953,0.904323,-0.085932
200505,431,29,6.908755,1,83.234025,31.231616,789.098569,0.909571,-0.079835
200506,438,30,6.908372,1,90.142397,14.776812,803.875381,0.892231,-0.040172
200507,442,30,-3.656758,5,86.485639,-3.657732,800.217650,0.895805,-0.050442
200508,439,30,6.812345,1,93.297985,9.198316,809.415965,0.882104,-0.016473
200509,449,30,6.908755,1,100.206740,31.046733,840.462698,0.869205,-0.020151
200510,455,31,6.908755,1,107.115494,35.985812,876.448510,0.860450,0.001378
200511,455,31,6.908755,1,114.024249,62.813572,939.262082,0.843995,0.067626
200512,446,30,-7.328937,3,106.695312,-7.329936,931.932146,0.830120,0.068249
200601,430,29,6.908755,1,113.604067,43.458100,975.390245,0.813122,0.111548
200602,434,29,6.908521,1,120.512587,15.267649,990.657894,0.802875,0.177396
200603,434,29,6.908755,1,127.421342,37.430835,1028.088730,0.790578,0.245245
200604,431,29,6.908755,1,134.330097,105.328742,1133.417472,0.771250,0.320082
200605,433,29,6.908755,1,141.238852,39.012954,1172.430426,0.742357,0.392680
200606,421,29,6.908753,1,148.147605,20.118411,1192.548837,0.761407,0.428961
200607,423,29,5.309683,2,153.457288,5.534436,1198.083273,0.725825,0.486360
200608,414,28,6.908755,1,160.366043,33.514974,1231.598247,0.717618,0.521640
200609,415,28,6.908755,1,167.274797,62.106995,1293.705242,0.715800,0.575228
200610,380,26,6.383383,1,173.658181,7.277245,1300.982486,0.716725,0.533976
200611,389,26,6.908755,1,180.566935,82.192211,1383.174698,0.698431,0.572986
200612,380,26,6.908754,1,187.475689,21.122028,1404.296726,0.697632,0.582959
200701,378,26,6.908718,1,194.384408,17.124172,1421.420898,0.629090,0.660825
200702,356,24,6.908755,1,201.293162,73.656361,1495.077259,0.626079,0.670501
200703,353,24,6.908755,1,208.201917,54.873528,1549.950787,0.636128,0.673162
200704,367,25,6.908755,1,215.110672,27.020361,1576.971148,0.640004,0.703618
200705,371,25,6.908745,1,222.019417,18.400384,1595.371532,0.668165,0.714066
200706,370,25,6.908755,1,228.928171,154.889907,1750.261439,0.643472,0.759821
200707,362,25,6.908755,1,235.836926,134.642606,1884.904045,0.678626,0.783989
200708,356,24,6.908755,1,242.745681,111.505102,1996.409147,0.686229,0.749814
200709,364,25,2.448184,3,245.193865,2.458808,1998.867955,0.683994,0.616698
200710,386,26,6.908755,1,252.102620,36.143644,2035.011598,0.683892,0.598780
200711,379,26,6.908755,1,259.011375,235.114729,2270.126327,0.692954,0.570211
200712,395,27,6.908755,1,265.920129,32.361740,2302.488067,0.740946,0.484819
200801,394,27,6.908755,1,272.828884,139.675004,2442.163072,0.676750,0.398183
200802,400,27,6.908755,1,279.737639,272.582329,2714.745400,0.732916,0.349343
200803,401,27,6.908755,1,286.646394,105.664743,2820.410143,0.792151,0.248616
200804,408,28,6.908755,1,293.555148,99.730110,2920.140253,0.828000,0.099081
200805,414,28,6.908755,1,300.463903,44.047555,2964.187808,0.804182,0.097601
200806,439,30,6.908755,1,307.372658,111.857981,3076.045789,0.837899,0.065142
200807,449,30,6.908755,1,314.281413,148.133840,3224.179629,0.856700,0.010726
200808,447,30,6.908755,1,321.190168,70.796236,3294.975865,0.880232,-0.002636
200809,440,30,6.908755,1,328.098922,173.920652,3468.896517,0.897761,-0.006634
200810,440,30,6.908755,1,335.007677,324.895073,3793.791590,0.941789,-0.031216
200811,446,30,6.908755,1,341.916432,111.444754,3905.236343,0.854588,0.037289
200812,518,35,6.908755,1,348.825187,47.433277,3952.669620,0.868361,0.035679
200901,499,34,6.908755,1,355.733941,81.498026,4034.167646,0.863561,0.062377
200902,506,34,6.908755,1,362.642696,103.064923,4137.232569,0.863305,0.053375
200903,529,36,6.908755,1,369.551451,195.001249,4332.233819,0.889562,0.054910
200904,527,36,6.908755,1,376.460206,140.034582,4472.268401,0.925013,0.075866
200905,538,36,6.908755,1,383.368961,116.873066,4589.141466,0.898123,0.086025
200906,561,38,4.210544,2,387.579505,4.279244,4593.420711,0.875186,0.088679
200907,575,39,6.907947,1,394.487452,14.028928,4607.449639,0.876578,0.100463
200908,593,40,-4.586958,18,389.900494,-4.587948,4602.861692,0.871677,0.098185
200909,606,41,6.476539,1,396.377033,7.522705,4610.384396,0.874854,0.096406
