date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,-0.392352,92,-0.392352,-0.392676,-0.392676,0.959664,-0.082678
200302,56,4,-13.111790,439,-13.504141,-13.112789,-13.505465,0.968094,-0.165233
200303,59,4,-2.655145,324,-16.159286,-2.656074,-16.161539,0.958338,-0.128835
200304,59,4,-0.446239,91,-16.605525,-0.446599,-16.608138,0.969727,-0.165865
200305,50,4,3.610309,5,-12.995215,3.646950,-12.961188,0.963563,-0.128185
200306,52,4,-17.193921,869,-30.189137,-17.194921,-30.156109,0.961746,-0.111482
200307,54,4,5.011630,2,-25.177507,5.173149,-24.982960,0.959046,-0.088745
200308,54,4,-5.935711,116,-31.113217,-5.936708,-30.919668,0.968208,-0.127800
200309,53,4,-1.881497,22,-32.994715,-1.882345,-32.802012,0.964316,-0.158572
200310,62,5,-6.566954,129,-39.561668,-6.567952,-39.369964,0.947546,-0.093542
200311,62,5,6.720536,1,-32.841133,8.482320,-30.887645,0.941695,-0.126652
200312,64,5,-5.169225,161,-38.010357,-5.170218,-36.057863,0.942168,-0.115925
200401,67,5,5.789045,2,-32.221312,6.183126,-29.874737,0.936601,-0.126530
200402,69,5,-1.079753,99,-33.301065,-1.080413,-30.955149,0.926893,-0.122953
200403,67,5,-1.537292,60,-34.838357,-1.538077,-32.493226,0.925513,-0.125317
200404,67,5,-1.182472,54,-36.020829,-1.183165,-33.676391,0.912190,-0.172052
200405,69,5,5.760750,1,-30.260079,6.141404,-27.534987,0.901249,-0.172209
200406,73,5,5.150767,1,-25.109313,5.338982,-22.196005,0.908068,-0.203505
200407,71,5,-6.460728,205,-31.570041,-6.461726,-28.657731,0.897134,-0.134358
200408,69,5,-0.681858,98,-32.251899,-0.682352,-29.340083,0.886421,-0.124299
200409,72,5,-0.165841,155,-32.417740,-0.165994,-29.506077,0.893522,-0.100620
200410,71,5,-1.935956,331,-34.353696,-1.936811,-31.442889,0.902116,-0.091958
200411,72,5,-3.139828,894,-37.493524,-3.140784,-34.583673,0.905588,-0.064375
200412,72,5,-3.296359,461,-40.789884,-3.297322,-37.880995,0.902740,-0.040806
200501,72,5,-3.407981,83,-44.197864,-3.408947,-41.289942,0.897379,-0.020124
