date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,-24.118607,871,-24.118607,-24.119606,-24.119606,0.936946,-0.072861
200302,20,2,-0.473172,598,-24.591779,-0.473549,-24.593155,0.963210,-0.106595
200303,20,2,-3.515439,564,-28.107219,-3.516409,-28.109565,0.959959,-0.093301
200304,20,2,-1.866201,800,-29.973420,-1.867046,-29.976611,0.970479,-0.144882
200305,21,2,-1.063436,742,-31.036856,-1.064091,-31.040702,0.970434,-0.208814
200306,23,2,-1.018865,905,-32.055721,-1.019503,-32.060205,0.961919,-0.197091
200307,24,2,1.048311,74,-31.007410,1.050166,-31.010040,0.970177,-0.234178
200308,24,2,-5.273823,915,-36.281233,-5.274817,-36.284857,0.991528,-0.240109
200309,26,2,-1.268313,874,-37.549546,-1.269032,-37.553889,0.986974,-0.261414
200310,26,2,-0.216870,653,-37.766416,-0.217065,-37.770954,0.987153,-0.277848
200311,25,2,-3.540868,962,-41.307284,-3.541838,-41.312792,0.989562,-0.255838
200312,25,2,0.089495,343,-41.217789,0.089588,-41.223204,0.982980,-0.204354
200401,27,2,0.844860,156,-40.372930,0.846188,-40.377016,0.984258,-0.252093
200402,28,2,-0.999671,678,-41.372600,-1.000302,-41.377318,0.980465,-0.269161
200403,29,2,-8.635433,487,-50.008033,-8.636432,-50.013750,0.983587,-0.205513
200404,27,2,0.847693,108,-49.160340,0.849028,-49.164722,0.948469,-0.169814
200405,31,3,0.630584,124,-48.529756,0.631463,-48.533259,0.948872,-0.185967
200406,33,3,4.938522,1,-43.591234,5.087677,-43.445582,0.954221,-0.191796
200407,34,3,-0.233454,692,-43.824688,-0.233662,-43.679244,0.944028,-0.177513
200408,34,3,0.130476,321,-43.694211,0.130616,-43.548629,0.925290,-0.145716
200409,33,3,0.254675,240,-43.439536,0.254966,-43.293663,0.928460,-0.095419
200410,33,3,-9.937492,899,-53.377028,-9.938491,-53.232154,0.920528,-0.151646
200411,34,3,0.757261,82,-52.619767,0.758394,-52.473761,0.913165,-0.114104
200412,34,3,-0.113271,432,-52.733038,-0.113378,-52.587139,0.912208,-0.063497
200501,36,3,3.761391,2,-48.971647,3.804308,-48.782831,0.913066,0.011350
200502,36,3,0.353057,211,-48.618590,0.353481,-48.429351,0.898544,-0.033388
200503,35,3,-2.016799,415,-50.635388,-2.017665,-50.447016,0.884014,-0.021814
200504,38,3,-12.113397,580,-62.748785,-12.114397,-62.561413,0.932336,-0.063300
200505,38,3,-10.064395,961,-72.813180,-10.065394,-72.626807,0.894606,0.017578
200506,38,3,-24.693822,955,-97.507002,-24.694821,-97.321628,0.878469,-0.055762
200507,43,3,-23.630759,824,-121.137761,-23.631758,-120.953387,0.870926,-0.037702
200508,43,3,0.915501,89,-120.222260,0.917000,-120.036386,0.847899,-0.017838
