date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,-2.859654,196,-2.859654,-2.860597,-2.860597,0.839027,0.349220
200302,74,5,0.767788,20,-2.091866,0.768944,-2.091653,0.813075,0.274500
200303,78,6,4.926894,2,2.835028,5.074177,2.982524,0.818520,0.250981
200304,80,6,-10.526416,114,-7.691388,-10.527415,-7.544891,0.823217,0.274804
200305,80,6,-0.029546,234,-7.720934,-0.029575,-7.574466,0.815132,0.261466
200306,85,6,-7.970340,13,-15.691274,-7.971339,-15.545805,0.822060,0.279579
200307,86,6,-13.530464,277,-29.221738,-13.531463,-29.077268,0.825528,0.285082
200308,88,6,-0.391346,72,-29.613083,-0.391669,-29.468938,0.839709,0.253864
200309,94,7,-6.488628,161,-36.101711,-6.489626,-35.958564,0.840496,0.239829
200310,97,7,-5.345841,28,-41.447552,-5.346836,-41.305399,0.810845,0.211744
200311,98,7,-6.643239,87,-48.090791,-6.644237,-47.949637,0.829919,0.212127
200312,96,7,-9.333947,13,-57.424739,-9.334947,-57.284583,0.858973,0.178647
200401,106,8,-15.579334,21,-73.004072,-15.580333,-72.864916,0.802101,0.161303
200402,101,7,6.625787,1,-66.378285,8.025361,-64.839555,0.798643,0.170627
200403,106,8,6.908720,1,-59.469564,17.186082,-47.653473,0.803308,0.147826
200404,107,8,6.195931,1,-53.273633,6.868782,-40.784691,0.811759,0.125171
200405,108,8,-8.359632,74,-61.633265,-8.360632,-49.145322,0.788127,0.094901
200406,106,8,-20.330029,276,-81.963294,-20.331029,-69.476351,0.780879,0.077668
200407,110,8,-8.076667,37,-90.039962,-8.077666,-77.554018,0.786518,0.061754
200408,108,8,6.908755,1,-83.131207,24.856545,-52.697472,0.775577,0.088643
200409,111,8,6.391005,1,-76.740202,7.295998,-45.401474,0.801344,0.075495
200410,108,8,6.756906,1,-69.983296,8.715740,-36.685735,0.821402,0.078015
200411,109,8,6.109708,1,-63.873588,6.706105,-29.979629,0.821723,0.055527
200412,116,8,-22.392031,569,-86.265619,-22.393031,-52.372660,0.810571,0.030459
200501,115,8,-11.263819,125,-97.529438,-11.264818,-63.637478,0.857328,0.072691
