date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,-7.035507,262,-7.035507,-7.036506,-7.036506,0.833608,0.040527
200302,100,7,-11.324272,415,-18.359779,-11.325271,-18.361777,0.853838,0.080840
200303,102,7,-4.957546,371,-23.317325,-4.958539,-23.320316,0.845494,0.066020
200304,102,7,0.094564,144,-23.222761,0.094663,-23.225652,0.846451,0.077107
200305,118,8,1.569491,21,-21.653270,1.573302,-21.652350,0.847897,0.076290
200306,124,9,-3.390108,138,-25.043378,-3.391073,-25.043424,0.835627,0.080689
200307,137,10,-6.691732,222,-31.735110,-6.692730,-31.736154,0.840843,0.097380
200308,143,10,-12.516301,217,-44.251411,-12.517301,-44.253455,0.843202,0.097296
200309,148,10,6.907592,1,-37.343819,13.664141,-30.589314,0.854297,0.088027
200310,150,10,-11.928151,347,-49.271971,-11.929151,-42.518465,0.847338,0.093015
200311,152,11,-10.005556,386,-59.277527,-10.006555,-52.525020,0.836278,0.089055
200312,150,10,5.408478,2,-53.869048,5.659882,-46.865138,0.860441,0.093825
200401,139,10,-42.074312,518,-95.943361,-42.075312,-88.940450,0.852102,0.076755
200402,143,10,6.908753,1,-89.034608,20.268382,-68.672067,0.833029,0.062907
200403,139,10,-17.235323,246,-106.269930,-17.236322,-85.908390,0.839799,0.060585
200404,135,9,0.451141,77,-105.818790,0.451711,-85.456679,0.849036,0.061952
200405,140,10,-1.265826,13,-107.084615,-1.266543,-86.723222,0.848706,0.060212
200406,146,10,-19.884125,106,-126.968740,-19.885124,-106.608346,0.867454,0.022616
200407,152,11,5.141894,2,-121.826846,5.328271,-101.280075,0.870281,0.008890
200408,153,11,-18.259978,91,-140.086824,-18.260977,-119.541052,0.868547,0.006752
200409,155,11,-7.051475,143,-147.138298,-7.052473,-126.593526,0.862248,0.004890
200410,162,11,-30.305828,530,-177.444127,-30.306828,-156.900353,0.864131,-0.010624
200411,167,12,-19.691861,95,-197.135988,-19.692861,-176.593214,0.866825,-0.011251
200412,163,11,3.624177,3,-193.511811,3.661353,-172.931861,0.856882,0.000687
200501,164,11,-24.615646,399,-218.127457,-24.616646,-197.548506,0.873997,-0.018158
200502,169,12,-5.546789,32,-223.674246,-5.547785,-203.096291,0.893619,-0.041914
200503,172,12,-15.148032,73,-238.822278,-15.149031,-218.245323,0.887918,-0.041170
200504,187,13,-1.539559,6,-240.361837,-1.540345,-219.785667,0.873295,-0.036079
200505,196,14,-6.838700,5,-247.200538,-6.839699,-226.625366,0.878716,-0.047974
200506,190,13,6.783635,1,-240.416903,8.923023,-217.702343,0.862711,0.016146
200507,190,13,0.427428,13,-239.989475,0.427962,-217.274381,0.857711,0.011866
200508,190,13,6.033115,1,-233.956359,6.570990,-210.703391,0.859199,0.033755
200509,197,14,5.736731,2,-228.219628,6.106418,-204.596973,0.863726,0.018951
200510,194,13,6.908755,1,-221.310874,29.813760,-174.783213,0.852193,0.085527
200511,197,14,-12.750996,48,-234.061870,-12.751995,-187.535209,0.859708,0.052188
200512,165,11,2.765756,3,-231.296113,2.780759,-184.754449,0.876219,0.060916
200601,164,11,0.176051,2,-231.120062,0.176244,-184.578205,0.880221,0.084345
200602,171,12,-1.053558,16,-232.173619,-1.054209,-185.632414,0.855083,0.120894
200603,168,12,-20.299416,81,-252.473036,-20.300416,-205.932830,0.862759,0.132614
200604,158,11,-3.922123,11,-256.395158,-3.923102,-209.855932,0.854573,0.146655
200605,152,11,-4.184338,7,-260.579496,-4.185323,-214.041255,0.849747,0.167514
200606,142,10,-8.127955,54,-268.707452,-8.128954,-222.170209,0.854245,0.144264
200607,141,10,-27.588470,44,-296.295921,-27.589469,-249.759678,0.850680,0.161570
200608,140,10,-1.919116,7,-298.215038,-1.919969,-251.679647,0.854786,0.145693
200609,142,10,-9.283606,107,-307.498643,-9.284605,-260.964252,0.853522,0.163420
200610,143,10,6.810768,1,-300.687875,9.181284,-251.782969,0.867062,0.170355
200611,157,11,-59.435301,810,-360.123176,-59.436300,-311.219269,0.865228,0.176023
200612,147,10,6.423101,1,-353.700075,7.377380,-303.841889,0.845537,0.200304
200701,152,11,-27.529320,253,-381.229395,-27.530320,-331.372209,0.828823,0.188680
200702,157,11,0.103394,3,-381.126001,0.103503,-331.268706,0.859246,0.166615
200703,157,11,6.886526,1,-374.239475,10.702994,-320.565712,0.856747,0.158834
200704,134,9,-1.301797,5,-375.541272,-1.302525,-321.868237,0.895049,0.147855
200705,131,9,-24.750116,175,-400.291388,-24.751115,-346.619352,0.900678,0.142333
200706,136,10,-5.999041,61,-406.290430,-6.000038,-352.619391,0.909907,0.112180
200707,128,9,6.908755,1,-399.381675,34.312980,-318.306411,0.920239,0.110063
200708,125,9,-16.432707,3,-415.814382,-16.433707,-334.740118,0.933057,0.123546
200709,125,9,4.397653,2,-411.416729,4.481317,-330.258801,0.884526,0.104144
200710,114,8,6.005861,1,-405.410868,6.524720,-323.734081,0.880321,0.099489
200711,105,7,-6.872624,14,-412.283492,-6.873623,-330.607704,0.881229,0.116820
200712,99,7,-7.193501,61,-419.476994,-7.194500,-337.802204,0.906425,0.077350
200801,96,7,6.407304,1,-413.069690,7.336824,-330.465380,0.889773,0.122232
200802,95,7,-1.072466,2,-414.142156,-1.073124,-331.538504,0.897943,0.095120
200803,115,8,-16.203554,24,-430.345711,-16.204554,-347.743058,0.893781,0.091004
200804,114,8,-15.517211,239,-445.862922,-15.518211,-363.261269,0.874296,0.087159
200805,106,8,-0.740439,10,-446.603361,-0.740962,-364.002231,0.845653,0.107131
200806,105,7,-4.216709,206,-450.820070,-4.217694,-368.219925,0.840769,0.119567
200807,100,7,-2.933139,103,-453.753209,-2.934085,-371.154010,0.835139,0.115812
200808,100,7,5.526472,1,-448.226737,5.814496,-365.339515,0.819006,0.126832
200809,99,7,-20.050744,212,-468.277481,-20.051743,-385.391258,0.843420,0.124546
200810,99,7,-43.812329,301,-512.089810,-43.813328,-429.204586,0.832477,0.109698
200811,96,7,-4.008671,13,-516.098481,-4.009652,-433.214238,0.846748,0.084840
200812,94,7,-51.199641,213,-567.298121,-51.200640,-484.414879,0.850093,0.037318
200901,94,7,-38.175013,397,-605.473134,-38.176012,-522.590891,0.825969,0.055372
200902,97,7,6.471354,1,-599.001780,7.508002,-515.082889,0.772473,0.078159
200903,101,7,-7.584677,193,-606.586457,-7.585676,-522.668565,0.786904,0.074222
200904,113,8,-10.596513,428,-617.182969,-10.597512,-533.266077,0.776846,0.075356
200905,110,8,4.237928,4,-612.945041,4.308634,-528.957443,0.742057,0.070820
200906,113,8,-3.591684,434,-616.536725,-3.592656,-532.550098,0.734277,0.047427
200907,116,8,0.956208,28,-615.580516,0.957812,-531.592287,0.738386,0.038502
200908,113,8,4.961431,2,-610.619085,5.114347,-526.477940,0.745535,0.037372
200909,121,9,0.920398,26,-609.698687,0.921910,-525.556030,0.760250,0.022433
200910,120,8,3.112893,3,-606.585794,3.134613,-522.421417,0.766129,0.012379
200911,122,9,-6.656929,180,-613.242723,-6.657928,-529.079345,0.773344,0.012016
200912,116,8,5.445844,1,-607.796880,5.708238,-523.371106,0.769229,0.020683
201001,118,8,-25.145610,519,-632.942489,-25.146609,-548.517716,0.769704,-0.011096
201002,121,9,-0.576778,5,-633.519267,-0.577216,-549.094931,0.805574,-0.020183
201003,130,9,-10.225800,458,-643.745067,-10.226800,-559.321731,0.810260,-0.036279
201004,127,9,3.290214,10,-640.454854,3.316402,-556.005329,0.830293,-0.059101
201005,130,9,-1.906482,140,-642.361336,-1.907333,-557.912662,0.906261,-0.097791
201006,134,9,1.660758,11,-640.700578,1.665030,-556.247631,0.930272,-0.106441
201007,140,10,2.867162,10,-637.833415,2.883889,-553.363743,0.938026,-0.109257
201008,140,10,-1.995196,61,-639.828611,-1.996060,-555.359802,0.929275,-0.093326
201009,150,10,-16.325046,136,-656.153657,-16.326046,-571.685848,0.930618,-0.079808
201010,149,10,-13.548123,79,-669.701781,-13.549123,-585.234971,0.931218,-0.083710
201011,159,11,-11.993628,138,-681.695409,-11.994628,-597.229599,0.923218,-0.097705
