date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,-13.146601,22,-13.146601,-13.147600,-13.147600,0.829884,0.155122
200302,409,28,6.038422,2,-7.108179,6.580104,-6.567497,0.834256,0.150288
200303,419,28,2.465893,2,-4.642286,2.476725,-4.090772,0.850457,0.137579
200304,435,29,-2.734309,23,-7.376595,-2.735244,-6.826015,0.853157,0.131861
200305,427,29,6.908755,1,-0.467841,28.554011,21.727995,0.847205,0.127909
200306,437,30,-5.311838,17,-5.779679,-5.312833,16.415163,0.854129,0.129236
200307,442,30,6.908631,1,1.128953,15.906534,32.321697,0.860584,0.123654
200308,444,30,-20.938026,11,-19.809074,-20.939026,11.382671,0.867366,0.111850
200309,451,31,6.908589,1,-12.900484,15.615450,26.998121,0.891802,0.079667
200310,433,29,-4.572167,2,-17.472651,-4.573156,22.424965,0.874765,0.067739
200311,437,30,-7.084057,41,-24.556708,-7.085056,15.339909,0.880463,0.043811
200312,442,30,6.908755,1,-17.647953,26.420798,41.760707,0.905783,0.030136
200401,441,30,1.214111,7,-16.433842,1.216481,42.977189,0.906256,0.019188
200402,445,30,6.908755,1,-9.525087,33.784427,76.761616,0.913047,0.010226
200403,438,30,6.908755,1,-2.616332,44.517604,121.279220,0.907229,-0.015122
200404,440,30,6.908755,1,4.292422,44.325833,165.605053,0.906546,-0.018860
200405,435,29,6.908755,1,11.201177,39.643913,205.248967,0.920528,-0.050453
200406,436,30,6.908755,1,18.109932,33.693981,238.942948,0.922282,-0.070970
200407,432,29,6.908755,1,25.018687,35.841070,274.784018,0.916896,-0.080072
200408,431,29,6.908755,1,31.927442,63.204595,337.988614,0.914306,-0.079416
200409,441,30,-0.701764,2,31.225678,-0.702268,337.286346,0.918495,-0.077411
200410,437,30,6.908727,1,38.134405,17.416815,354.703160,0.920759,-0.079353
200411,434,29,-1.314002,2,36.820404,-1.314733,353.388428,0.919717,-0.075243
200412,423,29,6.908755,1,43.729158,91.101695,444.490123,0.913744,-0.081452
200501,425,29,6.908755,1,50.637913,63.438708,507.928831,0.904864,-0.077745
200502,427,29,6.908751,1,57.546664,19.379483,527.308314,0.896917,-0.074335
200503,411,28,6.908755,1,64.455419,82.508422,609.816736,0.892356,-0.056388
200504,404,27,6.908755,1,71.364174,218.976830,828.793566,0.898297,-0.074767
200505,402,27,6.346032,1,77.710206,7.188203,835.981770,0.894229,-0.044606
200506,397,27,6.908755,1,84.618961,56.402103,892.383873,0.877101,-0.014669
200507,403,27,-18.860894,7,65.758067,-18.861893,873.521980,0.876476,-0.000612
200508,405,27,6.908755,1,72.666822,57.285730,930.807709,0.866047,0.020627
200509,404,27,-24.221966,92,48.444856,-24.222966,906.584744,0.857634,0.046440
200510,414,28,-41.137166,136,7.307690,-41.138165,865.446578,0.850552,0.048291
200511,411,28,-32.477437,162,-25.169748,-32.478437,832.968141,0.849684,0.060165
200512,411,28,6.725961,1,-18.443787,8.514361,841.482502,0.848891,0.080517
200601,413,28,-1.236312,3,-19.680099,-1.237021,840.245481,0.846090,0.102416
200602,424,29,6.908293,1,-12.771806,14.586958,854.832439,0.827072,0.110260
200603,419,28,6.908755,1,-5.863051,98.521895,953.354335,0.821808,0.145822
200604,424,29,6.908755,1,1.045703,31.542548,984.896883,0.814547,0.214231
200605,416,28,6.908755,1,7.954458,50.148084,1035.044966,0.808387,0.226602
200606,410,28,6.908755,1,14.863213,64.257531,1099.302498,0.822820,0.217317
200607,416,28,6.908755,1,21.771968,92.635491,1191.937989,0.808326,0.210074
200608,417,28,6.908755,1,28.680722,57.226892,1249.164881,0.773936,0.235136
200609,416,28,6.908755,1,35.589477,85.552890,1334.717770,0.770173,0.228802
200610,403,27,6.908755,1,42.498232,57.677477,1392.395247,0.776534,0.236145
200611,394,27,1.421317,2,43.919549,1.424464,1393.819711,0.773805,0.230966
200612,395,27,6.908755,1,50.828304,73.642650,1467.462362,0.772073,0.267755
200701,400,27,-3.885130,2,46.943173,-3.886109,1463.576252,0.777106,0.290668
200702,391,27,6.908755,1,53.851928,49.126027,1512.702279,0.807592,0.249879
200703,380,26,6.908755,1,60.760683,63.088273,1575.790552,0.817601,0.229933
200704,384,26,6.908755,1,67.669438,58.987846,1634.778398,0.825069,0.186904
200705,384,26,-20.014323,34,47.655114,-20.015323,1614.763075,0.818592,0.204770
200706,381,26,6.908755,1,54.563869,77.592449,1692.355524,0.808218,0.179266
200707,390,26,6.908755,1,61.472624,92.975307,1785.330832,0.820171,0.191435
200708,376,26,6.908755,1,68.381379,57.690289,1843.021121,0.879368,0.103239
200709,381,26,6.908753,1,75.290131,19.920369,1862.941490,0.871888,0.076515
200710,379,26,6.908755,1,82.198886,38.221490,1901.162980,0.851332,0.110153
200711,387,26,6.908755,1,89.107641,103.648744,2004.811724,0.842904,0.091701
200712,381,26,6.908755,1,96.016395,70.516899,2075.328623,0.864003,0.024153
200801,384,26,6.908755,1,102.925150,43.434018,2118.762642,0.862938,0.020079
200802,384,26,6.908755,1,109.833905,62.773957,2181.536599,0.922509,0.019820
200803,377,26,6.908755,1,116.742660,58.894717,2240.431316,0.942998,0.025902
200804,387,26,6.908755,1,123.651415,156.587669,2397.018985,0.942378,-0.001026
200805,405,27,6.668171,1,130.319586,8.209740,2405.228726,0.904393,-0.022872
200806,413,28,6.908755,1,137.228341,40.591534,2445.820259,0.909937,-0.034025
200807,424,29,6.908755,1,144.137095,33.222535,2479.042794,0.913472,-0.054960
200808,427,29,6.908755,1,151.045850,31.691898,2510.734693,0.919063,-0.049609
200809,428,29,6.905897,1,157.951747,12.764051,2523.498743,0.926420,-0.065561
200810,424,29,6.908755,1,164.860502,163.500461,2686.999204,0.917177,-0.083384
200811,415,28,6.908755,1,171.769257,37.879002,2724.878206,0.881963,-0.042210
200812,422,29,6.908755,1,178.678011,127.992784,2852.870990,0.882085,-0.015420
200901,430,29,-17.149694,12,161.528317,-17.150694,2835.720297,0.860040,0.014681
200902,439,30,6.908755,1,168.437072,73.416345,2909.136642,0.828576,0.023110
200903,434,29,6.908755,1,175.345827,42.929654,2952.066296,0.848298,0.028919
200904,441,30,6.908755,1,182.254582,44.400318,2996.466613,0.866644,0.040691
200905,451,31,-10.872564,26,171.382018,-10.873563,2985.593050,0.863567,0.055718
200906,457,31,1.936776,4,173.318794,1.942730,2987.535780,0.857479,0.059538
