date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.725582,1,6.725582,8.512094,8.512094,0.763767,0.369474
200308,365,25,6.908755,1,13.634336,23.481441,31.993535,0.763767,0.369474
200309,373,25,-24.192705,109,-10.558369,-24.193705,7.799830,0.711362,0.340402
200310,367,25,6.906757,1,-3.651612,13.122355,20.922185,0.709836,0.345075
200311,373,25,6.779190,1,3.127578,8.885850,29.808035,0.709836,0.345075
200312,376,26,6.907011,1,10.034589,13.258668,43.066703,0.709836,0.345075
200401,379,26,-22.849541,112,-12.814952,-22.850540,20.216163,0.638042,0.322562
200402,375,25,6.908755,1,-5.906197,23.944107,44.160270,0.635873,0.325038
200403,377,26,2.774466,2,-3.131730,2.789611,46.949880,0.635873,0.325038
200404,372,25,6.905198,1,3.773468,12.544873,59.494754,0.635873,0.325038
200405,371,25,6.908755,1,10.682222,25.958067,85.452821,0.642622,0.330022
200406,372,25,0.340250,10,11.022472,0.340655,85.793476,0.640102,0.326119
200407,374,25,0.376379,6,11.398852,0.376837,86.170312,0.640102,0.326119
200408,377,26,6.908752,1,18.307603,19.675869,105.846182,0.637212,0.326482
200409,386,26,6.450547,1,24.758151,7.450351,113.296533,0.620243,0.331023
200410,383,26,6.908713,1,31.666864,16.996539,130.293072,0.576882,0.315615
200411,393,27,6.908707,1,38.575571,16.865617,147.158689,0.525112,0.296201
200412,393,27,6.908755,1,45.484326,25.670593,172.829282,0.525054,0.321017
200501,391,27,6.908755,1,52.393081,28.064170,200.893452,0.476379,0.305933
200502,388,26,6.908755,1,59.301836,31.421189,232.314641,0.465703,0.289114
200503,384,26,4.066147,4,63.367983,4.125188,236.439828,0.439166,0.307334
200504,381,26,6.908755,1,70.276737,31.375135,267.814963,0.517675,0.309635
200505,377,26,6.908755,1,77.185492,29.606260,297.421224,0.471655,0.287260
200506,386,26,6.901119,1,84.086612,11.778907,309.200130,0.432559,0.325042
200507,392,27,4.230086,2,88.316697,4.300211,313.500341,0.424370,0.345636
200508,390,26,6.908755,1,95.225452,27.100653,340.600995,0.432704,0.346533
200509,398,27,6.908755,1,102.134207,64.770799,405.371793,0.443845,0.337315
200510,403,27,6.908755,1,109.042961,33.406783,438.778576,0.479339,0.342231
200511,402,27,6.908755,1,115.951716,22.943791,461.722367,0.492482,0.355519
200512,390,26,6.908755,1,122.860471,43.240410,504.962777,0.503682,0.399807
200601,375,25,-9.432660,6,113.427811,-9.433659,495.529118,0.512886,0.424806
200602,380,26,6.908553,1,120.336364,15.414545,510.943663,0.559711,0.452390
200603,377,26,3.796438,3,124.132802,3.840957,514.784620,0.585525,0.487181
200604,372,25,0.336867,4,124.469669,0.337268,515.121887,0.595876,0.545997
200605,369,25,6.849006,1,131.318675,9.695338,524.817226,0.676583,0.579550
200606,382,26,6.555888,1,137.874563,7.767803,532.585029,0.677299,0.519220
200607,385,26,-24.019443,61,113.855120,-24.020442,508.564586,0.708599,0.486596
200608,377,26,6.908755,1,120.763875,24.158224,532.722810,0.696751,0.538946
200609,373,25,0.817994,3,121.581869,0.819261,533.542071,0.693924,0.541983
200610,336,23,-0.099788,4,121.482081,-0.099883,533.442189,0.684838,0.650957
200611,345,23,-6.440702,91,115.041379,-6.441700,527.000488,0.687920,0.702339
200612,337,23,-24.031331,145,91.010048,-24.032330,502.968158,0.687831,0.650715
200701,333,23,-4.528505,26,86.481544,-4.529494,498.438665,0.695907,0.614238
200702,310,21,6.901087,1,93.382631,11.774694,510.213359,0.685938,0.642858
200703,308,21,-7.953266,70,85.429365,-7.954265,502.259094,0.694301,0.621851
200704,320,22,0.182306,7,85.611671,0.182506,502.441600,0.685738,0.600749
200705,322,22,-4.106357,12,81.505314,-4.107340,498.334260,0.645074,0.608089
200706,321,22,-12.427921,195,69.077394,-12.428920,485.905340,0.679250,0.594616
200707,317,22,0.692943,2,69.770337,0.693943,486.599284,0.647072,0.649510
200708,313,21,-18.494200,47,51.276138,-18.495199,468.104084,0.644842,0.596130
200709,317,22,-27.200657,64,24.075481,-27.201656,440.902428,0.653883,0.610909
200710,339,23,6.908753,1,30.984234,20.190238,461.092666,0.671370,0.539823
200711,333,23,6.908755,1,37.892989,37.487766,498.580433,0.666255,0.520259
200712,349,24,6.869624,1,44.762613,10.128980,508.709413,0.668313,0.494976
200801,348,24,6.908755,1,51.671368,71.872220,580.581633,0.592872,0.540065
200802,352,24,6.908755,1,58.580122,135.386927,715.968559,0.593328,0.528870
200803,356,24,6.908755,1,65.488877,238.643006,954.611566,0.593010,0.510779
