date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,-4.804646,186,-4.804646,-4.805637,-4.805637,0.743132,0.258159
200308,52,4,-30.293598,735,-35.098244,-30.294598,-35.100235,0.743132,0.258159
200309,51,4,-11.918182,598,-47.016426,-11.919182,-47.019417,0.724992,0.346761
200310,59,4,2.862972,13,-44.153455,2.879623,-44.139793,0.728997,0.299889
200311,59,4,1.080211,29,-43.073244,1.082158,-43.057636,0.728997,0.299889
200312,61,5,1.291448,53,-41.781796,1.294089,-41.763546,0.728997,0.299889
200401,64,5,-17.226645,637,-59.008441,-17.227645,-58.991191,0.750461,0.343316
200402,66,5,-4.290837,154,-63.299278,-4.291822,-63.283014,0.746216,0.338242
200403,65,5,-13.048785,786,-76.348063,-13.049785,-76.332798,0.746216,0.338242
200404,65,5,-8.214407,386,-84.562470,-8.215406,-84.548204,0.746216,0.338242
200405,65,5,-12.455379,421,-97.017849,-12.456378,-97.004583,0.752072,0.316465
200406,69,5,-4.134736,107,-101.152585,-4.135719,-101.140302,0.741530,0.322840
200407,66,5,-1.591060,238,-102.743645,-1.591856,-102.732158,0.741530,0.322840
200408,64,5,0.618158,33,-102.125487,0.619013,-102.113145,0.731670,0.312639
200409,67,5,-4.433432,830,-106.558920,-4.434420,-106.547565,0.736583,0.344745
200410,66,5,3.124365,5,-103.434555,3.146350,-103.401215,0.627612,0.452069
200411,67,5,-3.686810,360,-107.121365,-3.687785,-107.088999,0.598763,0.428512
200412,67,5,0.196739,60,-106.924626,0.196956,-106.892043,0.571944,0.431815
200501,67,5,-1.826609,218,-108.751236,-1.827448,-108.719491,0.564479,0.417607
200502,82,6,0.851047,66,-107.900189,0.852390,-107.867101,0.561723,0.420589
200503,83,6,2.073434,21,-105.826755,2.080410,-105.786691,0.514588,0.448251
200504,84,6,1.322957,27,-104.503798,1.325716,-104.460976,0.458421,0.412200
200505,85,6,6.907078,1,-97.596720,13.297640,-91.163335,0.438517,0.331516
200506,88,6,-11.291935,162,-108.888655,-11.292934,-102.456270,0.414760,0.292003
200507,88,6,-7.163431,119,-116.052086,-7.164430,-109.620699,0.383416,0.342946
200508,90,6,0.967416,47,-115.084670,0.969048,-108.651651,0.380906,0.379820
200509,95,7,-16.571788,310,-131.656459,-16.572788,-125.224439,0.347422,0.316921
200510,89,6,-8.383185,171,-140.039644,-8.384184,-133.608623,0.478621,0.162662
200511,89,6,2.011952,9,-138.027691,2.018451,-131.590172,0.502394,0.335471
200512,90,6,-6.121490,115,-144.149182,-6.122488,-137.712660,0.536564,0.320927
200601,94,7,-8.153148,644,-152.302330,-8.154147,-145.866807,0.560120,0.488608
200602,97,7,-15.675513,284,-167.977843,-15.676513,-161.543319,0.540952,0.456020
200603,95,7,-0.205500,30,-168.183343,-0.205686,-161.749005,0.595775,0.314445
200604,97,7,-8.704556,548,-176.887899,-8.705556,-170.454561,0.624908,0.459037
200605,95,7,-6.605846,353,-183.493745,-6.606844,-177.061405,0.599781,0.539018
200606,98,7,-33.481410,912,-216.975155,-33.482410,-210.543814,0.595339,0.647032
200607,94,7,-8.910732,227,-225.885887,-8.911731,-219.455545,0.656434,0.361321
200608,100,7,-3.223319,92,-229.109205,-3.224278,-222.679824,0.635928,0.608526
200609,106,8,-3.600230,86,-232.709435,-3.601202,-226.281026,0.678724,0.640450
200610,142,5,2.048791,10,-230.660644,2.055573,-224.225453,0.676664,0.651828
200611,142,10,-11.180801,170,-241.841445,-11.181801,-235.407254,0.690182,0.606691
200612,137,10,-29.425623,494,-271.267068,-29.426622,-264.833876,0.630612,0.793158
200701,136,10,-4.345697,51,-275.612765,-4.346683,-269.180560,0.626475,0.709212
200702,160,11,-8.194315,49,-283.807080,-8.195314,-277.375874,0.580912,0.734685
200703,160,11,1.499144,21,-282.307936,1.502628,-275.873245,0.576361,0.773438
200704,161,11,-8.638736,32,-290.946672,-8.639736,-284.512981,0.536994,0.665749
200705,164,11,6.673504,1,-284.273168,8.234928,-276.278053,0.655769,0.608750
200706,162,11,1.162092,4,-283.111076,1.164291,-275.113762,0.526645,0.671902
200707,161,11,-4.100545,31,-287.211620,-4.101528,-279.215290,0.548926,0.662500
200708,161,11,-12.365905,94,-299.577526,-12.366905,-291.582194,0.544023,0.448505
200709,167,12,-9.580356,57,-309.157882,-9.581355,-301.163550,0.534279,0.514616
200710,154,11,3.768357,4,-305.389525,3.811587,-297.351963,0.536278,0.535177
200711,157,11,6.908755,1,-298.480770,39.904826,-257.447138,0.541689,0.559003
200712,158,11,6.908755,1,-291.572015,57.149600,-200.297538,0.566607,0.542176
200801,150,10,6.604926,1,-284.967089,7.943288,-192.354250,0.569238,0.575763
200802,152,11,6.908755,1,-278.058335,46.698480,-145.655770,0.608446,0.615682
200803,152,11,6.908755,1,-271.149580,102.378200,-43.277570,0.576522,0.499048
200804,151,11,-5.905503,6,-277.055083,-5.906500,-49.184070,0.584361,0.621557
200805,151,11,6.908755,1,-270.146328,56.321129,7.137059,0.507872,0.634020
200806,153,11,6.908755,1,-263.237573,34.292354,41.429413,0.707252,0.520102
200807,150,10,6.908755,1,-256.328818,67.883431,109.312844,0.662213,0.659208
200808,149,10,6.908755,1,-249.420064,67.356637,176.669481,0.689053,0.659080
200809,147,10,-53.223847,81,-302.643910,-53.224846,123.444635,0.680918,0.514452
200810,146,10,6.908755,1,-295.735156,78.279286,201.723921,0.669326,0.504388
200811,146,10,6.908755,1,-288.826401,162.381585,364.105506,0.654758,0.438285
200812,77,6,-31.623738,272,-320.450139,-31.624738,332.480768,0.650790,0.325325
200901,76,6,6.838612,1,-313.611527,9.529698,342.010466,0.629874,0.267900
200902,77,6,6.908753,1,-306.702774,20.089489,362.099955,0.615025,0.193366
200903,115,5,-5.720848,13,-312.423622,-5.721844,356.378111,0.657328,0.243983
200904,119,8,6.330256,1,-306.093366,7.151920,363.530031,0.749778,0.147356
200905,119,8,-1.668034,316,-307.761400,-1.668845,361.861186,0.707635,0.204810
200906,113,8,4.559216,4,-303.202185,4.658493,366.519679,0.701722,0.121095
200907,114,8,-4.926135,109,-308.128320,-4.927128,361.592551,0.742487,0.035233
200908,114,8,-7.925986,66,-316.054306,-7.926985,353.665566,0.786227,0.002049
200909,114,8,-1.207531,40,-317.261837,-1.208232,352.457334,0.838992,0.077009
200910,118,8,0.839985,84,-316.421852,0.841302,353.298637,0.929969,0.035536
200911,120,8,6.817044,1,-309.604808,9.250659,362.549296,0.821557,0.082197
200912,121,9,-0.234459,25,-309.839267,-0.234668,362.314628,0.838751,0.076834
201001,118,8,-0.519209,13,-310.358476,-0.519614,361.795014,0.815011,0.009265
201002,132,9,-6.788624,161,-317.147100,-6.789622,355.005391,0.824337,0.009033
201003,123,9,-2.147337,205,-319.294438,-2.148220,352.857171,0.852178,0.041426
201004,122,9,-10.797206,6,-330.091643,-10.798205,342.058966,0.864500,0.067389
201005,124,9,6.908724,1,-323.182920,17.287255,359.346221,0.860908,0.071561
201006,127,9,-44.604035,534,-367.786955,-44.605035,314.741186,0.844739,0.081828
201007,128,9,-4.886549,24,-372.673504,-4.887541,309.853645,0.838199,0.091847
201008,129,9,-9.948561,31,-382.622066,-9.949561,299.904084,0.819395,0.104801
201009,128,9,4.558676,3,-378.063390,4.657896,304.561981,0.809514,0.116271
201010,127,9,0.823578,7,-377.239811,0.824858,305.386838,0.779976,0.134499
201011,129,9,6.908552,1,-370.331259,15.412603,320.799441,0.809717,0.100269
201012,131,9,-4.725332,259,-375.056592,-4.726323,316.073118,0.792740,0.117543
201101,129,9,5.485213,2,-369.571379,5.759781,321.832899,0.798275,0.185154
201102,132,9,-2.057200,118,-371.628579,-2.058071,319.774828,0.783294,0.208639
201103,131,9,6.629765,1,-364.998814,8.041599,327.816426,0.734805,0.192228
201104,133,9,-5.531849,123,-370.530663,-5.532845,322.283582,0.677758,0.161760
201105,135,9,6.908723,1,-363.621940,17.262946,339.546528,0.658182,0.156634
201106,139,10,6.908755,1,-356.713185,23.850575,363.397103,0.675212,0.173149
201107,139,10,6.908755,1,-349.804430,33.885269,397.282372,0.687441,0.189841
201108,140,10,6.908755,1,-342.895676,39.580091,436.862464,0.728281,0.174252
