date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,0.134174,257,0.134174,0.134318,0.134318,0.561915,-0.676518
200308,23,2,0.159771,220,0.293946,0.159945,0.294263,0.561915,-0.676518
200309,24,2,-0.432149,847,-0.138204,-0.432500,-0.138237,0.564194,-0.457112
200310,24,2,-2.736618,531,-2.874822,-2.737553,-2.875790,0.613453,-0.261489
200311,24,2,-1.556938,170,-4.431760,-1.557727,-4.433517,0.613453,-0.261489
200312,24,2,-1.412765,623,-5.844524,-1.413521,-5.847038,0.613453,-0.261489
200401,26,2,-6.390179,741,-12.234703,-6.391177,-12.238215,0.645513,-0.200023
200402,27,2,0.633836,95,-11.600867,0.634721,-11.603494,0.656790,-0.114458
200403,27,2,0.755747,135,-10.845120,0.756877,-10.846617,0.656790,-0.114458
200404,25,2,-0.631750,448,-11.476870,-0.632218,-11.478835,0.656790,-0.114458
200405,29,2,-3.014941,523,-14.491811,-3.015891,-14.494726,0.682811,-0.179761
200406,31,3,-2.801435,338,-17.293246,-2.802374,-17.297100,0.695182,-0.117698
200407,32,3,0.300879,185,-16.992367,0.301230,-16.995871,0.695182,-0.117698
200408,32,3,-0.020732,307,-17.013099,-0.020752,-17.016623,0.711355,-0.113002
200409,31,3,-0.288263,451,-17.301362,-0.288513,-17.305136,0.693124,-0.119581
200410,31,3,-7.684548,940,-24.985910,-7.685547,-24.990683,0.691177,-0.007538
200411,32,3,0.760075,90,-24.225835,0.761214,-24.229469,0.716428,-0.074690
200412,32,3,-0.821752,786,-25.047587,-0.822312,-25.051781,0.765394,-0.202398
200501,34,3,-0.712086,241,-25.759673,-0.712596,-25.764377,0.757179,-0.302528
200502,34,3,2.620832,10,-23.138841,2.633661,-23.130715,0.715677,-0.187799
200503,33,3,-5.804187,639,-28.943028,-5.805183,-28.935898,0.701372,0.028190
200504,35,3,-7.389633,510,-36.332661,-7.390632,-36.326531,0.596403,0.167710
200505,35,3,-0.978988,359,-37.311649,-0.979612,-37.306143,0.580902,0.163990
200506,35,3,-1.343072,308,-38.654721,-1.343811,-38.649954,0.560166,0.277840
200507,40,3,-3.511879,335,-42.166600,-3.512848,-42.162802,0.534028,0.453474
200508,40,3,-2.075375,537,-44.241974,-2.076249,-44.239051,0.517368,0.358520
200509,40,3,-2.323890,573,-46.565864,-2.324791,-46.563842,0.527521,0.407369
200510,40,3,-1.984886,354,-48.550750,-1.985748,-48.549590,0.518370,0.495926
200511,42,3,-1.292328,663,-49.843078,-1.293053,-49.842643,0.500286,0.542195
200512,42,3,-0.572368,600,-50.415445,-0.572803,-50.415446,0.477981,0.657342
200601,43,3,-0.113223,317,-50.528668,-0.113330,-50.528776,0.502840,0.728204
200602,44,3,-3.141362,234,-53.670030,-3.142318,-53.671095,0.575916,0.386790
200603,42,3,1.483556,44,-52.186474,1.486970,-52.184124,0.561047,0.107236
200604,42,3,2.146455,23,-50.040019,2.154039,-50.030086,0.721528,0.603560
200605,43,3,0.986423,92,-49.053596,0.988106,-49.041980,0.634597,0.234742
200606,42,3,-2.634543,481,-51.688140,-2.635471,-51.677451,0.629380,0.219388
200607,43,3,-5.045198,462,-56.733338,-5.046191,-56.723643,0.651851,0.263062
200608,43,3,0.141058,215,-56.592280,0.141210,-56.582433,0.627645,0.631486
200609,43,3,-1.652144,366,-58.244424,-1.652953,-58.235386,0.655717,0.742155
200610,43,3,1.438925,65,-56.805499,1.442146,-56.793239,0.613526,0.684372
200611,44,3,2.607806,16,-54.197693,2.620455,-54.172784,0.636425,0.703710
200612,45,3,-2.594518,165,-56.792211,-2.595443,-56.768227,0.655048,0.593872
200701,44,3,-2.868884,405,-59.661096,-2.869827,-59.638055,0.635769,0.695078
200702,43,3,-0.788807,166,-60.449903,-0.789353,-60.427407,0.632853,0.758123
200703,43,3,0.933128,50,-59.516776,0.934671,-59.492736,0.632171,0.848335
200704,44,3,-2.528786,366,-62.045562,-2.529706,-62.022442,0.631294,0.789300
200705,45,3,1.172542,33,-60.873019,1.174775,-60.847667,0.682601,1.055843
200706,44,3,-36.435524,510,-97.308543,-36.436523,-97.284190,0.689502,1.184129
200707,45,3,-2.454403,220,-99.762946,-2.455317,-99.739507,0.710493,1.185813
200708,45,3,-15.949235,392,-115.712181,-15.950235,-115.689741,0.708190,0.888525
200709,48,4,1.854653,21,-113.857528,1.860057,-113.829684,0.677247,1.039329
200710,49,4,0.733947,13,-113.123581,0.735031,-113.094654,0.711474,0.807867
200711,51,4,-10.534880,309,-123.658461,-10.535879,-123.630533,0.678348,1.139073
200712,50,4,-5.081309,454,-128.739770,-5.082302,-128.712835,0.667213,1.406778
200801,50,4,-5.092287,163,-133.832057,-5.093280,-133.806116,0.655726,1.060781
200802,51,4,3.179993,6,-130.652065,3.203309,-130.602807,0.662545,1.111786
200803,52,4,1.382425,29,-129.269640,1.385414,-129.217393,0.647504,1.074799
200804,51,4,4.259181,5,-125.010459,4.331485,-124.885908,0.641732,1.186012
200805,51,4,-13.363960,85,-138.374420,-13.364960,-138.250868,0.631539,1.247308
200806,52,4,-9.083199,52,-147.457619,-9.084199,-147.335067,0.636595,1.116653
200807,52,4,-26.788610,350,-174.246229,-26.789610,-174.124677,0.590694,0.785903
200808,54,4,-35.369133,83,-209.615362,-35.370132,-209.494809,0.493201,0.845688
200809,54,4,1.898771,3,-207.716591,1.904465,-207.590344,0.496023,0.760847
200810,52,4,6.908755,1,-200.807836,39.528950,-168.061394,0.523110,0.644912
200811,52,4,6.908755,1,-193.899082,53.698272,-114.363121,0.450243,0.730783
200812,52,4,-10.145924,15,-204.045006,-10.146924,-124.510045,0.442001,0.538573
200901,55,4,6.908745,1,-197.136261,18.463281,-106.046765,0.446528,0.760400
200902,56,4,6.908755,1,-190.227506,29.484232,-76.562533,0.465317,0.731201
200903,17,2,-0.828008,715,-191.055514,-0.828571,-77.391104,0.544695,0.704717
200904,20,2,0.395484,72,-190.660031,0.395969,-76.995135,0.583118,0.430744
200905,19,2,-0.589411,842,-191.249442,-0.589856,-77.584992,0.607756,0.241205
200906,19,2,-0.410112,848,-191.659553,-0.410448,-77.995440,0.639922,0.319866
200907,22,2,-0.283478,929,-191.943031,-0.283725,-78.279164,0.713856,0.387901
200908,22,2,0.676109,53,-191.266922,0.677076,-77.602089,0.741415,0.095124
200909,22,2,-3.245000,333,-194.511922,-3.245961,-80.848049,0.707231,0.009951
200910,17,2,1.472083,110,-193.039839,1.475447,-79.372602,0.655591,-0.146994
200911,18,2,0.297237,191,-192.742602,0.297583,-79.075019,0.685853,-0.048329
200912,18,2,-3.547117,608,-196.289719,-3.548087,-82.623107,0.688845,-0.142755
