date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-32.696264,171,-32.696264,-32.697263,-32.697263,0.847245,0.272460
200308,86,6,0.168074,29,-32.528189,0.168257,-32.529006,0.847245,0.272460
200309,91,7,6.302781,1,-26.225409,7.090433,-25.438573,0.823817,0.267368
200310,94,7,-1.627284,37,-27.852692,-1.628087,-27.066660,0.836580,0.257607
200311,95,7,-12.488080,588,-40.340772,-12.489079,-39.555739,0.836580,0.257607
200312,92,7,-28.192643,462,-68.533415,-28.193643,-67.749382,0.836580,0.257607
200401,102,7,-21.493853,311,-90.027268,-21.494853,-89.244234,0.835692,0.287479
200402,97,7,6.754724,1,-83.272544,8.700355,-80.543880,0.823467,0.272227
200403,100,7,6.693280,1,-76.579264,8.332996,-72.210884,0.823467,0.272227
200404,99,7,-11.752791,135,-88.332056,-11.753791,-83.964674,0.823467,0.272227
200405,101,7,2.558078,10,-85.773977,2.570061,-81.394614,0.831515,0.288768
200406,99,7,-29.026825,822,-114.800803,-29.027825,-110.422438,0.829901,0.287327
200407,104,7,-2.724711,242,-117.525513,-2.725645,-113.148083,0.829901,0.287327
200408,102,7,-2.279819,11,-119.805332,-2.280716,-115.428799,0.839817,0.294680
200409,105,7,4.999938,2,-114.805394,5.159408,-110.269392,0.838468,0.292755
200410,102,7,1.111230,8,-113.694164,1.113270,-109.156122,0.820219,0.246841
200411,103,7,-0.681934,86,-114.376098,-0.682428,-109.838550,0.833222,0.279972
200412,110,8,-7.753174,863,-122.129273,-7.754173,-117.592723,0.857851,0.247582
200501,109,8,1.481808,9,-120.647464,1.485215,-116.107509,0.805601,0.235787
200502,109,8,3.287058,3,-117.360406,3.313160,-112.794349,0.793849,0.220881
200503,106,8,3.905877,8,-113.454529,3.955796,-108.838553,0.793089,0.222576
200504,95,7,-33.090906,751,-146.545436,-33.091906,-141.930458,0.811152,0.230824
200505,92,7,-8.232244,113,-154.777679,-8.233243,-150.163701,0.779625,0.167480
200506,99,7,-7.326282,640,-162.103962,-7.327281,-157.490982,0.771273,0.148287
200507,101,7,-6.162846,807,-168.266807,-6.163843,-163.654825,0.773326,0.156452
200508,100,7,-5.415740,209,-173.682547,-5.416735,-169.071561,0.763524,0.173086
200509,97,7,0.817961,50,-172.864586,0.819228,-168.252332,0.789172,0.177854
200510,99,7,-3.565360,339,-176.429946,-3.566331,-171.818664,0.798851,0.205521
200511,98,7,5.630005,2,-170.799941,5.955269,-165.863395,0.802519,0.181081
200512,113,8,-8.995204,179,-179.795145,-8.996203,-174.859598,0.792661,0.139991
200601,112,8,-1.612346,54,-181.407491,-1.613146,-176.472744,0.831683,0.179035
200602,112,8,1.248135,20,-180.159356,1.250622,-175.222122,0.864731,0.157548
200603,114,8,-5.622106,606,-185.781462,-5.623102,-180.845224,0.863079,0.164117
200604,111,8,0.518350,11,-185.263112,0.519030,-180.326195,0.835463,0.154541
200605,114,8,1.387319,15,-183.875792,1.390328,-178.935867,0.913526,0.176641
200606,121,9,6.222431,1,-177.653361,6.921450,-172.014417,0.913421,0.136905
200607,118,8,-1.805660,65,-179.459021,-1.806495,-173.820912,0.916372,0.149093
200608,119,8,-1.648109,28,-181.107130,-1.648916,-175.469828,0.921157,0.122475
200609,122,9,5.512699,1,-175.594431,5.796149,-169.673679,0.918312,0.144454
200610,133,9,-1.244772,12,-176.839203,-1.245484,-170.919163,0.917690,0.131534
200611,119,8,6.751983,1,-170.087220,8.681311,-162.237852,0.924212,0.139928
200612,119,8,-3.766834,82,-173.854053,-3.767810,-166.005662,0.928821,0.158460
200701,115,8,6.905999,1,-166.948055,12.800266,-153.205396,0.928655,0.156032
200702,109,8,-27.049117,161,-193.997172,-27.050117,-180.255513,0.928065,0.171218
200703,100,7,6.885168,1,-187.112004,10.643026,-169.612487,0.930675,0.190970
200704,110,8,1.154076,8,-185.957928,1.156249,-168.456238,0.928911,0.188642
200705,105,7,5.972000,2,-179.985928,6.468412,-161.987826,0.904727,0.208697
200706,98,7,-9.499386,152,-189.485315,-9.500386,-171.488212,0.914726,0.217419
200707,94,7,-32.468636,165,-221.953951,-32.469636,-203.957847,0.905683,0.233694
200708,89,6,-19.640510,45,-241.594461,-19.641510,-223.599357,0.911832,0.219761
200709,85,6,-7.546292,4,-249.140753,-7.547291,-231.146648,0.906008,0.198163
200710,74,5,-9.416602,56,-258.557355,-9.417602,-240.564249,0.907486,0.183938
200711,72,5,-39.340467,226,-297.897822,-39.341466,-279.905715,0.901200,0.203397
200712,68,5,-10.336424,47,-308.234246,-10.337423,-290.243139,0.909961,0.201976
200801,67,5,-2.934696,425,-311.168941,-2.935642,-293.178781,0.914248,0.210046
200802,68,5,3.512468,5,-307.656474,3.545539,-289.633241,0.894785,0.188768
200803,46,4,-5.841860,522,-313.498334,-5.842857,-295.476098,0.891936,0.187588
200804,48,4,-3.112867,167,-316.611201,-3.113822,-298.589921,0.911761,0.195500
200805,51,4,-10.221515,480,-326.832716,-10.222515,-308.812435,0.919347,0.195201
200806,36,3,4.428371,2,-322.404346,4.514795,-304.297640,0.916921,0.188279
200807,35,3,-2.581994,631,-324.986340,-2.582918,-306.880559,0.924229,0.170721
200808,36,3,-0.873395,205,-325.859735,-0.873977,-307.754536,0.923842,0.170519
200809,36,3,-2.300596,112,-328.160331,-2.301495,-310.056031,0.928822,0.169334
200810,33,3,-4.174923,103,-332.335254,-4.175907,-314.231938,0.955856,0.175043
200811,33,3,-12.395249,511,-344.730503,-12.396249,-326.628187,0.952334,0.114924
200812,30,2,-18.233914,524,-362.964418,-18.234914,-344.863101,0.945031,0.102218
200901,30,2,-4.593134,673,-367.557552,-4.594123,-349.457225,0.949671,0.116608
200902,31,3,-4.974329,981,-372.531881,-4.975322,-354.432546,0.981014,0.122209
200903,31,3,0.078077,270,-372.453804,0.078158,-354.354388,1.010065,0.132616
