date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,-2.272595,90,-2.272595,-2.273491,-2.273491,0.819621,0.097363
200308,135,9,4.332739,4,2.060144,4.410865,2.137374,0.819621,0.097363
200309,139,10,0.412014,7,2.472158,0.412524,2.549897,0.831370,0.122890
200310,141,10,-12.763211,469,-10.291053,-12.764211,-10.214313,0.831263,0.121541
200311,144,10,-2.837944,135,-13.128997,-2.838885,-13.053198,0.831263,0.121541
200312,144,10,-3.543246,61,-16.672243,-3.544216,-16.597414,0.831263,0.121541
200401,133,9,-10.349922,52,-27.022165,-10.350922,-26.948336,0.822803,0.113510
200402,134,9,1.927592,4,-25.094574,1.933482,-25.014854,0.821938,0.115895
200403,131,9,-16.823690,283,-41.918264,-16.824690,-41.839544,0.821938,0.115895
200404,127,9,-3.755406,579,-45.673670,-3.756382,-45.595926,0.821938,0.115895
200405,131,9,-17.356621,156,-63.030290,-17.357620,-62.953546,0.806539,0.126212
200406,137,10,-18.689021,710,-81.719311,-18.690021,-81.643566,0.808041,0.139033
200407,143,10,-3.570791,196,-85.290102,-3.571762,-85.215329,0.808041,0.139033
200408,144,10,-1.583189,16,-86.873291,-1.583983,-86.799312,0.806150,0.144771
200409,146,10,-24.473800,438,-111.347091,-24.474799,-111.274111,0.811258,0.146787
200410,152,11,3.428233,5,-107.918858,3.458509,-107.815602,0.807040,0.160812
200411,157,11,6.538713,1,-101.380145,7.711176,-100.104426,0.779844,0.179637
200412,153,11,-5.922182,535,-107.302327,-5.923179,-106.027605,0.806255,0.187706
200501,153,11,-2.388906,35,-109.691232,-2.389814,-108.417419,0.793584,0.181491
200502,158,11,-7.598024,139,-117.289256,-7.599023,-116.016442,0.770385,0.190038
200503,160,11,0.957695,12,-116.331562,0.959301,-115.057140,0.765598,0.193596
200504,173,12,-47.979958,545,-164.311519,-47.980957,-163.038097,0.771857,0.210399
200505,182,13,6.626862,1,-157.684658,8.029727,-155.008370,0.766313,0.213108
200506,176,12,6.825499,1,-150.859159,9.351670,-145.656700,0.779324,0.207292
200507,177,12,4.874967,2,-145.984192,5.014194,-140.642506,0.775997,0.206082
200508,174,12,6.173196,1,-139.810996,6.824658,-133.817848,0.774331,0.194098
200509,181,13,-18.517445,85,-158.328440,-18.518444,-152.336292,0.765564,0.198433
200510,182,13,6.907459,1,-151.420982,13.555568,-138.780724,0.753607,0.170499
200511,183,13,6.908755,1,-144.512227,28.641902,-110.138821,0.755957,0.198001
200512,151,11,1.449688,12,-143.062539,1.452955,-108.685866,0.742582,0.209769
200601,150,10,-13.825379,119,-156.887917,-13.826378,-122.512244,0.766646,0.241595
200602,154,11,4.012595,5,-152.875322,4.068415,-118.443829,0.800922,0.217652
200603,151,11,-1.566982,16,-154.442304,-1.567773,-120.011602,0.801309,0.236058
200604,146,10,-3.246709,6,-157.689013,-3.247670,-123.259272,0.788037,0.218137
200605,140,10,-6.901466,58,-164.590479,-6.902465,-130.161737,0.806789,0.192845
200606,130,9,3.178415,6,-161.412064,3.201693,-126.960044,0.803459,0.221836
