date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,410,28,6.221968,1,6.221968,6.920516,6.920516,0.789975,0.215445
200308,413,28,-4.960274,24,1.261694,-4.961267,1.959250,0.789975,0.215445
200309,418,28,-8.982583,8,-7.720890,-8.983583,-7.024333,0.785865,0.220712
200310,398,27,-0.806857,4,-8.527747,-0.807411,-7.831744,0.801122,0.225054
200311,402,27,-10.043249,88,-18.570996,-10.044248,-17.875992,0.801122,0.225054
200312,406,28,-20.791303,139,-39.362299,-20.792303,-38.668295,0.801122,0.225054
200401,405,27,-3.361772,9,-42.724071,-3.362736,-42.031031,0.801566,0.234585
200402,408,28,-28.682338,65,-71.406408,-28.683337,-70.714369,0.787827,0.237273
200403,401,27,0.535365,5,-70.871043,0.536074,-70.178295,0.787827,0.237273
200404,403,27,-13.366427,34,-84.237470,-13.367426,-83.545721,0.787827,0.237273
200405,402,27,3.308303,2,-80.929167,3.334994,-80.210727,0.792457,0.246673
200406,402,27,-31.883391,203,-112.812558,-31.884390,-112.095117,0.792247,0.251574
200407,397,27,-30.310693,62,-143.123251,-30.311692,-142.406809,0.792247,0.251574
200408,396,27,-1.823892,5,-144.947142,-1.824730,-144.231539,0.789911,0.248534
200409,403,27,-9.648283,45,-154.595425,-9.649283,-153.880822,0.812219,0.263024
200410,399,27,6.908328,1,-147.687098,14.666296,-139.214525,0.774302,0.268149
200411,397,27,6.908716,1,-140.778381,17.077130,-122.137395,0.761748,0.286367
200412,387,26,6.307722,1,-134.470660,7.101337,-115.036058,0.790165,0.314577
200501,387,26,1.069164,5,-133.401496,1.071079,-113.964980,0.776981,0.320566
200502,387,26,6.853933,1,-126.547563,9.783889,-104.181091,0.779704,0.324219
200503,370,25,-1.818069,2,-128.365631,-1.818906,-105.999997,0.757070,0.332807
200504,359,24,6.908755,1,-121.456877,23.201270,-82.798727,0.729724,0.349175
200505,354,24,-2.488073,6,-123.944950,-2.488990,-85.287716,0.746317,0.348574
200506,345,23,4.669195,3,-119.275754,4.780811,-80.506905,0.735335,0.362947
200507,348,24,-13.893828,102,-133.169583,-13.894828,-94.401733,0.724288,0.372834
200508,350,24,6.676336,1,-126.493247,8.248511,-86.153222,0.725957,0.392484
200509,347,24,-34.026307,292,-160.519554,-34.027307,-120.180529,0.725764,0.408469
200510,349,24,-11.494223,37,-172.013777,-11.495223,-131.675752,0.735217,0.435339
