date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,4.829618,2,4.829618,4.962193,4.962193,0.763767,0.369474
200308,401,27,-24.550250,41,-19.720632,-24.551249,-19.589056,0.763767,0.369474
200309,412,28,-22.473822,87,-42.194455,-22.474822,-42.063878,0.711362,0.340402
200310,406,28,-23.650919,198,-65.845373,-23.651918,-65.715797,0.709836,0.345075
200311,416,28,6.836682,1,-59.008691,9.501585,-56.214212,0.709836,0.345075
200312,421,29,6.892327,1,-52.116365,11.008286,-45.205926,0.709836,0.345075
200401,429,29,1.850253,4,-50.266112,1.855629,-43.350297,0.638042,0.322562
200402,426,29,6.908755,1,-43.357357,31.182269,-12.168029,0.635873,0.325038
200403,428,29,6.908755,1,-36.448602,25.278423,13.110394,0.635873,0.325038
200404,423,29,6.872811,1,-29.575791,10.215538,23.325932,0.635873,0.325038
200405,423,29,5.245030,2,-24.330761,5.454050,28.779982,0.642622,0.330022
200406,424,29,6.908755,1,-17.422006,46.401380,75.181362,0.640102,0.326119
200407,425,29,-3.736617,26,-21.158624,-3.737593,71.443769,0.640102,0.326119
200408,428,29,6.908755,1,-14.249869,26.838544,98.282313,0.637212,0.326482
200409,439,30,6.908482,1,-7.341387,15.115980,113.398293,0.620243,0.331023
200410,436,30,6.908755,1,-0.432632,39.821231,153.219524,0.576882,0.315615
200411,444,30,6.908755,1,6.476123,25.523362,178.742886,0.525112,0.296201
200412,445,30,6.908755,1,13.384878,59.996714,238.739600,0.525054,0.321017
200501,444,30,6.908755,1,20.293632,30.423570,269.163170,0.476379,0.305933
200502,443,30,6.908742,1,27.202375,18.183509,287.346679,0.465703,0.289114
200503,438,30,6.908755,1,34.111129,82.762776,370.109455,0.439166,0.307334
200504,436,30,6.908755,1,41.019884,38.657125,408.766580,0.517675,0.309635
200505,431,29,6.908755,1,47.928639,30.085011,438.851591,0.471655,0.287260
200506,438,30,6.908755,1,54.837394,67.649332,506.500923,0.432559,0.325042
200507,442,30,6.908755,1,61.746148,54.483161,560.984084,0.424370,0.345636
200508,439,30,6.908755,1,68.654903,42.073052,603.057136,0.432704,0.346533
200509,449,30,6.908755,1,75.563658,48.053886,651.111022,0.443845,0.337315
200510,455,31,6.908755,1,82.472413,47.206717,698.317739,0.479339,0.342231
200511,455,31,6.908755,1,89.381168,51.796682,750.114421,0.492482,0.355519
200512,446,30,6.908755,1,96.289922,39.348749,789.463170,0.503682,0.399807
200601,430,29,6.908755,1,103.198677,57.730446,847.193616,0.512886,0.424806
200602,434,29,6.876633,1,110.075310,10.329881,857.523497,0.559711,0.452390
200603,434,29,6.908755,1,116.984065,62.857898,920.381395,0.585525,0.487181
200604,431,29,6.908755,1,123.892820,33.356725,953.738119,0.595876,0.545997
200605,433,29,6.908755,1,130.801575,32.886938,986.625057,0.676583,0.579550
200606,421,29,6.908755,1,137.710329,36.674654,1023.299711,0.677299,0.519220
200607,423,29,-3.180863,3,134.529466,-3.181821,1020.117890,0.708599,0.486596
200608,414,28,6.908754,1,141.438220,21.448739,1041.566628,0.696751,0.538946
200609,415,28,6.908755,1,148.346975,34.090476,1075.657104,0.693924,0.541983
200610,380,26,6.908755,1,155.255730,23.860462,1099.517566,0.684838,0.650957
200611,389,26,6.680089,1,161.935819,8.266739,1107.784305,0.687920,0.702339
200612,380,26,-18.538226,107,143.397593,-18.539226,1089.245079,0.687831,0.650715
200701,378,26,6.896577,1,150.294169,11.309771,1100.554850,0.695907,0.614238
200702,356,24,6.908751,1,157.202921,19.406743,1119.961593,0.685938,0.642858
200703,353,24,6.908754,1,164.111675,21.835880,1141.797472,0.694301,0.621851
200704,367,25,6.908755,1,171.020430,32.592115,1174.389587,0.685738,0.600749
200705,371,25,6.908755,1,177.929185,35.685641,1210.075227,0.645074,0.608089
200706,370,25,6.908755,1,184.837939,24.624233,1234.699461,0.679250,0.594616
200707,362,25,6.908755,1,191.746694,81.110258,1315.809718,0.647072,0.649510
