date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,0.520884,30,0.520884,0.521567,0.521567,0.743132,0.258159
200308,54,4,-20.898448,502,-20.377564,-20.899447,-20.377880,0.743132,0.258159
200309,53,4,6.372500,1,-14.005064,7.250820,-13.127059,0.724992,0.346761
200310,62,5,-2.468854,31,-16.473918,-2.469769,-15.596829,0.728997,0.299889
200311,62,5,-6.488671,37,-22.962589,-6.489669,-22.086497,0.728997,0.299889
200312,64,5,-1.170882,11,-24.133471,-1.171571,-23.258069,0.728997,0.299889
200401,67,5,2.357714,7,-21.775757,2.367326,-20.890742,0.750461,0.343316
200402,69,5,-2.826763,27,-24.602520,-2.827703,-23.718445,0.746216,0.338242
200403,67,5,-6.315963,203,-30.918483,-6.316961,-30.035406,0.746216,0.338242
200404,67,5,0.502728,69,-30.415755,0.503381,-29.532025,0.746216,0.338242
200405,69,5,-14.606471,246,-45.022226,-14.607470,-44.139496,0.752072,0.316465
200406,73,5,-23.154261,688,-68.176487,-23.155261,-67.294756,0.741530,0.322840
200407,71,5,-5.053469,632,-73.229956,-5.054462,-72.349218,0.741530,0.322840
200408,69,5,0.524388,78,-72.705569,0.525077,-71.824141,0.731670,0.312639
200409,72,5,0.603719,146,-72.101850,0.604548,-71.219593,0.736583,0.344745
200410,71,5,0.941835,97,-71.160016,0.943401,-70.276193,0.627612,0.452069
200411,72,5,-0.328534,139,-71.488549,-0.328814,-70.605006,0.598763,0.428512
200412,72,5,4.364923,4,-67.123626,4.445746,-66.159260,0.571944,0.431815
200501,72,5,0.598988,51,-66.524639,0.599808,-65.559452,0.564479,0.417607
200502,87,6,0.866288,35,-65.658351,0.867667,-64.691785,0.561723,0.420589
200503,88,6,-0.626603,49,-66.284954,-0.627068,-65.318854,0.514588,0.448251
200504,89,6,5.120977,1,-61.163977,5.303098,-60.015756,0.458421,0.412200
200505,90,6,-6.847712,558,-68.011689,-6.848710,-66.864466,0.438517,0.331516
200506,93,7,-5.169536,99,-73.181225,-5.170530,-72.034997,0.414760,0.292003
200507,93,7,-2.748376,20,-75.929601,-2.749311,-74.784308,0.383416,0.342946
200508,95,7,-8.516593,502,-84.446194,-8.517592,-83.301900,0.380906,0.379820
200509,100,7,-14.009819,385,-98.456013,-14.010818,-97.312718,0.347422,0.316921
200510,94,7,-6.629301,98,-105.085314,-6.630300,-103.943018,0.478621,0.162662
200511,94,7,5.007016,2,-100.078298,5.167723,-98.775295,0.502394,0.335471
200512,95,7,-10.823964,71,-110.902262,-10.824964,-109.600259,0.536564,0.320927
200601,100,7,-0.567351,61,-111.469613,-0.567784,-110.168043,0.560120,0.488608
200602,103,7,-20.161268,308,-131.630881,-20.162267,-130.330311,0.540952,0.456020
200603,101,7,-4.248476,128,-135.879357,-4.249461,-134.579772,0.595775,0.314445
200604,103,7,1.450194,26,-134.429163,1.453464,-133.126308,0.624908,0.459037
200605,101,7,-13.605077,153,-148.034240,-13.606076,-146.732385,0.599781,0.539018
200606,130,9,-25.807299,126,-173.841538,-25.808298,-172.540683,0.595339,0.647032
200607,127,9,-11.921061,140,-185.762600,-11.922061,-184.462744,0.656434,0.361321
200608,134,9,-9.451317,120,-195.213917,-9.452317,-193.915060,0.635928,0.608526
200609,128,9,-0.106152,14,-195.320069,-0.106253,-194.021313,0.678724,0.640450
200610,164,11,5.846344,1,-189.473725,6.269414,-187.751899,0.676664,0.651828
200611,164,11,0.044135,50,-189.429591,0.044180,-187.707719,0.690182,0.606691
200612,159,11,3.273505,3,-186.156085,3.299237,-184.408482,0.630612,0.793158
200701,158,11,6.908754,1,-179.247332,20.567427,-163.841055,0.626475,0.709212
200702,184,13,6.764526,1,-172.482805,8.771132,-155.069923,0.580912,0.734685
200703,185,13,1.741895,10,-170.740910,1.746615,-153.323308,0.576361,0.773438
200704,185,13,-9.152309,50,-179.893219,-9.153308,-162.476617,0.536994,0.665749
200705,188,13,6.646801,1,-173.246418,8.113508,-154.363109,0.655769,0.608750
