date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-2.484382,534,-2.484382,-2.485299,-2.485299,0.561915,-0.676518
200308,24,2,1.293716,46,-1.190666,1.296366,-1.188933,0.561915,-0.676518
200309,26,2,1.289755,47,0.099088,1.292390,0.103457,0.564194,-0.457112
200310,26,2,-2.800172,571,-2.701084,-2.801111,-2.697653,0.613453,-0.261489
200311,25,2,-7.980974,568,-10.682058,-7.981973,-10.679627,0.613453,-0.261489
200312,25,2,-1.891246,570,-12.573304,-1.892095,-12.571721,0.613453,-0.261489
200401,27,2,-0.218827,498,-12.792130,-0.219023,-12.790745,0.645513,-0.200023
200402,28,2,-4.516082,714,-17.308213,-4.517071,-17.307815,0.656790,-0.114458
200403,29,2,-0.412784,244,-17.720997,-0.413122,-17.720938,0.656790,-0.114458
200404,27,2,-0.469212,509,-18.190209,-0.469587,-18.190524,0.656790,-0.114458
200405,31,3,1.942824,26,-16.247385,1.948820,-16.241704,0.682811,-0.179761
200406,33,3,-3.927538,170,-20.174923,-3.928517,-20.170222,0.695182,-0.117698
200407,34,3,-0.818654,677,-20.993577,-0.819213,-20.989434,0.695182,-0.117698
200408,34,3,-0.568394,534,-21.561971,-0.568828,-21.558262,0.711355,-0.113002
200409,33,3,-0.321293,409,-21.883264,-0.321568,-21.879830,0.693124,-0.119581
200410,33,3,-1.253235,124,-23.136499,-1.253949,-23.133779,0.691177,-0.007538
200411,34,3,-0.599733,340,-23.736232,-0.600184,-23.733963,0.716428,-0.074690
200412,34,3,-0.052960,326,-23.789192,-0.053012,-23.786975,0.765394,-0.202398
200501,36,3,0.309109,131,-23.480083,0.309471,-23.477504,0.757179,-0.302528
200502,36,3,0.806615,82,-22.673468,0.807856,-22.669647,0.715677,-0.187799
200503,35,3,-5.008102,895,-27.681570,-5.009095,-27.678742,0.701372,0.028190
200504,38,3,-7.888571,210,-35.570141,-7.889570,-35.568313,0.596403,0.167710
200505,38,3,-2.888457,710,-38.458598,-2.889400,-38.457713,0.580902,0.163990
200506,38,3,-2.083135,284,-40.541733,-2.084010,-40.541723,0.560166,0.277840
200507,43,3,-4.337765,636,-44.879498,-4.338752,-44.880475,0.534028,0.453474
200508,43,3,2.121241,15,-42.758257,2.128610,-42.751865,0.517368,0.358520
200509,43,3,-0.277032,226,-43.035289,-0.277274,-43.029139,0.527521,0.407369
200510,43,3,-1.672278,267,-44.707567,-1.673090,-44.702229,0.518370,0.495926
200511,45,3,-0.387419,332,-45.094986,-0.387740,-45.089969,0.500286,0.542195
200512,45,3,-0.661167,356,-45.756153,-0.661651,-45.751620,0.477981,0.657342
200601,46,4,-2.028043,724,-47.784197,-2.028911,-47.780531,0.502840,0.728204
200602,48,4,0.048719,76,-47.735478,0.048768,-47.731763,0.575916,0.386790
200603,46,4,-5.307511,487,-53.042989,-5.308506,-53.040268,0.561047,0.107236
200604,46,4,-4.992587,701,-58.035576,-4.993580,-58.033848,0.721528,0.603560
200605,47,4,0.186718,169,-57.848858,0.186923,-57.846925,0.634597,0.234742
200606,47,4,4.138308,2,-53.710550,4.201990,-53.644935,0.629380,0.219388
200607,48,4,-2.118148,104,-55.828699,-2.119028,-55.763963,0.651851,0.263062
200608,48,4,0.455136,93,-55.373562,0.455713,-55.308250,0.627645,0.631486
200609,48,4,2.575189,13,-52.798373,2.587397,-52.720853,0.655717,0.742155
200610,48,4,-3.459941,128,-56.258314,-3.460909,-56.181762,0.613526,0.684372
200611,49,4,-5.976727,118,-62.235041,-5.977724,-62.159486,0.636425,0.703710
200612,50,4,0.502614,12,-61.732427,0.503267,-61.656218,0.655048,0.593872
200701,49,4,5.433224,2,-56.299203,5.691848,-55.964371,0.635769,0.695078
200702,48,4,3.722931,6,-52.576272,3.764155,-52.200216,0.632853,0.758123
200703,48,4,-0.707834,169,-53.284106,-0.708341,-52.908557,0.632171,0.848335
200704,49,4,-0.610859,200,-53.894964,-0.611316,-53.519873,0.631294,0.789300
200705,50,4,2.683422,14,-51.211542,2.697151,-50.822722,0.682601,1.055843
200706,49,4,-5.741843,35,-56.953386,-5.742839,-56.565562,0.689502,1.184129
200707,50,4,-4.002121,270,-60.955506,-4.003102,-60.568663,0.710493,1.185813
200708,50,4,-21.776366,349,-82.731872,-21.777365,-82.346029,0.708190,0.888525
200709,53,4,6.071088,1,-76.660783,6.636990,-75.709039,0.677247,1.039329
200710,54,4,3.212228,6,-73.448555,3.236351,-72.472688,0.711474,0.807867
200711,56,4,-17.363478,119,-90.812033,-17.364477,-89.837165,0.678348,1.139073
200712,55,4,-5.530459,253,-96.342492,-5.531455,-95.368619,0.667213,1.406778
200801,54,4,6.908693,1,-89.433799,16.597270,-78.771350,0.655726,1.060781
200802,55,4,-0.830567,5,-90.264366,-0.831131,-79.602481,0.662545,1.111786
200803,56,4,-5.617073,584,-95.881439,-5.618068,-85.220549,0.647504,1.074799
200804,55,4,-11.059102,111,-106.940541,-11.060101,-96.280651,0.641732,1.186012
