date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-0.541906,4,-0.541906,-0.542324,-0.542324,0.847245,0.272460
200308,88,6,6.676964,1,6.135057,8.251541,7.709216,0.847245,0.272460
200309,94,7,3.333886,2,9.468944,3.361306,11.070522,0.823817,0.267368
200310,97,7,-11.352254,115,-1.883310,-11.353253,-0.282731,0.836580,0.257607
200311,98,7,-2.696636,115,-4.579946,-2.697568,-2.980299,0.836580,0.257607
200312,96,7,-17.797018,62,-22.376964,-17.798018,-20.778317,0.836580,0.257607
200401,106,8,-2.955285,9,-25.332249,-2.956233,-23.734550,0.835692,0.287479
200402,101,7,4.537701,2,-20.794548,4.634736,-19.099813,0.823467,0.272227
200403,106,8,-9.409832,55,-30.204380,-9.410831,-28.510645,0.823467,0.272227
200404,107,8,-8.293971,92,-38.498351,-8.294970,-36.805615,0.823467,0.272227
200405,108,8,4.713076,2,-33.785275,4.830053,-31.975562,0.831515,0.288768
200406,106,8,4.020069,3,-29.765206,4.076327,-27.899235,0.829901,0.287327
200407,110,8,0.964385,34,-28.800821,0.966010,-26.933225,0.829901,0.287327
200408,108,8,-1.821024,25,-30.621845,-1.821862,-28.755087,0.839817,0.294680
200409,111,8,0.196665,62,-30.425180,0.196882,-28.558205,0.838468,0.292755
200410,108,8,6.795403,1,-23.629777,9.027802,-19.530403,0.820219,0.246841
200411,109,8,6.531736,1,-17.098041,7.688790,-11.841613,0.833222,0.279972
200412,116,8,-15.297611,383,-32.395652,-15.298610,-27.140224,0.857851,0.247582
200501,115,8,-20.924969,63,-53.320622,-20.925969,-48.066193,0.805601,0.235787
200502,115,8,-1.124186,5,-54.444808,-1.124861,-49.191053,0.793849,0.220881
200503,111,8,-2.069949,121,-56.514757,-2.070822,-51.261876,0.793089,0.222576
200504,100,7,-18.599258,179,-75.114015,-18.600258,-69.862134,0.811152,0.230824
200505,98,7,5.709534,1,-69.404481,6.067253,-63.794881,0.779625,0.167480
200506,104,7,6.866191,1,-62.538290,10.043147,-53.751734,0.771273,0.148287
200507,105,7,1.343279,26,-61.195011,1.346115,-52.405620,0.773326,0.156452
200508,104,7,4.665038,2,-56.529974,4.776159,-47.629461,0.763524,0.173086
200509,101,7,-5.839621,156,-62.369594,-5.840617,-53.470078,0.789172,0.177854
200510,103,7,-8.285660,244,-70.655254,-8.286659,-61.756737,0.798851,0.205521
200511,101,7,3.008934,4,-67.646320,3.028388,-58.728349,0.802519,0.181081
200512,116,8,-16.201831,200,-83.848151,-16.202831,-74.931180,0.792661,0.139991
200601,116,8,6.569245,1,-77.278906,7.813455,-67.117725,0.831683,0.179035
200602,116,8,-1.467235,32,-78.746141,-1.468004,-68.585728,0.864731,0.157548
200603,118,8,-5.600474,213,-84.346615,-5.601470,-74.187198,0.863079,0.164117
200604,117,8,2.958837,9,-81.387778,2.977281,-71.209917,0.835463,0.154541
200605,120,8,-5.645742,87,-87.033521,-5.646738,-76.856655,0.913526,0.176641
200606,128,9,-11.955744,273,-98.989265,-11.956744,-88.813399,0.913421,0.136905
200607,125,9,-1.489754,154,-100.479019,-1.490529,-90.303928,0.916372,0.149093
200608,127,9,-9.888026,50,-110.367045,-9.889026,-100.192953,0.921157,0.122475
200609,130,9,-1.884334,255,-112.251379,-1.885181,-102.078135,0.918312,0.144454
200610,141,10,-1.185745,24,-113.437124,-1.186439,-103.264574,0.917690,0.131534
200611,127,9,4.695746,2,-108.741378,4.810574,-98.454000,0.924212,0.139928
200612,127,9,-12.411049,99,-121.152427,-12.412048,-110.866049,0.928821,0.158460
200701,123,9,-23.715839,206,-144.868266,-23.716838,-134.582887,0.928655,0.156032
200702,118,8,-18.260293,171,-163.128559,-18.261292,-152.844179,0.928065,0.171218
